datetime,departures
1371151380,1
1371155820,1
1371158760,1
1371160440,1
1371161820,1
1371163140,1
1371163860,1
1371165660,2
1371171420,1
1371212100,1
1371212580,1
1371214020,1
1371216720,2
1371218760,2
1371218880,1
1371219120,1
1371221160,1
1371233100,1
1371238260,1
1371239580,1
1371240960,1
1371243120,1
1371248160,1
1371252060,2
1371252300,1
1371252420,1
1371253200,1
1371253800,1
1371257520,1
1371259500,1
1371261120,1
1371263340,1
1371263460,1
1371264000,1
1371269220,1
1371271260,1
1371277320,1
1371294180,1
1371296760,1
1371300420,1
1371303420,1
1371303720,1
1371305700,2
1371306720,1
1371306840,1
1371308580,1
1371309420,1
1371309540,1
1371311280,1
1371311820,1
1371312180,1
1371316020,2
1371316440,1
1371318360,2
1371318600,1
1371319020,1
1371319320,1
1371319740,1
1371321240,1
1371322380,1
1371322620,1
1371325080,1
1371325440,1
1371326880,1
1371327420,1
1371328200,1
1371331500,2
1371331740,1
1371333000,3
1371337020,1
1371339060,2
1371339240,2
1371341160,2
1371342120,1
1371342420,1
1371343200,1
1371343920,1
1371347460,1
1371347760,1
1371369660,1
1371385260,2
1371385320,1
1371385500,3
1371385560,2
1371386580,1
1371391320,1
1371393300,1
1371395400,1
1371399480,1
1371399660,1
1371400080,1
1371403860,4
1371405960,2
1371408000,2
1371410460,1
1371411120,1
1371412440,1
1371413460,1
1371415140,1
1371415560,2
1371415620,1
1371415680,2
1371421320,1
1371422520,1
1371422820,1
1371423900,1
1371424200,1
1371424440,1
1371425940,1
1371435060,1
1371439680,1
1371440640,2
1371448560,1
1371467700,1
1371468600,1
1371471600,1
1371471840,1
1371471960,1
1371472260,1
1371472680,1
1371473100,1
1371474720,1
1371474960,1
1371475620,1
1371479520,1
1371481860,1
1371484080,1
1371489300,1
1371490380,1
1371490500,1
1371490980,2
1371491460,1
1371492900,1
1371493320,1
1371495960,1
1371496080,1
1371499080,1
1371500280,1
1371502080,1
1371504600,1
1371510360,2
1371512640,1
1371513480,1
1371520920,1
1371524580,1
1371525840,1
1371533580,1
1371533760,1
1371550080,1
1371555060,1
1371556020,1
1371557100,1
1371557520,1
1371557760,1
1371558000,1
1371558300,1
1371558720,1
1371558780,1
1371558960,1
1371559440,1
1371559680,1
1371559800,1
1371560580,1
1371561720,2
1371561960,1
1371563160,1
1371564720,1
1371566280,1
1371566640,1
1371573660,1
1371576660,1
1371580380,1
1371581220,1
1371582360,1
1371586680,1
1371601140,1
1371610620,1
1371631620,1
1371631740,1
1371633540,1
1371636900,1
1371639780,1
1371640500,2
1371643080,1
1371644820,1
1371645420,1
1371645600,1
1371645960,1
1371646560,1
1371647400,1
1371647640,1
1371648360,1
1371648660,1
1371650100,1
1371652680,1
1371656100,1
1371657120,1
1371657720,2
1371658080,1
1371662160,1
1371665220,1
1371667140,1
1371668640,1
1371675000,1
1371677220,1
1371679080,1
1371681240,1
1371682320,1
1371686340,2
1371687360,1
1371688920,1
1371690120,1
1371690960,1
1371693420,1
1371693960,1
1371729000,2
1371729480,1
1371730380,1
1371730740,1
1371731100,1
1371731280,1
1371731940,1
1371732540,1
1371733680,1
1371734280,1
1371735720,1
1371736860,1
1371738060,1
1371738120,2
1371738480,1
1371742140,1
1371743760,1
1371745200,1
1371748200,1
1371749040,1
1371749640,1
1371750240,1
1371751980,1
1371753360,1
1371755340,1
1371755520,1
1371755820,1
1371756540,1
1371757140,1
1371757440,1
1371759360,1
1371764760,1
1371765420,2
1371767220,1
1371767640,1
1371769680,1
1371770340,1
1371771840,1
1371776460,1
1371776700,1
1371779400,1
1371782400,1
1371787680,1
1371788040,1
1371788640,1
1371791160,1
1371803160,1
1371805380,1
1371813420,1
