datetime,departures
1371153420,1
1371154260,1
1371155040,1
1371155820,1
1371156000,1
1371162480,1
1371163980,1
1371164040,1
1371165300,1
1371172020,14
1371191160,1
1371206400,1
1371207180,1
1371208440,1
1371209640,1
1371210420,1
1371210660,1
1371216180,1
1371225420,1
1371227760,1
1371228540,1
1371228960,1
1371229440,1
1371237660,1
1371239400,1
1371240120,1
1371240300,1
1371241140,1
1371241860,1
1371243720,1
1371244020,1
1371245280,1
1371246180,1
1371246540,1
1371246780,1
1371249360,1
1371249960,1
1371250740,1
1371251400,1
1371251760,1
1371251880,1
1371252300,1
1371252420,9
1371253080,1
1371253440,1
1371253860,3
1371255180,1
1371256140,1
1371257160,1
1371259080,1
1371259680,1
1371260280,1
1371263100,1
1371266940,1
1371270000,1
1371270600,1
1371270720,1
1371270780,2
1371270900,2
1371270960,1
1371271020,2
1371279420,1
1371279480,1
1371294660,1
1371295500,1
1371297180,1
1371297240,1
1371298260,1
1371304860,1
1371304980,1
1371305040,2
1371305340,1
1371305880,1
1371306000,1
1371306060,1
1371307560,1
1371307740,1
1371310080,1
1371310200,2
1371311280,2
1371311820,1
1371311940,1
1371312000,1
1371312060,1
1371312360,1
1371312780,1
1371313560,1
1371313740,1
1371313980,1
1371317820,2
1371321240,2
1371322680,1
1371323040,1
1371324240,1
1371326880,1
1371329820,1
1371330360,1
1371330660,3
1371330840,1
1371331080,1
1371332340,1
1371332580,1
1371333780,1
1371335160,1
1371335340,1
1371336240,1
1371336360,1
1371336900,1
1371337260,1
1371337440,1
1371338100,1
1371338220,2
1371338880,1
1371338940,1
1371339180,1
1371339660,2
1371339900,2
1371340860,2
1371341520,2
1371342540,1
1371342840,1
1371343560,1
1371346920,1
1371348840,1
1371350280,1
1371350340,2
1371352860,2
1371357300,1
1371373680,1
1371381660,1
1371382020,2
1371382860,1
1371385260,1
1371390480,1
1371392280,2
1371393060,1
1371393660,1
1371394200,1
1371395220,1
1371396420,2
1371396480,1
1371396600,1
1371397020,1
1371397200,1
1371397320,1
1371398880,1
1371399960,2
1371400980,1
1371401100,1
1371401160,1
1371405780,2
1371407100,1
1371407220,1
1371407460,1
1371407640,1
1371410520,1
1371410940,1
1371411480,1
1371412080,1
1371412140,1
1371412980,1
1371413220,1
1371415380,1
1371415500,1
1371415560,1
1371415980,1
1371418200,1
1371418620,1
1371418980,1
1371419880,1
1371423960,2
1371424320,1
1371424380,1
1371428160,1
1371428520,1
1371430740,1
1371430920,1
1371435960,1
1371438540,2
1371454080,1
1371457680,1
1371462240,1
1371464940,1
1371465660,1
1371465780,1
1371466380,1
1371466920,1
1371468180,1
1371469380,1
1371469620,1
1371470580,1
1371470700,1
1371471540,1
1371476880,1
1371486960,1
1371487380,1
1371487560,1
1371500160,1
1371500940,1
1371501720,1
1371504480,1
1371506280,1
1371507120,1
1371507540,1
1371510960,1
1371511080,1
1371512640,3
1371513840,1
1371514200,1
1371514800,1
1371514980,2
1371515340,1
1371516240,1
1371516480,1
1371516960,1
1371519540,1
1371525240,2
1371529860,1
1371533880,1
1371544800,3
1371544860,1
1371545820,1
1371550800,1
1371552180,1
1371554640,2
1371555360,1
1371555540,1
1371555960,1
1371556080,1
1371556740,1
1371557160,1
1371557220,1
1371557280,1
1371557640,1
1371557940,1
1371558000,2
1371558300,1
1371558420,3
1371558600,1
1371559800,1
1371561180,1
1371567000,1
1371567300,1
1371568980,2
1371573840,1
1371576240,1
1371583560,1
1371583680,1
1371588780,1
1371589020,1
1371591480,1
1371591540,2
1371591840,1
1371599460,1
1371600120,1
1371602820,1
1371603000,1
1371605340,1
1371611340,1
1371611700,1
1371634680,1
1371634800,1
1371637920,1
1371638880,1
1371640800,1
1371641460,1
1371642060,1
1371642300,1
1371642540,1
1371642900,1
1371643080,1
1371643380,1
1371643560,1
1371643860,2
1371644040,1
1371644220,2
1371644520,1
1371644940,2
1371645120,1
1371645240,1
1371647940,1
1371653700,1
1371656340,2
1371661020,1
1371664080,1
1371668280,1
1371670020,1
1371671940,1
1371674160,1
1371674580,1
1371675840,1
1371676860,1
1371677880,1
1371678240,1
1371678480,1
1371678540,1
1371679080,1
1371679620,1
1371679860,1
1371680580,1
1371682320,1
1371682380,2
1371684540,2
1371684600,2
1371684900,2
1371686160,1
1371687180,1
1371687540,1
1371688440,2
1371688860,1
1371689760,1
1371691380,1
1371693960,1
1371694140,1
1371695580,1
1371696420,1
1371697080,1
1371699420,1
1371700860,1
1371724860,14
1371725220,1
1371725880,1
1371726180,1
1371727080,1
1371727260,1
1371727500,1
1371728160,2
1371729180,1
1371729240,1
1371729480,1
1371730020,3
1371730260,1
1371741240,1
1371744180,1
1371744840,1
1371748740,1
1371758520,1
1371760740,2
1371761040,1
1371764700,1
1371764760,1
1371765720,1
1371765960,1
1371767100,1
1371769080,1
1371769440,1
1371772500,1
1371773040,1
1371773160,1
1371773220,1
1371774660,1
1371779160,1
1371779760,1
1371781800,1
1371786720,1
1371786960,1
1371805860,1
1371808680,1
1371810360,1
1371812040,1
1371812100,1
1371812700,1
1371812940,1
1371813780,1
1371814260,2
1371814800,1
1371815100,1
1371815160,1
1371815400,1
1371816180,1
1371816300,1
1371816540,1
1371816720,2
1371817080,1
1371817620,1
1371817980,1
1371818100,1
1371818400,2
1371819960,2
1371820500,1
1371821100,1
1371830640,1
1371830820,1
1371831600,1
1371832740,1
1371833520,1
1371833640,1
1371834600,1
1371835080,1
1371836220,1
1371836280,1
1371838680,2
1371839160,1
1371839940,1
1371840840,1
1371841920,2
1371843240,1
1371844320,1
1371844380,1
1371845700,1
1371848820,1
1371849120,1
1371849180,1
1371849360,2
1371852180,1
1371853740,1
1371854100,2
1371854760,1
1371854940,1
1371855480,1
1371855840,1
1371857040,1
1371857220,1
1371857640,1
1371858780,1
1371859500,1
1371859860,1
1371861000,1
1371861120,1
1371861300,1
1371862440,1
1371862920,1
1371863160,1
1371863220,1
1371864000,1
1371865020,1
1371865680,1
1371869880,1
1371869940,1
1371870780,1
1371871080,1
1371876540,1
1371886380,1
1371899040,1
1371900300,1
1371901080,1
1371905880,1
1371906900,1
1371907200,1
1371908760,1
1371909120,1
1371909600,2
1371910320,1
1371911040,1
1371911220,1
1371911940,1
1371912480,1
1371913560,1
1371914220,1
1371915240,3
1371915540,1
1371916020,1
1371916440,1
1371916740,1
1371917400,1
1371919140,3
1371919740,4
1371920340,1
1371921060,1
1371923160,1
1371924420,1
1371924720,1
1371924840,1
1371925140,1
1371925860,1
1371926220,1
1371927060,1
1371929040,1
1371930180,1
1371930720,1
1371931080,1
1371931380,1
1371931680,3
1371933720,1
1371934680,1
1371935880,1
1371936240,1
1371936780,1
1371936900,1
1371937440,1
1371940620,1
1371941280,1
1371941940,1
1371942300,1
1371943680,2
1371944220,1
1371944340,1
1371945120,1
1371945600,2
1371946140,1
1371946740,1
1371947220,2
1371948060,1
1371950880,1
1371951060,1
1371954540,1
1371955200,1
1371957720,2
1371969480,1
1371987780,1
1371989100,1
1371991620,1
1371993780,1
1371994980,1
1371995580,1
1371995820,1
1371996000,1
1371996360,1
1371996540,2
1371996960,1
1371997980,1
1371998280,1
1371998640,1
1372000320,1
1372001340,2
1372001760,2
1372002060,1
1372002120,2
1372002240,1
1372003080,2
1372003260,1
1372003320,1
1372005360,1
1372006440,2
1372007700,1
1372008180,1
1372008480,1
1372010640,1
1372010760,1
1372010880,1
1372011240,1
1372011300,1
1372011600,1
1372011660,1
1372013040,1
1372016160,1
1372016820,1
1372017720,1
1372018380,1
1372019220,1
1372019700,1
1372020300,1
1372022220,1
1372023240,1
1372023300,1
1372024140,3
1372024380,1
1372028640,1
1372029180,1
1372030620,1
1372031280,1
1372031820,1
1372032540,2
1372034220,1
1372034460,1
1372035180,1
1372036560,1
1372037220,1
1372037340,1
1372038360,1
1372046160,1
1372067880,1
1372068240,1
1372069980,1
1372071240,1
1372071540,1
1372071660,2
1372071900,1
1372072080,1
1372073280,1
1372074240,1
1372074480,1
1372074540,1
1372075260,1
1372075320,1
1372075620,1
1372079040,1
1372083060,1
1372088160,1
1372093020,1
1372094400,1
1372094640,1
1372094760,1
1372099080,1
1372102260,1
1372102980,1
1372103100,1
1372103400,1
1372104300,1
1372105980,1
1372107600,1
1372109700,1
1372110360,1
1372111500,1
1372112160,1
1372112940,1
1372115520,1
1372117200,1
1372117440,2
1372117500,1
1372117800,1
1372119660,1
1372120800,1
1372121100,1
1372121580,1
1372123680,2
1372124040,1
1372129200,1
1372132800,1
1372137120,1
1372137240,4
1372137300,2
1372137360,1
1372137480,9
1372153980,1
1372156860,1
1372157580,1
1372157760,1
1372158480,1
1372159260,1
1372159980,1
1372160340,4
1372160640,1
1372176780,1
1372177080,1
1372177440,1
1372178040,1
1372179120,1
1372179720,2
1372180080,1
1372183680,1
1372184940,1
