datetime,departures
1371150660,1
1371152880,1
1371153660,1
1371154140,1
1371154500,1
1371155520,1
1371155580,1
1371156000,1
1371156480,1
1371157560,1
1371157860,1
1371159540,1
1371159960,1
1371160080,1
1371160140,1
1371160740,2
1371160920,2
1371160980,2
1371161040,1
1371161160,1
1371161580,2
1371162120,1
1371163140,1
1371169020,1
1371173820,1
1371173940,1
1371213060,1
1371217860,1
1371218340,1
1371220680,1
1371222780,2
1371225900,2
1371226200,1
1371228300,1
1371229440,1
1371231480,1
1371231660,1
1371232860,1
1371233100,1
1371233460,1
1371234120,1
1371234660,1
1371234960,1
1371235320,2
1371235380,1
1371236820,1
1371236940,1
1371237300,2
1371237480,1
1371237840,1
1371238320,1
1371238860,1
1371239280,1
1371239760,2
1371239880,1
1371240120,1
1371240240,1
1371240480,1
1371240840,1
1371240900,1
1371241440,1
1371241620,1
1371243420,2
1371243480,1
1371243600,1
1371243960,2
1371244260,1
1371244320,2
1371244680,1
1371244860,1
1371245760,1
1371246900,2
1371247140,1
1371247440,1
1371247800,3
1371248520,1
1371248700,2
1371249180,1
1371249480,1
1371249720,1
1371250020,1
1371253320,1
1371257400,1
1371264240,1
1371266280,1
1371286560,1
1371297960,1
1371304860,2
1371305820,1
1371306840,1
1371308160,1
1371308520,1
1371310440,1
1371311280,1
1371311820,1
1371311940,2
1371313500,1
1371314700,1
1371314820,1
1371317280,2
1371318300,1
1371318720,1
1371323340,1
1371324000,2
1371325740,1
1371326340,3
1371326580,1
1371326640,2
1371327120,2
1371328980,1
1371329220,1
1371330000,1
1371330900,2
1371330960,1
1371332520,1
1371333060,1
1371333420,2
1371334680,1
1371335160,1
1371335760,7
1371335940,1
1371336060,2
1371336780,1
1371337020,1
1371339300,2
1371340260,1
1371344400,1
1371355020,1
1371357900,2
1371357960,1
1371358680,1
1371362940,1
1371373260,1
1371382920,2
1371387540,1
1371391800,1
1371393420,1
1371398520,1
1371399540,2
1371399780,1
1371399900,1
1371402000,1
1371402420,1
1371404700,1
1371406320,2
1371406980,1
1371407580,1
1371408000,1
1371408360,1
1371409140,2
1371409260,2
1371409680,2
1371410520,1
1371411900,1
1371412860,1
1371413040,1
1371413220,1
1371413640,1
1371414360,1
1371414600,3
1371414900,1
1371416280,2
1371417060,1
1371418440,3
1371418860,1
1371420540,1
1371420780,1
1371422160,1
1371422460,3
1371423480,1
1371423840,1
1371424680,1
1371426060,2
1371426240,2
1371427680,1
1371429180,1
1371430080,1
1371430140,1
1371431520,1
1371435780,1
1371439200,1
1371440340,2
1371440520,1
1371441300,1
1371467700,1
1371468720,1
1371469140,1
1371470160,1
1371472500,1
1371473940,4
1371474060,4
1371474120,4
1371474420,6
1371474720,1
1371475440,1
1371480120,1
1371481080,1
1371484140,1
1371484680,1
1371484740,1
1371485400,1
1371488040,1
1371489960,1
1371491040,2
1371491460,1
1371492780,2
1371493320,1
1371493440,1
1371494280,1
1371495360,1
1371495480,1
1371496200,1
1371496380,1
1371497100,1
1371497880,1
1371498600,1
1371498660,1
1371499980,1
1371500580,1
1371500820,1
1371500940,1
1371502320,1
1371502620,2
1371502800,1
1371502920,1
1371503700,1
1371503880,1
1371504060,1
1371504180,2
1371504480,1
1371504720,2
1371504900,1
1371505140,2
1371505260,1
1371505620,3
1371505800,3
1371506460,1
1371506520,1
1371506580,1
1371506820,2
1371506940,1
1371507120,1
1371507240,1
1371507420,2
1371507780,1
1371508380,1
1371508680,2
1371509160,1
1371509580,1
1371509880,1
1371510180,1
1371512220,2
1371512640,1
1371513840,1
1371513900,1
1371514260,1
1371516900,1
1371517500,1
1371519360,1
1371520860,1
1371520920,2
1371523920,1
1371524100,2
1371524580,1
1371526680,1
1371533520,1
1371534360,1
1371553260,2
1371555600,1
1371556260,1
1371556560,1
1371556680,1
1371557100,1
1371564120,1
1371566100,1
1371569640,1
1371570060,1
1371571080,1
