datetime,departures
1378932900,1
1378933020,2
1378933080,2
1378933200,3
1378933440,2
1378934100,1
1378934160,2
1378934400,3
1378934460,3
1378935000,1
1378935120,2
1378935240,2
1378935420,3
1378935480,2
1378935540,1
1378935720,1
1378935840,1
1378936440,1
1378936620,1
1378936860,2
1378936980,1
1378937220,1
1378937760,1
1378937880,2
1378938120,1
1378938480,1
1378939200,1
1378939500,1
1378939680,1
1378940400,1
1378940820,1
1378941000,1
1378942080,1
1378942200,1
1378942500,1
1378942980,1
1378943400,1
1378943760,1
1378944000,1
1378944960,1
1378945440,2
1378946520,1
1378947900,2
1378948320,1
1378948500,1
1378948560,1
1378949940,1
1378951080,1
1378957980,2
1378961940,1
1378962120,1
1378980960,1
1378982280,1
1378982940,1
1378983000,1
1378983420,1
1378983540,1
1378984020,1
1378985100,1
1378985220,1
1378985400,1
1378985940,2
1378986240,1
1378987680,1
1378987800,2
1378988280,1
1378988520,1
1378988580,1
1378988640,2
1378988760,1
1378989000,2
1378989300,2
1378989480,1
1378989660,1
1378989960,1
1378991100,1
1378992120,1
1378992420,1
1378992840,1
1378993080,1
1378993560,1
1378993740,1
1378993860,1
1378994160,1
1378994220,2
1378994760,3
1378994880,2
1378995060,2
1378996020,1
1378996200,1
1378996320,1
1378996680,1
1378996980,1
1378997160,3
1378997700,1
1378998300,1
1378998840,1
1378998900,1
1378999860,1
1378999980,2
1379000040,1
1379000520,1
1379000640,1
1379000700,1
1379000820,1
1379001060,1
1379001180,2
1379001300,1
1379001660,1
1379001960,4
1379002080,1
1379002140,1
1379002500,1
1379002560,1
1379002680,1
1379002980,2
1379004060,1
1379004120,1
1379004660,1
1379005260,1
1379005800,1
1379005980,1
1379008260,1
1379008380,1
1379008980,1
1379009280,2
1379009520,1
1379010240,1
1379012100,1
1379012340,1
1379012520,1
1379012700,1
1379013000,2
1379013540,1
1379013720,1
1379013900,1
1379014080,1
1379014620,1
1379015220,1
1379015520,1
1379016300,1
1379016780,1
1379017200,1
1379017380,1
1379018220,2
1379018700,1
1379019540,3
1379020020,1
1379020140,1
1379020260,1
1379020560,2
1379020680,2
1379020740,1
1379020860,1
1379021100,1
1379021340,1
1379021460,2
1379021580,1
1379021760,2
1379022300,2
1379023080,1
1379023740,2
1379025000,1
1379025600,1
1379025780,3
1379026140,1
1379027340,1
1379029680,1
1379030700,1
1379031900,1
1379032560,1
1379033160,1
