datetime,departures
1371150900,1
1371151620,1
1371151740,1
1371152700,1
1371153780,1
1371155220,1
1371157320,1
1371157860,1
1371157920,1
1371158160,1
1371158580,2
1371159000,2
1371159480,1
1371160320,3
1371160560,1
1371161280,1
1371161760,1
1371162360,1
1371163200,2
1371163740,1
1371166020,1
1371174780,1
1371177780,1
1371205260,1
1371208380,1
1371208620,1
1371209580,1
1371210420,1
1371211500,1
1371211740,1
1371212160,1
1371213600,1
1371213720,1
1371216300,1
1371216840,1
1371217560,1
1371217800,2
1371217980,1
1371218520,1
1371219600,1
1371220380,1
1371220500,1
1371220860,1
1371221040,1
1371221940,1
1371223680,1
1371224880,1
1371225960,1
1371226440,1
1371227220,1
1371227400,1
1371227580,1
1371227760,1
1371227880,1
1371228000,1
1371228120,2
1371228300,1
1371229500,1
1371229680,1
1371230220,1
1371230400,1
1371231180,1
1371231480,1
1371231660,1
1371233280,1
1371233400,1
1371234120,1
1371235500,2
1371236100,1
1371236220,1
1371236820,1
1371237360,1
1371237660,1
1371238260,1
1371239400,1
1371240540,1
1371241980,1
1371243300,1
1371243480,1
1371243840,1
1371244320,1
1371244800,1
1371245040,1
1371246240,1
1371247800,1
1371248160,3
1371249240,1
1371249480,1
1371249720,1
1371250020,1
1371251400,1
1371266640,1
1371292980,1
1371296340,1
1371301560,1
1371301620,1
1371303000,1
1371304020,1
1371307080,1
1371308040,1
1371308460,2
1371309780,1
1371317580,2
1371317880,1
1371320700,1
1371320820,2
1371321300,1
1371321960,2
1371322680,1
1371322980,1
1371323580,1
1371323640,1
1371324000,1
1371325800,1
1371327060,1
1371327120,1
1371330480,1
1371330840,1
1371331500,2
1371333540,1
1371333720,1
1371333960,1
1371334080,1
1371335040,1
1371336360,2
1371337500,2
1371338580,1
1371338940,1
1371340440,1
1371340620,2
1371341940,2
1371343800,1
1371343920,1
1371350820,1
1371353520,1
1371353940,1
1371382320,1
1371382980,1
1371391680,1
1371395580,1
1371399660,1
1371400680,1
1371403320,2
1371404340,1
1371404400,1
1371410460,2
1371410760,1
1371410820,1
1371412020,1
1371412200,1
1371412560,2
1371414480,1
1371414660,1
1371414900,1
1371414960,1
1371419460,3
1371419640,1
1371421440,1
1371430140,1
1371430200,1
1371430920,1
1371430980,1
1371431640,1
1371432300,1
1371432540,1
1371438420,1
1371440400,1
1371462960,1
1371465840,1
1371466680,1
1371466920,1
1371467460,1
1371467520,2
1371468120,1
1371468780,1
1371469140,1
1371469620,1
1371470340,1
1371470460,1
1371470640,1
1371471000,1
1371471420,1
1371471600,1
1371472680,1
1371472800,1
1371472860,1
1371473100,1
1371473340,1
1371473460,2
1371473580,1
1371474060,1
1371474300,1
1371475080,1
1371475200,1
1371475260,1
1371475440,2
1371475800,1
1371476340,1
1371476460,1
1371476880,1
1371476940,2
1371477060,1
1371477180,1
1371477240,1
1371477420,1
1371478500,1
1371479040,1
1371479340,1
1371479940,1
1371481080,1
1371481320,2
1371483060,1
1371484080,1
1371484740,1
1371486840,1
1371487560,1
1371489120,1
1371492300,2
1371492600,1
1371493620,2
1371494280,1
1371494340,1
1371494460,1
1371495240,1
1371496140,1
1371496260,2
1371498120,1
1371498840,1
1371500160,1
1371500580,1
1371501300,1
1371501480,1
1371502140,1
1371502260,1
1371502500,1
1371502740,2
1371502920,1
1371503700,3
1371503820,1
1371503880,1
1371503940,1
1371504060,1
1371504180,1
1371504480,1
1371504900,2
1371505020,1
1371505140,1
1371505620,2
1371506040,2
1371506400,2
1371506940,1
1371507240,1
1371507840,1
1371508440,2
1371508560,1
1371508740,1
1371508860,1
1371510240,1
1371510540,1
1371511920,1
1371512400,1
1371516000,1
1371516720,1
1371518940,1
1371522060,1
1371525540,1
1371526140,1
1371549180,1
1371549360,1
1371549420,1
1371550620,1
1371552240,1
1371552960,2
1371553080,1
1371553140,1
1371554580,1
1371555180,1
1371555300,1
1371555360,1
1371555960,1
1371556080,1
1371556260,1
1371556500,1
1371557100,1
1371557460,2
1371557820,1
1371558900,1
1371559020,1
1371559140,1
1371559200,1
1371559380,1
1371559440,1
1371559920,1
1371560100,1
1371560400,1
1371560580,1
1371560700,1
1371560940,3
1371561000,2
1371561180,2
1371562140,2
1371562440,3
1371563460,1
1371563580,1
1371563760,1
1371563880,1
1371565200,1
1371567300,1
1371569460,1
1371570840,1
1371571200,1
1371571800,1
1371572040,1
1371574020,1
1371576300,1
1371578580,1
1371578640,2
1371579180,2
1371579300,2
1371579780,1
1371580200,1
1371581040,1
1371581220,1
1371584220,1
1371585240,2
1371588240,1
1371590940,1
1371591120,1
1371592200,1
1371592740,1
1371593940,1
1371595140,1
1371596340,1
1371596940,1
1371598200,1
1371599280,1
1371599460,1
1371600960,1
1371601500,1
1371602040,1
1371605040,1
1371609600,1
1371635940,1
1371637200,1
1371637620,1
1371638880,3
1371639900,1
1371640380,2
1371640980,1
1371641340,1
1371641580,1
1371641820,2
1371641880,1
1371642240,1
1371643140,1
1371643500,1
1371644040,1
1371644520,2
1371645480,1
1371646200,2
1371646320,2
1371647040,1
1371647460,2
