datetime,departures
1371152400,1
1371152580,1
1371152760,1
1371154260,1
1371155580,1
1371158580,1
1371159060,2
1371159180,1
1371159360,1
1371159480,2
1371159840,1
1371159960,1
1371160080,2
1371160140,1
1371160740,1
1371161280,1
1371161340,2
1371161640,1
1371162120,1
1371162360,1
1371163020,1
1371169800,1
1371195840,1
1371209640,1
1371210780,1
1371214620,1
1371214920,1
1371221460,1
1371223380,1
1371224700,1
1371226320,1
1371226440,1
1371227580,1
1371227760,1
1371228000,1
1371228300,1
1371228420,1
1371228660,1
1371231360,1
1371232080,1
1371232260,1
1371234300,1
1371234840,1
1371235440,1
1371236760,1
1371239760,1
1371243120,1
1371243240,1
1371243480,2
1371243600,1
1371244020,1
1371245340,1
1371246540,1
1371246900,1
1371248280,1
1371248820,1
1371249600,1
1371249660,2
1371249780,2
1371250140,1
1371251040,1
1371251220,1
1371251340,1
1371251460,1
1371252840,1
1371253020,1
1371253320,1
1371253680,2
1371253740,1
1371254220,1
1371255180,1
1371259440,1
1371261540,1
1371263940,1
1371269520,1
1371269820,1
1371271980,1
1371292320,1
1371301140,1
1371303240,1
1371304620,1
1371306600,1
1371307440,1
1371308460,1
1371308880,1
1371309000,1
1371311280,1
1371312600,1
1371313260,1
1371313980,1
1371314520,1
1371314760,1
1371314940,2
1371315420,2
1371317820,2
1371318120,1
1371318240,1
1371319380,1
1371320340,2
1371321720,1
1371322800,2
1371323220,1
1371323640,1
1371325080,2
1371325740,1
1371325800,1
1371325920,1
1371326640,2
1371326880,1
1371327420,1
1371328440,1
1371328500,1
1371329340,1
1371331080,1
1371332760,1
1371334080,1
1371335160,1
1371336120,1
1371337020,1
1371337080,1
1371338520,1
1371338580,1
1371340620,1
1371342960,2
1371344640,1
1371348000,1
1371348120,1
1371348180,1
1371348420,1
1371349680,1
1371350520,2
1371352440,1
1371352560,1
1371353580,1
1371353640,1
1371355200,1
1371356280,1
1371359760,1
1371363540,1
1371385800,1
1371386940,1
1371391140,1
1371393180,1
1371394620,2
1371394860,2
1371395700,1
1371397740,1
1371398880,1
1371399780,2
1371400200,1
1371400440,1
1371400620,1
1371402120,1
1371402420,1
1371402720,1
1371403200,2
1371403380,1
1371404580,1
1371405720,2
1371406260,2
1371406440,1
1371406860,1
1371406980,1
1371407940,1
1371408240,1
1371409980,1
1371410160,2
1371411000,1
1371411180,2
1371411240,1
1371411720,1
1371412740,1
1371413460,1
1371413760,1
1371414000,1
1371414120,1
1371414600,1
1371415200,1
1371415500,1
1371415560,2
1371415980,4
1371418680,1
1371419940,1
1371421260,1
1371421320,2
1371424500,2
1371424560,1
1371425640,1
1371429600,1
1371430380,1
1371432840,1
1371439440,1
1371440340,1
1371440400,1
1371475920,1
1371476280,1
1371476340,1
1371476460,1
1371476700,1
1371476880,1
1371476940,1
1371478200,1
1371479400,1
1371482040,2
1371483480,1
1371483540,1
1371483660,1
1371483780,3
1371483840,1
1371484020,1
1371484260,1
1371485940,1
1371488100,1
1371488640,1
1371489540,1
1371490200,1
1371490380,1
1371491100,1
1371491820,1
1371492780,1
1371496140,1
1371499860,1
1371501660,1
1371502320,1
1371502800,1
1371503100,1
1371503280,1
1371503460,1
1371504780,1
1371504840,2
1371504900,2
1371505200,1
1371505260,1
1371505440,2
1371505500,2
1371505620,2
1371505800,1
1371506280,1
1371506400,1
1371506460,1
1371506700,1
1371506820,2
1371506940,1
1371507240,1
1371507420,1
1371507600,1
1371507780,2
1371507900,1
1371508020,1
1371508140,1
1371508200,2
1371508320,1
1371508380,3
1371508440,1
1371508560,1
1371508680,2
1371517140,1
1371517440,1
1371518820,1
1371519000,1
1371519540,1
1371524040,1
1371526020,1
1371526440,1
1371555840,1
1371559140,1
1371559440,1
1371560280,1
1371560820,2
1371562320,1
1371562560,1
1371562860,1
1371563340,1
1371564840,1
1371565740,1
1371568680,1
1371571980,4
1371572040,1
1371572100,4
1371572160,3
1371572340,5
1371572580,1
1371573060,1
1371573840,1
1371575880,1
1371576420,1
1371577020,1
1371577680,1
1371577920,1
1371578220,1
1371580740,1
1371580800,1
1371580860,1
1371582120,1
1371583260,1
1371587640,1
1371588180,1
1371588300,1
1371588480,1
1371588960,1
1371590460,1
1371590700,1
1371590820,1
1371591420,1
1371591720,1
1371593700,1
1371599160,1
1371600240,1
1371600540,1
1371604680,1
1371637740,1
1371638220,1
1371640500,1
1371642240,1
1371642360,1
1371644940,1
1371648060,1
1371648240,2
1371648300,1
1371648360,1
1371648480,1
1371648780,1
1371648840,1
1371649140,1
1371650160,1
1371652080,1
1371655380,1
1371656880,1
1371658740,1
1371659400,1
1371659640,1
1371660540,1
1371662520,2
1371663660,1
1371663900,1
1371664500,1
1371666120,2
1371666840,2
1371668220,1
1371668640,1
1371668880,2
1371669000,1
1371669840,2
1371670620,1
1371671580,1
1371672900,2
1371674700,1
1371675180,1
1371675240,1
1371675840,2
1371676020,1
1371676140,2
1371676320,1
1371676440,2
1371676500,1
1371676560,2
1371677100,1
1371677400,1
1371677520,1
1371678480,4
1371678540,1
1371678780,2
1371678840,2
1371678960,1
1371679080,1
1371679260,1
1371679380,4
1371679620,1
1371679740,1
1371680220,1
1371680280,1
1371682080,1
1371684720,1
1371688080,1
1371690240,1
1371692640,1
1371693600,1
1371694440,1
1371696180,1
1371706680,1
1371725640,1
1371730020,1
1371731820,1
1371733380,1
1371734280,3
1371734340,1
1371734520,1
1371734580,1
1371734640,3
1371734940,1
1371735000,1
1371735120,2
1371735840,1
1371735900,1
1371736320,1
1371738540,1
1371739560,1
1371739800,1
1371739980,1
1371740100,1
1371740460,1
1371740820,1
1371742620,1
1371743100,1
1371743160,1
1371743940,1
1371745200,1
1371745380,1
1371746820,1
1371748020,2
1371748740,1
1371749940,1
1371750720,1
1371751740,2
1371752280,1
1371753600,1
1371753720,2
1371753780,2
1371753900,2
1371753960,2
1371754080,2
1371754140,1
1371754200,1
1371754380,1
1371756120,1
1371756480,1
1371756600,1
1371757320,1
1371757980,1
1371758280,1
1371758940,2
1371760740,1
1371761100,1
1371761460,1
1371762120,1
1371762300,1
1371762420,1
1371762600,2
1371762720,1
1371762780,1
1371762900,1
1371763200,2
1371763920,5
1371764280,2
1371765840,1
1371768120,1
1371773820,1
1371774840,1
1371774960,1
1371811380,1
1371814260,1
1371815100,1
1371816180,1
1371816840,1
1371820200,1
1371820260,1
1371822480,4
1371822600,1
1371822780,1
1371828660,1
1371829560,1
1371829980,1
1371830820,1
1371831240,1
1371832080,1
1371833100,2
1371833220,2
1371833280,3
1371833340,2
1371833400,1
1371833520,3
1371833640,1
1371833700,2
1371833820,1
