datetime,departures
1371153780,1
1371155820,2
1371156120,2
1371156480,2
1371157260,1
1371157380,1
1371157620,1
1371157680,1
1371158040,2
1371158340,1
1371158580,1
1371158640,1
1371158880,1
1371159420,1
1371159540,1
1371159960,1
1371160080,2
1371160560,1
1371161340,1
1371161760,1
1371162000,1
1371163080,1
1371164280,1
1371222060,1
1371222120,1
1371222780,1
1371223860,9
1371225960,1
1371226500,1
1371226860,1
1371227100,1
1371227940,1
1371229860,2
1371229980,1
1371231060,2
1371232740,1
1371234120,2
1371234240,1
1371235080,1
1371235380,2
1371235920,1
1371235980,1
1371236700,1
1371237180,1
1371237780,1
1371238500,1
1371239040,1
1371240540,1
1371240660,2
1371240840,1
1371240900,1
1371241440,1
1371241620,1
1371241980,1
1371243240,1
1371243300,1
1371243420,1
1371243480,1
1371243600,2
1371243720,1
1371243840,1
1371243900,1
1371243960,1
1371247020,1
1371249420,1
1371249480,1
1371249900,1
1371251340,1
1371252840,2
1371252900,1
1371253500,1
1371255720,1
1371256800,1
1371260340,1
1371262140,1
1371299580,1
1371304860,1
1371306240,1
1371306360,1
1371306600,1
1371307260,1
1371308580,2
1371310080,1
1371312900,1
1371313500,1
1371314940,1
1371317820,1
1371318300,1
1371319320,1
1371319860,1
1371319920,2
1371320460,1
1371321120,1
1371321180,1
1371322620,1
1371322680,1
1371322800,1
1371322980,1
1371323340,2
1371323580,1
1371324180,2
1371324420,1
1371324780,2
1371326220,1
1371326340,2
1371326640,1
1371326760,1
1371326880,2
1371327000,1
1371327420,2
1371328020,1
1371329400,2
1371330960,1
1371331620,1
1371339540,1
1371340260,1
1371341580,1
1371342000,2
1371344160,1
1371345780,1
1371356280,1
1371384420,1
1371395220,1
1371395880,1
1371396480,1
1371398220,1
1371398280,1
1371398400,1
1371398520,1
1371399480,1
1371399780,1
1371401760,1
1371403560,1
1371405960,2
1371406500,1
1371406680,1
1371408780,2
1371409260,1
1371409920,1
1371410280,1
1371410580,1
1371411120,1
1371411600,1
1371411720,1
1371412740,1
1371414360,1
1371416580,2
1371416700,1
1371417180,1
1371418080,1
1371418620,2
1371418680,2
1371420360,1
1371422160,1
1371422280,1
1371424140,1
1371424380,1
1371463260,1
1371474420,1
1371474540,1
1371474720,1
1371479280,1
1371480720,2
1371480960,3
1371481080,4
1371487560,1
1371488640,1
1371488820,1
1371489540,2
1371490740,1
1371491160,1
1371492600,1
1371494460,3
1371494880,1
1371495060,1
1371496080,2
1371496260,1
1371498000,1
1371498600,1
1371500280,1
1371501720,2
1371501840,1
1371502620,1
1371502680,1
1371502740,1
1371502800,1
1371503100,1
1371503280,2
1371503820,1
1371504060,1
1371504180,1
1371504420,2
1371504840,1
1371504900,1
1371505020,1
1371505380,1
1371505500,1
1371505620,2
1371505800,1
1371505920,1
1371506520,1
1371508860,2
1371509880,1
1371511740,1
1371516960,1
1371563700,1
1371566340,1
1371566460,1
1371566520,1
1371569160,1
1371569340,1
1371570060,1
1371571620,1
1371572160,1
1371572820,1
1371575280,1
1371575760,2
1371576540,1
1371578640,1
1371580860,1
1371581220,1
1371582900,1
1371583500,1
1371584040,1
1371585240,2
1371588000,1
1371589680,1
1371591120,2
1371591780,2
1371592320,1
1371594660,1
1371594840,1
1371595320,1
1371597000,1
1371598860,1
1371599820,1
1371600060,1
1371603420,1
1371605100,1
1371606480,2
1371609540,2
1371609600,1
1371609960,1
1371610860,1
1371640560,1
1371643380,1
1371643860,1
1371644520,1
1371646860,1
1371652860,2
1371653340,1
1371653520,1
1371654300,1
1371657360,1
1371657720,7
1371658200,3
1371658380,2
1371658620,2
1371660420,1
1371660660,1
1371663240,1
1371663600,1
1371663660,1
1371663780,1
1371664500,1
1371664860,1
1371665520,1
1371666480,1
1371668160,3
1371668400,1
1371668460,1
1371669420,1
1371670020,1
1371670380,1
1371670920,1
1371672180,1
1371672480,1
1371672960,1
1371673380,1
1371673440,1
