datetime,departures
1372036380,1
1372037280,1
1372039680,2
1372071300,1
1372073340,1
1372073520,1
1372074360,1
1372074540,1
1372077900,1
1372078260,1
1372080060,1
1372082520,1
1372083480,1
1372084200,1
1372085520,1
1372089480,1
1372090380,1
1372090500,1
1372091220,1
1372092120,2
1372095120,1
1372095420,1
1372095720,1
1372100940,1
1372102320,1
1372106820,1
1372111740,1
1372111980,1
1372112700,1
1372112880,1
1372113600,1
1372114140,1
1372114620,1
1372116240,1
1372116660,1
1372117200,1
1372117260,1
1372117440,1
1372117560,1
1372117800,1
1372120620,1
1372122480,1
1372122900,1
1372161780,1
1372169820,1
1372174320,1
1372174620,1
1372176060,1
1372179600,1
1372181220,1
1372182000,1
1372182840,1
1372183020,1
1372183260,1
1372185840,1
1372187640,1
1372197420,1
1372198320,2
1372199220,1
1372199400,1
1372200780,1
1372200900,1
1372201200,1
1372201320,1
1372201440,1
1372201500,1
1372201620,2
1372201740,1
1372201920,1
1372202040,1
1372202460,3
1372202760,1
1372204500,1
1372204860,1
1372207560,1
1372208580,1
1372216380,1
1372217340,1
1372217640,1
1372238040,1
1372252680,1
1372254000,1
1372259400,1
1372259760,1
1372261440,1
1372265460,1
1372265700,1
1372267140,1
1372267380,1
1372267680,1
1372268520,1
1372268700,1
1372269780,1
1372277340,1
1372278840,1
1372284420,1
1372286280,1
1372287240,1
1372287540,1
1372291020,1
1372291860,1
1372292040,1
1372293240,1
1372293480,1
1372294020,1
1372296180,2
1372296720,1
1372296780,1
1372299900,1
1372301100,1
1372305540,1
1372307100,1
1372307280,1
1372327620,1
1372329060,1
1372332660,1
1372334040,1
1372334100,1
1372339680,1
1372342680,1
1372346880,1
1372362240,1
1372363380,1
1372363620,1
1372374060,4
1372375560,1
1372375860,1
1372378500,1
1372379400,1
1372380120,1
1372380300,1
1372380780,1
1372381080,1
1372384380,1
1372387620,1
1372415700,1
1372416360,1
1372420200,1
1372425000,1
1372425360,1
1372432260,1
1372436040,1
1372438740,1
1372439760,1
1372440180,1
1372441260,1
1372442880,1
1372443480,2
1372445280,1
1372450320,1
1372450380,1
1372450980,1
1372453680,1
1372454220,1
1372454520,1
1372454700,1
1372455180,1
1372455660,1
1372455840,1
1372456680,1
1372464060,1
1372464420,1
1372466880,1
1372470480,1
1372473180,1
1372478580,1
1372481700,1
1372487520,1
1372500780,1
1372510680,1
1372511880,1
1372515780,1
1372517880,1
1372518840,1
1372520580,1
1372521720,1
1372524600,1
1372527360,1
1372528200,1
1372535520,1
1372540260,2
1372543500,1
1372543560,1
1372547460,1
1372547880,1
1372548780,1
1372551360,1
1372554360,1
1372556040,1
1372557300,1
1372559700,1
1372572780,1
1372592220,1
1372593900,1
1372595760,1
1372596240,1
1372603080,1
1372605240,1
1372606260,1
1372606380,1
1372606500,1
1372608000,2
1372608480,1
1372609980,1
1372611180,1
1372612920,3
1372616880,1
1372620660,1
1372620720,1
1372621920,1
1372624500,1
1372624800,1
1372625400,2
1372627680,1
1372630080,1
1372632720,1
1372634880,1
1372635540,1
1372636020,1
1372636380,1
1372640940,1
1372643340,1
1372649640,1
1372650180,1
1372651920,1
1372672200,1
1372672860,1
1372674120,1
1372674840,1
1372675440,1
1372676760,1
1372676880,1
1372681860,3
1372682520,1
1372693740,1
1372693920,1
1372695840,1
1372699440,1
1372705320,1
1372706760,2
1372713180,1
1372720800,1
1372722300,1
1372723800,1
1372724460,1
1372725660,1
1372726440,1
1372728000,1
1372731420,1
1372731720,2
1372756980,1
1372760520,1
1372761120,1
1372762260,1
1372763220,1
1372763400,1
1372764480,1
1372765020,1
1372765080,1
1372765560,1
1372765920,1
1372766280,1
1372774260,1
1372777380,1
1372778700,1
1372779120,1
1372781760,1
1372786380,1
1372787160,1
1372787520,1
1372787820,1
1372789740,1
1372789800,1
1372791720,1
1372796220,1
1372799040,1
1372799580,2
1372800180,1
1372801140,1
1372802280,1
1372802520,1
1372802940,1
1372803240,1
1372805640,1
1372806600,2
1372806960,2
1372807020,1
1372807680,1
1372807980,1
1372808160,2
1372808520,1
1372808580,1
1372815240,1
1372816440,1
1372847100,1
1372847280,1
1372849980,1
1372850220,1
1372851960,1
1372852260,1
1372853040,1
1372856340,1
1372856580,1
1372859280,1
1372859820,1
1372860060,1
1372865880,1
1372868280,1
1372871160,1
1372879800,1
1372880040,1
1372882080,1
1372883040,1
1372883580,1
1372883700,1
1372885020,1
1372885860,1
1372886040,1
1372886700,1
1372887480,1
1372888440,1
1372888500,1
1372888560,1
1372889040,1
1372889640,1
1372890720,1
1372891380,1
1372891500,1
1372893180,1
1372894560,1
1372901460,1
1372901640,1
1372930080,1
1372932900,1
1372935420,1
1372942380,1
1372944060,1
1372945380,1
1372945500,1
1372946340,1
1372946580,1
1372952820,1
1372960560,1
1372961160,1
1372962540,3
1372963140,1
1372963500,1
1372970940,1
1372971480,1
1372973040,2
1372975740,2
1372976100,1
1372976700,1
1372977120,1
1372977360,2
1372977900,1
1372978980,2
1372981500,1
1372982400,1
1372982520,1
1372998840,1
1373020200,1
1373020320,1
1373022600,1
1373022720,1
1373023140,1
1373024400,1
1373025240,1
1373026020,1
1373026920,1
1373027160,1
1373028240,1
1373028300,1
1373029320,1
1373029920,1
1373031540,1
1373032680,1
1373033220,1
1373033700,1
1373035560,2
1373035620,1
1373036220,1
1373036820,1
1373039580,1
1373041140,1
1373041920,1
1373044500,1
1373046660,1
1373046780,1
1373049600,1
1373052540,1
1373055120,1
1373056440,1
1373060640,1
1373060820,1
1373063760,1
1373064000,1
1373064840,1
1373065380,1
1373066340,2
1373069400,1
1373072460,1
1373074380,1
1373075760,1
1373076240,1
1373076300,1
1373094600,1
1373103540,1
1373117700,2
1373124240,1
1373125260,2
1373127120,1
1373127240,1
1373128860,1
1373130120,1
1373130540,1
1373131140,1
1373131440,1
1373132040,1
1373134320,1
1373135700,2
1373137140,1
1373137320,1
1373139120,1
1373139780,1
1373140500,1
1373143080,2
1373144880,1
1373144940,1
1373145000,1
1373145360,1
1373145420,1
1373145960,2
1373149500,1
1373150880,1
1373151960,1
1373152860,1
1373154300,1
1373157120,1
1373157660,1
1373158680,1
1373160600,2
1373168400,1
1373169840,1
1373171580,1
1373172840,1
1373188440,1
1373191140,1
1373191560,1
1373192640,1
1373194440,1
1373199780,1
1373205660,1
1373206560,1
1373206860,1
1373207880,1
1373208060,1
1373208900,1
1373211840,1
1373212140,1
1373214300,1
1373215740,1
1373217480,2
1373217780,1
1373220420,1
1373220600,1
1373222100,1
1373224440,1
1373225520,2
1373229720,2
1373231220,1
1373231460,1
1373232360,1
1373232480,1
1373235420,1
1373235720,2
1373235960,2
1373236380,1
1373236500,1
1373241660,1
1373242200,2
1373243100,1
1373255400,1
1373279520,1
1373279880,1
1373280360,1
1373281980,1
1373283960,1
1373284320,1
1373284440,2
1373284920,1
1373286600,1
1373287380,1
1373288640,1
1373289060,1
1373289300,1
1373290020,1
1373296020,2
1373296080,2
1373296620,1
1373297220,1
1373304840,1
1373305620,1
1373310000,1
1373311620,2
1373314500,1
1373315460,1
1373315820,1
1373316360,1
1373316840,1
1373316960,1
1373317500,1
1373319120,2
1373327340,3
1373328300,1
1373328660,1
1373329080,2
1373329500,2
1373330880,1
1373332680,1
1373333520,1
1373335380,1
1373338560,1
1373338620,1
1373339160,1
1373340060,1
1373345460,1
1373346480,1
1373366160,1
1373366400,1
1373366460,1
1373367240,1
1373368020,1
1373368800,1
1373369280,1
1373369760,1
1373370060,2
1373370420,1
1373377440,1
1373378580,1
1373388300,1
1373388540,1
1373388660,1
1373390880,1
1373391300,1
1373392380,1
1373393280,1
1373395320,1
1373397000,1
1373401320,1
1373403360,1
1373403840,1
1373405520,1
1373405700,1
1373407980,1
1373408580,5
1373408820,1
1373408940,1
1373409060,1
1373409120,1
1373409180,1
1373410980,1
1373411940,1
1373412240,1
1373412480,1
1373413680,1
1373416620,1
1373419320,1
1373421000,1
1373423340,1
1373423820,1
1373429520,1
1373457060,1
1373457420,1
1373460600,1
1373463540,1
1373464920,1
1373465940,1
1373472540,1
1373473380,1
1373474520,1
1373474580,1
1373476140,1
1373476320,1
1373483220,1
1373490300,1
1373491080,1
1373491560,1
1373491680,1
1373491740,1
1373492160,1
1373493000,1
1373493420,2
1373493720,1
1373494140,2
1373494200,2
1373497080,5
1373498580,1
1373498700,1
1373499180,1
1373500380,1
1373500860,1
1373502660,1
1373508120,1
1373514240,2
1373518740,1
1373522820,1
1373534760,1
1373535120,1
1373538900,1
1373544960,1
1373546400,1
1373546460,1
1373546700,1
1373547540,1
1373547720,1
1373548140,1
1373548260,2
1373550660,1
1373554560,1
1373557500,2
1373560500,1
1373560620,1
1373561100,1
1373561760,1
1373562060,1
1373564880,1
1373566320,1
1373569500,1
1373571360,1
1373575200,1
1373575260,1
1373576700,1
1373582100,2
1373583720,2
1373584260,2
1373585280,3
1373585460,1
1373586480,1
1373586960,1
1373587020,1
1373587800,1
1373591220,1
1373591460,1
1373592120,1
1373593800,2
1373594280,1
1373594820,1
1373595000,1
1373596380,1
1373598240,1
1373604300,1
1373625900,2
1373626020,1
1373626320,1
1373628120,1
1373632680,1
1373634120,1
1373634420,1
1373635020,1
1373637420,1
1373640480,1
1373642340,3
1373643120,1
1373647500,1
1373648460,1
1373648880,1
1373649900,1
1373650860,1
1373651100,1
1373657160,1
1373657220,1
1373665620,2
1373667120,1
1373667840,1
1373668800,1
1373668980,1
1373669460,1
1373669580,1
1373669700,1
1373670720,1
1373672400,1
1373672520,1
1373679660,1
1373681520,1
1373694300,1
1373696280,1
1373698380,1
1373712420,1
1373718300,1
1373721660,1
1373722920,1
1373724060,1
1373730900,1
1373731680,1
1373732520,3
1373732580,1
1373732640,2
1373735520,1
1373736060,1
1373736960,1
1373738700,3
1373739000,1
1373739120,2
1373740380,1
1373740500,1
1373741520,1
1373741760,1
1373744880,2
1373746140,1
1373748240,1
1373750760,1
1373755740,1
1373756760,2
1373757900,1
1373758380,1
1373759100,1
1373759640,2
1373760540,1
1373760900,1
1373761260,1
1373762580,1
1373762880,1
1373763000,1
1373763120,1
1373769960,1
1373803920,3
1373805060,1
1373809260,1
1373809320,1
1373810280,1
1373810580,1
1373811120,1
1373812200,1
1373812620,1
1373812920,3
1373814000,1
1373815200,1
1373815380,1
1373816760,1
1373818440,1
1373820660,1
1373821140,1
1373821200,2
1373821680,2
1373821740,3
1373822820,1
1373823780,2
1373826120,1
1373827980,2
1373829480,1
1373829840,1
1373830920,1
1373832420,1
1373833260,1
1373834760,1
1373835360,1
1373835900,1
1373836500,1
1373837160,1
1373837460,2
1373838900,1
1373839260,1
1373840700,1
1373842800,1
1373843400,1
1373843580,1
1373843820,1
1373844840,1
1373845320,1
1373847540,1
1373849220,1
1373850000,1
1373852700,1
1373853540,1
1373854620,1
1373856480,1
1373884800,1
1373885700,1
1373886600,1
1373886720,1
1373888220,1
1373888400,1
1373888880,1
1373889060,1
1373889360,1
1373889480,1
1373889600,1
1373889840,1
1373890740,1
1373890980,1
1373891700,1
1373892720,1
1373893500,1
1373894880,1
1373897520,1
1373899080,1
1373899620,1
1373899920,1
1373906880,1
1373908920,1
1373909580,1
1373914620,1
1373916120,1
1373916360,1
1373919180,1
1373919480,1
1373921460,1
1373921580,1
1373922300,1
1373922660,1
1373923140,1
1373924520,2
1373925060,1
1373926260,2
1373927280,1
1373927760,1
1373928360,1
1373928900,1
1373929140,1
1373929620,1
1373930580,1
1373930760,1
1373931000,1
1373931420,1
1373931720,1
1373931900,1
1373931960,1
1373932560,1
1373932680,1
1373933940,2
1373935200,1
1373936280,1
1373936340,1
1373937060,1
1373939400,1
1373940960,1
1373945580,1
1373954820,1
1373966580,1
1373967300,1
1373971140,1
1373973480,1
1373975820,1
1373977380,1
1373977800,1
1373978040,1
1373978520,1
1373981220,1
1373982420,1
1373983860,1
1373985180,1
1373991420,1
1373994720,1
1373995860,1
1373997000,1
1373997120,1
1374000360,1
