datetime,departures
1374797760,1
1374799860,1
1374800160,1
1374800460,1
1374800880,1
1374802800,1
1374842280,1
1374842700,1
1374849120,2
1374849360,1
1374852300,1
1374853380,1
1374853680,1
1374854040,1
1374854160,1
1374854880,2
1374855720,2
1374855900,1
1374856080,1
1374856380,2
1374856440,1
1374856680,1
1374857340,1
1374857940,1
1374858300,2
1374859800,1
1374860640,1
1374860820,1
1374861120,2
1374862320,1
1374863100,1
1374863280,1
1374866760,1
1374866940,1
1374867360,1
1374867600,1
1374867720,1
1374867900,1
1374868260,1
1374868560,1
1374869160,1
1374869340,1
1374869520,1
1374869640,1
1374869940,1
1374870540,2
1374870600,1
1374870720,1
1374870900,1
1374871560,1
1374871800,1
1374871920,1
1374872580,1
1374874020,1
1374875040,1
1374876720,1
1374877740,1
1374878640,1
1374880500,1
1374881880,1
1374882180,1
1374882720,1
1374883080,1
1374886080,1
1374887760,1
1374888420,1
1374889080,2
1374894600,1
1374900360,1
1374900480,1
