datetime,departures
1371151980,1
1371156060,1
1371156660,1
1371169320,1
1371207000,1
1371209400,1
1371211740,2
1371212580,1
1371213120,1
1371213600,1
1371213900,1
1371214380,1
1371214500,1
1371214860,2
1371215220,1
1371216060,1
1371218340,1
1371219840,1
1371223980,1
1371226860,1
1371226980,2
1371229020,1
1371230940,1
1371238560,1
1371239100,1
1371244260,1
1371244320,1
1371249000,1
1371251880,2
1371252180,1
1371252600,2
1371253440,1
1371253800,1
1371256380,1
1371262560,2
1371264840,1
1371266760,1
1371268020,1
1371268560,2
1371273900,2
1371274140,1
1371279780,1
1371283680,1
1371285180,1
1371299400,1
1371302880,1
1371306360,1
1371306960,1
1371307440,1
1371307680,1
1371308520,1
1371309420,1
1371310140,1
1371310200,1
1371310800,1
1371312540,1
1371312780,1
1371312900,1
1371313380,1
1371316620,2
1371317700,1
1371317820,1
1371318120,1
1371320340,1
1371321300,1
1371321480,1
1371324480,1
1371325800,1
1371326100,1
1371327300,1
1371328080,1
1371331080,3
1371334140,1
1371336360,2
1371337440,1
1371337620,1
1371338940,2
1371340440,1
1371342840,1
1371343080,1
1371343380,1
1371343440,1
1371343800,1
1371343980,1
1371344160,1
1371344520,1
1371345840,1
1371346800,1
1371349560,1
1371350340,2
1371351000,1
1371351540,1
1371351840,2
1371357780,1
1371359580,1
1371361140,1
1371365040,1
1371366240,1
1371372960,1
1371373440,1
1371379860,1
1371383400,1
1371386940,1
1371392580,1
1371393180,1
1371393240,1
1371394080,1
1371394560,1
1371394860,1
1371394920,1
1371395400,1
1371395460,3
1371396420,1
1371397320,1
1371398280,1
1371399960,2
1371400200,1
1371400620,1
1371400740,1
1371401340,1
1371401400,1
1371401460,1
1371401580,1
1371402060,1
1371403860,1
1371404640,1
1371405300,1
1371405960,1
1371406260,2
1371406320,2
1371406500,1
1371407040,1
1371407760,1
1371408180,1
1371408360,2
1371409260,1
1371409920,1
1371410820,1
1371412200,1
1371412260,1
1371412440,1
1371413520,1
1371415320,1
1371415380,1
1371415500,1
1371415800,1
1371415920,1
1371415980,1
1371416040,1
1371416400,1
1371416940,1
1371419940,1
1371420180,1
1371421740,1
1371422700,1
1371423300,1
1371423780,1
1371426360,1
1371426480,2
1371426960,1
1371429840,2
1371434400,1
1371438120,1
1371440940,1
1371441540,2
1371464400,1
1371465000,1
1371467580,1
1371470520,1
1371471000,1
1371471120,1
1371471360,1
1371472020,1
1371472140,1
1371472680,1
1371473220,1
1371473580,1
1371474420,1
1371475800,1
1371476100,1
1371476400,2
1371476580,1
1371476820,1
1371476940,1
1371477060,1
1371477600,1
1371478200,1
1371478680,1
1371487860,1
1371491280,1
1371492480,1
1371493440,1
1371498780,1
1371500400,1
1371500820,1
1371501360,1
1371505140,1
1371505620,3
1371505680,1
1371505740,1
1371506040,1
1371510060,2
1371510840,1
1371513360,1
1371514260,1
1371514680,1
1371514980,1
1371516120,1
1371517140,1
1371518040,1
1371518940,1
1371522660,1
1371526440,1
1371526560,1
1371527100,1
1371528120,1
1371550260,1
1371554400,1
1371554520,1
1371555240,1
1371556560,1
1371557460,1
1371557760,1
1371558000,1
1371558300,1
1371558420,1
1371558600,1
1371558960,1
1371559560,1
1371559800,1
1371560280,2
1371560640,2
1371561000,1
1371561360,1
1371561540,1
1371561720,1
1371562080,1
1371562680,1
1371563160,1
1371573600,1
1371574020,1
1371575160,1
1371577500,1
1371579120,1
1371580860,1
1371583020,1
1371585780,1
1371588180,1
1371590640,1
1371590820,1
1371592380,1
1371599520,1
1371602280,1
1371602940,1
1371604080,1
1371609540,1
1371611340,1
1371612000,1
1371616140,1
1371617040,1
1371619380,1
1371620100,1
1371635520,1
1371638100,1
1371640740,1
1371641580,1
1371642840,1
1371643560,2
1371644820,1
1371645420,1
1371645600,1
1371645960,1
1371646320,1
1371646560,1
1371646620,1
1371647520,1
1371647640,1
1371647940,1
1371648240,1
1371649080,1
1371649380,1
1371651420,1
1371651540,1
1371653100,1
1371654840,1
1371658500,1
1371659700,1
1371661620,1
1371662640,1
1371663300,1
1371665760,1
1371666780,1
1371668940,1
1371673200,1
1371674340,1
1371677040,1
1371677520,1
1371677700,1
1371677760,1
1371678480,1
1371681660,1
1371681960,1
1371682980,1
1371683280,1
1371683640,1
1371685980,1
1371686940,1
1371687180,1
1371687960,1
1371692340,1
1371693960,1
1371694200,1
1371694620,2
1371696360,1
1371697980,1
1371698580,1
1371698880,1
1371702300,1
1371724860,4
1371727200,1
1371727740,1
1371730740,1
1371731640,1
1371732000,1
1371732180,1
1371732420,1
1371732600,1
1371732660,1
1371732780,2
1371733080,1
1371733140,2
1371733680,1
1371733860,1
1371733920,1
1371734280,1
1371734580,1
1371734760,1
1371735180,1
1371735300,2
1371739080,1
1371742740,1
1371747660,1
1371749820,1
1371752160,1
1371753600,1
1371754500,1
1371757380,1
1371759120,1
1371759660,1
1371760080,1
1371761220,1
1371764100,1
1371765600,1
1371765720,2
1371766560,1
1371766860,1
1371767520,1
1371768060,1
1371769500,1
1371769680,1
1371769980,1
1371774000,1
1371774600,1
1371776280,1
1371778140,1
1371779040,1
1371779820,1
1371780120,2
1371781020,1
1371781980,1
1371782040,1
1371784380,2
1371786840,1
1371789240,1
1371794880,1
1371795720,1
1371799380,1
1371811620,2
1371815580,1
1371816720,1
1371817080,1
1371817920,1
1371817980,1
1371818400,1
1371818580,1
1371819960,1
1371820200,1
1371820260,1
1371820620,2
1371820860,2
1371821040,1
1371821100,1
1371821220,1
1371822480,5
1371825240,1
1371830520,1
1371832020,1
1371833520,1
1371837780,1
1371839040,1
1371840360,1
1371840480,1
1371841440,1
1371843960,1
1371844860,1
1371846480,1
1371848820,1
1371850080,1
1371850980,2
1371854160,1
1371854460,1
1371855420,1
1371858360,1
1371866820,1
1371867780,1
1371869340,1
1371870120,1
1371871020,1
1371875100,1
1371881220,1
1371886320,1
1371906060,1
1371907500,1
1371909120,1
1371909600,1
1371910440,1
1371912660,1
1371912780,1
1371914520,1
1371914640,1
1371914940,1
1371916440,1
1371917280,1
1371919680,1
1371920160,1
1371920880,1
1371921240,2
1371922440,1
1371922980,1
1371924420,1
1371925980,1
1371926880,1
1371930060,2
1371930660,2
1371932280,1
1371932940,1
1371935580,2
1371935700,1
1371936000,1
1371938640,1
1371940980,2
1371941580,1
1371941940,1
1371944040,1
1371945420,1
1371946740,1
1371946920,1
1371946980,1
1371948120,1
1371949560,1
1371949860,1
1371954240,1
1371954660,1
1371955560,1
1371958020,1
1371958980,1
1371964200,1
1371964320,1
1371965460,2
1371965580,1
1371965760,3
1371966120,1
1371966180,2
1371967260,1
1371973620,1
1371977880,1
1371982020,1
1371985320,1
1371988440,1
1371988860,1
1371990480,1
1371992520,1
1371996000,1
1371996840,1
1371997020,1
1371997980,1
1371998400,1
1372002240,1
1372002360,1
1372003920,2
1372004700,1
1372005000,1
1372006140,1
1372006260,1
1372006560,1
1372007700,1
1372007820,1
1372007940,1
1372008720,1
1372009020,1
1372009380,1
1372010280,1
1372012080,2
1372012140,1
1372012440,2
1372012740,1
1372015380,1
1372015800,1
1372016760,1
1372016820,1
1372017780,1
1372019640,1
1372021080,1
1372021560,1
1372022640,1
1372022880,1
1372023600,1
1372025460,1
1372027680,1
1372029540,1
1372032060,1
1372032360,1
1372033080,1
1372035180,1
1372035480,1
1372036680,1
1372041600,1
1372043460,1
1372063560,1
1372068900,1
1372069140,1
1372070220,1
1372075740,1
1372076400,1
1372076460,1
1372076520,1
1372076640,1
1372077240,1
1372077300,1
1372077540,1
1372077960,1
1372078260,1
1372078380,2
1372078440,1
1372078560,1
1372078920,2
1372079280,1
1372079820,1
1372080000,1
1372080060,1
1372080180,1
1372080300,2
1372080480,1
1372081080,3
1372082400,1
1372089840,1
1372094880,1
1372097400,1
1372098240,1
1372099500,1
1372099680,1
1372100940,1
1372104420,1
1372109580,1
1372109820,1
1372110240,1
1372110420,1
1372113420,1
1372114140,2
1372117440,1
1372117560,1
1372118160,1
1372118580,1
1372121520,1
1372123560,1
1372133340,1
1372133460,2
1372133820,1
1372134840,1
1372140660,1
1372154220,1
1372155060,2
1372155600,1
1372157040,1
1372159260,1
1372162380,1
1372162560,1
1372162860,1
1372163340,1
1372163460,1
1372163700,1
1372163880,1
1372163940,1
1372164060,1
1372164240,3
1372164360,1
1372164420,2
1372164720,1
1372164780,1
1372164900,1
1372165020,1
1372165740,3
1372165920,1
1372172160,1
1372173660,1
1372177080,1
1372178820,1
1372179360,1
1372180680,1
1372184760,1
1372187280,1
1372187460,1
1372188540,1
1372193160,1
1372193580,1
1372193760,2
1372195560,1
1372195680,1
1372197360,1
1372201440,1
1372201500,1
1372202340,1
1372202460,1
1372202520,1
1372202760,1
1372202820,1
1372205700,1
1372207620,1
1372208220,1
1372208760,2
1372209300,1
1372209420,1
1372210020,1
1372210200,1
1372211400,1
1372212360,1
1372212720,1
1372233300,1
1372243620,1
1372245660,2
1372246740,1
1372247220,1
1372248240,2
1372248480,2
1372249080,2
1372249200,1
1372249680,14
1372249860,1
1372249980,1
1372250280,1
1372250460,3
1372250580,2
1372250700,1
1372251180,1
1372251420,2
1372251540,1
1372251660,2
1372251840,1
1372251900,1
1372253100,1
1372256880,1
1372258860,1
1372261020,1
1372261560,1
1372262400,1
1372263120,1
1372264200,1
1372265760,1
1372267560,1
1372267620,1
1372269060,1
1372269420,1
1372269660,1
1372270560,1
1372271160,1
1372272300,1
1372273920,1
1372274400,1
1372277040,1
1372278060,1
1372280580,1
1372281840,1
1372283280,1
1372283400,1
1372283640,1
1372284840,1
1372285260,1
1372285500,1
1372286100,1
1372287900,1
1372290420,1
1372291200,1
1372293000,1
1372293540,1
1372294260,1
1372294380,1
1372294740,1
1372296840,1
1372299540,1
1372300620,1
1372302120,1
1372302660,1
1372306740,1
1372307700,1
1372308060,1
1372310520,1
1372311180,1
1372320000,5
1372320060,1
1372328580,1
1372329480,1
1372330080,1
1372332240,1
1372332360,2
1372333320,3
1372334400,3
1372334520,1
1372335060,2
1372335420,1
1372335660,2
1372335780,1
1372336320,1
1372336380,1
1372336500,1
1372338600,1
1372343760,1
1372344060,1
1372344840,1
1372347420,1
1372347840,2
1372351260,1
1372358640,1
1372360680,1
1372362540,1
1372362960,1
1372363500,1
1372363920,1
1372365000,1
1372365540,1
1372366020,1
1372375140,2
1372376940,2
1372380480,1
1372383240,1
1372389840,1
1372407480,1
1372414680,1
1372415880,1
1372419600,2
1372420860,1
1372421220,1
1372421520,1
1372421760,1
1372422240,1
1372422420,1
1372422540,1
1372422660,1
1372423200,1
1372423500,1
1372423680,1
1372423740,2
1372423860,1
1372423980,2
1372424160,1
1372424280,1
1372424400,2
1372424460,1
1372425300,1
1372425780,1
1372426680,1
1372427580,1
1372432560,1
1372433100,1
1372434120,1
1372435080,1
1372438320,1
1372439820,1
1372440420,1
1372441380,1
1372441920,1
1372442280,1
1372442760,1
1372448580,1
1372449120,3
1372449240,1
1372450800,1
1372452480,1
1372452840,1
1372453320,1
1372455120,1
1372457040,1
1372457280,1
1372458480,1
1372458540,1
1372459620,1
1372459740,1
1372460160,1
1372460520,2
1372462740,1
1372466220,1
1372466280,2
1372466580,1
1372466880,2
1372467600,1
1372467660,1
1372468680,1
1372468860,1
1372469520,1
1372473840,1
1372474200,1
1372476600,1
1372476780,2
1372477620,1
1372477740,1
1372477920,1
1372478040,2
1372479960,1
1372481700,1
1372484220,2
1372488000,1
1372490040,1
1372491180,1
1372500480,2
1372500720,1
1372507680,2
1372507980,1
1372508880,1
1372511520,1
1372512240,1
1372512720,1
1372512960,1
1372514820,1
1372516020,2
1372516440,1
1372518000,1
1372518120,2
1372519320,1
1372519620,1
1372519980,1
1372520220,1
1372521000,1
1372521420,1
1372521480,1
1372521720,4
1372521900,1
1372522920,1
1372523400,2
1372523880,1
1372524720,1
1372525860,1
1372527420,1
1372528200,2
1372528260,1
1372528920,1
1372530000,1
1372530240,1
1372530540,1
1372530780,1
1372530840,1
1372532700,2
1372533120,1
1372534320,2
1372535340,1
1372540260,5
1372541400,1
1372541520,2
1372543020,1
1372543080,1
1372543680,1
1372543740,1
1372547400,1
1372547460,1
1372547580,1
1372547820,1
1372548000,1
1372549440,1
1372550220,1
1372550880,1
1372551060,1
1372551180,1
1372551720,1
1372553280,1
1372554180,1
1372556940,1
1372557600,1
1372559700,1
1372561680,2
1372562520,2
1372562640,1
1372563900,1
1372565760,1
1372567140,1
1372568100,1
1372568340,1
1372569300,1
1372569840,1
1372572060,1
1372572180,1
1372573320,1
1372575480,1
1372575780,1
1372579980,1
1372581420,1
1372581840,2
1372593780,1
1372593900,1
1372595580,1
1372597320,1
1372599900,1
1372600740,1
1372602600,2
1372602780,1
1372603500,1
1372603620,2
1372603920,1
1372603980,1
1372604880,1
1372605240,1
1372605720,1
1372606500,1
1372607280,2
1372607400,1
1372609080,1
1372609320,1
1372610820,1
1372611480,1
1372611600,1
1372612920,2
1372614000,1
1372614720,1
1372615680,2
1372616940,1
1372617600,1
1372619760,1
1372620840,1
1372621200,1
1372622760,1
1372623060,1
1372623300,1
1372624320,1
1372626060,2
1372628460,1
1372628820,1
1372629360,2
1372629780,1
1372630560,1
1372632060,2
1372632420,1
1372633020,1
1372633200,1
1372634100,1
1372634520,1
1372635300,2
1372635480,1
1372637400,2
1372637520,2
1372639140,2
1372639560,1
1372639800,1
1372643220,2
1372643940,1
1372644420,1
1372647720,1
1372647960,1
1372654080,1
1372656420,1
1372656720,1
1372673280,1
1372679940,1
1372680120,2
1372680360,1
1372680480,1
1372680540,1
1372680960,3
1372681080,1
1372681560,1
1372681800,1
1372682520,1
1372687020,7
1372688100,1
1372694160,1
1372697340,1
1372705920,1
1372706040,1
1372708200,1
1372708620,1
1372710480,1
1372710780,1
1372712160,1
1372718160,1
1372718820,2
1372719600,1
1372723980,1
1372727580,1
1372730100,1
1372733040,1
1372755060,1
1372759980,1
1372760880,1
1372761000,1
1372761720,1
1372762140,1
1372763220,1
1372764180,1
1372764360,2
1372765020,1
1372765320,1
1372766640,1
1372766880,2
1372767240,1
1372767480,1
1372767780,1
1372768020,1
1372768080,1
1372768140,1
1372768320,1
1372768800,1
1372774020,3
1372774260,1
1372774500,1
1372775520,1
1372776540,1
1372778040,1
1372779780,1
1372780560,1
1372782840,1
1372782900,1
1372783140,1
1372784700,1
1372786020,1
1372786500,1
1372786680,1
1372786740,1
1372788720,1
1372789080,1
1372789680,1
1372790340,1
1372791120,1
1372792260,1
1372795320,1
1372798920,2
1372801740,1
1372802340,1
1372805880,1
1372806720,1
1372810980,1
1372811400,1
1372814280,1
1372818000,1
1372818060,1
1372820280,1
