datetime,departures
1371167880,1
1371207480,1
1371223380,2
1371223560,1
1371223620,1
1371224340,1
1371231960,1
1371234840,1
1371236100,1
1371243240,1
1371244020,1
1371249480,1
1371274140,1
1371297960,1
1371306060,1
1371307080,1
1371308460,1
1371309420,1
1371309840,1
1371311280,1
1371313140,1
1371313260,1
1371317700,1
1371321720,1
1371325380,2
1371326100,1
1371329160,1
1371332580,2
1371334380,1
1371335460,1
1371335760,1
1371342720,1
1371345000,1
1371355320,1
1371373380,1
1371393840,1
1371396960,1
1371397200,2
1371398040,1
1371401940,1
1371402060,1
1371402720,1
1371403560,2
1371404820,1
1371407100,2
1371411180,1
1371424200,1
1371427080,1
1371427620,1
1371432540,1
1371437100,1
1371440280,1
1371440520,2
1371467040,1
1371467340,1
1371476400,1
1371495600,1
1371513360,1
1371514020,1
1371515340,1
1371515400,1
1371520080,1
1371520860,1
1371520920,1
1371553440,1
1371556260,1
1371559680,1
1371573000,1
1371584580,1
1371593940,1
1371597720,1
1371598020,1
1371598380,1
1371602400,1
1371609540,3
1371619380,1
1371643500,1
1371645780,1
1371645960,1
1371649140,1
1371651240,1
1371652080,1
1371655860,1
1371657180,1
1371657240,1
1371661620,1
1371661980,1
1371668880,1
1371670080,1
1371671640,1
1371671700,1
1371671940,2
1371672480,1
1371674040,1
1371680280,1
1371683520,1
1371686100,1
1371686880,1
1371687360,1
1371692040,1
1371728220,1
1371728580,1
1371731280,1
1371738540,1
1371741240,1
1371745860,1
1371751620,2
1371752580,1
1371752760,2
1371754680,1
1371758340,1
1371759060,1
1371759540,1
1371759600,1
1371760740,1
1371763920,1
1371765000,1
1371765420,1
1371769920,1
1371770460,1
1371770520,1
1371773100,1
1371773160,1
1371773220,1
1371775080,2
1371776880,1
1371781020,2
1371782160,1
1371791640,1
1371815400,1
1371818580,1
1371819960,1
1371825180,1
1371826980,1
1371827340,1
1371829920,1
1371830940,1
1371831780,1
1371832740,2
1371833340,1
1371837240,1
1371843300,1
1371844140,1
1371846960,1
1371847080,1
1371849480,2
1371851820,1
1371854100,1
1371856260,1
1371858780,2
1371870600,1
1371874020,1
1371891180,2
1371891240,1
1371908580,1
1371914220,1
1371914280,1
1371914520,1
1371918060,1
1371921780,1
1371923460,2
1371925500,4
1371926340,2
1371926400,1
1371926580,2
1371926820,1
1371931200,1
1371931680,2
1371931800,1
1371931860,1
1371932340,2
1371932640,1
1371933420,1
1371933480,1
1371934200,1
1371940980,2
1371941040,1
1371941640,1
1371943860,1
1371946020,1
1371948480,1
1371954540,1
1371956100,1
1371956280,1
1371962580,1
1371994800,2
1371996540,2
1372001340,1
1372002120,1
1372003680,1
1372003920,1
1372004160,1
1372004640,1
1372005060,3
1372005120,1
1372006140,1
1372006440,1
1372006560,1
1372006980,1
1372007040,2
1372010280,2
1372011000,1
1372011600,2
1372011780,1
1372011960,1
1372012560,1
1372013580,1
1372013640,1
1372014660,2
1372014780,2
1372015140,1
1372016400,1
1372016820,1
1372017420,2
1372017660,2
1372019100,1
1372019940,2
1372023780,2
1372024140,4
1372026840,1
1372031280,1
1372032180,1
1372033440,1
1372035720,1
1372044840,1
1372062660,1
1372069380,1
1372072080,1
1372075620,1
1372075920,2
1372076340,1
1372077240,1
1372077720,1
1372078560,1
1372084020,1
1372086480,1
1372087980,1
1372088160,1
1372091760,1
1372097280,3
1372104300,1
1372107840,1
1372110300,1
1372115640,1
1372117260,1
1372118100,1
1372118400,1
1372118580,1
1372119060,1
1372119120,2
1372123200,1
1372126500,1
1372128180,1
1372133880,1
1372137660,4
1372137720,1
1372162500,1
1372163940,1
1372164120,1
1372165680,1
1372166880,1
1372168020,2
1372169820,1
1372170840,1
1372171500,1
1372173480,1
1372176060,1
1372178400,1
1372178700,1
1372178820,1
1372178940,1
1372179060,1
1372179180,1
1372181040,1
1372186200,1
1372191540,1
1372193760,1
1372197240,1
1372200120,1
1372201920,1
1372202460,1
1372202760,1
1372203060,1
1372204020,1
1372206000,1
1372209660,1
1372209720,1
1372210020,1
1372210680,1
1372210800,2
1372211580,1
1372214460,1
1372248660,1
1372249800,1
1372250700,1
1372250760,1
1372253340,1
1372253400,1
1372253460,1
1372254900,1
1372260120,1
1372261800,1
1372264200,1
1372267080,1
1372271280,1
1372274520,1
1372276380,1
1372279800,1
1372280820,1
1372283280,2
1372285560,1
1372287240,1
1372287780,1
1372289700,1
1372291740,1
1372292040,2
1372296180,3
1372296360,1
1372296420,1
1372298040,2
1372298340,2
1372298760,1
1372301100,2
1372301220,1
1372310940,1
1372320480,2
1372320600,1
1372330200,1
1372333860,1
1372335480,1
1372335660,1
1372336320,1
1372337580,3
1372344360,1
1372345320,1
1372345680,1
1372358100,2
1372358940,1
1372362900,1
1372364880,1
1372370400,2
1372375140,1
1372375500,1
1372375560,1
1372376100,1
1372377060,1
1372377600,1
1372377780,2
1372378140,1
1372379040,1
1372419660,1
1372421520,1
1372423380,1
1372424880,1
1372427100,1
1372431240,1
1372432680,1
1372434660,1
1372435500,1
1372438860,1
1372445160,1
1372445280,1
1372449120,1
1372449900,1
1372451100,1
1372452240,1
1372453380,1
1372459860,1
1372462260,1
1372466520,1
1372466580,1
1372467060,1
1372468680,1
1372469220,1
1372469880,1
1372486200,1
1372507140,5
1372507260,2
1372508280,2
1372510620,1
1372510800,1
1372510860,1
1372511880,1
1372515900,2
1372521060,1
1372522560,2
1372523100,1
1372525440,1
1372525800,1
1372528680,1
1372532700,1
1372532820,1
1372533240,1
1372534320,1
1372540260,4
1372541100,1
1372541520,2
1372541940,1
1372543500,2
1372547340,1
1372547700,1
1372547760,1
1372548180,1
1372552560,1
1372553460,1
1372554300,1
1372555380,1
1372555440,1
1372587360,1
1372587480,1
1372593540,1
1372601040,1
1372601460,1
1372603920,1
1372606020,1
1372606500,1
1372607760,1
1372608420,2
1372610700,1
1372610880,1
1372611240,1
1372611420,1
1372613700,1
1372615320,1
1372615440,2
1372615680,1
1372616940,1
1372619940,1
1372621680,1
1372622400,1
1372623240,1
1372628640,1
1372631700,1
1372640880,1
1372643340,1
1372644840,1
1372657800,1
1372679760,1
1372679820,1
1372680120,1
1372687020,4
1372688880,1
1372703640,1
1372710960,1
1372711620,1
1372712160,1
1372718760,1
1372724340,1
1372724520,1
1372724940,1
1372728600,1
1372728960,1
1372729080,1
1372729680,1
1372767300,1
1372767480,1
1372768740,2
1372773720,1
1372774680,1
1372778880,1
1372781580,1
1372782540,1
1372783140,1
1372783320,1
1372783500,1
1372788360,1
1372789200,1
1372790700,1
1372795620,1
1372797420,1
1372798920,1
1372800360,1
1372802700,1
1372806300,1
1372807500,1
1372807980,1
1372810020,2
1372810980,1
1372827840,2
1372849980,1
1372851720,1
1372853160,1
1372853940,1
1372854780,1
1372855500,1
1372858200,1
1372858320,1
1372858500,1
1372858740,1
1372858800,1
1372860780,1
1372863360,1
1372863960,1
1372864800,1
1372866900,1
1372868040,1
1372870320,1
1372873500,1
1372873860,1
1372874820,1
1372875000,1
1372875120,1
1372884540,1
1372885860,1
1372886460,1
1372891380,1
1372892040,1
1372900320,1
1372909500,1
1372930800,1
1372930920,1
1372934940,4
1372935060,2
1372935300,6
1372935420,4
1372941180,1
1372941720,1
1372946880,1
1372947000,1
1372950360,1
1372953420,1
1372953720,1
1372954620,1
1372961520,1
1372961700,1
1372963020,1
1372963560,1
1372963680,1
1372963980,1
1372965660,1
1372966080,1
1372967280,2
1372967400,1
1372973040,1
1372981500,1
1372988460,1
1372991820,1
1373028120,1
1373028780,1
1373035560,2
1373038920,1
1373038980,1
1373041500,1
1373042220,1
1373043000,1
1373043120,1
1373049780,1
1373052180,1
1373053680,1
1373062620,1
1373063580,1
1373067360,1
1373070840,1
1373072100,1
1373072280,1
1373073480,1
1373073540,1
1373079300,1
1373079720,1
1373080080,1
1373102880,1
1373112060,1
1373114580,1
1373115720,1
1373116500,1
1373117880,1
1373118240,1
1373121360,1
1373127480,1
1373127780,1
1373131740,1
1373132160,1
1373133720,2
1373133780,1
1373136000,1
1373136900,1
1373137620,1
1373139180,1
1373142060,1
1373142300,1
1373144520,1
1373145360,1
1373149020,1
1373150880,1
1373153280,1
1373155200,1
1373155320,1
1373155500,2
1373157180,1
1373182800,1
1373190600,1
1373202720,1
1373206860,1
1373208780,1
1373211720,1
1373213100,1
1373214240,2
1373214300,1
1373216100,1
1373217660,1
1373220300,1
1373226480,1
1373226900,1
1373229720,1
1373229900,1
1373230560,1
1373231280,1
1373233200,1
1373241240,2
1373242440,1
1373242620,1
1373243460,1
1373245440,1
1373245920,1
1373246340,1
1373279940,1
1373283840,1
1373284320,1
1373284620,1
1373284920,1
1373285580,1
1373285700,1
1373288880,1
1373289660,1
1373290200,1
1373290500,1
1373290740,1
1373303700,1
1373309580,1
1373309700,1
1373311320,1
1373311440,1
1373311620,1
1373312400,1
1373313360,1
1373315460,1
1373315580,1
1373317800,1
1373317920,2
1373328300,1
1373328480,1
1373328600,1
1373330280,2
1373330700,1
1373331120,1
1373331420,1
1373332500,1
1373333040,1
1373333160,1
1373334240,1
1373340060,1
1373341200,1
1373346780,1
1373347740,1
1373365260,1
1373370660,1
1373375040,1
1373376420,1
1373376720,1
1373376900,1
1373378400,2
1373384880,1
1373386140,1
1373395440,2
1373396160,1
1373396400,3
1373396520,1
1373396880,1
1373397000,1
1373402940,1
1373407980,1
1373410200,1
1373410860,1
1373412300,1
1373413380,1
