datetime,departures
1371154500,1
1371154800,1
1371155700,1
1371161400,1
1371162900,1
1371164040,1
1371164100,1
1371164580,1
1371208080,1
1371208380,1
1371208620,1
1371209640,1
1371210900,1
1371211500,1
1371211620,1
1371213120,1
1371213240,2
1371213480,1
1371214500,1
1371216060,1
1371216900,1
1371219240,1
1371219600,1
1371220500,2
1371225360,1
1371231360,1
1371231840,1
1371232200,2
1371232860,1
1371238560,1
1371239640,1
1371243120,1
1371243900,1
1371244080,1
1371246960,1
1371247920,1
1371250800,1
1371253080,1
1371255240,1
1371263460,2
1371265380,1
1371270840,2
1371290580,1
1371297720,1
1371300480,1
1371301440,2
1371302340,2
1371304500,1
1371307080,1
1371307200,1
1371307740,1
1371309240,1
1371309420,1
1371309540,2
1371311460,1
1371311640,1
1371313140,2
1371313380,1
1371313500,1
1371313620,2
1371313980,2
1371314280,2
1371315000,1
1371315600,2
1371317040,1
1371317580,2
1371318600,3
1371318660,1
1371319260,1
1371319320,1
1371319620,1
1371319740,1
1371320280,1
1371320340,1
1371320460,1
1371322200,1
1371322260,1
1371322440,1
1371322680,1
1371322980,1
1371323040,1
1371323340,1
1371323460,1
1371325080,1
1371325260,1
1371325740,1
1371325860,1
1371327840,1
1371328080,1
1371328620,1
1371328800,1
1371328920,1
1371329040,3
1371329340,2
1371329400,1
1371329640,1
1371331320,1
1371331380,1
1371331440,1
1371332040,1
1371332100,1
1371332160,1
1371332460,1
1371333840,1
1371334440,1
1371334500,1
1371334980,1
1371335940,1
1371336480,1
1371337080,1
1371337140,1
1371337260,1
1371339060,2
1371339540,1
1371341520,1
1371341580,1
1371342420,2
1371342780,1
1371343920,2
1371344040,1
1371344160,1
1371348780,2
1371349560,1
1371349620,1
1371350880,1
1371350940,1
1371383880,1
1371386940,1
1371389280,1
1371391200,1
1371392460,1
1371393060,1
1371393300,1
1371394440,1
1371395880,1
1371396420,2
1371399060,1
1371400200,1
1371400980,1
1371401700,1
1371402480,1
1371404280,3
1371405480,1
1371406140,1
1371406680,1
1371409080,1
1371409260,1
1371409380,1
1371409680,1
1371409920,1
1371411480,1
1371411780,1
1371412500,3
1371412740,1
1371414840,3
1371414960,1
1371417900,1
1371418500,1
1371419880,1
1371421980,1
1371423000,1
1371423120,1
1371423840,3
1371425220,1
1371425280,1
1371425760,1
1371425940,1
1371426060,2
1371426480,1
1371427560,1
1371429540,1
1371429600,1
1371434040,1
1371435960,2
1371436080,1
1371465840,1
1371467040,1
1371467160,2
1371468780,1
1371471180,1
1371472020,1
1371472440,1
1371472500,1
1371472680,3
1371473880,1
1371480120,1
1371482040,1
1371485400,1
1371486060,2
1371492600,2
1371492780,1
1371494580,1
1371494700,1
1371496380,1
1371497640,2
1371497880,1
1371501180,1
