datetime,departures
1371165960,1
1371167640,1
1371213240,1
1371229020,1
1371230940,1
1371252600,1
1371256500,1
1371258060,1
1371259920,2
1371262680,2
1371270540,2
1371280740,1
1371305340,2
1371312660,1
1371312780,1
1371312900,1
1371313140,1
1371313260,1
1371314940,2
1371315240,1
1371315900,2
1371316020,2
1371316860,2
1371324000,1
1371328620,2
1371329160,2
1371329520,3
1371329640,1
1371337140,1
1371345120,1
1371345180,1
1371350160,1
1371354240,1
1371357480,2
1371390420,1
1371398700,2
1371401340,1
1371402960,1
1371405420,1
1371406440,2
1371408000,1
1371411900,2
1371412980,1
1371413040,1
1371415740,1
1371415920,1
1371416400,1
1371416880,1
1371425160,1
1371425520,1
1371474720,1
1371477240,1
1371485160,1
1371486840,2
1371489600,1
1371498600,1
1371515220,1
1371518280,1
1371523080,1
1371523140,1
1371523260,1
1371523560,1
1371523680,1
1371535560,1
1371557640,1
1371558600,1
1371560100,1
1371574980,1
1371578400,1
1371578460,1
1371581880,1
1371590940,1
1371592440,1
1371599340,1
1371640560,1
1371645780,1
1371648720,1
1371651240,1
1371661680,1
1371662460,1
1371671940,2
1371674100,1
1371676500,1
1371681900,1
1371682500,1
1371686340,1
1371689940,1
1371703260,1
1371735600,1
1371738060,1
1371746100,1
1371746340,1
1371748560,1
1371753780,1
1371762900,1
1371772500,1
1371775200,1
1371776880,1
1371785160,1
1371832020,1
1371832620,1
1371833700,1
1371833760,1
1371834600,1
1371841560,1
1371843900,1
1371847020,1
1371847080,1
1371849360,1
1371854700,1
1371856200,1
1371857040,1
1371858900,2
1371862080,1
1371864540,1
1371872820,1
1371872940,1
1371884760,1
1371908940,1
1371913740,2
1371915360,1
1371916800,1
1371916860,1
1371922740,1
1371924300,1
1371925860,1
1371925980,2
1371926040,1
1371930240,1
1371931020,1
1371931500,1
1371932880,1
1371932940,1
1371934260,1
1371935040,1
1371935100,2
1371935880,1
1371935940,1
1371938220,1
1371938460,1
1371939480,2
1371942900,1
1371949500,3
1372005180,2
1372008240,1
1372009500,1
1372009980,1
1372013880,1
1372015920,2
1372025520,2
1372029060,2
1372039560,1
1372043880,2
1372078920,1
1372089420,1
1372091520,1
1372107660,1
1372108200,1
1372109700,2
1372113300,1
1372121280,2
1372131000,1
1372131240,1
1372162860,1
1372167300,1
1372167540,1
1372167840,1
