datetime,departures
1371175200,1
1371181500,1
1371199320,1
1371213360,1
1371217560,1
1371225960,2
1371226080,1
1371226200,1
1371227880,1
1371234360,1
1371235020,1
1371235380,1
1371236460,1
1371236640,1
1371241980,1
1371242580,1
1371250140,1
1371252780,1
1371259380,1
1371260400,1
1371261240,1
1371264960,1
1371265860,1
1371281580,1
1371305700,1
1371307560,1
1371311280,2
1371315420,1
1371316020,1
1371316140,1
1371317580,1
1371322440,1
1371324420,2
1371342900,1
1371353400,1
1371356520,1
1371356640,1
1371360180,1
1371367860,1
1371371460,1
1371378660,2
1371383580,1
1371399360,1
1371399780,1
1371402780,2
1371405360,1
1371407640,2
1371410640,1
1371411000,2
1371414120,1
1371420360,1
1371425100,1
1371428400,1
1371432840,1
1371434940,1
1371435180,1
1371435780,1
1371438360,2
1371473040,1
1371475560,1
1371477420,1
1371477840,1
1371478260,1
1371482760,1
1371483120,1
1371501780,1
1371516960,1
1371522420,1
1371536460,1
1371558720,1
1371559380,1
1371565440,1
1371574680,1
1371574980,1
1371575580,1
1371582540,1
1371584160,1
1371597720,1
1371598800,1
1371602460,1
1371642360,1
1371644700,1
1371648120,1
1371654300,1
1371662160,1
1371665520,1
1371668760,1
1371691860,1
1371701820,1
1371731040,1
1371732720,1
1371734280,1
1371752580,1
1371754560,1
1371756720,1
1371771420,1
1371822480,1
1371835500,1
1371840600,1
1371850740,1
1371851940,1
1371869160,1
1371872340,1
1371877080,1
1371912060,1
1371913560,1
1371916740,1
1371923760,1
1371927060,1
1371928860,1
1371929040,1
1371932940,1
1371933120,2
1371934440,2
1371948720,1
1371951840,1
1371953760,1
1371973620,2
1371977220,1
1371985800,1
1371992940,1
1372001340,1
1372003500,1
1372010160,1
1372010760,1
1372010880,1
1372011000,1
1372011120,1
1372011720,1
1372016640,1
1372016940,1
1372019160,1
1372023960,1
1372024140,1
1372026720,1
1372028520,1
1372028640,1
1372038720,1
1372038780,1
1372057740,1
1372084260,1
1372096020,2
1372099080,1
1372114140,1
1372114560,1
1372119960,1
1372125960,1
1372163220,1
1372165140,1
1372169820,1
1372170600,1
1372190040,1
1372199820,1
1372208640,3
1372212060,1
1372212120,1
1372252560,1
1372263720,1
1372276260,1
1372276380,1
1372283100,1
1372290120,1
1372302780,1
1372310940,1
1372332120,1
1372338960,1
1372347780,1
1372359480,1
1372377660,1
1372401060,1
1372402140,1
1372402200,1
1372413660,1
1372413900,1
1372414200,1
1372416540,1
1372425060,1
1372425720,1
1372426140,1
1372427160,1
1372433220,1
1372437540,1
1372437660,1
1372442220,1
1372448280,2
1372449420,1
1372453560,1
1372489200,1
1372504500,1
1372511220,1
1372519140,1
1372519320,1
1372519560,1
1372519620,1
1372525140,1
1372525920,1
1372528200,1
1372534560,1
1372535340,1
1372537140,1
1372542240,1
1372542660,1
1372545960,1
1372554780,1
1372560540,1
1372576020,1
1372578420,1
1372590960,2
1372607820,1
1372619820,1
1372639320,1
1372644240,1
1372648500,3
1372657980,1
1372658100,1
1372658280,2
1372658460,1
1372662540,1
1372662660,1
1372687020,1
1372721160,1
1372763640,3
1372765320,1
1372765500,1
1372773720,2
1372778340,1
1372797480,1
1372799100,1
1372800060,1
1372800720,2
1372800780,1
1372800840,1
1372811400,1
1372811520,1
1372816860,4
1372822620,1
1372823040,1
1372843980,1
1372844100,1
1372877520,1
1372920780,1
1372939320,1
1372952100,1
1372970160,1
1372972320,1
1372972440,1
1372974120,1
1372976940,1
1372986720,2
1372994220,1
1372999260,1
1373023740,1
1373031060,12
1373035260,1
1373047620,1
1373050860,1
1373051700,3
1373053320,1
1373056440,1
1373058360,2
1373062260,1
1373062740,2
1373094060,2
1373100420,1
1373126580,2
1373130720,1
1373148660,1
1373149260,1
1373154600,2
1373156880,2
1373216040,1
1373231820,1
1373231940,1
1373236680,1
1373240640,2
1373249280,1
1373256000,1
1373273940,1
1373284740,1
1373285280,1
1373287380,4
1373287500,1
1373288640,2
1373289660,1
1373292900,1
1373319120,1
1373371440,1
1373398020,1
1373409900,1
1373414040,1
1373417040,1
1373417880,1
1373419560,1
1373450580,1
1373460240,1
1373478660,1
1373483100,1
1373485080,1
1373502660,1
1373504940,1
1373510280,1
1373514660,1
1373553540,1
1373556540,1
1373556720,1
1373569860,1
1373573880,1
1373588700,1
1373591760,1
1373596800,1
1373642340,1
1373655840,1
1373702580,1
1373707500,1
1373731140,1
1373735520,1
1373742240,1
1373760300,1
1373761020,1
1373761080,1
1373767440,1
1373769360,1
1373803920,3
1373808120,1
1373812440,1
1373816280,1
1373823900,1
1373827200,1
1373827320,1
1373829900,1
1373830200,1
1373830920,1
1373831040,1
1373838540,3
1373840280,2
1373844660,2
1373845140,2
1373847180,1
1373847780,1
1373848020,1
1373893020,1
1373893140,1
1373920380,1
1373926380,1
1373926560,1
1373930940,1
1373934240,1
1373934480,1
1373936280,1
1373976480,1
1373977560,2
1373977680,1
1373977920,2
1373980560,1
1374018240,1
1374023640,1
1374061620,1
1374063060,1
1374065580,1
1374080220,1
1374100920,1
1374135540,2
1374135660,1
1374135780,1
1374135840,2
1374135900,4
1374136080,1
1374149040,1
1374149160,1
1374150720,1
1374168300,1
1374180120,1
1374190740,1
1374194220,1
1374205380,1
1374234180,1
1374234780,1
1374239520,1
1374241980,1
1374248460,2
1374249720,1
1374253800,1
1374258960,1
1374261600,1
1374265020,1
1374292260,1
1374303420,1
1374329580,2
1374332100,1
1374336060,1
1374339240,2
1374340260,1
1374350760,1
1374359100,1
1374362280,1
1374365160,1
1374365460,1
1374365640,1
1374365820,1
1374407760,1
1374411360,1
1374412320,1
1374438420,2
1374442200,1
1374442800,1
1374446760,1
1374452760,1
1374497580,1
1374499500,1
1374506220,1
1374509340,1
1374509400,2
1374509820,1
1374533100,1
1374538320,1
1374585600,1
1374585780,1
1374592800,3
1374592920,2
1374594600,1
1374596400,1
1374601140,1
1374601680,1
1374605880,1
1374607020,1
1374612060,1
1374618720,1
1374640740,1
1374643380,1
1374644160,1
