datetime,departures
1371150900,1
1371157140,1
1371157260,1
1371158100,1
1371159660,1
1371159900,1
1371160080,1
1371160680,2
1371164640,1
1371208080,1
1371208140,1
1371214200,1
1371216660,1
1371223680,1
1371226200,1
1371228420,1
1371228840,1
1371231060,1
1371234900,1
1371235140,1
1371236820,1
1371238320,1
1371239580,1
1371240540,1
1371240780,3
1371241620,2
1371242220,1
1371243600,1
1371244260,1
1371244800,1
1371246000,1
1371247620,1
1371249660,1
1371251700,1
1371251880,1
1371256320,1
1371257640,2
1371258960,2
1371262680,1
1371296760,1
1371301380,1
1371305580,1
1371309240,2
1371309960,2
1371311700,1
1371312000,1
1371313740,1
1371314040,1
1371314280,2
1371314820,1
1371315180,1
1371315240,1
1371316200,1
1371316560,1
1371316740,1
1371317100,2
1371317580,1
1371318060,1
1371318120,1
1371318600,2
1371318840,1
1371319440,2
1371319620,2
1371320100,1
1371320220,1
1371320580,2
1371321180,1
1371321240,1
1371321300,1
1371321720,2
1371322140,1
1371322200,1
1371323400,1
1371323460,1
1371323640,1
1371323760,1
1371324060,1
1371325080,1
1371326220,2
1371328200,1
1371328440,2
1371328620,1
1371328680,1
1371328740,1
1371329040,6
1371330600,1
1371330660,1
1371330840,2
1371332340,2
1371332700,1
1371333540,1
1371333960,1
1371334080,4
1371334140,1
1371334260,1
1371334800,1
1371334860,2
1371335160,1
1371335400,1
1371337500,1
1371337860,1
1371337980,1
1371338100,1
1371338700,1
1371339120,1
1371342000,1
1371343800,1
1371343980,1
1371344580,2
1371344640,1
1371344760,2
1371344880,1
1371345000,1
1371345720,1
1371349560,1
1371350760,2
1371355620,2
1371356040,1
1371356160,1
1371356400,1
1371360000,1
1371360120,1
1371386280,1
1371388200,1
1371388560,2
1371396180,1
1371396540,2
1371400140,1
1371400380,2
1371402000,1
1371402120,2
1371402720,1
1371403320,1
1371404100,1
1371405300,2
1371405420,1
1371405600,1
1371406800,1
1371406980,1
1371407160,1
1371407940,1
1371409440,1
1371410340,1
1371412380,1
1371412500,1
1371412740,1
1371413760,2
1371414300,1
1371414420,2
1371414900,2
1371417060,1
1371417180,1
1371419640,2
1371420240,1
1371420360,1
1371424080,1
1371424140,1
1371425160,2
1371428640,1
1371429120,1
1371429360,2
1371430440,2
1371431640,2
1371434400,2
1371440820,1
1371468540,1
1371472200,4
1371474300,1
1371476880,1
1371482040,1
1371487560,1
1371490380,1
1371490860,1
1371492300,2
1371492360,1
1371495660,1
1371495900,1
1371499080,2
1371500160,2
1371501300,1
1371502200,2
1371502980,2
1371503040,2
1371503340,1
1371503820,1
1371504900,1
1371505440,1
1371505500,1
1371505680,1
1371505800,1
1371507060,1
1371507240,1
1371507660,1
1371508080,2
1371508620,1
1371508860,1
1371509520,1
1371510000,1
1371510540,1
1371511740,1
1371512400,1
1371512460,1
1371514800,1
1371518460,1
1371552600,1
1371554640,1
1371563340,2
1371564300,2
1371564360,1
1371564540,4
1371564720,2
1371564780,1
1371564840,2
1371566280,1
1371566760,1
1371568260,1
1371569460,1
1371570600,1
1371570780,1
1371571800,2
1371571920,1
1371571980,1
1371573420,1
1371573480,2
1371573720,2
1371575280,1
1371575880,1
1371576660,1
1371576960,1
1371577140,1
1371577920,1
1371580920,1
1371588600,1
1371589320,1
1371589500,1
1371589680,1
1371589740,1
1371590160,1
1371590940,1
1371591240,1
1371592800,1
1371594600,1
1371595980,1
1371596100,1
1371613440,1
1371621540,1
1371639060,1
1371642060,1
1371642900,1
1371643200,1
1371643380,1
1371643500,1
1371643560,2
1371643860,1
1371643920,1
1371643980,3
1371647100,1
1371648480,1
1371649680,1
1371650100,1
1371654540,1
1371656040,1
1371658020,1
1371661620,1
1371662340,2
1371665160,1
1371666600,1
1371672360,2
1371674400,1
1371675300,1
1371675480,1
1371675840,1
1371676020,2
1371676140,2
1371676440,1
1371676560,1
1371676860,3
1371677220,1
1371677400,1
1371678480,1
1371679080,1
1371679260,3
1371679620,1
1371680040,1
1371680220,1
1371680400,1
1371681300,1
1371681480,3
1371681900,1
1371682380,1
1371682560,1
1371682740,2
1371682980,1
1371683040,1
1371683520,1
1371683580,1
1371683820,1
1371685860,1
1371689040,1
1371692280,1
1371692940,1
1371694440,1
1371698340,1
1371698880,1
1371698940,1
1371699420,1
1371729600,1
1371731700,1
1371733680,1
1371737580,1
1371740760,1
1371743040,1
1371743640,1
1371743940,4
1371744120,2
1371744240,1
1371745140,1
1371745740,1
1371747480,1
1371747900,1
1371749100,1
1371749460,1
1371750360,1
1371757080,1
1371758580,1
1371758940,2
1371760080,1
1371760440,2
1371760620,1
1371761640,1
1371761760,1
1371762420,1
1371762780,1
1371762900,2
1371763920,3
1371764520,1
1371764700,2
1371765600,1
1371765720,2
1371766320,1
1371767100,1
1371767400,1
1371767880,2
1371768480,5
1371768600,2
1371769080,1
1371769260,1
1371769440,2
1371770160,1
1371771180,3
1371771780,1
1371771840,1
1371772740,1
1371773700,1
1371773760,1
1371774000,1
1371774300,1
1371774840,1
1371775260,1
1371775380,1
1371776880,1
1371778800,1
1371780840,1
1371783240,2
1371783840,1
1371784320,1
1371786840,1
1371812100,1
1371817620,1
1371824100,1
1371825120,1
1371829380,1
1371829740,1
1371830040,1
1371830220,1
1371830640,1
1371831480,1
1371831660,2
1371831780,1
1371833280,1
1371834660,1
1371835080,2
1371835440,1
1371835620,1
1371837960,1
1371838620,1
1371839160,3
1371840180,1
1371841020,1
1371841500,1
1371842040,1
1371842160,1
1371842280,1
1371843060,1
1371843240,1
1371843300,1
1371843660,1
1371843780,1
1371843960,1
1371844020,1
1371846060,1
1371846120,1
1371846420,1
1371846600,1
1371846960,1
1371847500,1
1371848040,1
1371848820,3
1371848940,1
1371849180,1
1371849360,1
1371849900,1
1371850140,1
1371850620,1
1371850680,1
1371851820,2
1371851940,1
1371852120,1
1371854340,1
1371854700,1
1371854760,2
1371855540,1
1371856260,1
1371856500,1
1371856860,2
1371859500,1
1371860100,1
1371860460,1
1371861120,1
1371861240,1
1371862680,1
1371862740,1
1371862860,1
1371864180,1
1371865380,1
1371865500,1
1371869400,1
1371869580,1
1371871020,1
1371871140,1
1371872580,1
1371873180,2
1371873720,1
1371873900,1
1371874140,1
1371874860,1
1371907320,2
1371907860,1
1371907980,1
1371911940,1
1371912600,2
1371916740,1
1371918120,1
1371919740,1
1371920820,1
1371920940,1
1371921240,1
1371921720,3
1371922260,1
1371922440,1
1371922740,1
1371922800,2
1371922920,2
1371923160,1
1371923520,1
1371923760,1
1371925200,2
1371926160,1
1371926640,1
1371927240,2
1371927600,2
1371927900,1
1371928140,2
1371928200,3
1371928440,1
1371928620,1
1371929340,1
1371929400,1
1371929580,1
1371930240,1
1371930540,2
1371930660,2
1371931020,1
1371931080,1
1371931800,1
1371931860,2
1371932820,1
1371933480,1
1371933600,1
1371933660,2
1371933720,1
1371934260,1
1371934980,2
1371935100,5
1371935340,1
1371935460,3
1371936180,3
1371936240,2
1371937680,1
1371937860,1
1371938040,1
1371938280,1
1371938460,1
1371938880,1
1371939240,2
1371939480,2
1371939840,1
1371940500,1
1371942780,1
1371942840,2
1371942900,1
1371943140,1
1371943200,2
1371944220,1
1371944280,4
1371944640,1
1371945780,2
1371946020,1
1371946320,1
1371946560,3
1371946680,1
1371947760,1
1371952020,2
1371952080,1
1371952200,2
1371952320,1
1371952560,1
1371952680,1
1371952800,1
1371957540,1
1371957900,1
1371958620,1
1371958680,1
1371958740,1
1371959100,1
1371959460,1
1371959640,1
1371959700,1
1371960240,1
1371960300,1
1371960600,1
1371968640,1
1371968700,1
1371989700,1
1371991620,2
1371993000,1
1371995700,1
1371998820,1
1371999120,1
1372002720,1
1372002840,3
1372003620,1
1372003680,1
1372005180,2
1372006200,2
1372007880,2
1372008360,1
1372010160,2
1372010460,1
1372010580,1
1372010640,2
1372010760,1
1372011720,1
1372012320,2
1372012680,1
1372012860,1
1372013520,1
1372014120,1
1372014300,1
1372014540,1
1372014660,2
1372015320,1
1372015440,1
1372015920,1
1372016400,3
1372016640,2
1372017240,2
1372017480,2
1372019220,2
1372019700,1
1372019940,1
1372020840,4
1372020900,3
1372021860,1
1372022100,2
1372022220,1
1372022340,3
1372022400,1
1372022460,1
1372022760,1
1372023120,1
1372023360,1
1372023420,2
1372023600,1
1372024140,2
1372024260,1
1372024560,1
1372024680,2
1372026360,1
1372026900,1
1372027860,1
1372028520,1
1372029420,2
1372029720,1
1372032180,1
1372033680,3
1372033800,1
1372034640,1
