datetime,departures
1371153120,1
1371164820,1
1371167580,1
1371207600,1
1371213780,1
1371223680,1
1371238260,1
1371258840,1
1371266520,1
1371267420,1
1371267540,1
1371267840,1
1371276960,1
1371296940,1
1371302880,1
1371308580,1
1371311940,1
1371312900,1
1371313920,1
1371316740,1
1371316860,1
1371317040,1
1371318600,1
1371320220,2
1371322200,1
1371322380,1
1371322620,1
1371324780,1
1371325140,1
1371326160,1
1371326220,1
1371328800,1
1371328920,1
1371329100,1
1371329640,1
1371331080,1
1371333720,1
1371336240,1
1371336960,1
1371338100,1
1371347520,2
1371347580,1
1371347760,3
1371348960,1
1371349560,1
1371350280,1
1371353580,1
1371355920,1
1371357120,1
1371362040,1
1371391560,1
1371396480,1
1371399960,1
1371400440,1
1371400860,1
1371400980,1
1371401400,1
1371403200,1
1371403560,1
1371405420,1
1371407460,1
1371407760,1
1371409740,1
1371425940,1
1371427620,1
1371439620,1
1371466920,1
1371470760,1
1371472500,1
1371474540,1
1371476520,1
1371478920,1
1371481200,1
1371481980,1
1371484080,1
1371498660,1
1371505620,2
1371510780,1
1371512040,1
1371529320,1
1371530280,1
1371553860,1
1371555360,1
1371555840,1
1371558000,1
1371559620,1
1371560820,1
1371560940,1
1371561720,1
1371562080,1
1371564720,1
1371576540,1
1371603660,1
1371615480,1
1371617100,4
1371617280,2
1371617460,2
1371617880,1
1371617940,1
1371618060,1
1371645720,1
1371645960,1
1371646320,1
1371647100,1
1371649260,2
1371655380,1
1371665220,1
1371669000,1
1371669240,1
1371672060,1
1371672960,1
1371673380,1
1371673680,1
1371677520,1
1371680280,1
1371681300,1
1371686400,2
1371690540,1
1371692580,1
1371698700,1
1371702300,1
1371726180,1
1371728880,1
1371731400,1
1371732720,1
1371733380,1
1371735300,1
1371736080,1
1371737580,1
1371743940,1
1371745920,1
1371751500,1
1371768600,1
1371769140,1
1371769440,1
1371771840,1
1371777240,1
1371789480,2
1371812460,1
1371816300,1
1371818520,2
1371818580,1
1371820020,1
1371824580,1
1371825540,1
1371826200,1
1371832920,1
1371839160,1
1371840480,1
1371842160,1
1371843060,1
1371853740,1
1371855420,1
1371856500,1
1371857040,1
1371857460,1
1371860880,1
1371862320,1
1371862560,1
1371865020,1
1371869880,2
1371872100,1
1371874860,1
1371875160,1
1371876960,1
1371905520,1
1371907320,1
1371907860,1
1371908040,2
1371908940,1
1371911280,1
1371912960,1
1371914460,1
1371916140,1
1371916560,1
1371917100,1
1371917400,1
1371917580,1
1371918900,1
1371920280,1
1371925020,1
1371925680,1
1371928740,1
1371933060,1
1371933120,1
1371933180,1
1371933420,1
1371939300,1
1371939840,1
1371940920,1
1371940980,1
1371941640,1
1371941700,1
1371943020,1
1371944760,1
1371947880,1
1371955080,1
1371976500,1
1371997320,1
1371999660,1
1372001940,1
1372002420,1
1372004520,1
1372005420,1
1372006620,1
1372008180,1
1372013340,1
1372013520,2
1372014480,1
1372018380,1
1372019100,1
1372019340,1
