datetime,departures
1376531340,1
1376569200,1
1376574780,1
1376580840,1
1376602320,1
1376603460,1
1376605440,1
1376605740,1
1376605860,1
1376606040,1
1376613900,1
1376614020,1
1376617440,1
1376661780,1
1376662200,1
1376662800,1
1376668620,1
1376678640,1
1376680440,1
1376686320,1
1376689080,1
1376690400,1
1376692320,1
1376718060,1
1376746620,2
1376748660,1
1376748900,2
1376751960,1
1376753520,1
1376755740,1
1376764680,1
1376766300,2
1376766600,1
1376766660,1
1376770260,3
1376780880,1
1376782020,1
1376789880,1
1376790480,1
1376824200,2
1376833320,1
1376836860,1
1376840940,1
1376844180,1
1376851680,1
1376854740,1
1376859540,1
1376861040,1
1376861100,1
1376867880,1
1376876940,1
1376878320,1
1376882520,1
1376885100,1
1376905620,1
1376912760,1
1376918940,1
1376935500,1
1376945400,1
1376952180,1
1376952780,1
1376953740,1
1376954700,1
1376993940,1
1377002640,1
1377004740,1
1377006480,1
1377008520,1
1377011700,1
1377024720,1
1377025920,1
1377029040,2
1377029160,2
1377034680,1
1377034800,1
1377055860,1
1377080580,1
1377085800,1
1377087720,1
1377089100,1
1377093360,1
1377100020,1
1377105840,1
1377112320,1
1377112440,1
1377117060,1
1377117420,1
1377123180,1
1377123300,1
1377124980,1
1377125520,1
1377127140,1
1377128640,1
1377129120,1
1377131580,1
1377135780,1
1377171720,1
1377175200,1
1377203400,1
1377204900,1
1377208380,1
1377209460,1
1377210300,1
1377210780,1
1377211740,1
1377212580,1
1377212820,1
1377213180,1
1377217500,1
1377222120,1
1377223140,1
1377227460,1
1377253080,1
1377262560,1
1377264300,1
1377264420,1
1377278400,1
1377284400,1
1377287700,1
1377296820,1
1377297480,1
1377299640,1
1377299700,1
1377300600,1
1377302340,1
1377303780,1
1377304920,1
1377315000,2
1377317820,1
1377318660,1
1377326040,1
1377326160,2
1377326280,4
1377326340,2
1377336480,1
1377336600,2
1377336660,1
1377352260,1
1377362040,1
1377362100,1
1377362460,1
1377365040,1
1377365820,1
1377374220,1
1377375900,1
1377375960,1
1377380280,1
1377381240,1
1377381840,1
1377382500,1
1377384120,1
1377385560,1
1377386760,1
1377389040,1
1377391380,1
1377394200,1
1377401160,1
1377414720,1
1377441600,1
1377442500,1
1377462540,1
1377462660,1
1377466260,1
1377471240,1
1377471900,1
1377476700,2
1377479580,1
1377481800,1
1377511740,1
1377512460,1
1377512580,1
1377514680,1
1377517500,1
1377523500,1
1377524100,1
1377524760,1
1377526920,1
1377531840,1
1377534360,1
1377537060,1
1377537660,1
1377538500,1
1377553260,1
1377554220,1
1377556440,1
1377556620,1
1377558600,1
1377563160,1
1377568740,1
1377599220,1
1377604440,1
1377604560,1
1377607320,1
1377608880,1
1377614280,1
1377625740,1
1377626340,1
1377629040,1
1377630840,1
1377632880,1
1377639480,1
1377641460,1
1377644460,1
1377644520,1
1377644940,1
1377647880,1
1377648420,1
1377648660,1
1377649320,1
1377650220,1
1377651900,1
1377651960,1
1377652620,1
1377653160,2
1377660540,2
1377670740,1
1377690540,1
1377693420,1
1377694740,1
1377695460,1
1377695700,1
1377698160,1
1377706080,1
1377708120,1
1377708840,1
1377721560,1
1377723360,1
1377725220,1
1377725940,1
1377726780,1
1377727500,1
1377728400,1
1377728820,4
1377728940,6
1377729060,8
1377729360,1
1377730740,1
1377730980,1
1377731340,1
1377731580,1
1377732360,2
1377732600,1
1377732840,1
1377733200,1
1377735060,1
1377735720,1
1377736320,1
1377736560,1
1377736680,1
1377737640,2
1377741300,1
1377747960,2
1377748080,1
1377772080,1
1377775260,1
1377776340,1
1377779280,1
1377781020,1
1377782400,1
1377782820,1
1377784500,1
1377789060,1
1377791220,1
1377793800,1
1377799980,1
1377800940,1
1377801360,1
1377801960,1
1377806100,2
