datetime,departures
1371155040,1
1371163380,1
1371164040,1
1371165660,1
1371171600,1
1371211020,1
1371218460,1
1371233280,1
1371246300,1
1371253680,1
1371253860,1
1371255180,1
1371257220,3
1371257520,1
1371258120,1
1371261480,1
1371261660,1
1371262500,1
1371263460,1
1371267900,2
1371268860,1
1371273660,1
1371276000,1
1371305220,1
1371308040,1
1371311280,1
1371311820,2
1371314280,1
1371314340,1
1371314520,1
1371314640,1
1371315300,2
1371316740,1
1371316920,1
1371317340,1
1371320700,1
1371321900,1
1371322380,2
1371322440,1
1371322620,1
1371323040,1
1371323820,2
1371329640,1
1371329700,1
1371331320,1
1371335160,1
1371335400,1
1371338940,1
1371343380,1
1371343800,2
1371347220,1
1371356160,1
1371360420,1
1371388260,1
1371391680,1
1371392460,1
1371394560,1
1371396120,1
1371396420,1
1371397080,1
1371397200,1
1371397320,1
1371398580,1
1371398880,1
1371399960,1
1371400500,1
1371403740,1
1371403860,1
1371403920,2
1371404040,1
1371405960,1
1371408120,1
1371408360,1
1371412440,1
1371412560,1
1371412680,1
1371413640,1
1371415740,2
1371416580,1
1371416640,1
1371418080,1
1371419280,1
1371421620,1
1371423240,1
1371423480,1
1371423840,1
1371424080,1
1371426480,1
1371430200,2
1371431880,1
1371432540,1
1371434160,1
1371435240,1
1371437580,1
1371468480,1
1371469800,1
1371471780,1
1371472200,1
1371477240,1
1371481620,1
1371484740,1
1371486060,1
1371491040,1
1371496080,1
1371496380,1
1371498960,1
1371502140,2
1371508140,1
1371511020,1
1371511380,1
1371514140,1
1371514980,1
1371516900,2
1371540780,6
1371540960,3
1371541140,3
1371545220,1
1371554040,1
1371554340,1
1371555900,1
1371556200,1
1371556740,1
1371559680,1
1371560400,1
1371560460,2
1371560700,1
1371561060,1
1371561420,1
1371561540,1
1371562140,1
1371565920,1
1371567180,1
1371568680,1
1371569520,1
1371573840,1
1371579660,1
1371582720,1
1371590100,1
1371590460,1
1371591540,1
1371597840,1
1371598560,1
1371606840,1
1371638100,1
1371642060,1
1371642660,1
1371644340,1
1371644820,1
1371645600,1
1371647220,1
1371647400,1
1371649440,1
1371650220,1
1371650640,2
1371656820,1
1371660000,1
1371666600,1
1371674040,1
1371676440,1
1371676500,1
1371676680,1
1371679080,1
1371682260,1
1371682320,1
1371684600,1
1371688800,1
1371693240,1
1371693480,1
1371693660,1
1371697620,1
1371698460,1
1371698700,1
1371702180,1
1371713520,2
1371713580,5
1371713640,2
1371724860,1
1371727740,1
1371727980,1
1371729180,1
1371729660,1
1371734940,1
1371735480,1
1371735660,1
1371737100,2
1371738060,1
1371738540,1
1371740040,1
1371741780,1
1371742980,1
1371746460,1
1371748980,1
1371749220,1
1371750540,1
1371750780,1
1371755940,1
1371757680,1
1371762480,1
1371763920,1
1371766320,1
1371773580,1
1371775920,3
1371778500,1
1371779160,2
1371780240,1
1371782880,1
1371783240,1
1371787680,1
1371788340,1
1371788460,1
1371792960,1
1371793620,1
1371813960,2
1371819960,2
1371820680,1
1371821220,1
1371824040,1
1371827880,1
1371832440,1
1371834300,1
1371834540,2
1371834660,1
1371836220,1
1371836340,1
1371839160,1
1371839400,1
1371848100,1
1371849480,1
1371850860,1
1371851820,1
1371854760,1
1371856440,1
1371856860,1
1371858120,1
1371860160,1
1371863340,1
1371866160,2
1371866460,1
1371871140,1
1371899160,1
1371903000,1
1371904020,1
1371906300,1
1371909300,1
1371909780,1
1371909900,1
1371911040,1
1371913260,1
1371913320,1
1371913740,1
1371915000,1
1371920520,2
1371921600,1
1371922080,1
1371923160,1
1371923520,1
1371924000,1
1371926160,1
1371927300,2
1371928020,1
1371928200,1
1371936060,1
1371936960,1
1371937680,1
1371938280,1
1371939180,1
1371939480,1
1371941220,1
1371941580,1
1371943200,1
1371943320,1
1371944520,1
1371945600,1
1371947640,1
1371947700,1
1371948240,2
1371949020,1
1371950280,1
1371952020,1
1371953100,1
1371972660,1
1371984000,1
1371994800,1
1371996600,1
1371997920,1
1371999120,1
1372001640,1
1372001940,1
1372002060,1
1372003500,1
1372004340,1
1372004460,1
1372006260,1
1372008000,1
1372008180,1
1372008840,1
1372011960,2
1372012080,1
1372013040,1
1372013520,1
1372014840,1
1372014900,1
1372015260,1
1372015320,1
1372015680,2
1372017900,1
1372018620,2
1372021200,1
1372021680,2
1372024320,1
1372024800,1
1372025220,1
1372026720,1
1372026840,1
1372026900,1
1372027140,1
1372027320,1
1372028760,1
1372029900,1
1372030320,1
1372031520,1
1372032240,1
1372032780,1
1372035180,1
1372037340,1
1372038780,1
1372038840,1
1372038960,1
1372039320,1
1372040340,1
1372041300,1
1372042860,1
1372050840,1
1372077780,1
1372078080,1
1372078620,1
1372079040,1
1372079160,1
1372079280,1
1372079820,1
1372079940,1
1372080300,1
1372083180,1
1372084440,1
1372088400,1
1372092240,1
1372094640,1
1372096020,1
1372104240,1
1372104300,1
1372105260,1
1372107180,1
1372110720,1
1372111800,1
1372113060,1
1372114140,1
1372114380,1
1372115340,1
1372116180,1
1372116960,1
1372118940,1
1372119240,1
1372119720,1
1372123560,1
1372124820,1
1372126740,1
1372127400,1
1372128720,1
1372133880,1
1372136220,1
1372158720,1
1372158960,1
1372159860,1
1372160100,1
1372161180,1
1372162680,1
1372162800,1
1372163760,1
1372163940,1
1372164120,1
1372164480,1
1372164600,1
1372165260,1
1372165920,1
1372166100,1
1372175160,1
1372175760,1
1372193580,1
1372194960,1
1372197960,1
1372198980,1
1372199220,1
1372200240,1
1372204920,1
1372205340,1
1372205400,2
1372205700,2
1372208340,1
1372209000,1
1372209720,1
1372210140,1
1372210800,1
1372211400,1
1372215960,1
1372217100,1
1372221000,1
1372231500,1
1372245840,1
1372247100,1
1372247520,1
1372248000,1
1372249620,1
1372250340,1
1372250460,1
1372251240,1
1372251660,1
1372252200,1
1372252740,1
1372252920,1
1372253100,1
1372255080,1
1372258020,2
1372258260,2
1372263660,1
1372265460,2
1372268340,1
1372281840,1
1372285080,1
1372287900,1
1372289340,1
1372290420,1
1372292340,2
1372293060,1
1372294020,1
1372294080,3
1372294140,1
1372294200,1
1372294260,1
1372294380,3
1372298340,1
1372300260,1
1372300800,1
1372302420,1
1372311540,1
1372325520,1
1372329180,1
1372334220,1
1372334400,1
1372334520,1
1372336800,2
1372337040,1
1372338540,2
1372338600,1
1372338960,1
1372339200,1
1372339740,1
1372343940,1
1372346520,1
1372347900,1
1372358100,1
1372374720,1
1372375320,1
1372378500,1
1372379700,1
1372382520,1
1372390680,1
1372395060,1
1372397940,1
1372417560,1
1372420860,1
1372421880,1
1372423860,1
1372424880,1
1372425360,1
1372425600,1
1372426320,2
1372428420,1
1372429560,1
1372433160,1
1372433760,1
1372434300,1
1372434480,1
1372438020,1
1372439100,1
1372442580,1
1372446900,1
1372451760,1
1372453860,1
1372454520,1
1372457820,1
1372460160,1
1372460700,2
1372463040,1
1372467240,1
1372473720,1
1372475340,1
1372477740,1
1372479300,1
1372479960,1
1372482240,1
1372484760,1
1372489620,1
1372509960,1
1372511400,1
1372512360,1
1372514160,1
1372519020,2
1372519440,1
1372520160,2
1372520460,2
1372520520,1
1372520580,2
1372520640,2
1372520760,2
1372520880,1
1372521120,1
1372521480,1
1372522140,1
1372522920,1
1372522980,2
1372523100,1
1372524840,1
1372525500,2
1372529400,1
1372529520,1
1372530960,1
1372531680,1
1372537140,3
1372540260,3
1372540800,1
1372543020,1
1372543380,1
1372543740,1
1372545960,1
1372548720,1
1372548780,1
1372549860,1
1372550820,1
1372551060,1
1372552140,1
1372553820,1
1372556760,1
1372558800,1
1372597440,1
1372602660,1
1372603500,1
1372603800,1
1372604520,1
1372605360,1
1372606020,1
1372606380,1
1372606620,1
1372608660,1
1372609320,1
1372614360,1
1372617120,1
1372619460,1
1372620180,1
1372622160,1
1372623060,1
1372625640,1
1372627140,1
1372627800,1
1372628460,1
1372628940,1
1372629180,1
1372630560,1
1372633260,1
1372633380,1
1372635180,1
1372638660,1
1372643520,1
1372647720,1
1372658220,1
1372667220,1
1372674540,1
1372681680,1
1372687020,1
1372695420,1
1372711860,1
1372718280,1
1372720200,1
1372724940,1
1372725840,1
1372727520,1
1372728120,2
1372729080,1
1372743180,1
1372761780,1
1372764360,2
1372767240,1
1372773720,7
1372777380,1
1372781940,1
1372782000,1
1372782420,1
1372788420,1
1372789200,1
1372790040,2
1372791600,1
1372799040,2
1372801260,1
1372801920,2
1372802340,1
1372803360,1
1372804680,1
1372805940,1
1372807320,2
1372807920,1
1372808520,1
1372811400,1
1372811520,1
1372817460,1
1372819620,1
1372821240,1
1372825440,1
1372840680,1
1372854120,5
1372854420,4
1372856820,2
1372858620,1
1372858800,1
1372861680,1
1372863660,1
1372868160,1
1372885320,1
1372887120,1
1372887720,1
1372888500,1
1372891920,1
1372898820,1
1372901220,1
1372903560,1
1372910160,1
1372911060,1
1372912260,1
1372914120,1
1372917360,1
1372918860,1
1372925220,1
1372951800,1
1372952040,1
1372954260,2
1372954920,1
1372955280,1
1372959000,1
1372959360,1
1372960560,2
1372961220,2
1372963020,1
1372963380,1
1372965300,1
1372966740,1
1372969080,1
1372969320,1
1372969440,1
1372969620,1
1372973940,1
1372976100,1
1372978320,1
1372978980,1
1372979040,1
1372979700,1
1372980000,2
1372980480,1
1372987020,1
1372987140,1
1372987200,1
1372987260,1
1372987440,1
1372987560,4
1372987680,2
1372987860,2
1372990200,1
1372990260,2
1372994040,1
1372994100,1
1372998720,1
1372999380,1
1373004600,1
1373010300,1
1373013000,1
1373026620,1
1373027640,1
1373036760,1
1373037060,1
1373038560,1
1373039880,1
1373044560,2
1373046780,2
1373050020,1
1373050200,1
1373053320,1
1373059920,1
1373062260,1
1373063040,1
1373066040,1
1373067780,1
1373072640,1
1373073060,1
1373075280,1
1373075400,1
1373080260,1
1373081460,1
1373083740,1
1373085120,1
1373085480,1
1373086080,2
1373091840,1
1373092260,1
1373097540,1
1373113380,1
1373125920,1
1373126340,1
1373127000,1
1373128440,1
1373128740,1
1373132880,1
1373133720,1
1373134320,1
1373140020,1
1373140860,1
1373142180,1
1373143500,1
1373143740,1
1373144160,1
1373144220,1
1373145540,1
1373145660,1
1373145960,2
1373148240,1
1373152740,1
1373153700,1
1373159880,1
1373160420,1
1373161200,1
1373164740,1
1373171280,1
1373208060,1
1373209020,1
1373212680,1
1373213160,1
1373213880,1
1373215860,1
1373220120,1
1373222880,1
1373225040,1
1373226300,1
1373232360,2
1373232780,1
1373233260,1
1373233620,1
1373234880,1
1373235480,1
1373236980,2
1373237340,1
1373237400,1
1373237580,1
1373238360,1
1373238720,1
1373239080,1
1373245440,2
1373246880,1
1373248920,1
1373249820,1
1373249940,1
1373250720,2
1373261700,1
1373262420,1
1373268600,1
1373271600,11
1373286960,1
1373289900,1
1373299800,1
1373304720,1
1373305140,1
1373313780,1
1373313840,1
1373327400,1
1373330880,1
1373331720,1
1373333520,1
1373334900,1
1373336100,1
1373362740,1
1373367060,1
1373367300,2
1373367600,1
1373367720,1
1373368260,1
1373370660,1
1373371200,1
1373372820,1
1373373600,1
1373375100,1
1373375880,1
1373375940,1
1373376420,1
1373376720,1
1373380920,1
1373381460,1
1373382900,1
1373384340,1
1373396460,1
1373410980,1
1373412480,1
1373412900,1
1373420220,1
1373421900,1
1373425440,1
1373425800,1
1373426040,1
1373438280,1
1373441040,1
1373445840,1
1373457240,1
1373463120,1
1373463240,1
1373463420,1
1373463600,1
1373464920,1
1373468100,1
1373468340,1
1373469420,1
1373473740,3
1373473800,3
1373473860,5
1373474640,1
1373485440,1
1373492400,1
1373498220,1
1373504100,1
1373506320,1
1373506500,1
1373508840,1
1373512320,1
1373514180,1
1373522520,1
1373532060,1
1373535600,1
1373543400,1
1373543940,1
1373545920,2
1373547600,1
1373548080,1
1373548200,1
1373549280,1
1373551500,1
1373552100,1
1373554080,1
1373556300,1
1373556840,1
1373558700,1
1373558820,1
1373563500,2
1373573760,1
1373576460,1
1373580900,1
1373584620,1
1373586660,1
1373592480,1
1373593260,1
1373594280,2
1373598720,1
1373602380,1
1373633700,1
1373635020,2
1373636820,2
1373637780,1
1373638080,1
1373646420,1
1373648640,1
1373652420,1
1373661180,1
1373670420,1
1373676480,19
1373679660,1
1373697540,1
1373720700,1
1373725920,1
1373726520,1
1373726580,1
1373727300,1
1373727420,1
1373728080,1
1373728200,1
1373728560,1
1373728680,1
1373731920,1
1373732160,1
1373733840,1
1373734800,1
1373734980,1
1373737680,1
1373737920,1
1373738640,1
1373739420,1
1373740860,2
1373741460,1
1373742780,1
1373742840,1
1373743140,1
1373744700,1
1373746680,1
1373746860,1
1373747400,1
1373748420,1
1373754180,2
1373754480,1
1373755080,1
1373755740,1
1373757120,1
1373757300,1
1373758620,1
1373759760,1
1373763420,1
1373763660,1
1373766120,1
1373770320,1
1373803920,1
1373811180,1
1373812440,1
1373814300,1
1373815260,1
1373815980,1
1373818020,2
1373818920,1
1373820420,1
1373822580,2
1373824080,1
1373825280,2
1373827260,1
1373827560,1
1373827860,1
1373829600,2
1373829720,2
1373834700,1
1373835180,1
1373835600,1
1373839500,1
1373841060,1
1373841840,2
1373842260,1
1373843400,1
1373843700,2
1373844420,1
1373844960,2
1373845140,1
1373845560,1
1373845800,1
1373845860,1
1373847360,1
1373848080,1
1373849220,1
1373850240,1
1373850300,1
1373850420,1
1373854020,1
1373854680,1
1373857020,1
1373870880,1
1373872980,1
1373877540,1
1373884980,1
1373888100,1
1373889000,1
1373889180,1
1373890080,1
1373891520,1
1373891700,2
1373892840,1
1373894460,1
1373894520,1
1373895900,1
1373898660,1
1373904600,1
