datetime,departures
1371152220,1
1371153840,1
1371157620,1
1371157980,1
1371158640,1
1371160380,1
1371160740,1
1371160920,1
1371162240,1
1371163140,1
1371163560,1
1371163800,1
1371163860,1
1371164220,1
1371164760,1
1371209760,1
1371210660,1
1371216660,1
1371217800,1
1371219900,1
1371220200,1
1371223320,1
1371223860,1
1371224040,1
1371226860,1
1371227700,1
1371231720,1
1371232260,2
1371234540,1
1371237180,1
1371239760,1
1371240180,1
1371240420,1
1371240660,1
1371241800,1
1371242940,1
1371244260,2
1371244740,1
1371248280,1
1371249120,1
1371249660,2
1371250680,1
1371251100,1
1371253200,1
1371255480,2
1371255840,1
1371257040,3
1371257220,2
1371257400,2
1371261840,1
1371264060,1
1371266340,1
1371272880,1
1371304200,1
1371306960,1
1371307440,1
1371309540,1
1371309600,1
1371310020,1
1371313020,1
1371313500,1
1371316740,1
1371317040,1
1371317880,1
1371318660,1
1371319020,2
1371319860,1
1371319920,1
1371320340,1
1371321120,2
1371321480,1
1371321540,1
1371322680,1
1371323400,2
1371323580,1
1371323640,1
1371323760,1
1371323940,1
1371324540,1
1371325800,1
1371325860,2
1371326460,1
1371327000,1
1371327300,1
1371328440,1
1371329400,1
1371330000,2
1371332100,1
1371332880,1
1371333180,1
1371333720,1
1371334080,1
1371334680,1
1371335400,2
1371335460,1
1371335640,1
1371336060,1
1371336480,1
1371339180,1
1371340020,1
1371340200,2
1371343440,1
1371345060,2
1371366360,1
1371378360,1
1371385560,2
1371391500,2
1371394080,1
1371397980,3
1371398340,1
1371398760,2
1371399900,1
1371400140,2
1371400500,1
1371401400,2
1371401760,2
1371402420,2
1371402720,1
1371403200,2
1371403560,2
1371403740,1
1371404400,1
1371406800,1
1371408180,1
1371411000,1
1371412020,1
1371412560,1
1371413040,2
1371413340,1
1371413760,1
1371413880,1
1371417480,1
1371420240,1
1371421320,2
1371421860,2
1371425520,1
1371425580,2
1371426060,2
1371426240,1
1371428040,1
1371430320,1
1371430680,3
1371433140,2
1371434640,1
1371437520,1
1371440520,1
1371451680,1
1371462720,1
1371468060,1
1371468540,1
1371469200,1
1371469380,1
1371471600,1
1371471780,1
1371473580,1
1371474420,1
1371476100,2
1371478800,1
1371479520,1
1371482760,1
1371482940,1
1371490140,1
1371490500,1
1371490860,1
1371491880,1
1371494880,1
1371495060,1
1371498000,2
1371499680,1
1371500400,1
1371500940,1
1371502980,1
1371503040,1
1371503940,1
1371504480,1
1371505500,1
1371506820,1
1371507360,1
1371507600,1
1371508200,1
1371508320,1
1371509160,1
1371510480,1
1371510780,1
1371510900,1
1371512220,1
1371512640,1
1371513060,1
1371514140,1
1371514500,2
1371515580,1
1371515640,1
1371519360,1
1371519960,1
1371533340,1
1371549540,1
1371555060,1
1371555900,2
1371558780,1
1371559920,1
1371560460,1
1371560580,1
1371560640,1
1371564420,1
1371565320,1
1371565680,1
1371569160,1
1371570780,1
1371571980,2
1371572700,1
1371576720,1
1371578580,1
1371578880,1
1371579000,1
1371580200,1
1371588600,1
1371593580,1
1371601740,1
1371602700,1
1371604020,1
1371614760,1
1371617040,1
1371639720,1
1371640080,1
1371642060,1
1371644880,1
1371646320,1
1371646440,1
1371647700,1
1371648720,1
1371649440,1
1371653400,2
1371655440,2
1371657060,1
1371659280,1
1371659460,1
1371660660,1
1371663000,1
1371663780,1
1371664500,1
1371664860,1
1371665820,1
1371666120,1
1371666900,1
1371669120,1
1371669240,1
1371669480,2
1371670380,1
1371670560,1
1371671940,2
1371672360,1
1371674280,1
1371674340,3
1371676020,1
1371676320,2
1371677040,1
1371677520,2
1371678480,1
1371678780,1
1371679080,1
1371679740,1
1371679980,1
1371680220,1
1371680280,1
1371682860,1
1371683340,1
1371683520,1
1371684060,2
1371684540,1
1371685740,2
1371685980,2
1371686520,1
1371688140,1
1371688200,2
1371688440,1
1371689280,1
1371689700,1
