datetime,departures
1373825700,1
1373829120,1
1373829240,1
1373829660,1
1373831700,1
1373836200,1
1373839020,1
1373840640,1
1373844300,1
1373850180,2
1373852580,1
1373854800,1
1373854920,1
1373899920,1
1373907600,1
1373907840,1
1373910840,1
1373912100,2
1373912280,1
1373912460,1
1373915760,1
1373916360,2
1373916780,1
1373919840,1
1373923020,1
1373923080,1
1373923260,1
1373923380,1
1373923740,1
1373924040,1
1373924520,1
1373925780,1
1373927340,1
1373927700,1
1373927760,1
1373928480,1
1373929380,1
1373930220,1
1373930400,1
1373930520,1
1373930700,1
1373930880,1
1373931540,1
1373932020,1
1373932440,1
1373932560,2
1373932680,3
1373932800,1
1373933040,2
1373933220,1
1373933280,1
1373933940,1
1373937060,1
1373937840,2
1373938920,1
1373975760,1
1373976540,1
1373976780,1
1373978160,1
1373980560,1
1373980920,1
1373985120,1
1373985240,1
1373986560,1
1373987280,1
1373987520,1
1373990160,1
1373990520,1
1373994780,1
1373995740,1
1373996940,1
1373997120,1
1373997240,2
1373998500,1
1373998920,1
1373999580,1
1374001620,1
1374001860,1
1374002100,1
1374002880,1
1374005580,1
1374006300,1
1374007800,1
1374007860,2
1374008280,1
1374009180,1
1374010980,1
1374011100,2
1374011340,1
1374011460,1
1374011820,1
1374012240,1
1374012420,2
1374012660,1
1374012840,1
1374012960,1
1374014100,1
1374014640,1
1374014880,2
1374015000,1
1374015120,1
1374015540,1
1374015600,2
1374015720,2
1374016080,1
1374016620,2
1374016920,1
1374018060,1
1374018840,1
1374019140,1
1374019320,1
1374019440,1
1374019620,1
1374019860,1
1374020160,1
1374020760,1
1374022140,1
1374022860,1
1374023340,1
1374023460,1
1374023700,1
1374028440,1
1374028800,1
1374029640,1
1374038700,1
1374062340,1
1374062880,1
1374064380,1
1374066000,1
1374066120,1
1374069240,1
1374072600,1
1374074160,1
1374076800,1
1374077220,1
1374078120,1
1374080220,1
1374081180,1
1374081360,2
1374083040,1
1374083700,1
1374084180,1
1374085260,1
1374086160,1
1374086220,1
1374086340,1
1374087240,1
1374087420,1
1374089100,1
1374091020,1
1374091980,1
1374092400,1
1374094200,1
1374094740,1
1374096780,1
1374097260,1
1374097620,2
1374098100,1
1374098340,1
1374098940,2
1374099240,1
1374099900,1
1374100260,1
1374100800,1
1374101040,1
1374101160,1
1374101340,1
1374101820,1
1374101880,2
1374102180,2
1374103320,1
1374104340,1
1374108420,1
1374112320,1
1374113820,1
1374114840,1
1374145080,1
1374148140,1
1374152520,1
1374154560,1
1374156720,1
1374156960,1
1374159240,1
1374161340,1
1374162240,1
1374166560,2
1374168660,1
1374170160,7
1374170220,6
1374170280,1
1374170400,1
1374170460,1
1374170580,2
1374170700,7
1374170760,1
1374171000,1
1374177120,1
1374190620,1
1374190980,1
1374191880,1
1374192120,1
1374192840,1
1374193020,1
1374194520,2
1374194640,1
1374195480,1
1374196260,1
1374196380,1
1374196860,3
1374200340,2
1374202740,1
1374203400,2
1374203580,1
1374203700,1
1374203820,1
1374204300,2
1374204420,1
1374206160,1
1374207600,1
1374207720,1
1374210240,1
1374233460,1
1374240360,1
1374240480,1
1374241500,1
1374241620,1
1374247080,1
1374248580,1
1374249660,1
1374249720,2
1374249900,2
1374250800,1
1374250920,1
1374253800,1
1374254100,1
1374255060,1
1374255600,1
1374255900,1
1374256560,1
1374257100,1
1374257820,1
1374258360,1
1374260940,1
1374262020,1
1374263820,1
1374264960,1
1374265080,1
1374265920,1
1374266460,1
1374267360,1
1374267420,1
1374268140,1
1374268680,1
1374269400,1
1374270840,3
1374271080,1
1374271200,1
1374271560,2
1374272040,1
1374272160,1
1374272640,1
1374272760,1
1374273180,1
1374273360,1
1374273660,4
1374273780,1
1374274500,1
1374274740,1
1374275880,1
1374276480,1
1374276720,1
1374277440,1
1374277560,1
1374278100,1
1374281280,1
1374281520,1
1374284520,1
1374289560,1
1374292440,1
1374293220,1
1374295080,1
1374300120,1
1374302580,1
1374330240,1
1374331320,1
1374332880,1
1374335340,1
1374337080,1
1374337500,1
1374337800,1
1374340020,1
1374340140,2
1374342360,1
1374342420,1
1374342540,1
1374342720,1
1374343140,1
1374343380,1
1374343680,1
1374343860,1
1374344580,1
1374345180,2
1374346440,1
1374348420,1
1374349500,1
1374350040,1
1374351360,1
1374352500,2
1374353820,2
1374354000,1
1374355500,1
1374355680,1
1374356100,2
1374356700,1
1374357840,2
1374358260,1
1374361740,2
1374362280,2
1374362460,1
1374362580,1
1374363240,1
1374368640,1
1374369540,2
1374370440,1
1374372480,1
1374375960,1
1374380220,1
1374382380,1
1374384540,1
1374387180,2
1374388980,1
1374391200,1
1374391320,1
1374391560,2
1374409200,1
1374414480,1
1374414780,1
1374418440,1
1374419280,1
1374419760,1
1374421080,1
1374424500,2
1374425040,2
1374426000,2
1374426060,2
1374426840,1
1374426960,1
1374427320,1
1374428460,1
1374430080,1
1374430200,2
1374432600,3
1374432720,1
1374433260,1
1374434040,1
1374435600,1
1374435840,1
1374436140,1
1374437400,1
1374437820,3
1374438000,1
1374438060,1
1374438600,2
1374440040,3
1374441420,2
1374441600,1
1374441720,2
1374441900,1
1374443400,1
1374443520,1
1374444540,2
1374444960,4
1374445620,2
1374445740,1
1374446160,1
1374446520,1
1374448680,1
1374450120,1
1374450360,1
1374450480,1
1374450900,1
1374451740,1
1374453240,1
1374453540,1
1374454440,3
1374459240,1
1374459900,1
1374460980,1
1374463200,1
1374471900,1
1374472020,2
1374473340,1
1374495540,2
1374497580,1
1374499260,1
1374499800,1
1374499920,2
1374501840,1
1374503700,1
1374503940,1
1374504120,1
1374505740,1
1374506100,1
1374508020,1
1374508860,1
1374509040,1
1374515280,1
1374515580,1
1374516000,1
1374516840,1
1374517140,1
1374518640,1
1374519120,1
1374520080,1
1374520740,1
1374521580,1
1374522300,1
1374522360,2
1374522900,1
1374523020,2
1374523380,1
1374523860,1
1374524940,1
1374525660,1
1374527580,4
1374528960,1
1374529920,1
1374530760,2
1374531000,1
1374531660,2
1374531900,1
1374532260,1
1374532620,1
1374532920,1
1374533400,1
1374533460,2
1374533820,1
1374533940,1
1374534420,1
1374535560,1
1374535920,1
1374536100,3
1374536580,1
1374538320,1
1374538740,2
1374539400,1
1374540120,1
1374540600,1
1374540960,2
1374543480,1
1374545700,1
1374547980,1
1374548340,2
1374551160,1
1374553440,1
1374582960,1
1374583080,2
1374583920,1
1374584700,1
1374584820,1
1374586500,1
1374591360,1
1374593880,1
1374594840,1
1374595380,1
1374596700,1
1374596820,1
1374597600,1
1374598200,1
1374598500,1
1374598800,1
1374599520,1
1374601740,1
1374605100,1
1374606120,1
1374606720,1
1374606840,1
1374607020,1
1374607140,2
1374607380,2
1374607500,3
1374607680,2
1374608160,1
1374608280,1
1374608580,1
1374609120,1
1374609240,2
1374609720,1
1374609960,1
1374610620,1
1374612060,1
1374612660,1
1374612900,1
1374613620,1
1374614280,2
1374615060,1
1374617160,1
1374617820,1
1374617940,1
1374618060,1
1374618420,1
1374618720,1
1374619020,3
1374619320,1
1374619560,1
1374619620,1
1374620520,1
1374620580,1
1374620880,1
1374621540,1
1374621660,1
1374622020,2
1374622380,1
1374622440,1
1374622560,1
1374623280,1
1374623460,2
1374625260,2
1374625500,4
1374625680,1
1374626220,1
1374626340,1
1374627480,1
1374627840,2
1374628020,1
1374628200,1
1374629100,2
1374629340,2
1374629700,1
1374630360,1
1374631200,1
1374631320,1
1374631440,1
1374631560,1
1374631800,1
1374632280,2
1374632460,2
1374633780,1
1374636240,1
1374636300,1
1374666780,1
1374667440,1
1374668880,1
1374671040,1
1374671520,2
1374673980,1
1374675900,1
1374683040,1
1374685560,1
1374686280,2
1374686880,1
1374687180,1
1374687780,1
1374689400,1
1374689640,1
1374689700,1
1374691080,2
1374691440,1
1374691800,1
1374691860,1
1374692160,1
1374693180,4
1374694380,1
1374695640,1
1374696240,3
1374696300,2
1374696360,2
1374697200,1
1374697260,1
1374697680,1
1374699300,1
1374700260,1
1374700680,1
1374700740,1
1374702000,1
1374702660,1
1374703320,1
1374703560,1
1374704100,2
1374704160,1
1374704340,1
1374704820,2
1374705060,1
1374705900,1
1374706080,1
1374706560,1
1374706680,1
1374707580,1
1374708660,1
1374709440,1
1374710340,1
1374710640,2
1374711000,1
1374711420,2
1374711840,2
1374712560,1
1374712680,1
1374712740,2
1374713820,1
1374714000,1
1374714240,2
1374715200,1
1374715440,1
1374715680,1
1374715800,1
1374715980,1
1374717360,1
1374717720,1
1374718920,1
1374719760,1
1374721140,1
1374721200,1
1374721500,1
1374722220,1
1374722280,1
1374723360,1
1374753960,1
1374755700,1
1374757020,1
1374757560,2
1374758880,1
1374759240,1
1374759660,1
1374761880,1
1374762660,1
1374765540,1
1374767940,1
1374769620,2
1374774000,2
1374774120,2
1374776520,1
1374777840,1
1374779520,1
1374779580,2
1374780600,1
1374782760,1
1374782880,1
1374784740,1
1374785520,1
1374786180,1
1374787080,1
1374787380,2
1374788040,1
1374788400,1
1374788520,1
1374788820,1
1374789300,1
1374789900,1
1374789960,3
1374790140,1
1374790560,1
1374791400,1
1374791520,1
1374791880,1
1374792120,1
1374792420,1
1374792540,1
1374792660,1
1374793680,2
1374794400,1
1374794640,1
1374795000,1
1374795360,1
1374795480,1
1374796560,1
1374798000,1
1374800040,2
