datetime,departures
1379194140,2
1379194200,1
1379194440,1
1379195220,1
1379195280,2
1379195460,2
1379195640,1
1379198280,1
1379199240,1
1379200140,1
1379201280,1
1379201580,1
1379204400,2
1379204880,1
1379207400,1
1379210940,1
1379211780,1
1379212680,1
1379214420,1
1379215680,2
1379217840,2
1379218680,1
1379224020,1
1379230020,1
1379230140,1
1379231940,1
1379248560,1
1379251860,1
1379252700,1
1379254200,1
1379254260,1
1379256900,1
1379257380,1
1379257560,1
1379257860,1
1379258700,1
1379258760,1
1379259180,1
1379261220,1
1379261460,1
1379261640,1
1379261880,1
1379262060,2
1379264460,1
1379266800,1
1379268180,1
1379268600,2
1379268960,1
1379270160,1
1379270280,1
1379270580,1
1379270700,1
1379270880,2
1379271120,1
1379271240,1
1379271780,2
1379271900,1
1379273580,1
1379274540,1
1379276640,1
1379276760,1
1379276880,2
1379279940,1
1379280600,2
1379281140,1
1379281200,1
1379282700,1
1379285460,1
1379285700,1
1379286000,1
1379287320,1
1379287620,1
1379289180,1
1379289600,2
1379290920,1
1379292060,1
1379292360,1
1379293980,1
1379294280,1
1379294880,2
1379295540,1
1379299620,1
1379299800,1
1379300520,1
1379305260,1
1379305380,1
1379334000,2
1379334600,1
1379337240,1
1379337360,1
1379339160,1
1379340120,1
1379340480,1
1379341080,1
1379342700,1
1379347380,1
1379348880,1
1379349900,1
1379351220,3
1379353080,1
1379353200,1
1379354820,1
1379355960,1
1379356200,1
1379356260,1
1379356500,2
1379357820,1
1379358180,1
1379358660,1
1379359440,1
1379361720,1
1379362800,2
1379362980,2
1379364120,1
1379366880,1
1379366940,1
1379367000,1
1379367420,2
1379368080,1
1379370720,1
1379371500,1
1379372100,1
1379372340,1
1379373900,1
1379375040,1
1379375820,1
1379376720,1
1379376960,1
1379377800,1
1379378040,1
1379380380,1
1379380440,1
1379380980,1
1379381160,1
1379381580,1
1379382000,1
1379383860,1
1379384580,1
1379385480,1
1379385540,1
1379395080,1
1379398440,1
1379416140,1
1379417400,1
1379418240,1
1379418600,1
1379419680,1
1379420460,2
1379420580,1
1379420880,1
1379421180,1
1379421780,1
1379422440,1
1379422920,1
1379422980,1
1379423220,1
1379423280,1
1379423880,1
1379424660,1
1379424960,1
1379425200,1
1379425320,2
1379425500,1
1379431200,1
1379431380,1
1379432280,1
