datetime,departures
1371152100,1
1371155220,1
1371155340,1
1371156900,1
1371159120,2
1371159360,2
1371159660,1
1371159900,1
1371160020,1
1371160680,2
1371160800,1
1371161160,1
1371161280,1
1371161820,1
1371162480,1
1371162540,1
1371162900,2
1371163140,1
1371164100,1
1371164400,1
1371201000,1
1371204660,1
1371208200,1
1371208740,1
1371214200,1
1371215220,1
1371217800,1
1371221220,1
1371221280,1
1371221400,1
1371223140,1
1371224100,1
1371224460,1
1371225120,1
1371227100,1
1371228120,2
1371228300,1
1371228540,1
1371229860,1
1371234300,1
1371234360,1
1371235860,1
1371236100,1
1371236700,1
1371237060,1
1371237360,1
1371237960,1
1371238140,2
1371238800,1
1371239100,1
1371239160,2
1371239460,1
1371240540,1
1371241620,1
1371241860,1
1371242100,1
1371242640,1
1371242760,1
1371242880,1
1371242940,1
1371243600,1
1371244140,2
1371244260,1
1371244380,1
1371244440,2
1371244680,2
1371244740,2
1371245880,1
1371246000,2
1371246660,1
1371246900,1
1371247140,1
1371247320,1
1371247440,2
1371247980,1
1371249900,1
1371250080,1
1371250680,2
1371251400,1
1371254280,1
1371258540,1
1371259080,2
1371260880,1
1371261660,1
1371262260,1
1371262500,1
1371266820,1
1371266880,1
1371295740,1
1371304020,1
1371304200,1
1371305340,1
1371306840,1
1371307080,1
1371307200,1
1371309960,2
1371310320,3
1371311340,1
1371311820,1
1371312900,1
1371312960,1
1371314220,2
1371314280,2
1371315840,1
1371316440,1
1371316560,1
1371317340,1
1371317520,1
1371318660,2
1371319320,1
1371320280,1
1371320580,1
1371321960,1
1371322380,1
1371322440,2
1371322680,1
1371322740,2
1371322800,1
1371323400,2
1371324180,1
1371324720,1
1371324780,1
1371325320,1
1371325440,1
1371325860,1
1371326580,1
1371326640,2
1371327060,1
1371327120,1
1371327900,1
1371329700,1
1371330180,2
1371330900,2
1371331320,1
1371331440,1
1371331500,2
1371331920,2
1371332040,1
1371332280,1
1371332460,2
1371332640,1
1371334440,2
1371334800,1
1371335280,1
1371335520,1
1371336000,1
1371336480,1
1371336600,1
1371336780,1
1371336900,1
1371337680,1
1371339540,3
1371340140,1
1371340320,1
1371342720,1
1371345540,1
1371347460,2
1371348360,1
1371350160,2
1371351000,1
1371352440,1
1371352560,1
1371354600,1
1371356700,1
1371359460,2
1371381720,1
1371382440,1
1371384900,1
1371387480,2
1371387840,1
1371387960,1
1371390600,1
1371392160,1
1371392580,2
1371393900,1
1371394200,1
1371394860,1
1371395880,1
1371396960,2
1371397440,1
1371398340,1
1371399240,1
1371399900,1
1371400080,1
1371400680,1
1371400980,2
1371401040,1
1371401940,1
1371402240,2
1371402420,1
1371402840,1
1371403320,1
1371404640,1
1371406260,1
1371407100,1
1371407460,2
1371407580,1
1371407700,1
1371409440,1
1371409620,1
1371409680,1
1371410640,1
1371411300,1
1371411480,2
1371412200,1
1371412260,1
1371412560,1
1371414180,1
1371415020,1
1371416580,1
1371417360,1
1371418320,1
1371418740,1
1371423240,1
1371424200,2
1371424260,1
1371424320,2
1371424380,1
1371424440,1
1371424800,1
1371424980,2
1371425520,1
1371426180,2
1371426540,1
1371427080,1
1371427680,1
1371428340,1
1371428520,1
1371429600,1
1371431040,1
1371431520,1
1371431700,1
1371431820,1
1371432240,1
1371432300,1
1371432480,1
1371433620,1
1371433980,1
1371436740,2
1371438360,1
1371440520,1
1371459660,1
1371460500,1
1371463140,1
1371468060,1
1371468120,1
1371470040,1
1371470640,1
1371471840,1
1371472140,1
1371472680,1
1371474960,1
1371475560,1
1371477480,1
1371483840,1
1371484380,1
1371485940,1
1371486240,1
1371490140,1
1371490260,1
1371492480,1
1371493320,1
1371494880,1
1371497880,1
1371498000,2
1371498120,1
1371498240,1
1371500940,1
1371501180,1
1371501300,1
1371502620,1
1371503100,1
1371503160,1
1371503580,2
1371503700,3
1371503880,1
1371503940,2
1371504060,1
1371504480,1
1371504600,2
1371505140,2
1371505200,2
1371505740,2
1371505800,1
1371505920,1
1371507660,1
1371507780,1
1371508980,1
1371509340,1
1371510360,1
