datetime,departures
1372803540,1
1372803720,1
1372805880,1
1372810680,1
1372846560,1
1372859580,1
1372862280,2
1372876620,1
1372876860,1
1372876920,1
1372877040,1
1372882680,1
1372884540,1
1372886820,2
1372887720,1
1372890360,1
1372893720,1
1372896360,1
1372901700,1
1372902600,1
1372902720,1
1372912440,1
1372950480,1
1372959780,1
1372963380,2
1372963680,1
1372963980,1
1372964520,1
1372966440,2
1372971480,1
1372989060,1
1372989660,2
1372989900,1
1372993200,1
1373023980,1
1373033880,1
1373038200,1
1373043180,1
1373043240,1
1373043600,1
1373043720,1
1373050620,1
1373051040,1
1373054040,1
1373059560,2
1373060640,1
1373071620,1
1373075100,1
1373080980,1
1373082180,1
1373082660,1
1373088480,1
1373114040,1
1373118120,1
1373123580,1
1373124840,1
1373129280,2
1373130720,1
1373132100,1
1373132160,1
1373132880,2
1373140500,3
1373141280,1
1373141340,1
1373146140,2
1373147400,1
1373154780,1
1373158920,1
1373200680,1
1373202660,1
1373227020,1
1373229240,1
1373230440,1
1373230500,1
1373234340,1
1373234880,1
1373235960,2
1373241480,1
1373244480,1
1373249700,1
1373253840,2
1373286600,1
1373288940,1
1373289900,1
1373290740,1
1373296080,1
1373309520,2
1373309700,1
1373310300,1
1373310780,1
1373314020,1
1373338500,1
1373364120,1
1373368620,1
1373376720,1
1373389080,1
1373399220,1
1373404680,1
1373407020,1
1373408580,1
1373451120,1
1373454900,1
1373463120,1
1373471460,2
1373471640,1
1373484660,1
1373490720,1
1373493420,1
1373497140,1
1373499240,1
1373499360,1
1373503320,1
1373509440,2
1373513760,1
1373518320,1
1373537100,1
1373549340,1
1373550480,1
1373551860,1
1373563560,1
1373573280,1
1373573760,1
1373583720,1
1373584920,2
1373598600,1
1373599140,1
1373599260,2
1373599560,2
1373599740,1
1373601720,1
1373624520,1
1373628480,1
1373634720,1
1373642340,1
1373643840,1
1373644020,1
1373644200,1
1373653380,1
1373656080,1
1373658000,1
1373658060,1
1373658240,2
1373658660,1
1373660040,1
1373674200,1
1373723220,1
1373735580,1
1373735640,1
1373735940,1
1373736120,1
1373741880,1
1373742780,2
1373742840,1
1373743560,1
1373744520,2
1373745960,2
1373746260,1
1373747100,2
1373750160,1
1373753400,1
1373757180,1
1373759820,1
1373759880,1
1373761080,1
1373761260,1
1373761380,1
1373761500,1
1373767860,2
1373770080,2
1373770200,2
1373803920,1
1373804400,1
1373809380,1
1373809800,1
1373809920,1
1373812740,1
1373815260,1
1373817720,1
1373817900,1
1373821740,1
1373825040,1
1373827260,1
1373827920,1
1373830260,1
1373833620,1
1373834820,1
1373835300,1
1373835420,1
1373835840,1
1373836680,1
1373839920,1
1373845680,1
1373846220,1
1373846880,1
1373848320,1
1373849220,1
1373850240,1
1373850420,1
1373879460,1
1373890380,3
1373890980,1
1373892960,1
1373894880,1
1373907600,1
1373916360,2
1373918460,1
1373918580,1
1373920980,2
1373925000,1
1373927160,1
1373928060,1
1373930100,1
1373930460,1
1373946420,1
1373966580,1
1373969820,1
1373977200,1
1373979540,1
1373995320,1
1374009720,1
1374012060,1
1374015840,1
1374025080,1
1374052500,1
1374059700,1
1374063180,1
1374066540,1
1374067020,2
1374068460,1
1374081840,1
1374085920,1
1374097860,1
1374101520,1
1374114420,2
1374116820,1
1374140400,1
1374149640,2
1374152520,2
1374154320,1
1374168600,1
1374168660,1
1374168900,1
1374190920,1
1374191580,1
1374199740,1
1374204780,1
1374228420,1
1374237600,1
1374237840,1
1374238920,1
1374243780,1
1374248640,1
1374265080,1
1374266040,1
1374269220,1
1374269400,1
1374276120,1
1374276480,1
1374279000,1
1374285420,2
1374320520,1
1374326760,1
1374330780,1
1374331380,1
1374334260,4
1374339660,2
1374340020,1
1374341280,1
1374342720,2
1374343140,2
1374343260,2
1374343680,1
1374346440,2
1374346560,2
1374346680,1
1374351240,2
1374351840,2
1374352140,2
1374358380,1
1374362940,1
1374363180,1
1374368340,1
1374368640,1
1374368880,1
1374369000,1
1374384960,1
1374410580,1
1374413100,2
1374421920,1
1374422400,1
1374423780,1
1374424140,3
1374425520,2
1374425820,1
1374426720,2
1374428760,2
1374430080,1
1374430140,1
1374431220,1
1374431460,2
1374431820,3
1374433500,1
1374434220,1
1374438360,2
1374438480,1
1374439200,2
1374440040,2
1374440280,1
1374440400,1
1374442560,1
1374442800,1
1374442920,3
1374443940,2
1374444060,1
1374444180,1
1374444240,1
1374450480,1
1374452400,2
1374452520,2
1374452640,1
1374464100,2
1374484260,1
1374497580,1
1374499380,1
1374512400,1
1374516240,1
1374516600,1
1374516780,1
1374522000,1
1374523200,1
