datetime,departures
1371160380,1
1371196380,1
1371202380,1
1371213840,1
1371237180,1
1371237300,1
1371243660,1
1371245040,1
1371245100,1
1371248880,1
1371257400,2
1371270540,1
1371303480,1
1371304860,1
1371304980,1
1371305040,1
1371393600,1
1371401160,2
1371402240,1
1371405120,1
1371405960,2
1371407340,2
1371412860,3
1371419100,1
1371419160,1
1371419640,1
1371420180,1
1371427680,2
1371428160,1
1371428400,1
1371429180,1
1371429360,1
1371430680,1
1371440400,2
1371440460,6
1371441000,1
1371476820,1
1371477420,1
1371491280,1
1371508620,1
1371560820,1
1371574680,2
1371574740,8
1371574860,1
1371646620,1
1371647520,1
1371647640,1
1371649260,1
1371653400,1
1371657480,1
1371663900,1
1371683040,1
1371687780,1
1371698220,2
1371734100,1
1371735840,2
1371736800,2
1371736980,1
1371739140,1
1371740100,1
1371740460,1
1371769440,1
1371769500,1
1371769620,1
1371773700,1
1371776340,1
1371776460,1
1371778980,1
1371784500,1
1371785880,1
1371786360,1
1371786960,1
1371814740,1
1371816180,1
1371817740,1
1371819960,1
1371821340,1
1371842580,1
1371849720,1
1371850380,1
1371853260,1
1371853500,1
1371854100,1
1371854280,1
1371856740,1
1371858000,1
1371863160,1
1371902760,1
1371903180,1
1371904560,1
1371915240,1
1371918060,1
1371920040,2
1371921000,2
1371922320,1
1371922560,1
1371924480,1
1371929700,1
1371931020,1
1371932520,2
1371933060,1
1371933120,1
1371938160,1
1371939960,1
1371940320,2
1371941700,2
1371947460,1
1371948000,1
1371948120,1
1371953280,1
1371954240,1
1371955740,2
1371964320,1
1371964500,1
1371964920,1
1371965040,1
1371967560,1
1371974880,1
1371995340,2
1371997560,1
1371999180,1
1371999900,1
1372000380,1
1372001880,1
1372003020,1
1372004820,3
1372005420,1
1372007220,1
1372007280,1
1372008240,1
1372008840,1
1372009980,1
1372011000,2
1372012260,1
1372012320,1
1372014180,1
1372015920,1
1372016040,1
1372024740,1
1372025460,1
1372025760,1
1372028040,1
1372028160,1
1372028640,1
1372030860,1
1372031220,1
1372038960,1
1372045500,1
1372060080,4
1372072320,1
1372076940,1
1372081440,1
1372095720,1
1372096320,1
1372096380,1
1372107660,1
1372108740,1
1372118220,1
1372128540,1
1372128660,2
1372128840,1
1372160880,1
1372164120,1
1372166940,1
1372167660,1
1372177680,2
1372179840,1
1372179960,1
1372198320,1
1372203840,1
1372205160,1
1372206600,2
1372208280,1
1372209960,2
1372215900,1
1372218060,1
1372219140,1
1372219560,1
1372243080,1
1372251240,1
1372252080,1
1372252680,1
1372252800,1
1372253460,1
1372259580,1
1372259820,1
1372262580,1
1372266600,1
1372270380,1
1372273560,1
1372273680,1
1372278240,1
1372288800,1
1372292520,1
1372302840,1
1372303080,1
1372303560,1
1372304160,2
1372304220,1
1372306260,1
1372306620,1
1372333080,1
1372336320,1
1372337760,1
1372338000,1
1372338660,1
1372339200,1
1372339380,1
1372339560,1
1372342680,1
1372345140,1
1372349100,1
1372364100,1
1372370400,2
1372375140,1
1372378140,1
1372379220,1
1372400760,1
1372418460,1
1372418820,2
1372420920,1
1372427580,1
1372439760,1
1372440240,1
1372444020,1
1372450260,1
1372451640,1
1372451820,1
1372453140,1
1372453860,1
1372456320,1
1372456860,1
1372458300,1
1372459080,1
1372460460,1
1372467240,1
1372475760,1
1372497480,1
1372511460,1
1372511580,1
1372511940,1
1372513620,2
1372515300,3
1372515480,1
1372524420,1
1372524960,1
1372528200,2
1372530720,1
1372535340,1
1372542840,1
1372545960,1
1372546860,1
1372548780,1
1372548840,2
1372551180,1
1372551300,1
1372553940,1
1372561980,1
1372564980,1
1372598280,1
1372598340,1
1372609320,2
1372612500,1
1372614720,1
1372615440,1
1372617540,1
1372617720,1
1372629420,1
1372631820,1
1372633200,1
1372633260,1
1372633860,1
1372636380,2
1372638000,1
1372638540,2
1372640160,2
1372647720,2
1372679640,1
1372687020,1
1372700580,1
1372703160,1
1372720200,1
1372720620,1
1372730940,1
1372731000,1
1372731720,1
1372734660,2
1372773720,1
1372776540,1
1372784640,1
1372784700,1
1372785780,1
1372792740,1
1372801740,1
1372805880,1
1372806960,1
1372807320,1
1372807620,1
1372809240,2
1372809300,1
1372818840,1
1372856520,1
1372860180,1
1372864080,1
1372866840,1
1372867860,1
1372876440,1
1372885560,1
1372887480,1
1372889160,1
1372889640,1
1372898700,1
1372899060,1
1372902300,1
1372916400,1
1372948860,1
1372954500,1
1372954620,1
1372955880,1
1372956480,1
1372957020,1
1372957200,1
1372962900,2
1372969320,1
1372970280,1
1372978620,6
1372978800,1
1372978920,2
1372978980,3
1372980480,1
1372980900,1
1372990260,1
1372993020,1
1372994820,3
1372994940,4
1372995120,1
1372995720,1
1372996860,1
1373015280,1
1373025900,1
1373027640,1
1373033700,1
1373035140,1
1373039340,1
1373040720,1
1373046780,1
1373046840,1
1373047440,1
1373049180,1
1373049360,1
1373049540,1
1373055060,1
1373055180,1
1373058360,2
1373062740,1
1373071500,1
1373079600,1
1373079720,1
1373081280,1
1373083380,1
1373111400,1
1373111520,1
1373119140,1
1373123940,1
1373124480,1
1373125020,1
1373125200,2
1373127900,1
1373131020,4
1373135400,1
1373135820,2
1373144340,1
1373144520,1
1373145360,2
1373145540,1
1373145960,1
1373149680,1
1373149740,1
1373150880,2
1373152440,1
1373153940,1
1373154600,1
1373157900,1
1373158740,1
1373162520,2
1373165400,1
1373165580,1
1373166540,1
1373170620,1
1373170800,1
1373201580,1
1373204700,2
1373207640,2
1373208180,1
1373210160,1
1373215740,1
1373216400,2
1373235720,1
1373236980,1
1373239740,1
