datetime,departures
1371152220,1
1371152760,1
1371157740,1
1371158880,1
1371159120,2
1371160140,1
1371161340,1
1371162780,1
1371163200,1
1371163680,1
1371164940,1
1371165060,1
1371169920,1
1371173520,1
1371205980,1
1371211740,1
1371213060,1
1371214860,1
1371215580,1
1371217020,1
1371218220,1
1371219180,2
1371219240,1
1371219480,1
1371219840,1
1371223200,1
1371223980,2
1371224820,1
1371225600,1
1371226320,1
1371228420,1
1371229620,1
1371231240,1
1371231360,2
1371232080,1
1371232200,1
1371232680,1
1371232860,1
1371233460,1
1371233640,1
1371234660,1
1371237780,1
1371239400,1
1371242220,1
1371242460,2
1371243600,1
1371244740,1
1371245160,1
1371246360,1
1371246600,1
1371246900,1
1371246960,1
1371248040,1
1371248160,1
1371248400,2
1371250140,1
1371250740,1
1371251220,1
1371251520,1
1371252900,2
1371254640,1
1371254760,1
1371255900,1
1371256920,1
1371257700,1
1371257880,3
1371258660,1
1371258780,1
1371258960,1
1371259380,1
1371260280,1
1371260340,1
1371261600,1
1371262500,2
1371262740,1
1371263340,1
1371263700,2
1371265380,1
1371271740,1
1371274800,1
1371277500,1
1371277680,1
1371279420,1
1371284280,1
1371284460,1
1371295320,1
1371296940,1
1371304380,1
1371305400,1
1371305700,1
1371305820,1
1371310080,1
1371311400,1
1371312240,1
1371312720,1
1371313260,2
1371313980,1
1371315060,1
1371315180,1
1371315240,1
1371318600,1
1371318660,1
1371318840,1
1371318960,1
1371319320,1
1371319380,1
1371319680,1
1371320220,2
1371320460,2
1371321840,1
1371322140,1
1371322260,1
1371323700,1
1371324480,1
1371325020,1
1371325320,1
1371325380,1
1371327120,1
1371327180,2
1371327840,1
1371328620,1
1371330300,1
1371330360,2
1371331320,1
1371332580,1
1371333120,1
1371333360,1
1371333420,1
1371333960,1
1371335940,1
1371336540,1
1371336720,2
1371336900,1
1371337140,1
1371337380,1
1371337680,2
1371339600,1
1371340680,1
1371342000,1
1371342600,1
1371344340,1
1371345600,2
1371345720,2
1371345840,1
1371345900,1
1371347460,1
1371349980,1
1371352620,2
1371354720,1
1371354840,2
1371355260,1
1371355320,1
1371356520,1
1371357600,1
1371357900,1
1371357960,1
1371360120,4
1371360180,1
1371362760,1
1371363720,1
1371363780,1
1371363840,1
1371363900,2
1371389880,1
1371390060,1
1371391560,1
1371393780,1
1371394020,1
1371394080,1
1371396300,1
1371396840,1
1371396960,1
1371397320,1
1371397500,1
1371397680,1
1371398280,1
1371399060,1
1371400320,1
1371400860,2
1371400980,1
1371401700,1
1371401760,1
1371403020,1
1371405120,1
1371405960,1
1371406140,1
1371406440,2
1371406860,1
1371406980,1
1371407160,1
1371407580,1
1371407640,1
1371407880,1
1371409980,1
1371417060,1
1371417780,1
1371418080,1
1371418140,1
1371418200,1
1371418440,2
1371419160,2
1371419820,2
1371421320,1
1371422520,1
1371423300,1
1371423600,1
1371425040,1
1371425460,1
1371426360,1
1371429120,1
1371432780,1
1371437280,1
1371440280,2
1371442140,1
1371465120,1
1371468840,1
1371468960,1
1371469980,1
1371470160,1
1371470220,1
1371470460,1
1371471240,1
1371472320,1
1371473220,1
1371473580,1
1371474840,1
1371477960,1
1371479100,1
1371482460,1
1371483300,1
1371485700,1
1371488460,1
1371490740,2
1371491640,1
1371492300,1
1371493080,1
1371493320,1
1371494220,1
1371494940,1
1371495360,1
1371495780,1
1371499680,2
1371500400,1
1371501480,1
1371502440,2
1371503940,2
1371504600,1
1371504840,1
1371505020,1
1371506580,1
1371506700,1
1371507240,1
1371508380,1
1371508440,1
1371509220,1
1371510000,1
1371510600,1
1371512100,2
1371513240,1
1371513360,1
1371513420,1
1371513840,1
1371514440,1
1371514680,1
1371518040,2
1371518100,2
1371518400,1
1371519480,1
1371521820,1
1371522420,1
1371522600,1
1371523260,2
1371524280,1
1371527520,1
1371532440,1
1371534720,1
1371542940,1
1371551280,1
1371554940,1
1371558000,1
1371558600,1
1371559920,1
1371560280,3
1371560400,1
1371560640,1
1371561060,1
1371562680,1
1371562740,1
1371563880,1
1371566220,1
1371566940,1
1371567300,2
1371568200,1
1371569940,1
1371570480,1
1371574260,1
1371574440,1
1371576120,1
1371577320,2
1371577560,1
1371577620,1
1371578220,1
1371579180,1
1371580800,1
1371581880,1
1371582180,1
1371583560,1
1371584580,1
1371585840,1
1371590460,1
1371591540,2
1371593160,1
1371598200,1
1371598980,1
1371600180,1
1371604920,1
1371606300,1
1371606540,1
1371610620,1
1371611880,1
1371613200,1
1371613980,1
1371616020,1
1371618360,7
1371618420,4
1371618840,3
1371619620,1
1371637920,1
1371638520,1
1371638640,1
1371639720,1
1371641820,1
1371643980,1
1371644400,1
1371644640,1
1371647040,1
1371647100,1
1371648240,2
1371650580,2
1371651060,2
1371651120,1
1371651840,1
1371656280,1
1371658980,1
1371660120,2
1371661860,1
1371662820,1
1371663180,1
1371663660,1
1371664260,1
1371664320,1
1371664380,1
1371665580,1
1371666480,1
1371667800,2
1371668580,1
1371669300,1
1371669480,1
1371670080,1
1371670200,1
1371670740,1
1371671580,1
1371671640,1
1371671820,1
1371673200,1
1371674220,1
1371674820,1
1371675840,1
1371676560,1
1371677880,2
1371679680,1
1371681120,3
1371681180,1
1371681600,1
1371681720,1
1371682080,1
1371682260,1
1371682740,1
1371684240,1
1371684900,2
1371685080,2
1371687360,1
1371687900,1
1371688080,2
1371688140,1
1371689760,1
1371690420,1
1371690780,1
1371691140,1
1371693120,1
1371694260,1
1371695160,2
1371695700,1
1371696900,1
1371698640,1
1371698940,1
1371699600,1
1371700680,1
1371704880,1
1371705780,1
1371705900,1
1371706020,1
1371708420,1
1371708780,1
1371724860,4
1371727080,1
1371728040,1
1371729600,1
1371729660,1
1371729780,1
1371731580,1
1371731640,1
1371732000,2
1371732720,1
1371732960,1
1371734460,2
1371736140,1
1371736260,1
1371737520,1
1371738900,1
1371739740,1
1371741000,1
1371741060,1
1371743040,1
1371743580,1
1371743760,1
1371745140,1
1371745200,1
1371745860,1
1371745920,1
1371746820,1
1371748800,1
1371749640,1
1371751500,1
1371753420,1
1371754920,1
1371755220,1
1371755880,1
1371755940,1
1371756240,1
1371756300,1
1371756900,1
1371757080,1
1371758400,1
1371758640,1
1371759360,1
1371759960,1
1371764340,1
1371764520,1
1371764940,1
1371765540,1
1371766080,1
1371766140,1
1371766440,1
1371767820,2
1371768180,1
1371770340,1
1371770760,1
1371771000,1
1371771600,1
1371771840,2
1371771960,1
1371772320,1
1371772500,1
1371772740,1
1371772860,1
1371772980,1
1371773100,1
1371773580,1
1371774060,1
1371774660,1
1371775620,1
1371775680,1
1371776640,1
1371776880,1
1371777060,1
1371777840,1
1371777900,1
1371779160,1
1371779280,1
1371780420,1
1371780840,1
1371781980,1
1371782460,1
1371783480,1
1371783960,1
1371787080,1
1371787800,1
1371787920,1
1371790020,1
1371790080,1
1371794820,1
1371799920,1
1371810120,2
1371811380,1
1371813060,1
1371815760,1
1371816900,1
1371817620,1
1371818100,1
1371819960,1
1371820500,1
1371820620,1
1371821220,1
1371821460,1
1371822840,1
1371823080,1
1371824040,1
1371825540,1
1371825840,1
1371827100,1
1371828360,1
1371828840,1
1371829200,2
1371830400,1
1371830940,1
1371831360,1
1371831600,1
1371831780,1
1371831840,1
1371832320,1
1371832860,1
1371834660,1
1371834900,1
1371836100,1
1371837000,1
1371837420,1
1371837960,1
1371838080,1
1371838500,1
1371839340,1
1371839580,1
1371841200,1
1371841620,1
1371841740,2
1371842160,1
1371842280,1
1371842700,1
1371843840,1
1371846000,1
1371846060,1
1371848100,1
1371848220,2
1371850140,1
1371850380,1
1371850920,1
1371852120,1
1371853260,1
1371853860,1
1371854280,1
1371854700,2
1371855120,1
1371856740,1
1371857040,1
1371857460,1
1371858780,2
1371859020,1
1371860880,1
1371861660,1
1371862200,1
1371863340,1
1371864300,1
1371864480,1
1371864720,1
1371864960,1
1371865320,2
1371865500,1
1371866460,1
1371868800,1
1371869520,1
1371869820,1
1371869880,1
1371870000,1
1371870480,1
1371870600,1
1371870960,1
1371871200,1
1371872940,2
1371873900,1
1371874140,1
1371876300,1
1371876540,1
1371877380,1
1371877740,1
1371878700,1
1371879480,1
1371879540,1
1371880860,1
1371902400,1
1371902460,1
1371903120,1
1371903600,1
1371904200,1
1371904320,1
1371905160,2
1371905220,1
1371906060,1
1371906240,1
1371909000,1
1371909240,1
1371910440,1
1371911820,1
1371913320,1
1371913560,1
1371914700,1
1371914940,1
1371915120,2
1371915540,1
1371916440,1
1371916800,1
1371917880,1
1371918000,1
1371918480,1
1371920040,2
1371920340,1
1371920640,1
1371920880,1
1371921240,1
1371921360,3
1371921900,1
1371922080,1
1371922560,1
1371923460,3
1371923820,1
1371924720,1
1371926040,1
1371926220,1
1371927120,1
1371927300,1
1371927540,2
1371927840,1
1371928680,1
1371928800,1
1371929220,1
1371929280,1
1371929700,2
1371930060,1
1371930300,1
1371930780,1
1371931020,1
1371931380,2
1371931800,3
1371932040,1
1371932640,1
1371932880,1
1371933120,1
1371934020,1
1371934860,1
1371934980,2
1371935040,2
1371935340,2
1371936060,1
1371936240,1
1371936300,1
1371936480,1
1371937980,3
1371938100,1
1371938280,1
1371938340,1
1371938880,1
1371939120,2
1371939720,3
1371939780,4
1371939960,1
1371940020,1
1371940980,1
1371941040,1
1371941280,1
1371941820,1
1371942720,2
1371942780,2
1371943860,2
1371944040,3
1371944400,1
1371944880,1
1371946560,2
1371947940,1
1371949140,1
1371949200,1
1371949500,1
1371949560,2
1371950040,1
1371951240,1
1371951540,1
1371953280,2
1371953400,2
1371954540,1
1371955560,2
1371956700,1
1371956760,1
