datetime,departures
1371163680,1
1371168360,1
1371206940,1
1371209580,1
1371211080,1
1371214560,1
1371214860,1
1371215100,1
1371215220,1
1371215700,1
1371216480,1
1371217320,1
1371228420,1
1371228600,1
1371231720,1
1371236460,1
1371236700,2
1371248160,1
1371248400,1
1371248880,1
1371249660,1
1371250500,1
1371253860,1
1371254280,1
1371257640,2
1371262200,1
1371266760,1
1371266880,1
1371302160,1
1371303660,1
1371306480,1
1371315480,1
1371315900,3
1371316020,1
1371316620,1
1371318000,1
1371318600,1
1371320940,1
1371323220,1
1371325080,1
1371325140,1
1371325500,2
1371326100,1
1371329040,1
1371330480,1
1371330660,1
1371332520,2
1371333780,1
1371334080,2
1371337260,1
1371338580,1
1371341880,1
1371345840,1
1371348900,1
1371351900,1
1371354060,1
1371393960,1
1371396240,2
1371396600,1
1371398220,1
1371398760,1
1371399240,1
1371400380,2
1371401820,1
1371403320,2
1371404100,1
1371405180,1
1371405600,1
1371408000,1
1371413160,1
1371415680,1
1371424980,1
1371425040,1
1371425460,1
1371426540,1
1371439740,1
1371465780,1
1371482340,1
1371489540,1
1371495060,1
1371508680,1
1371509580,1
1371509700,1
1371512400,1
1371516840,1
1371522240,1
1371524940,1
1371531960,1
1371532020,1
1371532080,1
1371532200,1
1371532380,1
1371532440,1
1371532560,2
1371532620,1
1371532740,1
1371532860,1
1371532920,1
1371534300,1
1371552000,1
1371556200,1
1371559020,1
1371561960,1
1371562680,1
1371567600,1
1371570720,1
1371577980,1
1371578160,1
1371580920,1
1371585240,2
1371585780,2
1371594360,1
1371595560,1
1371596940,1
1371602640,1
1371606780,1
1371615540,1
1371616560,1
1371642840,1
1371644220,1
1371644340,1
1371647520,1
1371649800,1
1371669960,1
1371671640,1
1371672720,1
1371678480,1
1371680700,1
1371684240,1
1371694260,1
1371724860,1
1371724920,1
1371729120,1
1371729660,1
1371732180,1
1371732960,1
1371735180,1
1371740820,1
1371745860,2
1371749640,1
1371758340,1
1371765540,1
1371772500,1
1371776880,1
1371781140,1
1371812220,1
1371816360,1
1371816900,1
1371817620,1
1371819960,2
1371820260,1
1371824520,1
1371824580,1
1371825840,1
1371828180,1
1371832020,1
1371837540,1
1371848040,1
1371853260,1
1371854880,1
1371859500,1
1371861060,1
1371861120,1
1371861300,1
1371869280,1
1371869520,1
1371869700,1
1371869820,1
1371872820,1
1371881520,1
1371906960,1
1371907740,1
1371908640,1
1371910020,1
1371911040,2
1371914460,1
1371916080,1
1371916740,1
1371918180,1
1371919200,1
1371919740,1
1371920040,1
1371920280,1
1371927540,1
1371928500,2
1371929460,1
1371929700,1
1371930000,1
1371930180,1
1371930420,1
1371934740,1
1371939480,1
1371945480,2
1371945540,1
1371945600,1
1371950820,1
1371962880,1
1371964800,1
1371967860,2
1371998820,1
1372001640,1
1372001760,1
1372002960,1
1372003080,2
1372003320,1
1372003500,1
1372007580,1
1372007640,2
1372008840,1
1372009500,2
1372013460,1
1372024380,1
1372026180,1
1372026720,1
1372030320,1
1372030680,1
1372033800,1
1372040220,2
1372042920,1
1372070820,1
1372073340,1
1372075260,2
1372075380,1
1372077780,1
1372083840,1
1372086900,2
1372092720,1
1372108200,1
1372110180,1
1372111140,1
1372113300,1
1372115700,1
1372116120,1
1372116300,1
1372117920,1
1372156920,1
1372162560,1
1372164660,1
1372164900,1
1372166880,1
1372169820,1
1372170420,1
1372178820,1
1372186860,1
1372196640,1
1372196760,1
1372197780,1
1372199040,1
1372199400,1
1372199760,1
1372208280,1
1372242600,1
1372243440,1
1372250100,1
1372250580,1
1372251960,1
1372257060,1
1372258440,1
1372259640,1
1372267020,1
1372269720,1
1372272420,1
1372279860,1
1372284240,1
1372285980,1
1372291020,1
1372295340,1
1372302180,1
1372309620,1
1372325520,1
1372329780,1
1372342680,1
1372345500,1
1372366260,1
1372370580,1
1372375140,1
1372377120,1
1372385340,1
1372389120,1
1372392240,2
1372416540,1
1372424280,1
1372424640,1
1372425300,1
1372427940,1
1372428600,1
1372429500,1
1372445640,1
1372450860,1
1372453740,1
1372456140,1
1372457040,1
1372460460,1
1372460580,1
1372461300,1
1372467240,1
1372513560,1
1372515900,1
1372517880,1
1372530960,1
1372531140,1
1372542480,1
1372545960,1
1372546860,1
1372554120,1
1372559520,1
1372570560,1
1372570860,2
1372570980,1
1372571340,2
1372574160,1
1372577340,1
1372595220,1
1372600560,1
1372600740,1
1372602660,1
1372609920,1
1372614540,1
1372618380,1
1372619220,1
1372625760,1
1372626180,2
1372631220,1
1372633680,1
1372633740,1
1372636020,1
1372636080,1
1372636320,1
1372636440,2
1372636800,3
1372636860,1
1372640640,1
1372675560,1
1372678980,1
1372692720,1
1372704480,1
1372705260,1
1372719420,1
1372719600,1
1372737420,1
1372747440,1
1372761780,1
1372762140,1
1372774140,1
1372776900,5
1372776960,1
1372777080,1
1372777140,3
1372778880,1
1372785600,2
1372787580,1
1372787940,1
1372788000,1
1372788840,1
1372789020,1
1372790520,1
1372791480,1
1372796100,1
1372803960,1
1372805400,2
1372805880,1
1372806840,1
1372807020,1
1372808700,1
1372814880,1
1372824120,1
1372824480,1
1372830540,1
1372848120,1
1372851960,1
1372852620,1
1372853880,1
1372853940,1
1372855980,1
1372867860,1
1372872600,1
1372875240,2
1372875300,1
1372878240,1
1372880580,1
1372882500,1
1372887120,1
1372898520,1
1372912560,1
1372915140,1
1372943160,1
1372945920,1
1372946160,1
1372950120,1
1372955100,1
1372959000,1
1372964940,1
1372967700,1
1372971480,1
1372976100,1
1372976460,1
1372976580,1
1372976760,1
1372976940,2
1372977360,2
1372977480,1
1372979880,1
1372982820,1
1372992060,1
1372997400,1
1373013480,2
1373013600,1
1373013720,1
1373019660,1
1373020680,1
1373026020,1
1373027160,1
1373032440,2
1373040180,1
1373041500,2
1373041920,1
1373043240,5
1373043360,1
1373043540,1
1373044380,1
1373049060,2
1373058360,1
1373059560,2
1373064000,1
1373065260,1
1373065740,1
1373065920,1
1373066040,1
1373078400,1
1373080260,1
1373109600,1
1373119620,1
1373121300,1
1373122920,1
1373126880,1
1373128860,1
1373130720,1
1373134620,2
1373143620,1
1373143860,1
1373144700,1
1373147700,1
1373147820,1
1373203260,1
1373205060,1
1373221800,1
1373222280,1
1373222520,2
1373242920,1
1373243700,1
1373246880,2
1373267700,2
1373267880,2
1373268000,2
1373268120,1
1373268240,2
1373280240,1
1373285460,1
1373288640,2
1373292900,2
1373293680,1
1373298000,1
1373302680,1
1373314440,1
1373314740,1
1373314800,1
1373315100,1
1373315820,1
1373316360,1
1373331720,1
1373332920,1
1373335080,1
1373336280,1
1373366880,1
1373368800,1
1373372040,1
1373373780,1
1373374440,1
1373377320,2
1373378580,1
1373380140,1
1373385300,1
1373387820,1
1373394840,1
1373395980,1
1373397480,1
1373400600,1
1373403780,1
1373405940,1
1373407020,1
1373407920,1
1373408040,1
1373408580,1
1373410200,2
1373410320,1
1373411220,1
1373411340,1
1373411820,1
1373413920,1
1373419500,1
1373424480,2
1373425020,1
1373448720,1
1373452380,1
1373456700,1
1373457180,1
1373463120,1
1373464920,1
1373466120,1
1373466660,1
1373468760,3
1373469060,1
1373472360,1
1373474520,1
1373475060,1
1373480520,1
1373482380,1
1373484720,1
1373485980,1
1373487060,1
1373491560,1
1373492520,1
1373493060,1
1373497080,2
1373506320,1
1373509260,1
1373511600,1
1373539440,1
1373540820,1
1373544600,1
1373545080,1
1373546580,1
1373549940,1
1373550060,1
1373554920,1
1373556300,1
1373573880,1
1373575140,1
1373580900,2
1373582100,1
1373584860,1
1373586480,1
1373590500,2
1373603460,2
1373625780,1
1373638200,1
1373646180,1
1373650680,1
1373650740,1
1373657700,1
1373661720,1
1373665620,1
1373666520,1
1373667360,1
1373670420,1
1373672280,1
1373691900,1
1373721720,1
1373723160,1
1373725080,1
1373728080,2
1373730480,1
1373732640,4
1373733180,1
1373733660,1
1373735100,1
1373740500,1
1373743080,1
1373744520,1
1373745720,1
1373748600,2
1373750160,1
1373753700,1
1373760000,1
1373760300,1
1373762700,1
1373762760,1
1373766240,1
1373805060,1
1373808360,1
1373809140,1
1373811000,1
1373817360,1
1373817720,1
1373823360,1
1373824260,1
1373825040,1
1373825880,1
1373826780,1
1373829360,1
1373830200,1
1373831700,1
1373832960,1
1373833380,1
1373845680,1
1373850360,2
1373863800,1
1373885340,1
1373887740,1
1373892720,1
1373894940,1
1373897640,1
1373898420,1
1373911920,1
1373926500,1
1373927280,1
1373927340,1
1373928540,1
1373931360,1
1373931420,1
1373933820,1
1373936340,1
1373941500,1
1373942040,1
1373960460,1
1373971740,1
1373975280,1
1373976720,1
1373979300,1
1373982480,1
1373982720,1
1373984580,1
1373985660,1
1373986380,1
1373994540,1
1374002040,1
1374003120,1
1374003660,1
1374009060,1
1374012360,1
1374016620,1
1374020880,1
1374021360,1
1374024660,1
1374028320,1
1374035520,1
1374038220,1
1374054360,1
1374058860,1
1374062580,1
1374063240,1
1374069000,1
1374070620,1
1374071820,1
1374074580,1
1374081720,1
1374091440,1
1374096120,1
1374096420,1
1374096900,1
1374097620,1
1374101040,1
1374103680,1
1374104820,1
1374110760,1
1374112140,1
1374118080,1
1374118440,1
1374118620,1
1374121920,1
1374124620,1
1374144780,1
1374149700,1
1374151080,1
1374161760,2
1374164640,1
1374178560,1
1374183720,1
1374188100,1
1374188220,2
1374189240,1
1374191220,2
1374193440,1
1374193560,1
1374194520,1
1374198480,1
1374199860,1
1374209580,1
1374231120,1
1374233100,1
1374235440,1
1374235800,1
1374236160,1
1374240180,1
1374242520,1
1374247680,5
1374247800,4
1374248040,2
1374251220,1
1374253260,1
1374266580,1
1374267240,1
1374267660,1
1374270840,1
1374274740,1
1374283860,1
1374286260,1
1374302520,1
1374302580,1
1374303420,1
1374317820,1
1374333300,1
1374334260,1
1374335220,1
1374335580,1
1374338340,1
1374340020,1
1374340860,1
1374341940,1
