datetime,departures
1371151560,1
1371155400,1
1371159660,1
1371162360,1
1371166860,1
1371213120,1
1371213960,1
1371216480,1
1371227400,1
1371235620,1
1371243480,1
1371244140,1
1371244260,1
1371245700,1
1371249060,1
1371249300,1
1371251760,1
1371256320,1
1371258480,1
1371264060,1
1371264720,2
1371266880,1
1371266940,2
1371267180,1
1371267240,1
1371269700,1
1371270960,1
1371271320,2
1371293940,1
1371297000,1
1371300780,1
1371305400,1
1371308880,1
1371309060,1
1371313800,1
1371314940,1
1371315000,1
1371315720,1
1371316140,1
1371316740,1
1371317340,2
1371318120,1
1371318180,1
1371320760,1
1371321900,1
1371322260,1
1371322380,1
1371324060,3
1371325440,1
1371325680,1
1371326520,1
1371326700,1
1371328440,1
1371328500,1
1371328560,1
1371328800,1
1371329520,1
1371333300,1
1371333420,1
1371333540,1
1371333960,1
1371335760,1
1371335880,1
1371337440,1
1371338100,1
1371341040,1
1371341160,1
1371341580,1
1371346920,1
1371348000,1
1371348120,1
1371350340,1
1371352200,1
1371375000,1
1371378600,1
1371389700,2
1371392160,1
1371394200,1
1371394620,1
1371396720,1
1371397200,1
1371397440,1
1371397800,1
1371401160,1
1371401940,1
1371402000,3
1371403860,1
1371404580,1
1371411300,1
1371411420,2
1371411780,1
1371411900,1
1371412020,1
1371413880,1
1371414120,1
1371414600,1
1371416040,1
1371421260,2
1371423120,1
1371423840,1
1371424560,2
1371425520,1
1371425760,1
1371426600,1
1371429900,1
1371434280,1
1371435240,1
1371435960,1
1371436620,1
1371438240,1
1371440880,1
1371471420,1
1371473760,1
1371486780,1
1371489840,1
1371493440,1
1371493620,1
1371500940,1
1371507780,1
1371508860,4
1371509100,3
1371509160,1
1371509220,2
1371513060,1
1371513360,1
1371514800,1
1371518940,1
1371521460,1
1371522000,1
1371522600,1
1371522720,1
1371523260,1
1371524100,1
1371525540,1
1371525720,1
1371553980,1
1371557100,1
1371558120,1
1371567000,1
1371572040,1
1371575760,1
1371577680,1
1371579360,1
1371579540,1
1371583260,1
1371584160,1
1371585840,1
1371591120,1
1371595500,2
1371595560,2
1371595680,1
1371595740,1
1371595800,2
1371595860,2
1371599700,1
1371606000,1
1371615660,1
1371644700,1
1371645900,1
1371646200,1
1371647820,1
1371651660,1
1371651720,1
1371660600,1
1371661020,2
1371661500,1
1371665160,1
1371668640,1
1371672180,1
1371672240,1
1371681300,1
1371686880,1
1371687360,1
1371689220,1
1371692760,1
1371692820,1
1371696360,2
1371696420,1
1371696480,1
1371699840,1
1371707700,1
1371729780,1
1371731580,1
1371732300,1
1371733500,1
1371734340,1
1371736260,1
1371745080,1
1371745260,1
1371745740,1
1371747660,1
1371753300,1
1371754080,1
1371754560,1
1371758220,1
1371760920,1
1371764940,1
1371765420,2
1371766920,1
1371767100,1
1371767400,1
1371768000,1
1371768180,1
1371769140,1
1371770520,1
1371770940,1
1371771960,1
1371776640,1
1371777120,1
1371780000,1
1371780240,1
1371780300,1
1371781620,1
1371781680,1
1371781920,1
1371785160,1
1371812100,1
1371812280,1
1371812460,1
1371817800,1
1371818580,1
1371820500,1
1371824760,1
1371826860,1
1371826980,1
1371827100,1
1371830940,1
1371831780,1
1371831840,1
1371832260,1
1371832980,1
1371833280,1
1371834600,1
1371837060,1
1371838200,1
1371838320,1
1371840120,1
1371843060,1
1371848820,1
1371853260,1
1371854100,1
1371856080,1
1371856740,1
1371867060,1
1371868140,2
1371868200,1
1371874140,1
1371877500,1
1371904920,1
1371905400,1
1371905520,4
1371905700,2
1371905820,3
1371905880,4
1371906060,5
1371912600,1
1371913260,1
1371918000,1
1371919200,1
1371920040,2
1371920520,2
1371922200,1
1371922320,1
1371922440,1
1371923700,2
1371924180,1
1371924360,1
1371926460,1
1371926880,1
1371927120,1
1371928620,1
1371928800,2
1371932940,2
1371933720,1
1371934980,1
1371935100,1
1371936000,1
1371937200,1
1371938100,1
1371938880,1
1371942180,1
1371942240,1
1371942300,1
1371943200,1
1371943380,1
1371945780,1
1371948240,2
1371949800,1
1371950940,1
1371952320,1
1371953220,1
1371959700,1
1371960180,1
1371961800,1
1371964800,1
1371967500,1
1371994860,1
1371995160,1
1371997680,1
1371998820,1
1372001340,1
1372002420,1
1372002660,1
1372004460,1
1372004700,1
1372005900,1
1372007100,3
1372008720,2
1372009980,1
1372012740,1
1372013040,2
1372013520,2
1372015800,2
1372016040,2
1372016400,1
1372016760,2
1372016820,2
1372019100,2
1372020180,1
1372021140,2
1372022220,1
1372022760,1
1372025460,2
1372025940,1
1372026360,1
1372027020,1
1372027140,1
1372029780,1
1372032060,3
1372035960,1
1372037160,1
1372044360,1
1372044720,1
1372075200,1
1372076280,1
1372076580,1
1372078140,1
1372079040,2
1372082880,1
1372091700,2
1372094100,1
1372100700,1
1372100880,1
1372100940,2
1372101900,1
1372111740,1
1372114380,1
1372117980,1
1372120740,2
1372121400,1
1372125600,1
1372130040,1
1372130640,1
1372137660,5
1372137720,2
1372137780,2
1372159500,1
1372159680,1
1372159800,3
1372159860,2
1372162920,1
1372162980,1
1372164660,1
1372164960,1
1372166340,1
1372170780,1
1372171740,1
1372172460,1
1372179720,1
1372181400,2
1372181580,1
1372187640,1
1372197060,1
1372201500,1
1372205340,1
1372206420,1
1372211100,1
1372211520,2
1372211580,1
1372212780,2
1372213620,1
1372214700,1
1372219740,1
1372241460,1
1372249140,1
1372249380,1
1372251420,1
1372251660,2
1372253700,1
1372255800,1
1372259880,1
1372261800,1
1372264320,1
1372265460,1
1372265580,1
1372265640,1
1372275000,1
1372275240,3
1372275300,3
1372275540,6
1372276260,1
1372280100,1
1372282620,2
1372283100,1
1372285260,1
1372287060,1
1372290120,1
1372291320,1
1372293840,1
1372294860,1
1372296600,1
1372296840,1
1372297980,1
1372298280,1
1372299300,1
1372299360,1
1372301220,1
1372302840,1
1372303860,6
1372303980,3
1372304040,6
1372307580,2
1372307880,1
1372309140,1
1372321080,1
1372335780,1
1372336320,1
1372336980,1
1372337760,1
1372338540,1
1372339140,1
1372342680,1
1372343520,2
1372345260,1
1372348980,1
1372350000,1
1372358580,1
1372370460,1
1372370520,1
1372370760,1
1372376100,1
1372380180,1
1372398960,1
1372421460,1
1372422900,1
1372423440,1
1372424760,1
1372424820,1
1372427580,1
1372428420,1
1372430700,1
1372432740,1
1372433880,1
1372439460,1
1372440540,1
1372445160,1
1372452600,1
1372453200,1
1372453440,1
1372453920,1
1372458000,1
1372458840,2
1372461120,1
1372465200,1
1372465560,1
1372466940,2
1372467000,1
1372467240,2
1372467360,2
1372467480,2
1372467660,2
1372467780,2
1372467900,1
1372470600,1
1372471080,1
1372472100,1
1372474320,1
1372475640,1
1372477320,1
1372481520,1
1372510860,1
1372511460,1
1372511940,2
1372516320,1
1372517220,1
1372517640,1
1372518540,1
1372521000,2
1372521300,1
1372522560,2
1372523880,1
1372524000,1
1372527300,1
1372528200,2
1372529160,1
1372532700,1
1372535700,1
1372541280,1
1372542240,1
1372546860,1
1372550220,1
1372551840,2
1372563420,1
1372573320,1
1372573560,1
1372591080,1
1372598220,5
1372598280,4
1372598700,1
1372602120,2
1372604820,1
1372605060,1
1372605900,1
1372607400,1
1372608780,1
1372609320,1
1372609680,1
1372614540,1
1372615080,1
1372615980,1
1372617420,2
1372617720,1
1372618860,1
1372619340,1
1372622160,1
1372626000,1
1372628040,2
1372630560,1
1372630860,1
1372631880,1
1372633200,2
1372633500,1
1372633680,1
1372634940,1
1372636140,1
1372639140,1
1372639680,1
1372640640,1
1372642320,1
1372646220,1
1372678200,1
