datetime,departures
1371151860,1
1371152820,1
1371153660,1
1371155520,1
1371156660,2
1371157560,1
1371158040,1
1371158100,1
1371158220,1
1371158340,1
1371159060,1
1371159180,1
1371159420,2
1371159660,1
1371159960,1
1371160380,1
1371160740,2
1371161160,1
1371161340,1
1371161460,1
1371162240,1
1371163560,1
1371164040,1
1371164700,1
1371165060,1
1371166260,1
1371177420,1
1371182400,1
1371195360,1
1371195480,1
1371195660,1
1371195960,1
1371196080,1
1371196200,1
1371196260,1
1371196320,1
1371202320,1
1371205800,1
1371206760,1
1371207960,1
1371209880,1
1371211320,2
1371212160,1
1371213720,1
1371213780,1
1371215220,1
1371215340,1
1371216060,1
1371216180,3
1371216240,1
1371216300,2
1371216360,1
1371216480,1
1371216600,1
1371216660,1
1371216900,2
1371217020,1
1371217140,1
1371217560,2
1371217620,2
1371217800,2
1371218580,1
1371218700,1
1371218820,1
1371218940,1
1371219120,1
1371219600,1
1371220980,1
1371221280,1
1371221460,1
1371221700,1
1371222060,1
1371222960,1
1371223320,1
1371224700,1
1371224820,1
1371225780,1
1371226200,1
1371226980,1
1371227220,1
1371227340,1
1371227580,2
1371227640,1
1371227700,1
1371227940,1
1371228000,1
1371228420,1
1371229500,1
1371229980,1
1371230400,1
1371230460,1
1371230640,1
1371231960,1
1371232440,1
1371232560,1
1371232740,1
1371233340,1
1371233400,1
1371233520,1
1371234360,1
1371234480,2
1371234840,1
1371234960,1
1371235380,1
1371235500,1
1371236760,1
1371236940,1
1371237000,1
1371237780,1
1371238620,1
1371239400,2
1371239640,1
1371239820,1
1371240780,1
1371241200,1
1371242340,1
1371243300,1
1371243420,1
1371243480,1
1371243960,1
1371244020,1
1371244320,2
1371244380,1
1371244620,1
1371244680,1
1371245880,1
1371246240,2
1371246360,2
1371246900,1
1371247380,1
1371247980,1
1371248520,1
1371249000,1
1371249720,1
1371250080,1
1371250740,1
1371250920,1
1371250980,2
1371255720,1
1371255840,1
1371256020,2
1371256680,1
1371257760,2
1371258900,1
1371259620,1
1371260100,1
1371260280,1
1371260880,1
1371262140,1
1371263280,1
1371263700,2
1371265380,1
1371266100,2
1371266340,1
1371268020,4
1371268140,1
1371271680,1
1371279780,1
1371284040,1
1371292500,1
1371302220,1
1371302340,1
1371302700,1
1371304860,1
1371306000,1
1371308520,1
1371309060,1
1371310020,1
1371311040,1
1371311160,1
1371311340,1
1371311580,1
1371311700,1
1371311940,2
1371312120,1
1371312360,1
1371312540,1
1371312900,2
1371314100,1
