datetime,departures
1371151140,1
1371153120,1
1371154680,2
1371156060,1
1371156720,1
1371157020,1
1371157320,1
1371157620,1
1371157920,1
1371158220,1
1371159480,1
1371160320,4
1371161280,2
1371161400,1
1371161640,1
1371162420,1
1371162720,1
1371163080,1
1371163200,1
1371165060,1
1371165180,2
1371165240,1
1371172740,1
1371174060,1
1371180540,1
1371210180,1
1371211020,1
1371212100,1
1371212880,1
1371213480,1
1371213960,1
1371214020,1
1371215880,1
1371216300,1
1371219600,1
1371220680,1
1371221820,1
1371222360,1
1371223200,1
1371223500,1
1371223860,1
1371226080,1
1371226200,1
1371226980,1
1371230040,1
1371230820,1
1371233400,2
1371233640,1
1371235440,2
1371235500,1
1371235800,1
1371236820,1
1371237000,1
1371237480,1
1371237840,1
1371238320,1
1371238500,1
1371239040,3
1371239100,1
1371239940,1
1371240120,1
1371241140,1
1371241620,1
1371242220,1
1371242760,2
1371242940,1
1371243960,1
1371244320,1
1371244380,1
1371244680,1
1371244920,1
1371246000,1
1371246180,1
1371246300,1
1371246780,2
1371247380,1
1371247800,1
1371248040,1
1371249360,1
1371250380,1
1371251040,1
1371251160,1
1371251220,2
1371251340,1
1371251460,1
1371251640,2
1371251760,1
1371252000,1
1371252420,1
1371252660,1
1371253320,1
1371254340,2
1371254880,1
1371254940,1
1371255180,1
1371255360,1
1371256380,1
1371256500,1
1371256920,1
1371260160,2
1371260940,1
1371263580,1
1371264120,1
1371264720,2
1371266520,1
1371268920,1
1371270900,1
1371271020,1
1371302400,1
1371305100,1
1371305640,1
1371306540,1
1371306600,3
1371306720,1
1371307080,1
1371307380,1
1371307440,2
1371307740,1
1371307980,2
1371309420,3
1371309540,1
1371310200,1
1371310260,1
1371310920,1
1371311160,2
1371311580,2
1371311820,1
1371311940,1
1371312060,1
1371312660,1
1371314280,2
1371314340,1
1371314520,1
1371314640,1
1371314940,2
1371315000,1
1371315300,3
1371315840,1
1371316020,2
1371316380,1
1371318120,1
1371319260,1
1371320340,2
1371320460,1
1371320820,1
1371322260,1
1371323040,1
1371324060,1
1371324480,1
1371324540,1
1371324900,2
1371325140,1
1371326160,2
1371326220,2
1371327300,1
1371327600,1
1371327900,2
1371328260,2
1371328980,1
1371329100,1
1371329160,1
1371329400,1
1371329520,1
1371329640,1
1371329700,1
1371329820,1
1371329940,2
1371330480,1
1371331380,1
1371331740,1
1371332520,1
1371332700,1
1371333000,1
1371333240,2
1371333900,1
1371334080,2
1371334140,1
1371334500,1
1371334620,1
1371334800,3
1371335400,2
1371336240,1
1371336360,1
1371336480,2
1371337380,1
1371337740,1
1371338700,2
1371338940,2
1371339060,2
1371339600,1
1371340500,1
1371340860,1
1371341340,2
1371342000,1
1371342420,1
1371342720,1
1371342840,1
1371344160,2
1371344880,1
1371345420,1
1371345540,1
1371345840,1
1371347940,1
1371348420,1
1371350520,2
1371350820,1
1371351300,1
1371351420,1
1371352740,1
1371353100,1
1371354360,2
1371355320,1
1371357780,1
1371359280,1
1371359880,2
1371360780,1
1371362820,1
1371371040,1
1371371100,1
1371371160,1
1371384660,1
1371387660,1
1371388320,1
1371389700,1
1371391740,1
1371392700,1
1371394200,1
1371394320,1
1371395160,1
1371395220,1
1371396540,1
1371397740,1
1371398580,1
1371398700,1
1371399180,1
1371400140,1
1371400200,1
1371400740,1
1371401160,2
1371402000,1
1371403740,1
1371404100,1
1371404580,1
1371404820,1
1371405360,1
1371405420,1
1371405720,1
1371405960,1
1371406260,1
