datetime,departures
1371151680,1
1371157380,1
1371158040,2
1371158580,2
1371158880,1
1371159000,1
1371159960,1
1371160200,1
1371160380,1
1371161340,2
1371162120,1
1371162240,1
1371162780,1
1371163020,1
1371163140,2
1371163380,1
1371164040,1
1371165240,1
1371210480,1
1371215880,1
1371220380,1
1371221400,1
1371221640,1
1371221820,1
1371222840,1
1371225300,1
1371225780,1
1371226620,1
1371226740,1
1371226860,1
1371227700,1
1371228960,1
1371229680,2
1371229980,1
1371230280,1
1371231060,1
1371231480,1
1371231780,1
1371232560,1
1371232860,2
1371232980,2
1371233280,1
1371233580,1
1371235800,1
1371236520,1
1371237480,1
1371239640,1
1371239880,1
1371240420,1
1371240480,1
1371240840,1
1371242880,1
1371242940,2
1371244020,1
1371244260,2
1371246060,1
1371246420,1
1371247200,1
1371247680,1
1371248160,1
1371249600,1
1371250140,2
1371252120,1
1371253320,1
1371253980,1
1371254220,1
1371254760,1
1371255240,1
1371255600,1
1371256140,1
1371256380,1
1371270840,1
1371272100,1
1371281040,1
1371303000,1
1371305940,1
1371306240,1
1371312360,1
1371313020,2
1371313140,1
1371314700,1
1371314880,1
1371314940,1
1371315000,3
1371315240,1
1371316620,1
1371317040,1
1371317220,1
1371317280,1
1371317700,1
1371317880,1
1371318000,1
1371319140,4
1371319320,1
1371320340,1
1371321540,1
1371322260,2
1371322380,2
1371322620,2
1371322680,2
1371322740,1
1371322800,1
1371322980,1
1371323100,1
1371323280,1
1371323400,1
1371324900,1
1371325320,3
1371325620,1
1371325740,1
1371325800,3
1371326760,1
1371327600,1
1371327840,1
1371328020,2
1371328440,1
1371329160,1
1371329400,1
1371329640,2
1371329940,2
1371330840,1
1371331500,1
1371331680,1
1371331740,1
1371331860,1
1371331920,1
1371332040,1
1371333540,3
1371334440,2
1371334680,1
1371336120,1
1371336240,1
1371336960,1
1371337140,2
1371337920,1
1371338100,1
1371338220,1
1371338580,2
1371340440,1
1371340680,1
1371344580,2
1371344880,1
1371349560,2
1371349860,2
1371351300,2
1371354180,1
1371357480,1
1371357540,1
1371361380,1
1371386280,1
1371389700,1
1371390060,1
1371391560,1
1371393480,1
1371393900,1
1371394020,1
1371394080,1
1371397440,1
1371398280,1
1371398580,1
1371398940,1
1371399180,1
1371399360,2
1371399540,1
1371399660,1
1371400140,1
1371400200,1
1371400320,1
1371403320,2
1371405720,1
1371407220,1
1371407760,1
1371408000,4
1371408660,1
1371408780,1
1371410340,2
1371410640,2
1371410940,1
1371411180,2
1371411780,1
1371412020,1
1371412260,2
1371414000,1
1371416580,1
1371416880,2
1371418860,1
1371420180,1
1371420540,2
1371421380,1
1371422160,1
1371422280,1
1371422460,1
1371422880,2
1371423420,1
1371429540,1
1371430080,1
1371431520,1
1371432540,1
1371435480,1
1371435780,1
1371435900,1
1371439680,1
1371469620,1
1371469740,1
1371469980,1
1371470940,1
1371471600,1
1371475140,1
1371475380,1
1371475560,1
1371475620,1
1371476520,1
1371476700,1
1371476880,1
1371478140,1
1371478200,1
1371478740,1
1371480120,1
1371481620,3
1371482160,2
1371483480,2
1371484440,1
1371484740,1
1371485280,3
1371485520,1
1371485940,1
1371486960,1
1371487740,1
1371489720,1
1371490260,1
1371492600,2
1371494220,1
1371496140,1
1371496260,2
1371498360,2
1371498840,1
1371499260,1
1371499860,1
1371500940,3
1371502200,1
1371502620,1
1371502680,1
1371503040,3
1371503820,2
1371503880,1
1371504240,1
1371504300,1
1371504840,1
1371504900,2
1371505140,1
1371505260,1
1371505920,1
1371506160,1
1371506820,1
1371507120,1
1371507540,3
1371507900,1
1371508200,1
1371508440,1
1371509160,1
1371509580,1
1371509760,1
1371510240,5
1371510540,1
1371512100,1
1371513840,1
1371517620,1
1371520920,1
1371523740,1
1371527280,1
1371528180,1
1371548520,1
1371551820,3
1371554580,1
1371557100,1
1371557220,1
1371557640,1
1371558120,1
1371558480,1
1371559680,1
1371559980,1
1371560940,1
1371563760,1
1371563880,1
1371565740,1
1371566640,1
1371567540,1
1371567600,1
1371567840,1
1371567900,1
1371569700,1
1371570240,1
1371571080,1
1371571140,1
1371571560,1
1371571800,2
1371571980,1
1371572580,1
1371573480,1
1371574980,1
1371575280,1
1371576120,1
1371577680,1
1371579180,2
1371579480,2
1371579540,1
1371579660,2
1371580200,1
1371581160,1
1371582720,1
1371589860,1
1371590820,1
1371591240,3
1371591360,1
1371591600,1
1371595320,1
1371596580,1
1371601680,1
1371602400,1
1371603960,2
1371606540,1
1371612540,1
1371615480,1
1371615660,1
1371619500,1
1371631380,1
1371641400,1
1371641880,1
1371642060,1
1371642660,1
1371644340,1
1371647160,1
1371647220,1
1371647460,1
1371648840,1
1371649080,1
1371649920,1
1371652080,1
1371653100,1
1371653400,1
1371654540,1
1371655860,1
1371657060,2
1371657300,1
1371657540,1
1371657720,1
1371657900,1
1371658020,2
1371658080,1
1371659760,1
1371659820,1
1371660840,1
1371661140,1
1371661620,1
1371661800,1
1371662640,1
1371662940,1
1371663660,1
1371664020,1
1371664080,3
1371664260,1
1371665340,1
1371666600,1
1371667080,1
