datetime,departures
1371151560,1
1371152880,1
1371154080,1
1371154380,2
1371155760,1
1371156360,1
1371158220,3
1371158340,2
1371158400,3
1371161280,1
1371161940,1
1371162360,1
1371163560,1
1371164940,1
1371170580,1
1371184260,1
1371184500,1
1371184680,1
1371195180,2
1371211020,1
1371213780,1
1371214980,1
1371216300,1
1371220140,1
1371220740,1
1371220920,1
1371223140,1
1371225420,1
1371228840,1
1371228900,1
1371229680,1
1371230400,1
1371232920,1
1371234000,1
1371235740,1
1371238140,1
1371239880,1
1371240960,1
1371243240,1
1371245280,1
1371245700,1
1371246540,3
1371246660,1
1371246780,2
1371246960,3
1371247020,1
1371247140,3
1371247200,1
1371247380,1
1371247620,1
1371248160,1
1371248460,1
1371248880,1
1371249300,1
1371249360,1
1371250140,2
1371252000,1
1371254040,1
1371254580,1
1371256140,1
1371256320,1
1371256380,1
1371262140,2
1371266460,1
1371269520,1
1371272700,1
1371272760,1
1371276300,1
1371282600,1
1371289800,1
1371298500,1
1371299400,1
1371304380,1
1371307080,4
1371307740,1
1371311280,1
1371311340,1
1371311640,1
1371312240,1
1371312900,2
1371313140,1
1371313500,1
1371315240,1
1371317880,1
1371318300,1
1371318720,1
1371318840,1
1371319020,2
1371319620,1
1371319740,1
1371319920,1
1371320040,1
1371320280,2
1371321840,2
1371322080,1
1371322260,1
1371324180,2
1371324540,4
1371324660,3
1371325920,1
1371326700,1
1371327060,1
1371327300,1
1371327840,1
1371328020,1
1371328440,2
1371328740,1
1371329640,1
1371329820,2
1371330180,1
1371332520,1
1371334860,1
1371336900,1
1371336960,1
1371337620,2
1371339180,1
1371339540,1
1371341400,2
1371341520,1
1371345420,2
1371346200,1
1371349200,1
1371355080,1
1371362520,3
1371387000,1
1371392040,4
1371393180,1
1371393600,1
1371398880,1
1371399780,1
1371401640,1
1371402600,1
1371402720,1
1371406080,1
1371406440,1
1371407040,1
1371408120,1
1371408900,2
1371413640,1
1371413880,1
1371414060,1
1371414120,1
1371415020,3
1371415560,1
1371415920,1
1371415980,1
1371416640,1
1371422520,1
1371422640,1
1371424560,2
1371424620,1
1371424680,1
1371426120,2
1371427020,1
1371427320,1
1371427800,1
1371433680,2
1371438780,2
1371442260,1
1371464280,1
1371464820,1
1371471360,1
1371473400,1
1371473580,1
1371473880,1
1371473940,1
1371476820,1
1371477240,1
1371477660,1
1371479880,1
1371484260,1
1371486420,1
1371487380,1
1371488460,1
1371489060,1
1371489960,1
1371490080,1
1371492900,1
1371493260,1
1371494340,1
1371496260,1
1371500940,1
1371501300,2
1371501360,2
1371501420,2
1371501480,2
1371501660,2
1371503040,2
1371503580,1
1371503700,1
1371506160,1
1371506940,1
1371507060,1
1371507240,1
1371507300,2
1371507900,1
1371508560,1
1371508860,1
1371510360,2
1371510780,1
1371511200,1
1371512280,1
1371512940,1
1371513600,1
1371518220,1
1371519060,1
1371521520,1
1371529620,1
1371529680,4
1371529740,4
1371529800,1
1371550740,1
1371550980,1
1371558600,1
1371560940,1
1371562080,1
1371563580,1
1371564540,1
1371565740,1
1371566760,1
1371568980,1
1371571080,1
1371574200,1
1371576720,1
1371576840,1
1371579360,1
1371579540,1
1371580620,1
1371580980,1
1371584160,1
1371584400,1
1371586440,1
1371588180,1
1371589980,1
1371591540,1
1371600540,1
1371603120,1
1371609540,1
1371610020,3
1371610080,2
1371610200,7
1371611820,1
1371613380,1
1371616500,1
1371635940,1
1371640500,1
1371641820,1
1371643440,1
1371644220,1
1371647400,1
1371648780,1
1371649140,1
1371653340,1
1371654780,1
1371655200,1
1371655980,1
1371658020,1
1371658620,1
1371662520,1
1371664980,1
1371665340,1
1371667560,2
1371667920,1
1371668400,1
1371669540,1
1371670200,1
1371670260,2
1371670380,1
1371671040,1
1371671100,1
1371671340,1
1371673200,1
1371674520,1
1371675000,1
1371675600,1
1371676140,1
1371677880,1
1371678480,1
1371679980,1
1371680280,2
1371680400,1
1371680460,1
1371680520,1
1371680580,4
1371680700,1
1371680760,3
1371680820,1
1371680880,2
1371681180,1
1371684060,1
1371684780,1
1371687180,1
1371687480,1
1371690900,1
1371691320,1
1371691560,1
1371691740,2
1371694080,1
1371694620,1
1371695100,1
1371696480,1
1371699480,1
1371708420,1
1371724860,2
1371726180,1
1371727560,1
1371728940,1
1371733680,1
1371733860,1
1371736080,1
1371737880,1
1371739200,1
1371743340,1
1371744300,2
1371746100,1
1371746280,1
1371747540,1
1371748560,1
1371749040,1
1371749880,2
1371751200,1
1371753060,1
1371753780,1
1371754080,2
1371755280,1
1371755940,1
1371758940,1
1371759060,3
1371759120,2
1371759180,1
1371760680,1
1371763920,1
1371764820,1
1371764940,2
1371766500,1
1371766860,1
1371767100,1
1371767400,2
1371767880,1
1371768060,1
1371768180,2
1371771300,1
1371772020,2
1371772140,1
1371777780,1
1371778200,1
1371781440,1
1371781800,1
1371783060,1
1371783960,1
1371784560,1
1371804180,4
1371804240,5
1371804360,1
1371808980,1
1371810600,1
1371819960,2
1371820080,1
1371820200,1
1371822540,1
1371827880,1
1371829440,1
1371830700,1
1371832080,1
1371832620,1
1371832860,1
1371833700,1
1371834240,1
1371834420,1
1371835500,1
1371835620,1
1371836340,1
1371836880,1
1371838740,1
1371839700,1
1371841020,1
1371842160,1
1371842820,1
1371844380,1
1371848040,1
1371848940,1
1371850440,1
1371850920,1
1371851820,3
1371851940,1
1371853260,3
1371854340,1
1371854400,1
1371854880,1
1371856860,1
1371859500,1
1371859860,1
1371860700,1
1371860820,1
1371865740,1
1371869280,1
1371879720,1
1371882900,1
1371903840,1
1371911580,2
1371911700,2
1371911820,2
1371911940,1
1371912060,2
1371912180,1
1371912240,1
1371912420,1
1371912540,1
