datetime,departures
1371157140,1
1371157620,1
1371161160,1
1371161280,1
1371164220,1
1371179820,1
1371179880,4
1371179940,3
1371180060,1
1371183420,1
1371207300,1
1371208980,1
1371220560,1
1371220740,1
1371234120,1
1371238020,1
1371247320,1
1371249000,2
1371249060,1
1371251220,1
1371252780,1
1371263940,1
1371269700,1
1371269940,1
1371292320,1
1371317340,1
1371318300,1
1371320040,1
1371321960,1
1371322740,2
1371330480,1
1371330660,1
1371331080,1
1371339420,1
1371344760,1
1371350640,1
1371351000,2
1371354240,1
1371361140,1
1371373020,1
1371378900,1
1371394200,1
1371399240,1
1371400680,1
1371404040,1
1371404160,1
1371405120,1
1371407760,1
1371411120,1
1371411300,1
1371411600,1
1371412440,1
1371413760,1
1371417660,1
1371424200,1
1371430800,1
1371430920,1
1371446100,1
1371472500,1
1371478140,1
1371492360,1
1371495360,1
1371503580,1
1371505620,1
1371508440,1
1371511680,1
1371512040,1
1371513840,1
1371514200,1
1371551520,1
1371551580,1
1371556200,2
1371556260,4
1371556380,1
1371556440,2
1371556500,2
1371559680,1
1371562740,1
1371565200,1
1371582720,1
1371585240,1
1371598680,2
1371603540,1
1371611340,1
1371619380,1
1371637920,1
1371646800,1
1371651120,1
1371652680,1
1371656280,1
1371664620,1
1371672960,1
1371674940,1
1371675420,1
1371677880,1
1371678660,1
1371682560,1
1371683520,1
1371686580,1
1371687060,1
1371694260,1
1371695700,1
1371696780,1
1371724860,1
1371728220,1
1371734460,1
1371734880,1
1371735660,1
1371738060,1
1371743940,1
1371757320,1
1371760680,1
1371764400,1
1371765600,1
1371775260,2
1371780600,1
1371816480,1
1371818520,1
1371822480,1
1371823740,1
1371831600,1
1371831840,1
1371832920,1
1371839880,1
1371847080,1
1371848460,1
1371848940,1
1371849540,1
1371851820,1
1371854160,1
1371855840,1
1371855900,1
1371856140,2
1371857040,1
1371857460,1
1371857640,1
1371908160,1
1371909120,1
1371913080,1
1371915000,1
1371915360,1
1371919860,1
1371921000,1
1371926220,1
1371928620,2
1371930300,1
1371938940,1
1371940560,1
1371941040,1
1371941340,1
1371941580,1
1371942180,1
1371942720,1
1371946560,1
1371947640,1
1371949380,1
1371949500,1
1371950940,1
1371951180,1
1371953520,2
1371953760,1
1371954360,1
1371956100,1
1371957060,1
1371971700,1
1371972420,1
1371994080,1
1372002600,1
1372002840,1
1372003020,1
1372003500,1
1372003680,1
1372004520,1
1372004820,1
1372005120,1
1372005240,1
1372006260,1
1372007940,1
1372009500,1
1372009620,1
1372010460,1
1372014480,1
1372020180,1
1372021080,1
1372023120,2
1372027440,1
1372028340,1
1372028640,1
1372028820,1
1372030080,1
1372030860,1
1372034580,1
1372036980,1
1372038060,1
1372039560,1
1372047060,1
1372070280,1
1372079280,1
1372082400,1
1372088460,1
1372092480,1
1372094220,1
1372098780,1
1372102620,1
1372103640,1
1372104900,1
1372106280,1
1372107360,1
1372116300,1
1372117380,1
1372118940,1
1372122600,1
1372131420,1
1372135800,1
1372156680,1
1372157340,1
1372158060,2
1372161660,1
1372167060,1
1372169820,1
1372177440,4
1372177920,1
1372179780,1
1372186260,1
1372192740,1
1372199820,1
1372213980,1
1372214160,1
1372222380,1
1372222440,2
1372222560,1
1372222620,1
1372242900,1
1372243740,1
1372245960,1
1372247460,1
1372248900,1
1372249080,1
1372251960,1
1372254360,1
1372259640,1
1372259760,1
1372266180,1
1372276200,1
1372278840,1
1372290120,2
1372290180,2
1372290300,1
1372299480,1
1372299540,1
1372300740,2
1372301820,1
1372329180,1
1372333500,1
1372334520,1
1372339320,1
1372339380,1
1372344900,1
1372344960,1
1372348500,1
1372351500,1
1372364400,1
1372366140,1
1372370520,1
1372374060,1
1372375620,1
1372378740,1
1372383060,1
1372416720,1
1372427220,1
1372431780,1
1372442040,1
1372442460,1
1372444380,1
1372444620,1
1372444680,1
1372445100,1
1372445280,1
1372445340,1
1372445520,1
1372445700,1
1372446000,1
1372446900,1
1372446960,2
1372447080,2
1372453560,1
1372455960,1
1372474500,1
1372481520,1
1372512480,1
1372512540,1
1372512840,1
1372514340,1
1372517940,1
1372518120,1
1372520340,1
1372522980,1
1372525080,1
1372526820,1
1372530120,2
1372540260,3
1372541940,1
1372546860,1
1372547640,1
1372548660,1
1372549320,1
1372550820,1
1372551060,1
1372554600,2
1372575660,1
1372602660,1
1372604100,1
1372606620,1
1372606740,1
1372606800,1
1372607160,3
1372607220,2
1372608540,1
1372609560,2
1372612380,1
1372612500,1
1372613820,2
1372615140,1
1372616880,1
1372617720,1
1372629360,2
1372631220,2
1372647060,1
1372675020,1
1372687020,2
1372693380,1
1372708560,1
1372718160,1
1372723800,2
1372757520,1
1372761300,1
1372773720,7
1372773960,1
1372774020,1
1372774080,1
1372774140,1
1372775280,2
1372791720,1
1372796220,2
1372798920,1
1372802520,2
1372802580,1
1372807620,1
1372808940,1
1372810200,1
1372812000,1
1372813080,1
1372821600,1
1372825080,1
1372825500,1
1372847700,1
1372854780,1
1372856340,1
1372857300,1
1372866180,1
1372868400,1
1372870020,1
1372876200,1
1372883100,1
1372891920,1
1372898040,1
1372899660,1
1372902720,1
1372914180,1
1372920840,1
1372934040,1
1372937940,1
1372941960,1
1372943400,1
1372949820,1
1372950480,2
1372950660,2
1372951860,1
1372954080,1
1372954920,1
1372959000,1
1372960440,1
1372961340,2
1372963140,1
1372966080,2
1372968900,1
1372974660,1
1372976280,1
1372977660,1
1372978380,1
1373020500,1
1373036940,1
1373046480,2
1373050860,1
1373052240,1
1373054640,1
1373056440,2
1373061120,1
1373061300,1
1373065800,1
1373065980,1
1373070720,1
1373071440,1
1373077680,1
1373079960,1
1373116440,1
1373118420,1
1373120340,1
1373120520,1
1373121120,1
1373125200,1
1373125500,1
1373125920,2
1373129280,1
1373131740,1
1373131860,1
1373132880,1
1373133060,1
1373133720,1
1373136420,1
1373136660,1
1373136720,1
1373138340,1
1373141700,1
1373145660,1
1373146320,1
1373154300,1
1373155980,2
1373176620,1
1373209500,1
1373211720,1
1373212140,1
1373213940,1
1373214600,1
1373216580,1
1373216820,1
1373217900,1
1373221800,1
1373227020,1
1373227980,1
1373234340,1
1373236380,1
1373236680,1
1373236740,1
1373237400,1
1373237460,1
1373237580,2
1373238360,2
1373238720,1
1373239260,1
1373250720,1
1373279520,1
1373293500,1
1373303400,1
1373305020,1
1373313240,1
1373313660,1
1373327340,4
1373327580,1
1373328780,1
1373332800,1
1373333880,1
1373333940,1
1373344320,1
1373366100,1
1373366460,1
1373371500,1
1373372340,1
1373374800,1
1373374920,1
1373396700,1
1373397360,1
1373398320,1
1373398800,1
1373401080,1
1373407320,1
1373412840,1
1373412900,1
1373413860,1
1373414160,1
1373421720,1
1373426760,1
1373427060,1
1373452320,1
1373452740,1
1373457840,1
1373463420,1
1373463600,1
1373466300,1
1373468340,1
1373484660,1
1373488140,1
1373492340,1
1373492820,1
1373493060,1
1373499540,1
1373501760,1
1373503500,1
1373515320,1
1373538840,1
1373543640,1
1373544300,1
1373545260,1
1373546100,1
1373548020,1
1373549280,1
1373557500,1
1373563500,1
1373578980,1
1373580900,1
1373583720,1
1373589180,1
1373601840,1
1373606400,1
1373606520,1
1373626920,1
1373652600,1
1373656080,1
1373658120,1
1373667120,2
1373680080,1
1373688960,1
1373693160,1
1373716320,1
1373717100,1
1373727120,1
1373727420,1
1373732880,1
1373733180,1
1373734680,1
1373736540,1
1373744220,1
1373745180,1
1373750280,1
1373751240,1
1373751840,1
1373754720,1
1373760600,1
1373764320,1
1373808600,1
1373818560,1
1373820120,1
1373821620,1
1373825340,1
1373826240,1
1373832780,1
1373835300,1
1373837520,1
1373843400,1
1373854920,1
1373856180,1
1373860320,1
1373866080,1
1373884800,1
1373886480,1
1373887680,1
1373891640,1
1373893680,1
1373897520,1
1373928780,1
1373930400,1
1373930520,2
1373933040,2
1373934540,1
1373938800,1
1373942580,1
1373963760,2
1373963880,1
1373963940,2
1373964000,1
1373964120,2
1373964180,1
1373964300,2
1373971980,1
1373979780,1
1373992740,1
1373997720,1
1374000960,1
1374002040,1
1374007080,1
1374012780,1
1374015540,1
1374015720,1
1374016620,1
1374017220,1
1374018240,1
1374023640,2
1374035700,1
1374057720,1
1374060600,2
1374062880,1
1374085680,1
1374098400,1
1374099480,1
1374102180,1
1374104640,1
1374105780,1
1374110340,1
1374143820,1
1374143940,1
1374148020,1
1374150780,1
1374151320,1
1374167580,1
1374170220,1
1374170940,1
1374181380,1
1374184080,1
1374187380,1
1374190500,1
1374194700,1
1374195840,1
1374198540,1
1374202920,1
1374211620,1
1374212220,1
1374229260,1
1374230100,1
1374233040,1
1374259860,4
1374259980,1
1374260040,1
1374260100,2
1374266040,1
1374270180,1
1374271740,1
1374273000,1
1374273120,1
1374273660,1
1374275340,1
1374284940,1
1374285900,1
1374323280,1
1374331020,1
1374333540,1
1374336240,1
1374339240,1
1374348540,1
1374354480,1
1374354600,1
1374366960,2
1374369300,1
1374403020,3
1374419940,1
1374422220,1
1374424860,1
1374426720,1
1374428820,1
1374430620,1
1374430800,1
1374431220,2
1374433380,1
1374434820,2
1374437220,1
1374437400,1
1374440100,2
1374441960,1
1374445740,1
1374447720,1
1374448080,1
1374453480,1
1374489300,1
1374489600,1
1374497880,1
1374499380,1
1374502320,1
1374515700,1
1374516600,1
1374516780,1
1374522720,1
1374523680,1
1374524760,1
1374526980,1
1374533220,1
1374536100,1
1374536220,1
1374545100,1
1374553440,1
1374555900,2
1374556020,2
1374575580,1
1374583560,1
1374588780,1
