datetime,departures
1371158340,1
1371160020,1
1371210300,1
1371212880,1
1371213480,1
1371217680,1
1371220560,1
1371230280,1
1371234120,1
1371238800,1
1371241140,1
1371242880,1
1371250140,1
1371260100,1
1371296820,1
1371315480,2
1371315840,2
1371319260,2
1371320040,1
1371323040,1
1371323400,1
1371326460,1
1371326580,1
1371332700,1
1371334500,1
1371335760,1
1371341520,2
1371341580,1
1371345900,2
1371353280,1
1371353820,2
1371384300,1
1371385500,1
1371389880,1
1371407580,1
1371409800,2
1371409920,1
1371410460,1
1371412440,1
1371413640,1
1371414300,1
1371421620,1
1371421980,2
1371422040,1
1371427380,1
1371439080,2
1371470040,1
1371472800,1
1371474240,1
1371475620,1
1371479700,1
1371482760,1
1371491100,1
1371491340,1
1371498840,1
1371502260,2
1371504180,1
1371520380,2
1371556080,1
1371556200,1
1371558780,1
1371559080,1
1371559140,1
1371561060,1
1371561180,1
1371562860,1
1371570960,2
1371576660,1
1371576840,1
1371576960,1
1371579300,1
1371583020,1
1371583440,1
1371591540,1
1371598680,1
1371609540,1
1371640260,1
1371642540,1
1371645480,1
1371647640,1
1371649020,1
1371662220,1
1371664320,1
1371669600,1
1371672360,1
1371672900,2
1371673380,1
1371673680,2
1371674400,1
1371674700,1
1371675540,1
1371677220,1
1371677340,1
1371677520,2
1371677880,1
1371678480,1
1371678840,1
1371679140,1
1371679860,2
1371679980,1
1371680280,1
1371681120,2
1371683100,1
1371683280,1
1371684240,1
1371685380,1
1371686280,1
1371688320,1
1371704400,1
1371724860,2
1371729000,1
1371731220,1
1371731820,1
1371735780,1
1371737820,1
1371738720,1
1371747480,1
1371747840,1
1371749580,1
1371751920,1
1371760260,2
1371760320,1
1371761100,1
1371764280,1
1371768780,1
1371771300,1
1371772680,2
1371773100,1
1371773580,1
1371775980,1
1371779160,1
1371779820,1
1371783300,1
1371815100,1
1371815340,1
1371815400,1
1371817980,1
1371818580,1
1371819960,1
1371820500,1
1371822480,1
1371826200,1
1371827640,1
1371832920,1
1371834360,1
1371835740,2
1371842460,2
1371846240,1
1371852060,1
1371856200,1
1371856260,1
1371857820,1
1371859440,2
1371862560,2
1371879720,1
1371883440,1
1371900540,2
1371900720,2
