datetime,departures
1371164100,1
1371211500,1
1371215340,1
1371218160,1
1371220260,1
1371222120,1
1371226440,1
1371227280,1
1371230520,1
1371236700,1
1371251340,1
1371254760,2
1371255780,1
1371307440,1
1371312360,1
1371317340,1
1371319740,1
1371324780,1
1371324900,1
1371325380,1
1371325680,1
1371327300,1
1371328320,1
1371329400,2
1371330960,1
1371338700,2
1371339420,1
1371340080,1
1371341220,1
1371346380,1
1371347040,1
1371347340,1
1371349680,1
1371349860,1
1371355320,1
1371392820,1
1371399060,1
1371399660,1
1371404820,1
1371408480,1
1371408600,1
1371412440,1
1371412680,1
1371420900,1
1371427020,1
1371433080,2
1371434160,1
1371434220,3
1371434280,3
1371439860,1
1371469260,1
1371470940,1
1371473580,1
1371478200,1
1371480240,2
1371481980,1
1371489180,1
1371491640,1
1371492600,1
1371494460,1
1371494520,1
1371496620,1
1371502200,1
1371507780,1
1371510180,1
1371511320,1
1371513600,2
1371516300,2
1371521580,1
1371555900,1
1371557520,1
1371562080,1
1371568560,1
1371572700,1
1371582480,2
1371585960,2
1371587220,1
1371591960,1
1371594060,1
1371598200,1
1371604020,1
1371633180,1
1371642840,1
1371644820,1
1371654000,1
1371666240,1
1371670200,1
1371682380,1
1371685980,1
1371686520,1
1371690540,1
1371697020,1
1371725520,1
1371733140,1
1371734760,1
1371735120,1
1371736980,1
1371754920,1
1371757500,1
1371762240,1
1371765420,1
1371767400,1
1371767880,1
1371769260,1
1371773580,1
1371773820,1
1371779880,1
1371783240,1
1371787140,1
1371810960,1
1371811200,1
1371815580,1
1371816360,1
1371819960,2
1371831840,1
1371845040,1
1371845700,1
1371847200,1
1371853680,1
1371858900,1
1371859500,1
1371862680,1
1371869700,1
1371872700,1
1371882480,1
1371884880,1
1371897960,1
1371906300,2
1371919140,1
1371920580,1
1371922200,2
1371922740,2
1371927240,1
1371929880,1
1371930480,1
1371932820,1
1371935760,1
1371939300,1
1371940620,1
1371941220,1
1371941700,1
1371941820,2
1371942300,3
1371951840,1
1371952920,1
1371952980,1
1371971460,1
1371993480,2
1372003800,1
1372003920,1
1372005240,1
1372006980,1
1372007040,2
1372010880,1
1372011060,1
1372011300,1
1372012680,1
1372015260,1
1372016400,1
1372018560,1
1372023480,2
1372028340,1
1372032000,1
1372032780,1
1372044360,1
1372044420,1
1372069740,1
1372078920,1
1372079760,2
1372079820,1
1372079880,1
1372083360,1
1372097220,1
1372113900,1
1372115520,1
1372116180,1
1372116600,1
1372116780,1
1372119480,1
1372121100,2
1372121460,1
1372131360,1
1372156140,1
1372159320,1
1372160880,1
1372161540,1
1372166880,1
1372167000,1
1372173360,1
1372178820,2
1372180680,1
1372182840,1
1372197780,1
1372198080,1
1372199040,1
1372200300,1
1372207920,1
1372224900,1
1372244040,1
1372248960,1
1372251960,1
1372252980,1
1372253340,1
1372260720,1
1372286220,1
1372287120,3
1372290120,1
1372293000,1
1372307700,1
1372315740,1
1372339320,1
1372339680,1
1372340400,1
1372350780,1
1372374060,1
1372375980,1
1372376820,1
1372378260,1
1372382700,1
1372419660,1
1372422420,1
1372425720,1
1372435140,1
1372437240,1
1372440420,1
1372443240,1
1372449480,1
1372450680,1
1372453800,1
1372455300,1
1372464780,1
1372464900,1
1372471680,1
1372473540,1
1372475760,1
1372507080,1
1372514280,1
1372515000,1
1372515420,1
1372516440,1
1372519140,1
1372520340,1
1372524420,1
1372526940,1
1372528680,2
1372528920,1
1372534680,1
1372535340,1
1372537260,1
1372546860,2
1372547040,1
1372550520,1
1372553460,1
1372553580,1
1372553820,2
1372555980,1
1372568100,1
1372568280,2
1372568340,2
1372568580,1
1372599780,1
1372608480,2
1372608600,1
1372610220,1
1372623780,2
1372626060,1
1372630560,1
1372631880,1
1372632540,1
1372633080,1
1372635360,1
1372636440,1
1372652460,1
1372679640,5
1372688040,1
1372719720,1
1372720800,1
1372729080,1
1372731900,1
1372764300,2
1372764360,5
1372764480,2
1372766220,1
1372773720,3
1372792860,1
1372793760,1
1372795080,1
1372801080,1
1372806000,1
1372852620,1
1372853940,2
1372856400,1
1372858200,1
1372858740,1
1372869300,1
1372876440,1
1372881840,2
1372885320,1
1372885380,1
1372886940,1
1372887780,1
1372889520,1
1372889940,1
1372894320,1
1372898040,1
1372899660,1
1372900320,1
1372901880,1
1372902180,1
1372903440,1
1372905000,1
1372906980,1
1372940460,1
1372945140,1
1372949940,1
1372950240,1
1372951320,1
1372953060,1
1372954320,1
1372954620,1
1372954680,1
1372955340,1
1372962540,1
1372968660,2
1372968840,1
1372970580,1
1372977240,2
1372978620,1
1372985280,1
1372985460,1
1372992120,1
1373032380,1
1373034060,1
1373035440,1
1373036700,1
1373039100,1
1373040540,1
1373050380,1
1373056440,1
1373059680,1
1373073360,1
1373080800,1
1373080920,1
1373085480,1
1373088660,1
1373112840,1
1373113140,1
1373114520,1
1373119080,1
1373121180,1
1373128440,1
1373143140,1
1373143200,1
1373143620,3
1373146140,1
1373154060,1
1373155560,1
1373178840,1
1373180400,1
1373197380,1
1373203020,6
1373209020,1
1373211900,2
1373212200,4
1373213100,1
1373213160,1
1373213220,1
1373213520,1
1373224320,1
1373238480,1
1373242080,1
1373284800,1
1373284920,1
1373289660,1
1373292900,6
1373296020,1
1373302860,1
1373307300,1
1373307540,1
1373308800,1
1373311980,1
1373317860,1
1373319720,8
1373327340,1
1373327700,1
1373331420,1
1373333160,1
1373333940,1
1373337060,1
1373372040,1
1373375040,1
1373376120,1
1373377920,2
1373379660,2
1373382060,1
1373388420,1
1373398560,1
1373403180,1
1373404740,1
1373405040,1
1373407980,1
1373412120,1
1373412540,1
1373417520,1
1373423520,1
1373425980,1
1373426940,1
1373432040,1
1373452680,1
1373453700,1
1373455320,1
1373456400,1
1373463120,3
1373463240,1
1373464920,2
1373469060,1
1373472480,1
1373501880,1
1373539680,1
1373539800,1
1373543400,1
1373546880,1
1373547300,1
1373562240,1
1373573520,1
1373583780,1
1373592540,1
1373596380,1
1373600400,1
1373603280,1
1373610660,1
1373627220,1
1373633400,1
1373636820,2
1373639280,1
1373650680,1
1373658840,1
1373665200,1
1373725920,1
1373727120,1
1373727180,1
1373728680,1
1373728800,1
1373733300,1
1373744040,1
1373755680,1
1373759280,1
1373764620,1
1373768640,1
1373803920,1
1373807040,1
1373807520,1
1373811900,1
1373812200,2
1373812320,1
1373813220,1
1373826240,1
1373829960,1
1373833020,2
1373834700,1
1373838060,1
1373839680,1
1373841720,1
1373843700,1
1373846880,1
1373847180,2
1373851440,1
1373884080,1
1373886300,1
1373887740,1
1373887980,1
1373891340,1
1373891520,1
1373891700,1
1373891880,1
1373894340,1
1373906160,1
1373907720,1
1373907840,1
1373922660,6
1373928900,1
1373929800,1
1373929920,1
1373931300,1
1373938920,1
1373938980,1
1373944140,1
1373944380,1
1373947560,1
1373972760,1
1373975880,1
1373978520,1
1373979780,1
1373980560,1
1373981220,1
1373981400,1
1373981520,1
1373984820,1
1373985180,1
1373994720,3
1373995860,1
1374000000,1
1374003600,1
1374004200,2
1374007860,2
1374015000,1
1374027780,1
1374057600,1
1374059280,1
1374061440,1
1374061620,1
1374062340,1
1374063060,1
1374064500,1
1374065460,1
1374065760,1
1374066000,1
1374066660,2
1374067800,2
1374067980,2
1374068040,1
1374068220,1
1374069960,1
1374081060,1
1374083280,1
1374084420,2
1374085080,1
1374086280,1
1374087720,1
1374094860,1
1374096660,1
1374102300,1
1374107340,1
1374110880,1
1374111960,1
1374144240,1
1374145620,1
1374149460,1
1374151440,1
1374152820,1
1374156120,1
1374169920,1
1374170220,1
1374170880,1
1374172440,1
1374173640,1
1374188460,1
1374194520,1
1374201420,1
1374213900,2
1374220500,1
1374232380,1
1374232920,2
1374232980,1
1374233100,2
1374233220,2
1374235440,1
1374235620,1
1374238440,1
1374239340,1
1374241020,1
1374243960,1
1374244800,1
1374248880,2
1374253200,1
1374264180,1
1374264780,1
1374279240,1
1374288660,1
1374289380,1
1374293940,1
1374323580,1
1374325560,1
1374326100,1
1374328500,1
1374329100,1
1374337080,1
1374337260,1
1374337740,1
1374338340,1
1374343860,1
1374344280,1
1374345840,1
1374347220,1
1374349740,1
1374350880,1
1374353520,1
1374356460,1
1374357480,1
1374359760,1
1374361920,1
1374379020,1
1374380880,1
1374405660,1
1374414000,1
1374414480,2
1374414780,2
1374414840,1
1374414960,1
1374415500,1
1374415860,2
1374417060,1
1374417420,1
1374423180,1
1374424680,1
1374429840,1
1374432180,1
1374436860,1
1374439320,1
1374439380,1
1374441420,2
1374441960,1
1374442200,1
1374442440,1
1374443940,1
1374445860,1
1374446280,1
1374447720,1
1374450660,1
1374467700,1
1374467760,1
1374496320,1
1374497460,1
1374500520,1
1374516000,1
1374521520,1
1374526200,1
1374528480,1
1374535920,1
1374536760,2
1374539640,1
1374551100,1
1374580140,1
1374581580,1
1374585780,1
1374586560,1
1374590520,1
1374593100,1
1374599340,1
1374609660,1
1374611400,1
1374611520,1
1374612780,1
1374620880,1
1374621780,1
1374622980,1
1374629040,1
1374629160,1
1374634620,1
1374661920,1
1374663900,1
1374665220,1
1374666000,1
1374668700,1
1374669180,1
1374669480,1
1374670200,1
1374672240,1
1374672960,1
1374681120,1
1374699600,1
1374708660,1
1374714060,1
1374716640,1
1374751140,1
1374752700,1
1374754320,1
1374754920,1
1374755220,1
1374757560,1
1374758220,1
1374758340,1
1374758880,1
1374763080,1
1374765540,1
1374780060,1
1374796740,1
1374800580,1
1374802380,1
1374802440,1
1374805380,1
1374837840,1
1374839160,1
1374845940,1
1374846240,1
1374850860,1
1374861000,2
1374866760,1
1374867300,1
1374879660,1
1374882120,1
1374887820,1
1374889320,1
1374893940,1
1374894060,1
1374899580,1
1374911820,2
1374911880,1
1374912180,1
1374912300,2
1374916200,1
1374919800,1
1374926460,1
1374931140,1
1374931800,1
1374935280,1
1374941100,1
1374943440,1
1374944220,1
1374944340,1
1374946380,3
1374946920,1
1374954900,2
1374957240,1
1374957840,1
1374972780,1
1374975660,2
1374977640,1
1374983580,1
1374986400,1
1375016760,1
1375019340,1
1375019520,1
1375020360,3
1375020480,4
1375021080,1
1375024620,1
1375028340,1
1375030680,1
1375031100,1
1375032900,1
1375033020,1
1375038960,1
1375041300,1
1375042500,1
1375043880,2
1375046820,1
1375051740,1
1375093080,1
1375095360,1
1375096740,1
1375097580,1
1375097880,1
1375098120,1
1375103760,1
1375116000,1
1375117440,1
1375127040,1
1375133580,1
1375139040,1
1375140720,1
1375141860,1
1375143720,1
1375143840,1
1375146240,1
1375152780,2
1375169220,1
1375169280,1
1375183980,1
1375184880,2
1375185960,1
1375189920,1
1375190040,1
1375191000,1
1375191300,1
1375203540,1
1375225080,1
1375226280,1
1375226460,1
1375226640,1
1375226880,1
1375229160,1
1375230720,1
1375231740,1
1375231860,1
1375235640,1
1375236240,1
1375236840,1
1375239540,2
1375243500,1
1375244520,1
1375257840,1
1375266180,1
1375270080,2
1375271820,1
1375273020,1
1375276140,1
1375276620,1
1375283820,1
1375286760,1
1375289040,1
1375291020,1
1375296600,1
1375303620,1
1375307520,1
1375310880,1
1375311780,1
1375313940,1
1375317240,1
1375321920,1
1375331340,1
1375336140,1
1375346100,1
1375355820,1
1375358280,1
1375358940,1
1375359180,1
1375359600,1
1375360920,1
1375367640,1
1375371000,1
1375395360,1
1375399620,1
1375401480,1
1375402380,1
1375408620,1
1375423440,1
1375427940,2
1375431300,1
1375432620,1
1375444860,1
1375445640,1
1375447920,1
1375484340,1
1375485600,1
1375486500,2
1375490400,1
1375496100,1
1375496340,1
1375497900,1
1375533240,1
1375538820,1
1375546800,1
1375560600,1
1375562520,1
1375562940,1
1375571340,1
1375571580,1
1375572660,1
1375574040,1
1375575180,1
1375575960,1
1375577580,1
1375584240,2
1375589460,1
1375589580,1
1375589880,2
1375621740,1
1375623840,1
1375625280,1
1375625400,1
1375633200,1
1375634880,2
1375636680,1
1375642260,1
1375646820,1
1375647000,1
1375647540,1
1375647840,1
1375647960,1
1375651080,1
1375651740,1
1375652040,1
1375654080,1
1375656540,1
1375658220,1
1375661220,1
1375661700,1
1375671660,1
1375673580,1
1375673640,1
1375686000,1
1375691580,1
1375705320,2
1375706880,1
1375707060,1
1375708020,1
1375710240,1
1375712520,1
1375729320,1
1375729800,1
1375731540,1
1375731720,1
1375736040,1
1375744620,1
1375745640,1
1375754220,1
1375778220,1
1375790280,1
1375790640,1
1375790940,1
1375794180,1
1375795740,1
1375816440,1
1375820880,1
1375825440,1
1375829040,1
1375829820,1
1375830720,1
1375831380,2
1375833540,1
1375833960,1
1375834380,1
1375835100,1
1375835220,1
1375836240,1
1375839780,1
1375840320,2
1375875960,1
1375878240,1
1375878360,1
1375878600,1
1375879320,1
1375884240,1
1375887300,1
1375891920,1
1375897680,1
1375902240,1
1375916520,1
1375918920,1
1375920900,1
1375922040,1
1375925040,1
1375959540,1
1375962900,1
1375963380,1
1375965480,1
1375965660,1
1375967760,1
1375976220,1
1375978260,1
1375979640,1
1375996200,1
1375997820,1
1376006880,1
1376010480,1
1376012640,2
1376047320,1
1376048760,1
1376065380,1
1376065500,1
1376068800,1
1376072460,1
1376075340,1
1376078580,1
1376081700,1
1376093160,1
1376096460,1
1376097840,1
1376112780,1
1376142960,1
1376144640,1
1376146380,1
1376149500,1
1376153460,1
1376155140,1
1376157900,1
1376161320,1
1376164680,1
1376165640,1
1376165820,1
1376167500,1
1376168820,1
1376168880,2
1376173860,1
1376174040,1
1376178060,1
1376178900,1
1376182860,1
1376197980,1
1376225880,1
1376225940,1
1376232060,1
1376233800,1
