datetime,departures
1371153240,1
1371154020,1
1371155220,1
1371155400,2
1371157980,1
1371158640,1
1371158940,1
1371159000,2
1371159360,1
1371159780,1
1371160080,1
1371160380,1
1371162600,1
1371162780,2
1371163080,1
1371164280,1
1371165060,1
1371165480,1
1371190380,1
1371211620,1
1371213000,1
1371213780,1
1371225900,1
1371230640,1
1371231720,1
1371232860,1
1371233220,1
1371235020,1
1371237480,1
1371237840,1
1371239760,1
1371241320,1
1371242220,1
1371243480,1
1371243720,1
1371244140,1
1371244440,2
1371244680,1
1371246240,1
1371246540,1
1371246660,1
1371246780,1
1371246900,1
1371247200,1
1371247380,1
1371247620,1
1371247680,1
1371247800,1
1371248160,1
1371248880,1
1371253320,1
1371255540,1
1371255600,1
1371255720,1
1371255900,1
1371256140,1
1371267180,1
1371269520,1
1371271320,1
1371271620,1
1371274680,2
1371284520,1
1371298680,1
1371304980,1
1371306480,1
1371308220,1
1371308580,3
1371310980,1
1371311100,2
1371312660,1
1371313140,1
1371314820,1
1371314880,1
1371316860,1
1371318660,2
1371318960,2
1371320460,1
1371320760,1
1371321240,2
1371322620,1
1371323340,1
1371323580,1
1371323640,1
1371324060,1
1371324240,1
1371324720,2
1371325320,1
1371326460,1
1371326520,1
1371326580,3
1371326640,1
1371327000,1
1371328320,1
1371328560,1
1371328800,1
1371330600,2
1371331140,1
1371331620,2
1371331740,1
1371332340,1
1371332700,3
1371333300,1
1371333780,1
1371334140,2
1371334440,1
1371335760,1
1371339180,2
1371339300,1
1371339360,2
1371339540,1
1371340440,3
1371340680,1
1371341820,1
1371341880,2
1371342120,1
1371345060,1
1371345240,2
1371345360,1
1371347640,2
1371347700,1
1371347880,1
1371348300,1
1371358200,2
1371358380,3
1371358680,3
1371360840,1
1371361140,2
1371366960,1
1371379020,1
1371379380,1
1371388200,1
1371390300,1
1371392040,2
1371395100,1
1371396840,1
1371397680,2
1371397860,2
1371398040,1
1371399180,2
1371402000,1
1371402060,1
1371403020,1
1371403140,1
1371404040,1
1371404880,3
1371405240,2
1371407040,1
1371408600,1
1371409380,1
1371410580,1
1371410640,1
1371411000,1
1371411120,2
1371411300,1
1371411420,2
1371411780,1
1371411900,1
1371412020,1
1371412140,1
1371412740,1
1371412860,1
1371414180,1
1371414840,2
1371418140,1
1371418920,1
1371418980,2
1371419100,1
1371419460,2
1371419640,1
1371420060,1
1371420180,1
1371422400,1
1371422880,1
1371423360,1
1371423480,1
1371424320,1
1371425040,2
1371425280,1
1371425760,2
1371426480,1
1371428580,1
1371428640,1
1371430740,1
1371432540,2
1371432660,1
1371432960,1
1371433440,1
1371435240,2
1371439080,1
1371439980,1
1371440040,1
1371446280,1
1371469980,1
1371475440,1
1371476400,1
1371482760,1
1371482940,1
1371486960,1
1371487260,1
1371487740,1
1371489060,3
1371489240,1
1371492000,1
1371493620,1
1371495480,1
1371499440,1
1371499560,1
1371500400,1
1371501420,1
1371503280,1
1371503880,1
1371504420,2
1371504600,2
1371504900,1
1371505200,1
1371505740,1
1371505920,1
1371506220,1
1371506640,1
1371507780,1
1371508080,1
1371508140,1
1371508320,1
1371508440,1
1371508620,1
1371509580,2
1371511020,1
1371511080,1
1371511740,1
1371511980,1
1371512040,1
1371512100,1
1371513240,1
1371513600,1
1371514680,1
1371515820,1
1371516000,1
1371516060,1
1371516480,1
1371516840,1
1371518640,1
1371518940,1
1371521280,1
1371521580,1
1371524580,1
1371529020,1
1371529740,1
1371530220,1
1371535380,2
1371552000,1
1371553680,1
1371558240,1
1371561300,1
1371573960,1
1371574320,1
1371576600,1
1371578580,1
1371578880,1
1371582720,1
1371583500,1
1371584220,1
1371585240,1
1371589860,1
1371589980,1
1371590460,1
1371590640,1
1371591000,1
1371591240,1
1371591540,1
1371594360,1
1371595200,1
1371600420,1
1371603780,1
1371606480,1
1371609660,1
1371646440,1
1371646740,1
1371651060,1
1371651420,5
1371651480,4
1371651720,1
1371651780,1
1371652860,1
1371654660,1
1371655380,1
1371655740,1
1371656040,1
1371657840,1
1371658440,1
1371659820,2
1371659940,1
1371661380,1
1371665760,1
1371667380,1
1371668400,1
1371669120,2
1371671040,1
1371673740,2
1371676020,2
1371676320,2
1371676680,3
1371677160,1
1371677520,1
1371677640,1
1371678120,1
1371678960,1
1371679380,1
1371679500,1
1371679860,1
1371680040,1
1371680280,1
1371680760,1
1371681240,1
1371681900,1
1371681960,1
1371682740,1
1371682860,1
1371683220,2
1371683520,1
1371683640,1
1371684000,2
1371684240,2
1371684300,1
1371686040,1
1371686280,1
1371686880,1
1371686940,1
1371687360,1
1371687720,1
1371688620,1
1371688680,1
1371688800,1
1371689640,1
1371691080,1
1371691200,2
1371692280,1
1371694980,1
1371695640,2
1371696780,2
1371697620,1
1371699480,1
