datetime,departures
1375534680,1
1375536180,2
1375536300,1
1375536660,2
1375536840,1
1375537020,2
1375537260,2
1375538100,1
1375538700,1
1375539060,1
1375539600,1
1375539840,1
1375540200,2
1375540500,2
1375540560,1
1375540620,1
1375540740,1
1375540860,1
1375541280,1
1375541520,1
1375541880,1
1375542120,1
1375542420,2
1375542720,1
1375543020,1
1375543380,2
1375543500,1
1375543860,1
1375544040,1
1375544700,1
1375545240,1
1375545600,2
1375545960,2
1375546080,1
1375546440,1
1375546680,1
1375546920,1
1375547700,1
1375547760,2
