datetime,departures
1371209160,1
1371318960,1
1371360240,1
1371405240,1
1371420420,1
1371426480,1
1371429720,1
1371468060,1
1371553980,1
1371557640,1
1371584820,1
1371640740,1
1371651360,1
1371651480,1
1371688020,1
1371727080,1
1371736860,1
1371766560,1
1371770100,1
1371770760,2
1371773820,1
1371813360,1
1371815460,1
1371823140,1
1371853260,1
1371897600,1
1371915240,1
1371922920,2
1371927240,1
1371928620,1
1371931860,1
1371933120,2
1371937860,1
1372009440,1
1372015680,1
1372021560,1
1372021680,3
1372050660,1
1372072440,1
1372099560,1
1372158420,1
1372171860,1
1372173000,1
1372185720,1
1372199280,1
1372244820,1
1372245240,1
1372247820,1
1372282500,1
1372319700,3
1372371000,1
1372415580,1
1372420560,1
1372462440,1
1372503480,1
1372540800,2
1372681860,1
1372682520,5
1372774380,1
1372839240,1
1372849980,1
1372853640,1
1372858620,2
1372862340,1
1372869720,1
1372875060,1
1372875360,1
1372978260,1
1373047260,1
1373067240,1
1373069220,2
1373150280,2
1373219880,1
1373226000,1
1373235600,1
1373236680,1
1373241660,1
1373248620,1
1373280600,1
1373292900,1
1373294640,1
1373296020,1
1373316180,1
1373316780,1
1373368140,1
1373374140,1
1373385600,1
1373470800,1
1373478900,1
1373480520,1
1373502960,1
1373540940,1
1373546880,1
1373556300,1
1373581620,1
1373627520,1
1373628480,1
1373632380,1
1373668440,1
1373716320,1
1373726040,1
1373758560,1
1373766420,1
1373766480,1
1373808360,1
1373809980,1
1373848320,1
1373886480,1
1373896740,1
1373972220,1
1373979720,1
1373980140,1
1374001440,1
1374016080,1
1374029640,1
1374058380,1
1374066660,1
1374067560,1
1374103200,1
1374103320,1
1374107280,1
1374145920,1
1374152280,1
1374152820,1
1374179640,1
1374231780,1
1374235020,1
1374242880,1
1374273180,1
1374273900,1
1374320580,1
1374334020,1
1374340680,1
1374343860,1
1374373680,1
1374411780,1
1374431820,1
1374436800,1
1374491580,1
1374501060,1
1374512280,1
1374522360,1
1374522780,1
1374525300,1
1374530760,1
1374531540,1
1374533940,1
1374540660,1
1374582060,1
1374585000,1
1374585120,1
1374591360,1
1374607740,1
1374617520,1
1374664260,1
1374670200,1
1374670380,1
1374672180,1
1374676680,1
1374691320,1
1374704820,1
1374704940,1
1374720240,1
1374750660,1
1374785700,1
1374819180,1
1374837120,1
1374842340,1
1374843120,1
1374859620,1
1374877440,1
1374877560,1
1374881340,1
1374922740,1
1374935580,1
1374948960,2
1374964800,1
1374985020,9
1374985200,1
1375018380,1
1375019940,1
1375022220,1
1375042620,1
1375049700,2
1375096080,1
1375112820,1
1375140180,1
1375156020,7
1375156200,1
1375182780,1
1375189920,1
1375190280,1
1375204620,1
