datetime,departures
1371155700,1
1371159540,1
1371159780,1
1371161280,1
1371162360,1
1371163320,1
1371163680,1
1371164220,1
1371165300,1
1371214140,1
1371214740,1
1371215760,1
1371224400,1
1371224460,1
1371226920,1
1371227400,1
1371228540,1
1371231180,1
1371232680,1
1371233100,1
1371233220,1
1371236700,1
1371240900,1
1371243240,1
1371243720,1
1371246000,1
1371247140,2
1371247500,1
1371248160,2
1371250440,1
1371250680,1
1371250980,2
1371251040,1
1371251100,3
1371251220,4
1371251340,4
1371251700,1
1371253080,1
1371254220,1
1371256620,2
1371257520,1
1371259080,1
1371261720,1
1371261840,1
1371263460,1
1371301980,2
1371303600,1
1371309060,1
1371311280,2
1371312420,1
1371312960,1
1371313560,1
1371314640,2
1371315300,1
1371317340,1
1371317820,1
1371318540,1
1371319260,1
1371320460,2
1371320580,2
1371323640,1
1371323760,2
1371323940,1
1371324060,1
1371324180,1
1371324420,1
1371325500,1
1371327720,1
1371335400,1
1371335940,1
1371336000,1
1371337440,1
1371337860,1
1371338220,1
1371338760,1
1371339900,2
1371340200,1
1371341340,1
1371341580,2
1371342780,1
1371343680,1
1371344760,2
1371346080,1
1371353520,3
1371354960,1
1371356940,1
1371358680,1
1371361740,3
1371361800,3
1371361860,3
1371361920,1
1371362880,1
1371363240,1
1371389700,2
1371392820,1
1371393420,1
1371393960,2
1371396120,1
1371398220,1
1371400140,1
1371402600,3
1371402720,2
1371402780,1
1371403560,2
1371404280,1
1371404340,2
1371404580,1
1371405000,1
1371405120,1
1371407040,1
1371407160,1
1371407220,1
1371409260,1
1371409980,1
1371410160,1
1371411180,1
1371412260,1
1371412740,1
1371414120,2
1371417060,1
1371418680,1
1371421020,1
1371443520,2
1371446640,1
1371466020,1
1371467580,1
1371469380,1
1371470640,1
1371470700,1
1371474420,1
1371474840,1
1371477060,1
1371487740,1
1371488340,1
1371488700,1
1371488820,1
1371490200,1
1371490980,1
1371492480,1
1371493260,1
1371495300,1
1371495480,1
1371500820,1
1371502140,1
1371503040,1
1371504600,2
1371505620,1
1371505920,1
1371506700,1
1371506820,1
1371507240,1
1371507420,1
1371508440,1
1371508920,1
1371509220,1
1371509520,1
1371510000,1
1371510360,3
1371511500,1
1371513720,1
1371518460,2
1371520380,1
1371526140,1
1371526860,1
1371551700,1
1371553020,1
1371553860,1
1371555360,1
1371555900,1
1371556200,1
1371556380,1
1371558720,1
1371560160,1
1371563220,1
1371563460,1
1371568680,2
1371571380,1
1371572160,1
1371572280,2
1371572820,1
1371574680,1
1371575760,1
1371575880,1
1371579840,1
1371580500,1
1371584940,1
1371588120,1
1371588180,1
1371590640,1
1371594900,1
1371597180,1
1371601500,1
1371617100,1
1371638700,1
1371639360,1
1371639600,1
1371643320,1
1371644340,1
1371644940,1
1371645420,2
1371646500,1
1371646620,1
1371649020,2
1371650640,1
1371655140,1
1371657300,1
1371657360,1
1371658440,1
1371660480,1
1371660960,1
1371662220,1
1371663300,1
1371665640,1
1371665820,1
1371667680,2
1371669240,2
1371671040,1
1371671340,1
1371672360,3
1371673500,1
1371673920,1
1371676020,1
1371676140,1
1371676560,1
1371676740,1
1371678120,1
1371678540,1
1371678840,1
1371679020,1
1371679380,1
1371679500,1
1371679860,2
1371680040,1
1371680280,1
1371680760,1
1371681420,1
1371681780,4
1371682560,1
1371683700,1
1371684060,1
1371684600,2
1371684720,2
1371685020,1
1371685560,2
1371686400,1
1371687600,1
1371688440,1
1371690540,1
1371690900,2
1371692280,1
1371693480,1
1371693900,1
1371696780,1
1371697440,1
1371697800,1
1371701340,1
1371725160,1
1371728280,1
1371730020,1
1371730440,1
1371730920,1
1371731640,1
1371732960,2
1371733680,1
1371734100,1
1371734160,1
1371735300,1
1371736680,1
1371737820,1
1371738360,2
1371739500,1
1371741540,1
1371745500,1
1371745680,1
1371746160,2
1371747240,1
1371748860,1
1371750780,1
1371751020,1
1371753420,1
1371755520,1
1371757920,1
1371758220,1
1371759360,1
1371759540,1
1371761100,1
1371761400,1
1371761460,1
1371764100,1
1371764640,1
1371766440,2
1371767100,1
1371767640,2
1371768060,1
1371768480,2
1371768780,1
1371769440,1
1371770760,1
1371770880,1
1371771180,1
1371771600,1
1371776760,1
1371776940,1
1371780180,1
1371786960,1
1371811260,1
1371812880,1
1371813960,1
1371814260,1
1371815100,1
1371816120,1
1371816600,1
1371817320,1
1371818220,1
1371818400,1
1371819960,2
1371820860,1
1371821340,1
1371825600,1
1371826680,1
1371828900,2
1371829980,1
1371831180,1
1371832260,1
1371832920,2
1371832980,2
1371833760,1
1371834420,1
1371834840,1
1371835380,1
1371837420,3
1371837660,1
1371838200,1
1371840540,1
1371840660,1
1371842160,2
1371842820,1
1371843060,1
1371847500,1
1371849480,1
1371849540,1
1371850440,1
1371850680,1
1371851940,1
1371852120,1
1371855240,3
1371855660,1
1371856260,2
1371856320,1
1371856740,1
1371857340,1
1371860100,2
1371860400,1
1371861060,1
1371861240,1
1371861720,1
1371891480,1
1371891720,1
1371893940,1
1371897780,1
1371903840,1
1371904320,2
1371909780,1
1371913320,1
1371914220,1
1371914880,1
1371915120,1
1371917580,1
1371918300,2
1371922260,1
1371922440,2
1371922560,1
1371926220,1
1371926460,2
1371926700,2
1371927480,4
1371928200,1
1371928440,1
1371929580,2
1371933480,1
1371934380,1
1371934560,2
1371935880,1
1371936600,4
1371937860,2
1371938100,2
1371938160,1
1371938280,1
1371938640,1
1371940560,1
1371943200,1
1371944340,1
1371946740,2
1371947340,1
1371949380,1
1371950040,1
1371950160,1
1371950640,1
1371951840,1
1371958200,2
1371961620,1
1371971640,1
1371971820,1
1371971940,1
1371984720,1
1371990360,1
1371999180,2
1371999420,3
1372002600,2
1372003680,1
1372003800,1
1372004160,1
1372006620,1
1372006680,2
1372006980,2
1372007100,1
1372007280,1
1372008480,2
1372009860,1
1372010160,1
1372010460,1
1372010580,1
1372012740,1
1372013580,1
1372013640,1
1372014780,1
1372017540,1
1372019100,2
1372019220,2
1372019340,1
1372019460,2
1372020300,1
1372020840,1
1372021380,1
1372022100,1
1372023480,1
1372023600,1
1372024560,1
1372024620,1
1372024980,1
1372026720,3
1372026900,1
1372027320,1
1372028340,1
1372028760,1
1372031100,1
1372034220,1
1372034460,1
1372035060,1
1372036620,1
1372039080,2
1372042020,1
1372071780,1
1372073520,1
1372073820,1
1372074120,1
1372074420,1
1372074480,1
1372076820,1
1372077540,1
1372079220,1
1372079520,1
1372081560,1
1372092660,1
1372093260,1
1372096500,2
1372097580,1
1372099380,3
1372099620,2
1372102320,2
1372104600,1
1372105140,1
1372107480,1
1372108380,1
1372108980,1
1372109040,1
1372109100,1
1372110000,1
1372111320,1
1372111620,1
1372112220,3
1372112940,1
1372113480,1
1372113540,2
1372114740,1
1372115280,1
1372115400,1
1372115640,1
1372116660,1
1372116960,1
1372117020,1
1372120320,1
1372121100,1
1372122660,1
1372128000,1
1372131060,1
1372135200,1
1372139580,1
1372158720,1
1372158900,1
1372161060,1
1372161300,1
1372163100,1
1372163220,1
1372163880,1
1372165020,1
1372165740,1
1372169820,2
1372170060,1
1372170300,1
1372170900,1
1372171560,1
1372173240,1
1372173660,1
1372174320,1
1372176060,1
1372176300,1
1372176780,1
1372177680,2
1372178820,1
1372183080,1
1372183440,1
1372185600,1
1372187280,1
1372187940,1
1372190100,2
1372190640,2
1372192260,2
1372192740,1
1372193460,1
1372193880,1
1372194060,1
1372197420,1
1372197480,1
1372197840,1
1372198860,1
1372199820,1
1372200120,1
1372201620,1
1372201920,1
1372202280,1
1372203540,1
1372204500,1
1372204620,1
1372205280,1
1372205520,1
1372206540,1
1372209000,2
1372209960,1
1372210680,1
1372212060,1
1372214280,1
1372216200,1
1372222140,1
1372222740,1
1372244220,1
1372244820,1
1372246020,1
1372247460,1
1372249500,1
1372251300,1
1372251780,1
1372252380,1
1372256880,1
1372257480,1
1372264740,3
1372265760,1
1372266000,1
1372266780,1
1372267260,1
1372267620,1
1372268340,1
1372268940,2
1372269060,1
1372269480,1
1372269600,1
1372271280,1
1372272420,1
1372273500,1
1372275540,1
1372277400,1
1372278120,1
1372278840,1
1372280580,1
1372280700,1
1372281120,1
1372283160,1
1372283280,1
1372283940,1
1372284060,3
1372284120,4
1372284240,1
1372284360,1
1372284420,1
1372284480,1
1372285080,1
1372285560,1
1372285980,1
1372286160,2
1372286220,1
1372286280,1
1372286400,1
1372286700,1
1372286880,1
1372287360,1
1372287540,1
1372287780,1
1372289040,1
1372289100,1
1372291920,1
1372295100,1
1372301400,1
1372317060,1
1372329480,1
1372329600,1
1372330680,1
1372331040,1
1372333080,1
1372333140,1
1372333500,1
1372335420,1
1372335660,1
1372336500,1
1372336800,2
1372337880,1
1372341120,3
1372343760,1
1372344660,1
1372344780,1
1372344900,2
1372345320,1
1372349280,1
1372350840,1
1372351260,1
1372358100,2
1372360380,1
1372361580,1
1372363260,1
1372364520,1
1372370400,4
1372374060,1
1372375140,4
1372376340,1
1372376460,2
1372376520,1
1372376700,2
1372376760,2
1372379640,1
1372380000,1
1372383840,1
1372388580,1
1372392060,1
1372393920,1
1372398060,1
1372417560,1
1372418160,1
1372419660,1
1372421760,1
1372424580,1
1372425720,2
1372426260,1
1372426560,1
1372427760,1
1372427940,1
