datetime,departures
1371150720,1
1371153780,1
1371155700,1
1371155820,1
1371156000,1
1371156060,1
1371157080,1
1371157260,1
1371158520,1
1371158640,1
1371158700,2
1371159480,1
1371159660,1
1371159720,1
1371160020,1
1371160140,1
1371160200,1
1371160680,1
1371160800,1
1371160980,1
1371162240,1
1371162420,2
1371162480,1
1371163080,1
1371163200,2
1371163680,1
1371163860,1
1371164220,1
1371164340,1
1371164460,1
1371164760,1
1371169260,1
1371203400,1
1371210000,1
1371210720,1
1371211500,1
1371211620,2
1371211800,1
1371212760,2
1371212880,1
1371213060,1
1371213720,1
1371214500,1
1371215220,1
1371215340,1
1371216000,1
1371216180,1
1371217560,1
1371219480,1
1371221100,1
1371223800,1
1371225840,1
1371226440,3
1371226620,2
1371227700,1
1371228300,1
1371228540,1
1371230520,1
1371230580,1
1371230820,1
1371231840,1
1371232860,1
1371232920,1
1371233760,1
1371233880,1
1371234240,1
1371234420,1
1371234900,1
1371235020,1
1371235260,1
1371235500,1
1371236640,1
1371237360,1
1371237540,1
1371239400,1
1371239580,1
1371241080,1
1371241320,1
1371241980,1
1371242340,2
1371242580,1
1371243960,2
1371244140,1
1371244800,1
1371245700,1
1371245760,1
1371245880,1
1371246660,1
1371247020,1
1371247620,1
1371247800,1
1371247980,1
1371249120,1
1371249240,2
1371249300,1
1371249360,1
1371249660,1
1371249960,2
1371250920,1
1371251100,1
1371251160,1
1371253440,1
1371261060,1
1371266340,1
1371286500,1
1371288660,1
1371295860,1
1371301140,1
1371301620,1
1371301680,1
1371304800,1
1371304860,1
1371307260,1
1371307560,2
1371308700,1
1371308760,1
1371309600,1
1371310080,1
1371310980,2
1371311040,1
1371316740,1
1371317280,1
1371317880,1
1371318480,1
1371318600,1
1371319500,2
1371320100,1
1371322500,1
1371324900,1
1371325320,2
1371327060,1
1371329700,1
1371330300,1
1371330720,2
1371334680,1
1371334980,1
1371336480,1
1371336600,1
1371337500,1
1371338880,1
1371339060,3
1371340680,1
1371341160,1
1371342720,1
1371342780,1
1371343500,1
1371345720,1
1371346080,1
1371350700,1
1371363600,1
1371365700,2
1371366120,2
1371369660,1
1371383280,1
1371384420,1
1371384660,1
1371392400,1
1371393600,1
1371393780,1
1371394020,1
1371394560,1
1371394980,1
1371398340,2
1371398700,3
1371406680,1
1371406980,1
1371407040,1
1371407160,1
1371407460,1
1371410280,1
1371412140,1
1371412560,1
1371413340,1
1371418320,1
1371418680,1
1371423000,1
1371424260,1
1371428520,1
1371434040,1
1371434160,1
1371434220,1
1371436440,1
1371442260,1
1371442380,1
1371443160,1
1371462360,1
1371462960,1
1371467340,1
1371467700,1
1371468240,2
1371468360,1
1371468540,1
1371469140,1
1371469560,1
1371469740,1
1371470160,1
1371470220,1
1371471240,1
1371472440,1
1371472500,1
1371472620,2
1371473760,1
1371475080,1
1371475680,1
1371475920,1
1371476340,1
1371476460,1
1371476820,2
1371477420,1
1371479100,1
1371479880,7
1371479940,2
1371480000,2
1371480660,1
1371482940,1
1371484800,1
1371486660,1
1371488940,1
1371489540,1
1371490860,3
1371491460,1
1371492900,2
1371493860,1
1371494220,2
1371494700,1
1371498240,1
1371501960,1
1371502200,3
1371502380,1
1371503460,1
1371504060,3
1371504300,1
1371504900,1
1371505200,2
1371505440,1
1371505620,1
1371505920,1
1371506040,3
1371506160,1
1371506460,1
1371506700,1
1371506820,1
1371506940,2
1371507060,1
1371507240,1
1371507420,2
1371507600,1
1371507780,3
1371507840,1
1371508140,2
1371508380,1
1371509160,1
1371509340,1
1371509400,2
1371509520,1
1371509580,1
1371509700,3
1371510000,1
1371510480,1
1371510780,2
1371510960,1
1371511080,1
1371511320,1
1371511380,1
1371511620,2
1371511680,1
1371511800,1
1371511980,1
1371513900,1
1371514140,1
1371515880,1
1371520680,1
1371529860,1
1371530700,1
1371542700,2
1371550860,1
1371553620,1
1371553980,1
1371554220,1
1371555360,1
1371555540,1
1371556260,1
1371557520,1
1371558300,1
1371558720,1
1371558780,1
1371558900,1
1371558960,2
1371559020,1
1371559920,2
1371560460,1
1371560700,2
1371561360,1
1371562980,1
1371563280,1
1371563880,1
1371563940,1
1371564240,1
1371564300,1
1371565440,1
1371565680,1
1371566280,2
1371566880,2
1371567600,1
1371567840,1
1371567960,1
1371568440,1
1371568680,1
1371571080,1
1371571260,1
1371571320,1
1371571620,1
1371572160,1
1371572400,1
1371573120,1
1371574560,4
1371576420,1
1371576720,2
1371576840,1
1371577020,1
1371577140,1
1371577560,1
1371578340,1
1371578460,1
1371578640,1
1371580500,1
1371580860,1
1371582180,1
1371582240,1
1371583260,1
1371583980,1
1371585000,1
1371587100,1
1371587220,1
1371588000,1
1371588180,1
1371590160,1
1371591120,1
1371591600,1
1371591780,1
1371596100,1
1371599220,1
1371600000,1
1371602520,1
1371602880,1
1371603780,1
1371604260,1
1371604320,1
1371609540,3
1371610320,1
1371620640,1
1371625320,2
1371641220,1
1371641460,1
1371641580,1
1371641640,3
1371641820,2
1371642240,1
1371642660,2
1371642960,2
1371644100,1
1371644700,1
1371644820,2
1371645120,1
1371645360,1
1371645780,2
1371646620,1
1371647640,1
1371647700,1
1371648600,1
1371649140,2
1371649980,2
1371650820,1
1371655860,1
1371656760,1
1371657240,1
1371657840,1
1371658860,1
1371659280,1
1371659580,1
1371659700,1
1371660180,1
1371660840,1
1371661080,1
1371661200,1
1371661500,1
1371661980,1
1371662160,1
1371662520,1
1371663360,1
1371663420,1
1371664260,1
1371664440,1
1371666120,1
1371666600,2
1371666660,1
1371667140,1
1371668100,1
1371668220,1
1371668700,1
1371669540,1
1371669660,1
1371670200,1
1371670800,1
1371671580,1
1371671640,1
1371672720,1
1371673560,1
1371674340,1
1371675720,1
1371676500,1
1371676560,1
1371676680,1
1371677040,2
1371677340,1
1371677580,1
1371677640,1
1371677880,1
1371678000,1
1371678120,1
1371678240,2
1371678480,2
1371678660,4
1371678780,2
1371678840,2
1371679020,1
1371679080,3
1371679680,1
1371679860,2
1371680460,1
1371680580,1
1371680880,1
1371681000,2
1371681180,1
1371681600,1
1371681660,1
1371681900,2
1371682080,1
1371682200,1
1371682500,3
1371682620,2
1371682740,1
1371682860,3
1371682980,1
1371683040,1
