datetime,departures
1371153780,1
1371224580,1
1371237540,1
1371240600,1
1371250800,1
1371339240,1
1371339300,1
1371412980,1
1371424980,1
1371425160,1
1371469620,1
1371480420,1
1371492600,1
1371499260,1
1371574140,1
1371578820,1
1371582120,1
1371585780,1
1371586080,1
1371639720,1
1371650820,1
1371662160,1
1371665520,1
1371666720,1
1371672300,1
1371672480,1
1371679200,1
1371748440,1
1371751680,1
1371753180,1
1371754380,1
1371758760,1
1371761820,1
1371763080,1
1371764820,1
1371766440,1
1371830820,1
1371847020,1
1371853260,1
1371972540,1
1372017840,1
1372090380,1
1372091880,1
1372104840,1
1372108740,1
1372110240,1
1372191600,1
1372204800,1
1372270080,1
1372277340,1
1372277400,1
1372284900,1
1372358100,1
1372359840,2
1372359960,4
1372360080,1
1372363980,1
1372364100,1
1372436940,1
1372450980,1
1372455600,1
1372458180,1
1372623060,1
1372709460,1
1372710060,1
1372717860,1
1372782300,1
1372788720,1
1372795380,1
1372796820,1
1372798080,1
1372805280,1
1372871700,1
1372882380,1
1372960140,2
1372968420,1
1373032440,5
1373054880,1
1373055180,1
1373225880,1
1373300160,1
1373313600,1
1373314080,1
1373315460,1
1373327340,1
1373400180,1
1373400660,1
1373407920,1
1373408040,1
1373457420,1
1373467260,1
1373481420,1
1373490120,1
1373497080,1
1373540460,1
1373550960,2
1373573220,1
1373573640,1
1373581620,1
1373584860,1
1373646180,1
1373659560,1
1373665980,1
1373667600,1
1373670420,1
1373804340,1
1373832180,1
1373904600,1
1373907420,1
1373918820,1
1373919300,1
1373926500,1
1373927100,1
1373992740,1
1373993940,1
1374005040,1
1374006780,1
1374008580,1
1374012780,1
1374077520,1
1374079080,1
1374079140,2
1374079200,2
1374084660,1
1374093960,1
1374094320,1
1374095280,1
1374097860,1
1374099120,1
1374161340,1
1374177660,1
1374178860,1
1374181260,1
1374181920,1
1374184200,1
1374234780,1
1374242700,1
1374264780,1
1374266040,1
1374437160,1
1374499860,1
1374510000,1
1374516240,1
1374517080,1
1374517260,1
1374523680,1
1374524220,2
1374529080,1
1374533040,1
1374602940,1
1374604380,1
1374607800,1
1374607920,1
1374609060,1
1374609960,1
1374611400,1
1374612480,1
1374617940,1
1374618900,1
1374680880,1
1374682440,1
1374685380,1
1374696480,1
1374698460,1
1374710340,1
1374758400,1
1374758520,1
1374758880,1
1374770340,1
1374771060,1
1374782940,1
1374783720,1
1374787380,1
1374788760,1
1374792300,1
1374855720,1
1374871140,1
1374872880,1
1374875580,1
1374877320,1
1374877560,1
1375027860,1
1375041840,1
1375126680,1
1375128840,1
1375129800,1
1375136340,1
1375137780,1
1375138800,1
1375202160,1
1375207380,1
1375215000,1
1375216140,1
1375220760,1
1375221240,1
1375225980,1
1375227780,1
1375301040,1
1375302300,1
1375307460,1
1375309740,1
1375310700,1
1375325520,1
1375330860,1
1375373280,1
1375388100,1
1375388220,1
1375396320,1
1375397160,1
1375457940,1
1375461180,1
1375461300,1
1375464120,1
1375477680,1
1375479780,1
1375641840,1
1375641960,2
1375642260,1
1375646640,1
1375712100,1
1375726440,1
1375728000,1
1375734780,1
1375740420,1
1375741800,1
1375742100,1
1375742220,1
1375742340,2
1375742460,1
1375744860,1
1375792260,1
1375806600,2
1375806720,2
1375811040,2
1375820940,1
1375822860,1
1375829580,1
1375830300,1
1375831560,1
1375832820,1
1375894500,1
1375899960,1
1375905840,1
1375906860,1
1375909440,1
1375910280,1
1375912140,1
1375917180,1
1375919280,1
1375919640,1
1375927020,1
1375929420,1
1375979280,1
1375981500,1
1375993320,1
1375995300,1
1376009760,1
1376054760,1
1376062200,1
1376240580,1
1376330700,1
1376331840,1
1376341740,1
1376344980,1
1376345580,1
1376346480,1
1376350260,1
1376393640,1
1376434860,1
1376495040,1
1376503260,1
1376503320,1
1376514780,1
1376514960,1
1376522940,1
1376550960,1
1376566080,1
1376571540,1
1376586780,2
1376589420,1
1376590260,1
1376592540,1
1376601720,1
1376601960,1
1376603460,1
1376604060,1
1376607960,1
1376685840,1
1376687340,1
1376696460,1
1376766120,1
1376856660,1
1376858820,1
1376946540,1
1376948700,1
1376951040,1
1377016800,1
1377023460,1
1377029340,1
1377030660,1
1377033300,1
1377047280,2
1377119220,1
1377127140,1
1377200280,1
1377206520,1
1377207480,1
1377208500,1
1377213420,1
1377293520,1
1377461220,1
1377540720,1
1377547680,1
1377553500,1
1377567720,2
1377603660,1
1377621120,1
1377637500,1
1377638880,1
1377639000,1
1377642720,1
1377725940,1
1377729180,1
1377732600,1
1377732840,1
1377780720,1
1377800820,1
1377806940,1
1377811320,1
1377817200,1
1377818880,1
1377879360,1
1378065720,1
1378139460,1
1378148100,1
1378242240,1
1378242780,1
1378245180,1
1378248660,4
1378327020,1
1378328340,1
1378328580,1
1378329660,1
1378331700,1
1378411200,1
1378418880,1
1378497540,1
1378502640,1
1378502940,1
1378505520,3
1378670820,1
1378678320,9
1378684260,9
1378760760,1
1378761900,1
1378766580,1
1378767180,1
1378836780,1
1378845240,1
1378847220,1
1378847820,1
1378852620,1
1378853220,1
1378853760,1
1378904220,1
1378930140,1
1378933200,1
1378942200,1
1378952880,1
1378998240,2
1378998360,2
1378999440,1
1379022900,1
1379023140,1
1379027640,1
1379074320,1
1379097180,1
1379106480,1
1379111220,1
1379250180,1
1379275320,1
1379275620,1
1379352720,1
1379355000,1
1379356020,1
1379365140,1
1379365380,1
1379365500,1
1379366160,1
1379366880,1
1379370780,1
1379441040,1
1379447940,1
1379451960,1
1379452260,1
1379458260,1
1379513160,1
1379535240,1
1379536860,1
1379536980,5
1379537100,3
1379538480,1
1379542980,1
1379543280,1
1379601780,1
1379610660,1
1379611980,1
1379620860,1
1379630820,1
1379632140,1
1379632320,1
1379632440,1
1379693820,1
1379710140,1
1379784660,1
1379874900,1
1379875020,1
1379879760,1
1379880300,1
1379950680,1
1379970480,1
1379971500,1
1379974560,1
1379979660,1
1380037680,1
1380047160,1
1380051180,1
1380053100,1
1380054720,1
1380062220,1
1380063480,1
1380133200,1
1380143100,1
1380226200,1
1380227700,2
1380229560,1
1380298080,1
1380317520,1
1380477840,1
1380479280,1
1380481740,1
1380543900,1
1380544260,1
1380563400,1
1380574020,1
1380574860,1
1380578700,1
1380645000,1
1380647160,1
1380648780,1
1380650700,1
1380657240,1
1380657420,1
1380657660,1
1380659400,1
1380664680,1
1380665100,1
1380719640,1
1380719700,1
1380720480,1
1380720960,2
1380731520,1
1380736680,1
1380747780,1
1380748320,1
1380750840,1
1380753720,1
1380753900,1
1380826440,1
1380827340,1
1380830460,1
1380923880,1
1380924000,1
1381025640,1
1381089780,1
1381131540,1
1381163760,1
1381169340,1
1381176900,1
1381191900,1
1381194540,1
1381200300,1
1381201140,1
1381202040,1
1381203480,1
1381207740,1
1381209840,1
1381214100,1
1381215900,1
1381217340,1
1381218180,1
1381218360,1
1381219200,1
1381221480,1
1381221600,1
1381223040,1
1381223640,1
1381224420,1
1381226040,1
1381229100,1
1381233300,1
1381264620,1
1381266300,1
1381270260,1
1381281660,5
1381281720,1
1381321800,1
1381352700,1
1381356180,1
1381356300,1
1381358640,1
1381424040,1
1381435800,1
1381528200,1
1381651380,1
1381653240,1
1381663980,1
1381690620,1
1381694820,1
1381694940,1
1381695060,1
1381695300,1
1381751040,1
1381774140,1
1381784580,1
1381803960,1
1381804200,2
1381807800,1
1381809180,1
1381811640,1
1381812540,1
1381813440,1
1381814340,1
1381815000,1
1381817640,1
1381821240,1
1381821540,1
1381822500,1
1381823640,1
1381824600,1
1381828500,1
1381830240,1
1381830900,1
1381832400,1
1381833300,1
1381833840,1
1381834440,1
1381835640,1
1381837140,1
1381853340,1
1381853460,1
1381860660,1
1381860900,1
1381867500,1
1381868940,1
1381874040,1
1381874580,1
1381875480,1
1381877700,1
1381880520,1
1381888200,1
1381890300,1
1381891140,1
1381891740,1
1381893840,1
1381895580,1
1381895700,1
1381896960,1
1381897740,1
1381900740,1
1381901940,1
1381903500,1
1381904700,1
1381905840,1
1381906440,1
1381908300,1
1381909440,1
1381910700,1
1381911600,1
1381912140,1
1381912680,1
1381913040,1
1381915740,1
1381916400,1
1381920000,1
1381922040,1
1381923240,1
1381925040,1
1381940460,1
1381946640,1
1381946700,1
1381957380,1
1382007420,1
1382033280,2
1382033460,1
1382040360,1
1382049180,1
1382063640,1
1382090040,1
1382091180,1
1382093940,1
1382094540,1
1382097240,1
1382128560,1
1382131860,1
1382140740,1
1382142540,1
1382145300,1
1382146140,1
1382147040,1
1382148240,1
1382150640,1
1382151840,1
1382153040,1
1382154300,1
1382155440,1
1382157240,1
1382157900,1
1382159400,1
1382160180,1
1382162100,1
1382162640,1
1382163600,1
1382165640,1
1382166840,1
1382167200,1
1382167740,1
1382168040,1
1382168280,1
1382169540,1
1382171100,1
1382173140,1
1382175000,1
1382176800,1
1382177400,1
1382178540,1
1382182500,1
1382183400,1
1382185140,1
1382186100,1
1382229540,1
1382231100,1
1382243940,1
1382247240,1
1382248440,1
1382249880,1
1382251440,1
1382252940,1
1382253840,1
1382255940,1
1382257200,1
1382259540,1
1382261160,1
1382262600,1
1382262840,1
1382263200,1
1382266140,1
1382267340,1
1382268840,1
1382271840,1
1382272140,1
1382291580,1
1382295900,1
1382297100,1
1382299680,1
1382358000,1
1382358120,9
1382358240,3
1382373480,1
1382387640,1
1382391420,1
1382461440,1
1382465760,1
1382472180,1
1382472300,1
1382496420,2
1382496600,2
1382498280,1
1382506080,1
1382506920,1
1382512080,1
1382514780,1
1382530980,1
1382533080,1
1382540280,1
1382542740,1
1382543880,1
1382558820,1
1382618880,1
1382623380,1
1382625720,1
1382634720,1
1382640540,1
1382641380,1
1382641980,1
1382643120,1
1382644620,1
1382645520,1
1382653560,1
1382659920,1
1382683680,1
1382702340,1
1382703720,1
1382705880,1
1382731500,1
1382733480,1
