datetime,departures
1371153240,1
1371153660,1
1371154680,1
1371156900,1
1371158340,1
1371160020,1
1371160920,2
1371160980,1
1371161940,1
1371211560,1
1371217800,1
1371219120,1
1371223860,1
1371224820,1
1371225600,1
1371228840,1
1371230280,1
1371231060,1
1371237480,1
1371238920,1
1371240900,1
1371240960,1
1371242760,1
1371243240,1
1371243600,1
1371243660,1
1371243960,1
1371244440,1
1371244560,1
1371245400,1
1371246780,1
1371247380,1
1371248040,1
1371248160,1
1371248280,1
1371249060,1
1371250140,1
1371250740,1
1371253140,1
1371255000,1
1371255720,1
1371259980,1
1371265080,1
1371265800,1
1371282120,1
1371283680,1
1371297840,1
1371298680,1
1371300420,1
1371300660,1
1371303420,1
1371303600,1
1371305400,1
1371305700,2
1371309060,2
1371309300,1
1371309420,1
1371309660,1
1371312660,1
1371313620,1
1371315420,1
1371315900,1
1371316380,1
1371317520,1
1371318060,1
1371319320,1
1371320100,1
1371320940,1
1371321000,1
1371322200,1
1371322260,1
1371322680,1
1371325680,1
1371326460,1
1371326640,1
1371327600,1
1371327900,1
1371328080,1
1371328260,1
1371328440,1
1371328740,1
1371330480,2
1371330960,1
1371331080,1
1371332700,1
1371332760,1
1371333540,1
1371333720,1
1371333780,2
1371334080,1
1371334200,2
1371335640,2
1371336240,1
1371338100,1
1371338760,1
1371341640,1
1371342060,1
1371342120,1
1371343260,1
1371369360,1
1371387960,1
1371390960,1
1371392580,1
1371395160,1
1371396000,1
1371397740,1
1371399180,1
1371399900,1
1371401160,1
1371403620,1
1371403740,1
1371404280,2
1371404820,3
1371405120,2
1371406140,1
1371406260,2
1371406980,1
1371407040,1
1371408420,1
1371408480,1
1371409080,1
1371409500,1
1371410220,2
1371410280,1
1371411600,1
1371413460,1
1371414120,1
1371414180,2
1371414840,2
1371416580,2
1371416640,1
1371418320,1
1371419040,1
1371419280,1
1371419820,2
1371420360,2
1371421980,1
1371422220,1
1371422940,1
1371424320,1
1371428160,1
1371428400,1
1371428520,1
1371428820,2
1371431880,1
1371468240,1
1371468540,1
1371475980,1
1371479340,1
1371479580,1
1371482940,1
1371485820,6
1371487560,1
1371488220,1
1371488580,1
1371493440,1
1371494100,1
1371498480,1
1371500580,1
1371502500,1
1371502920,1
1371503040,2
1371503160,1
1371504240,1
1371504900,1
1371506460,1
1371506700,1
1371506820,1
1371507120,1
1371507420,1
1371508140,1
1371508200,2
1371508620,1
1371509520,1
1371510240,2
1371510480,2
1371510840,1
1371512040,1
1371512280,1
1371513540,1
1371514020,1
1371514500,1
1371518220,1
1371519480,2
1371522960,2
1371526080,1
1371537780,2
1371551640,1
1371553260,1
1371554520,1
1371557640,1
1371558600,1
1371560940,1
1371561180,1
1371562320,2
1371562440,2
1371564780,1
1371569340,1
1371571920,1
1371572100,1
1371573180,1
1371573840,1
1371574020,1
1371581040,1
1371581760,2
1371582300,1
1371582360,1
1371582840,1
1371582900,1
1371583380,1
1371583980,2
1371584040,1
1371584940,1
1371589860,1
1371594900,1
1371601680,1
1371603480,1
1371606060,1
1371623520,2
1371640620,1
1371640980,1
1371645960,1
1371647280,1
1371648660,1
1371648720,1
1371649500,1
1371650340,2
1371650820,1
1371654240,2
1371655860,1
1371656100,1
1371657120,1
1371658500,1
1371658800,1
1371660840,1
1371661140,1
1371661380,5
1371662220,1
1371663000,1
1371663420,1
1371663600,2
1371664320,1
1371664860,1
1371664980,1
1371665580,1
1371666780,1
1371667020,1
1371669480,1
1371671040,1
1371672480,1
1371673380,1
1371674880,1
1371674940,1
1371675300,1
1371675480,1
1371675600,1
1371676020,1
1371676440,1
1371677340,2
1371677400,1
1371677880,1
1371677940,3
1371678000,1
1371678540,1
1371678660,1
1371678780,1
1371679680,1
1371681000,2
1371681480,1
1371681960,1
1371682140,1
1371682500,1
1371682740,1
1371682860,1
1371683400,1
1371683520,1
1371683640,1
1371683820,1
1371684540,1
1371686160,1
1371687060,1
1371687900,1
1371688080,1
1371688500,1
1371696120,1
1371696660,1
1371728220,1
1371729600,1
1371731100,1
1371731940,1
1371732000,1
1371733140,1
1371736620,1
1371738360,1
1371739320,1
1371740640,1
1371742140,1
1371742500,1
1371742620,1
1371742980,1
1371744360,1
1371744660,1
1371745200,1
1371747000,1
1371748320,1
1371748560,1
1371749280,1
1371749340,1
1371751320,1
1371751620,1
1371751920,1
1371752580,1
1371754140,1
1371755940,1
1371756120,1
1371756300,2
1371757440,1
1371759060,1
1371759360,1
1371759660,1
1371761100,1
1371762600,1
1371762780,1
1371763260,1
1371763920,1
1371764400,1
1371764640,2
1371764820,1
1371765840,1
1371766020,1
1371766080,1
1371766440,1
1371766560,2
1371766860,1
1371767820,2
1371768000,1
1371768480,1
1371768540,1
1371769260,1
1371769680,1
1371769920,1
1371771000,1
1371771600,1
1371773040,1
1371776280,1
1371776880,1
1371785400,2
1371812880,1
1371815940,1
1371816180,1
1371816480,1
1371817620,1
1371820740,1
1371824940,1
1371828000,1
1371829500,1
1371830580,1
1371831060,1
1371831180,1
1371831480,1
1371832020,2
1371832440,1
1371833280,1
1371833640,2
1371835200,2
1371835440,2
1371836280,1
1371836580,1
1371840180,1
1371840600,1
1371840960,1
1371841980,2
1371842700,2
1371843540,1
1371844080,1
1371844380,3
1371846240,1
1371846720,1
1371847200,1
1371847380,1
1371848820,1
1371849180,1
1371849360,1
1371849480,2
1371849780,1
1371850380,1
1371851820,3
1371853260,1
1371853440,1
1371853740,1
1371854460,3
1371854700,1
1371855300,1
1371856080,1
1371856200,1
1371856500,1
1371856620,1
1371857220,1
1371865080,1
1371865200,1
1371867060,2
1371867900,1
1371868260,1
1371876180,1
1371876420,1
1371891720,1
1371899220,1
1371899340,1
1371903240,1
1371906600,1
1371910740,1
1371910920,1
1371911700,1
1371914040,1
1371915840,1
1371915900,1
1371916140,2
1371918960,1
1371921060,1
1371925860,2
1371926940,1
1371927300,1
1371928440,1
1371928740,1
1371929700,1
1371931620,1
1371932100,1
1371933300,1
1371936300,2
1371938640,1
1371939300,2
1371939360,2
1371941700,1
1371942900,1
1371943140,1
1371944340,2
1371945120,1
1371945180,1
1371945420,2
1371945540,1
1371946020,2
1371946320,2
1371946380,2
1371946680,2
1371948420,1
1371952620,3
1371954000,1
1371958620,1
1371961500,1
1371964500,1
1371964620,1
1371974400,4
1371976800,1
1371977400,1
1371977760,1
1371977880,1
1371978240,1
1371996540,1
1371996780,1
1371996840,1
1372004640,1
1372005660,1
1372007100,1
1372008000,1
