datetime,departures
1371161340,1
1371164340,1
1371210840,1
1371213360,1
1371215880,1
1371222840,1
1371229320,1
1371236040,1
1371236640,1
1371236820,5
1371237300,2
1371238500,6
1371238800,1
1371241620,1
1371245880,7
1371246180,1
1371246360,1
1371246420,1
1371246540,1
1371247500,1
1371249180,1
1371250020,1
1371250260,1
1371253920,1
1371254100,1
1371257220,2
1371257280,1
1371260760,1
1371263820,1
1371264120,1
1371264660,1
1371265560,1
1371265620,1
1371268620,1
1371272520,1
1371277020,1
1371300480,12
1371304380,1
1371304500,1
1371305880,12
1371309600,1
1371312240,1
1371327000,1
1371327300,2
1371328500,1
1371328980,1
1371329400,1
1371329520,1
1371330060,1
1371331860,3
1371332100,1
1371332820,1
1371333420,1
1371333900,1
1371334980,1
1371335400,1
1371337380,1
1371339420,1
1371342720,1
1371349980,1
1371350400,1
1371350580,1
1371350820,1
1371351060,1
1371352620,1
1371354060,1
1371358560,1
1371361920,2
1371382980,1
1371384420,1
1371384660,1
1371385980,2
1371390480,1
1371391920,1
1371394080,1
1371395100,1
1371399240,1
1371400680,1
1371400980,1
1371403200,1
1371403320,1
1371403440,1
1371404040,1
1371404280,1
1371404400,3
1371404640,2
1371404820,1
1371405120,1
1371406560,1
1371407760,2
1371409620,1
1371409980,1
1371410940,2
1371411000,3
1371412980,1
1371413520,1
1371415560,1
1371418860,1
1371418980,1
1371419100,1
1371420420,2
1371422880,1
1371423300,1
1371423360,1
1371424800,1
1371424980,1
1371425220,1
1371425940,1
1371426180,1
1371428280,1
1371428520,1
1371430020,1
1371432960,1
1371433500,1
1371436800,1
1371444540,1
1371467100,1
1371467460,1
1371474300,1
1371474720,1
1371474960,1
1371475680,1
1371476520,1
1371480960,1
1371481440,1
1371483660,1
1371484020,1
1371484800,1
1371485520,1
1371494880,1
1371495660,1
1371496920,1
1371500220,1
1371500460,2
1371501720,1
1371503580,1
1371505380,1
1371507240,1
1371509340,1
1371510180,1
1371510780,2
1371511020,1
1371512220,1
1371513120,1
1371513840,1
1371516540,1
1371518220,1
1371522720,1
1371525720,1
1371525840,1
1371549540,1
1371552180,2
1371553740,1
1371554040,1
1371554220,1
1371555960,1
1371556020,1
1371558420,1
1371558720,1
1371562320,1
1371562680,12
1371565920,1
1371574920,1
1371577440,1
1371585120,2
1371587880,1
1371590700,1
1371590820,1
1371598020,1
1371606720,1
1371643980,1
1371647400,1
1371648720,1
1371649080,1
1371649800,1
1371650760,1
1371657900,1
1371660000,1
1371660540,1
1371660600,1
1371661320,1
1371662220,1
1371663900,1
1371664800,1
1371666480,1
1371666720,1
1371667260,1
1371667440,1
1371672600,1
1371672660,1
1371677220,1
1371679200,1
1371681120,1
1371681300,1
1371682560,1
1371682620,1
1371683340,2
1371684060,1
1371684180,1
1371684600,1
1371685020,1
1371685080,1
1371685740,1
1371685980,1
1371686880,1
1371687720,1
1371689100,1
1371690780,1
1371691320,1
1371692820,1
1371693540,1
1371693780,1
1371694140,1
1371696600,1
1371697080,1
1371698520,1
1371698880,1
1371705240,1
1371709860,1
1371724860,3
1371732840,1
1371734340,1
1371734580,1
1371735060,1
1371737040,1
1371737340,1
1371738180,1
1371738720,1
1371739500,1
1371739980,2
1371742140,1
1371744540,1
1371751080,1
1371751680,1
1371754440,1
1371754500,1
1371756300,1
1371757080,1
1371757500,1
1371757860,1
1371757980,1
1371761460,1
1371761760,1
1371763080,1
1371763920,1
1371764340,1
1371765420,1
1371767100,1
1371768480,1
1371768840,1
1371769740,1
1371771600,1
1371771780,1
1371772020,1
1371772620,2
1371774060,1
1371774180,1
1371775020,1
1371775380,1
1371780120,1
1371782040,1
1371784080,2
1371790020,1
1371790860,1
1371797280,1
1371802800,1
1371814020,1
1371814260,2
1371814620,1
1371816720,1
1371817800,1
1371819960,1
1371820920,1
1371822540,1
1371823080,1
1371823440,1
1371825000,1
1371833520,2
1371834240,1
1371839040,1
1371840960,2
1371841020,2
1371841320,1
1371842700,1
1371844080,1
1371844380,1
1371846120,1
1371848220,1
1371850560,1
1371851940,1
1371852060,1
1371853260,1
1371854280,1
1371855420,1
1371855660,2
1371855840,2
1371857160,1
1371857220,1
1371858300,1
1371860100,1
1371860160,1
1371862680,1
1371862920,3
1371863520,1
1371863760,1
1371865680,1
1371868140,1
1371868260,1
1371868620,1
1371869040,1
1371871260,1
1371872520,1
1371874860,1
1371876180,1
1371876420,1
1371880560,1
1371888900,1
1371891060,1
1371908160,2
1371908280,2
1371909060,1
1371911820,1
1371914520,1
1371915360,1
1371915420,1
1371915900,1
1371916020,1
1371919980,1
1371920040,2
1371920160,1
1371920280,1
1371920580,1
1371921000,1
1371921060,1
1371921420,1
1371923400,1
1371923580,1
1371923820,1
1371924000,1
1371924300,2
1371925020,1
1371926220,1
1371927600,1
1371928020,1
1371929580,1
1371929700,1
1371929880,1
1371930480,2
1371930720,2
1371931500,1
1371932640,3
1371932700,1
1371933420,2
1371933720,1
1371933780,1
1371934980,2
1371935160,1
1371935460,1
1371935760,1
1371936180,1
1371936420,1
1371936600,1
1371936780,1
1371937320,1
1371937680,1
1371939180,2
1371940560,1
1371940920,1
1371940980,1
1371941940,1
1371942180,1
1371942780,1
1371943380,1
1371943680,1
1371943740,1
1371943860,2
1371944100,2
1371944400,1
1371945900,1
1371947100,2
1371947580,2
1371947700,1
1371953640,1
1371954300,1
1371954480,1
1371955740,1
1371956520,1
1371962340,1
1371967620,1
1371969420,1
1371972420,2
1371979860,2
1371989640,1
1371995520,2
1371995580,1
1372001340,2
1372002480,1
1372003080,2
1372003500,1
1372004820,1
1372005720,2
1372006680,3
1372007280,1
1372007940,1
1372008420,1
1372009560,1
1372009800,1
1372010520,1
1372011120,1
1372011600,3
1372011900,1
1372012260,1
1372012320,1
1372012860,1
1372014300,2
1372014480,1
1372014540,1
1372015500,1
1372015800,1
1372015920,2
1372016160,1
1372017360,2
1372017900,1
1372018620,1
1372018980,1
1372019520,1
1372019640,1
1372021380,1
1372022580,1
1372023780,1
1372024260,3
1372024440,1
1372024800,1
1372025220,1
1372025280,1
1372025520,1
1372025880,1
1372026480,2
1372027260,1
1372027980,1
1372028160,1
1372028760,1
1372029480,1
1372029600,1
1372029720,1
1372030380,2
1372030680,1
1372031580,1
1372032420,1
1372038540,1
1372039800,1
1372041180,1
1372042500,1
1372045380,1
1372048200,1
1372053660,1
1372057680,1
1372069680,1
1372072080,1
1372074120,1
1372076580,1
1372077960,1
1372083000,1
1372086120,1
1372086780,1
1372087140,1
1372088100,1
1372089240,1
1372093080,1
1372095900,1
1372096380,1
1372098480,1
1372100280,1
1372100700,1
1372102140,1
1372104720,1
1372104780,1
1372105380,1
1372105500,1
1372106580,1
1372109100,1
1372109940,1
1372113180,1
1372113540,1
1372114380,1
1372115880,3
1372116000,1
1372116780,1
1372118040,1
1372118520,1
1372126320,1
1372126380,1
1372126680,1
1372127100,2
1372130280,1
1372132320,1
1372138140,1
1372156440,1
1372158540,1
1372160340,1
1372162020,1
1372163940,2
1372164240,1
1372166280,1
1372167300,1
1372167780,1
1372167840,1
1372169820,1
1372172820,1
1372175040,1
1372175880,1
1372177260,1
1372179420,1
1372181940,1
1372187340,1
1372190820,1
1372192080,1
1372194060,1
1372194300,1
1372194720,1
1372195380,1
1372198560,1
1372198800,1
1372199820,1
1372200180,1
1372202520,1
1372202820,1
1372202880,1
1372203900,1
1372204320,1
1372207500,1
1372211400,1
1372213080,1
1372213440,1
1372217100,1
1372222380,1
1372241940,1
1372245780,1
1372247760,1
1372248480,1
1372250880,1
1372252680,1
1372253520,1
1372254600,1
1372254840,1
1372255920,1
1372255980,1
1372256580,1
1372259100,1
1372262100,1
1372264320,1
1372266960,1
1372268400,1
1372269240,1
1372269420,1
1372269600,1
1372279860,1
1372279980,1
1372280100,2
1372280580,1
1372280700,1
1372282500,1
1372282920,1
1372283940,1
1372285140,1
1372286580,1
1372287240,1
1372287660,1
1372287840,1
1372287900,1
1372288800,1
1372290300,1
1372291020,2
1372291620,1
1372292040,1
1372292160,3
1372292220,1
1372292760,1
1372294380,1
1372294560,1
1372298340,1
1372299120,2
1372299780,1
1372302180,2
1372302420,1
1372302900,1
1372303200,1
1372303740,3
1372306020,1
1372326600,1
1372329720,1
1372331220,1
1372335900,1
1372336980,1
1372338780,1
1372340400,3
1372341120,1
1372341360,1
1372345440,1
1372345800,1
1372350360,1
1372358100,2
1372358640,1
1372359120,1
1372359480,1
1372360680,1
1372362840,1
1372365840,1
1372370520,1
1372370580,1
1372370880,1
1372374180,2
1372376280,2
1372376520,1
1372376820,1
1372377120,1
1372378140,1
1372378200,1
1372379040,1
1372379160,1
1372386480,1
1372396260,1
1372396800,1
1372397280,1
1372401780,4
1372401840,2
1372402080,2
1372402800,1
1372402860,1
1372408080,1
1372415880,1
1372416360,1
1372416540,1
1372417860,1
1372421220,1
1372424280,1
1372426800,1
1372426980,1
1372429740,1
1372431480,1
1372431660,1
1372431780,1
1372439100,1
1372441920,1
1372443420,1
1372444680,2
1372447380,1
1372449840,1
1372450740,1
1372451280,1
1372452240,1
1372453320,1
1372454100,1
1372454640,1
1372456680,2
1372457040,1
1372457520,1
1372458960,1
1372459440,1
1372461540,1
1372461720,2
1372463040,1
1372463400,1
1372467060,1
1372467240,1
1372468140,1
1372468860,1
1372470240,1
1372470780,1
1372471680,1
1372472280,2
1372481220,1
1372481280,1
1372481340,4
1372481400,1
1372481460,1
1372481520,2
1372481580,3
1372481700,2
1372481940,4
1372483980,2
1372485780,1
1372486440,1
1372487220,1
1372488300,2
1372499940,1
1372503540,1
1372505820,1
1372513500,2
1372517040,1
1372518540,1
1372519980,1
1372521060,1
1372521480,1
1372522560,1
1372522920,1
1372523460,1
1372523580,1
1372523880,2
1372523940,1
1372524000,1
1372524420,1
1372524720,1
1372525140,2
1372525260,2
1372525320,1
1372525920,1
1372526820,1
1372526940,1
1372528920,1
1372531140,1
1372532700,3
1372532940,1
1372533120,1
1372533180,1
1372533660,1
1372534320,2
1372534440,2
1372535340,2
1372537140,4
1372537440,1
1372541280,2
1372541400,1
1372541580,1
1372543080,1
1372545960,1
1372546020,1
1372547640,1
1372548180,1
1372548840,1
1372550880,1
1372551120,1
1372552140,1
1372552500,1
1372554300,2
1372554360,1
1372555740,1
1372556340,1
1372556400,1
1372560660,1
1372562640,1
1372562880,1
1372563060,1
1372564140,1
1372564740,1
1372566660,1
1372573620,1
1372577040,1
1372597080,1
1372598340,1
1372598940,2
1372603980,1
1372604040,1
1372604580,1
1372606020,3
1372606980,1
1372607100,1
1372607160,1
1372607280,1
1372607760,1
1372609080,1
1372609920,2
1372611300,1
1372611600,1
1372612920,1
1372613040,1
1372613100,3
1372613460,1
1372614720,1
1372615140,1
1372615320,1
1372615980,1
1372617420,1
1372618140,2
1372618740,1
1372619820,1
1372620000,3
1372622160,1
1372622760,1
1372623480,1
1372623600,2
1372624800,2
1372625220,1
1372627140,1
1372629660,1
1372629840,1
1372630680,1
1372631160,2
1372632240,1
1372632900,1
1372633680,1
1372634040,1
1372634280,1
1372634520,1
1372639440,1
1372639620,1
1372639800,2
1372639920,1
1372640100,1
1372640160,1
1372640280,1
1372640340,1
1372642980,1
1372645320,1
1372646280,1
1372648500,1
1372648620,1
1372648740,1
1372648860,1
1372677840,1
1372679940,1
1372681380,1
1372682820,1
1372687020,2
1372688580,1
1372690380,1
1372693080,1
1372693680,1
1372695480,1
1372695780,1
1372697580,1
1372705260,1
1372712040,1
1372712580,1
1372717980,1
1372721700,1
1372721940,1
1372724460,1
1372724640,1
1372725480,1
1372726440,1
1372727880,1
1372729920,1
1372730580,1
1372730940,1
1372733220,1
1372733340,1
1372735620,1
1372735740,1
1372736880,1
1372737120,1
1372738320,1
1372738980,1
1372739160,1
1372739220,1
1372740240,1
1372740960,1
1372741080,1
1372742640,1
1372742880,1
1372746240,1
1372761600,1
1372764420,1
1372764900,1
1372767240,1
1372768860,1
1372768980,1
1372769100,1
1372773720,1
1372775100,1
1372776000,1
1372778520,1
1372778820,1
1372779060,1
1372780560,1
1372781400,1
1372782840,1
1372783080,1
1372791720,2
1372793580,1
1372795740,1
1372796340,2
1372797540,1
1372799520,1
1372800360,1
1372801440,1
1372802700,1
