datetime,departures
1371155880,1
1371160980,1
1371211620,1
1371213780,1
1371215700,1
1371238260,2
1371239100,1
1371239760,1
1371241440,2
1371245880,1
1371254940,1
1371257520,1
1371258480,1
1371266880,1
1371274980,1
1371275820,1
1371283560,2
1371283680,6
1371283740,1
1371297000,1
1371307080,1
1371316020,1
1371318540,2
1371320340,1
1371320580,1
1371321300,1
1371322380,1
1371322860,1
1371325020,1
1371325980,2
1371326100,1
1371326160,1
1371326220,1
1371326280,1
1371326340,1
1371326760,1
1371327840,1
1371328020,1
1371329640,1
1371329880,1
1371329940,1
1371331080,1
1371331140,3
1371331200,1
1371332640,1
1371332760,1
1371333120,1
1371333720,1
1371334380,1
1371334800,1
1371334860,1
1371335160,2
1371335520,1
1371335940,1
1371336120,1
1371336360,1
1371337440,2
1371348300,1
1371351060,2
1371352140,1
1371352920,1
1371353100,1
1371389820,1
1371395220,1
1371396300,1
1371399360,2
1371400440,1
1371402240,1
1371404820,1
1371404880,1
1371405120,1
1371405720,2
1371406860,1
1371409260,1
1371411540,2
1371413040,1
1371413220,1
1371414600,1
1371414900,1
1371415620,1
1371421440,1
1371423420,1
1371423480,1
1371431880,2
1371432540,1
1371432720,1
1371434400,1
1371440640,1
1371456060,1
1371465240,3
1371465300,7
1371469380,1
1371473040,1
1371473820,1
1371474780,1
1371474960,1
1371477420,1
1371493440,1
1371493620,1
1371507840,1
1371510480,1
1371524040,1
1371525300,2
1371551400,1
1371553440,1
1371555000,1
1371560100,1
1371560640,1
1371563700,1
1371564840,1
1371565680,1
1371570600,2
1371571080,1
1371571200,1
1371575280,1
1371575640,1
1371575700,1
1371579180,1
1371581640,1
1371581760,1
1371584160,2
1371585960,1
1371586080,1
1371609540,2
1371644580,2
1371645720,1
1371645960,1
1371646500,1
1371647040,1
1371647100,1
1371647460,1
1371656280,1
1371666480,1
1371671820,1
1371673080,1
1371675540,1
1371681120,1
1371681780,1
1371682620,1
1371682740,1
1371683340,1
1371685260,1
1371687720,1
1371689940,1
1371692760,1
1371692820,1
1371702060,1
1371727260,1
1371728040,1
1371732000,1
1371733140,1
1371736260,1
1371736620,1
1371737340,1
1371744480,1
1371744660,1
1371744720,1
1371747240,1
1371756900,1
1371759780,2
1371760920,1
1371762420,1
1371763920,1
1371766860,1
1371776700,1
1371784680,1
1371785160,1
1371785520,1
1371802260,1
1371812280,1
1371815580,1
1371815880,1
1371818580,1
1371818640,1
1371819960,1
1371821460,1
1371822480,1
1371822720,1
1371824940,1
1371828060,1
1371830460,1
1371831780,1
1371838140,2
1371838620,2
1371840660,1
1371840840,1
1371844140,2
1371846420,1
1371846600,1
1371848820,2
1371854100,1
1371859500,1
1371860280,1
1371860880,1
1371864180,1
1371866880,1
1371867060,1
1371867540,3
1371867660,1
1371874140,1
1371906240,1
1371907500,1
1371907560,1
1371911400,1
1371911640,1
1371912180,1
1371912300,1
1371912600,1
1371914040,1
1371914160,1
1371914400,1
1371915000,1
1371915360,1
1371915540,1
1371916740,1
1371918240,1
1371918420,1
1371919380,1
1371920280,1
1371921780,1
1371927840,1
1371927900,1
1371928020,2
1371928140,1
1371928260,1
1371928380,1
1371928500,1
1371928680,1
1371928740,1
1371928860,1
1371929280,1
1371929580,1
1371929880,1
1371930120,1
1371930960,1
1371932400,1
1371932700,1
1371934260,1
1371934380,2
1371935760,1
1371935820,1
1371935880,3
1371936300,1
1371938220,1
1371938340,2
1371939120,1
1371939180,2
1371939600,2
1371939780,1
1371940680,1
1371940800,1
1371941580,2
1371941640,1
1371949140,2
1371949620,1
1371949680,1
1371951600,1
1371952200,2
1371954780,1
1371956460,1
1371956640,1
1371959340,1
1371960180,2
1371960240,1
1371964320,1
1371973020,2
1371975300,1
1371975540,1
1371975780,1
1371975960,1
1371989400,1
1371994500,1
1371994680,2
1371999420,1
