datetime,departures
1371162120,1
1371175440,1
1371207480,5
1371207540,4
1371216900,1
1371219960,1
1371227940,1
1371242880,1
1371250560,1
1371250800,1
1371251340,1
1371254880,1
1371258060,1
1371258720,2
1371269640,2
1371279780,2
1371300840,1
1371308340,1
1371308520,2
1371309540,1
1371311100,2
1371318000,1
1371318720,1
1371318840,1
1371319140,1
1371320940,1
1371321720,1
1371322200,1
1371323580,1
1371324420,3
1371324660,2
1371324780,1
1371324900,1
1371325080,2
1371326340,1
1371329220,1
1371331080,2
1371331740,1
1371331860,1
1371332520,1
1371332820,1
1371333240,1
1371334800,2
1371335160,2
1371336720,1
1371337380,1
1371339420,2
1371341640,2
1371348480,1
1371348600,1
1371348840,1
1371350340,1
1371350580,1
1371350700,1
1371351300,1
1371351960,1
1371352080,2
1371357120,1
1371360000,1
1371360060,1
1371363000,2
1371363120,1
1371363420,1
1371365820,1
1371367860,1
1371368040,1
1371369180,1
1371391560,1
1371399780,1
1371400740,1
1371403560,1
1371405720,1
1371405780,1
1371408360,1
1371409980,3
1371412080,1
1371415620,1
1371416940,1
1371425460,1
1371433860,1
1371434040,2
1371437040,1
1371438000,1
1371446160,1
1371472500,1
1371473460,1
1371474420,1
1371475140,1
1371476880,1
1371493080,1
1371496380,2
1371498960,2
1371507360,1
1371509160,1
1371512940,2
1371523560,1
1371524280,1
1371527100,1
1371527160,1
1371550980,1
1371557880,1
1371559080,1
1371561300,1
1371563220,1
1371570060,1
1371573000,1
1371613680,2
1371621780,1
1371622020,1
1371636660,1
1371642840,1
1371645780,1
1371646740,1
1371648000,1
1371648600,1
1371661380,1
1371672180,1
1371679680,1
1371679980,1
1371686040,1
1371689280,1
1371691380,1
1371692580,2
1371694680,1
1371701400,1
1371702480,2
1371709860,1
1371709980,1
1371730800,1
1371732600,1
1371733140,1
1371734040,1
1371735120,1
1371737580,1
1371744240,1
1371756480,2
1371758940,1
1371772320,1
1371779640,1
1371780960,1
1371787380,1
1371792120,1
1371792780,1
1371802020,5
1371802140,2
1371802440,1
1371813960,1
1371818580,1
1371819960,1
1371820020,1
1371820080,1
1371822480,1
1371822540,1
1371826320,1
1371828900,1
1371844740,2
1371845520,2
1371846960,1
1371847140,1
1371855900,1
1371864780,1
1371871920,1
1371872400,1
1371872460,2
1371875220,2
1371875580,1
1371876300,1
1371877860,2
1371877980,5
1371882300,1
1371888120,1
1371888600,1
1371888660,1
1371908340,1
1371911280,1
1371917820,1
1371918960,1
1371920640,1
1371924960,1
1371925140,1
1371926400,1
1371928140,1
1371928500,4
1371928560,4
1371928620,5
1371928680,1
1371928740,1
1371929040,1
1371931680,2
1371932460,1
1371934980,2
1371937860,1
1371938160,3
1371941040,4
1371941580,2
1371943140,1
1371943680,1
1371943860,1
1371946980,1
1371950940,1
1371953520,1
1371956340,2
1371958740,1
1371958980,1
1371959100,1
1371960180,1
1371961080,2
1371963960,1
1371964080,1
1371967980,1
1371968160,3
1371968280,1
1371973440,1
1371974100,2
1371974640,1
1371974760,1
1371989280,1
1371996660,1
1371997500,2
1372003380,1
1372003680,1
1372004940,1
1372007280,1
1372007400,1
1372007460,2
1372007640,1
1372008360,1
1372009620,1
1372011720,5
1372012680,2
1372014120,1
1372016640,1
1372018020,1
1372022340,2
1372022400,2
1372024980,1
1372025640,1
1372026060,1
1372026180,1
1372027020,1
1372030380,1
1372030800,1
1372030860,1
1372032060,1
1372034280,1
1372039200,1
1372068780,1
1372071420,3
1372071540,2
1372077120,1
1372080060,1
1372081080,1
1372082700,1
1372085040,1
1372094940,1
1372106460,1
1372110000,2
1372111200,1
1372117740,1
1372118340,2
1372118580,1
1372118700,1
1372119720,1
1372120620,1
1372127640,1
1372159860,1
1372162080,1
1372162200,1
1372163100,1
1372163460,1
1372173840,1
1372189140,1
1372190100,1
1372196160,1
1372196640,1
1372201440,1
1372202340,1
1372204440,1
1372207800,1
1372208160,1
1372209000,1
1372211520,1
1372245360,1
1372246200,1
1372247220,1
1372247280,1
1372249020,1
