datetime,departures
1373680080,1
1373725080,1
1373725500,1
1373728560,1
1373731680,1
1373733180,1
1373735700,1
1373739780,1
1373750400,1
1373752860,1
1373753820,1
1373808900,1
1373818860,1
1373819520,1
1373838540,1
1373838900,1
1373839380,1
1373875080,1
1373888580,1
1373895780,1
1373897100,1
1373903640,1
1373908080,1
1373911440,1
1373912460,1
1373913600,1
1373916540,1
1373916780,1
1373917680,1
1373920740,1
1373922600,1
1373922660,1
1373927520,1
1373930340,1
1373931840,1
1373932440,1
1373932560,1
1373961240,1
1373976180,1
1373976720,1
1373982000,1
1373982120,1
1373982180,1
1373982360,1
1373983380,1
1373983500,1
1373993460,1
1373994240,1
1374006960,1
1374007080,1
1374010980,1
1374011100,1
1374011460,1
1374015840,1
1374018540,1
1374022080,1
1374022680,1
1374024780,1
1374054240,1
1374061800,1
1374064920,1
1374065880,1
1374071460,1
1374071760,1
1374075540,1
1374077880,1
1374081840,1
1374091200,1
1374092400,1
1374095340,1
1374096120,1
1374097080,1
1374098940,1
1374099720,1
1374101340,1
1374119340,1
1374119700,1
1374122700,1
1374151080,1
1374151320,1
1374151500,1
1374160080,1
1374160380,1
1374163140,1
1374168240,1
1374170160,1
1374174720,1
1374175740,1
1374179460,1
1374180060,1
1374183120,1
1374185220,1
1374192060,1
1374193680,1
1374208320,1
1374235800,1
1374241140,1
1374253920,1
1374254820,1
1374255360,1
1374256680,1
1374256800,1
1374257580,1
1374257880,1
1374258420,1
1374258480,1
1374260160,1
1374261480,1
1374265140,1
1374266340,2
1374273240,1
1374277980,4
1374278400,1
1374278940,2
1374279480,1
1374279720,1
1374280020,1
1374282300,1
1374283800,1
1374285600,1
1374285660,1
1374286800,1
1374292860,1
1374322800,1
1374323820,1
1374324600,1
1374325020,1
1374326400,2
1374327240,1
1374327300,1
1374329700,1
1374330540,1
1374330720,1
1374331740,1
1374332700,1
1374334740,1
1374335760,1
1374335940,1
1374336060,1
1374336240,2
1374336540,1
1374337740,1
1374338340,2
1374339720,1
1374340140,1
1374340440,1
1374340740,1
1374340860,1
1374340980,1
1374342240,1
1374342720,2
1374342960,3
1374345300,1
1374345660,1
1374346140,1
1374346320,1
1374347460,1
1374348660,1
1374348720,1
1374349560,2
1374349860,1
1374350040,2
1374350400,1
1374351420,1
1374351900,1
1374353160,1
1374353580,1
1374353880,1
1374354300,1
1374354600,1
1374356160,1
1374356400,2
1374356640,1
1374356940,1
1374357300,2
1374358860,1
1374358980,2
1374359340,1
1374360540,1
1374362100,2
1374363180,1
1374364020,1
1374365340,1
1374365640,1
1374366420,1
1374367680,1
1374368460,3
1374371640,1
1374373860,1
1374374340,1
1374377580,1
1374380520,1
1374388080,2
1374390180,1
1374390240,1
1374404280,1
1374404820,1
1374410700,1
1374412020,1
1374412080,1
1374412380,1
1374413880,2
1374413940,1
1374416340,1
1374417960,1
1374419100,1
1374419520,1
1374419760,2
1374420240,1
1374420840,1
1374420900,1
1374421800,1
1374422760,1
1374423240,1
1374423780,1
1374424140,2
1374424260,1
1374425940,1
1374426120,1
1374426600,3
1374426720,2
1374427320,2
1374428220,1
1374428880,3
1374429060,2
1374429240,1
1374429840,3
1374430200,1
1374430980,1
1374431460,1
1374431820,1
1374432000,1
1374432600,2
1374433260,1
1374433920,1
1374434100,1
1374434640,1
1374434820,1
1374435540,1
1374436620,1
1374437700,1
1374438120,3
1374438600,1
1374439320,1
1374439860,1
1374441240,1
1374441900,1
1374444960,1
1374445560,1
1374445620,1
1374445740,1
1374446640,1
1374447180,1
1374448080,1
1374450060,1
1374451080,2
1374451560,1
1374451740,1
1374452820,1
1374453240,1
1374453780,1
1374453840,1
1374454200,1
1374454440,1
1374454560,3
1374454680,3
1374455340,1
1374458100,1
1374458460,1
1374459180,1
1374459240,1
1374459300,1
1374459420,1
1374461820,1
1374470820,1
1374480180,1
1374486540,1
1374486720,1
1374487800,1
1374488880,1
1374489720,1
1374490020,1
1374491100,1
1374491460,1
1374491580,1
1374492840,1
1374493020,1
1374493200,1
1374493800,1
1374494160,2
1374494760,1
1374495360,1
1374495720,1
1374496260,1
1374496320,1
1374496680,2
1374496980,1
1374497160,1
1374497820,1
1374498720,2
1374498840,1
1374498960,1
1374499260,1
1374499500,1
1374499800,1
1374499920,1
1374501720,1
1374502200,1
1374502320,1
1374502920,1
1374504540,1
1374505140,1
1374507540,1
1374508560,1
1374511140,1
1374511920,1
1374513420,1
1374513960,3
1374514200,1
1374514500,1
1374516600,1
1374517140,1
1374517380,1
1374518940,1
1374519120,1
1374520260,1
1374520680,1
1374522360,1
1374522480,1
1374523740,1
1374524280,1
1374525660,1
1374526620,2
1374528360,1
1374528480,1
1374528900,1
1374529020,1
1374530760,1
1374531000,2
1374531120,2
1374531360,1
1374531480,1
1374531600,2
1374532440,1
1374532560,1
1374532620,2
1374533040,1
1374533460,1
1374533880,1
1374534120,1
1374534240,1
1374535380,1
1374535500,1
1374535560,1
1374535800,1
1374536100,2
1374536340,2
1374537180,1
1374537420,1
1374539160,1
1374539340,1
1374539880,1
1374540600,1
1374541800,1
1374576900,1
1374578220,1
1374579420,1
1374580920,1
1374581160,1
1374581820,1
1374582300,1
1374583320,1
1374584520,2
1374585240,1
1374586140,1
1374586560,1
1374586860,1
1374587160,1
1374587340,2
1374587520,1
1374587640,1
1374588660,1
1374589980,2
1374590520,1
1374590700,1
1374590820,1
1374591420,1
1374592680,2
1374593820,1
1374594180,1
1374594960,1
1374595080,1
1374597420,1
1374597600,1
1374600840,1
1374601020,1
1374602220,1
1374602520,1
1374606240,1
1374608280,2
1374609120,1
1374609240,1
1374609480,1
1374610440,1
1374611160,1
1374611640,1
1374612060,1
1374612780,2
1374614580,1
1374614880,1
1374615060,1
1374615540,2
1374616380,1
1374616620,1
1374617220,2
1374617760,1
1374617940,1
1374618060,1
1374618240,1
1374618900,1
1374621480,1
1374623220,1
1374623640,1
1374623880,2
1374624120,1
1374624480,1
1374624660,1
1374624840,1
1374626100,1
1374627840,1
1374628020,1
1374628380,1
1374630120,1
1374630240,1
1374631080,1
1374631320,1
1374631800,2
1374632220,2
1374632340,3
1374635040,1
1374638160,1
1374658500,1
1374663240,1
1374663660,2
1374663780,2
1374665820,1
1374666360,1
1374666420,1
1374666780,1
1374667560,1
1374667680,1
1374668220,1
1374668340,1
1374668880,1
1374669000,1
1374669180,2
1374669360,1
1374669480,2
1374669600,2
1374669780,1
1374669840,1
1374669960,1
1374672180,1
1374672420,1
1374672780,1
1374673320,1
1374673440,1
1374673800,1
1374674160,1
1374674520,1
1374674880,1
1374675480,1
1374676680,1
1374680700,1
1374683820,1
1374683940,1
1374686280,3
1374686820,1
1374688680,1
1374688980,1
1374689520,1
1374689700,1
1374690480,1
1374691800,1
1374691860,1
1374693000,1
1374693120,1
1374695100,1
1374695940,1
1374696480,1
1374697080,1
1374700620,1
1374700740,1
1374701340,3
1374701760,1
1374702840,1
1374704280,1
1374704880,1
1374705060,1
1374705120,1
1374706560,1
1374706980,1
1374708660,1
1374709140,1
1374709320,2
1374710160,1
1374710640,1
1374711240,1
1374711540,1
1374712200,1
1374712620,1
1374713520,1
1374713880,1
1374715140,1
1374717360,1
1374718140,1
