datetime,departures
1371151320,1
1371154560,1
1371154740,1
1371156120,1
1371159240,1
1371159660,1
1371161400,1
1371161640,1
1371165060,1
1371165180,3
1371166800,1
1371214140,1
1371226320,2
1371227760,1
1371228420,2
1371228840,1
1371229200,1
1371230040,1
1371231480,1
1371231540,1
1371234360,2
1371236340,1
1371237000,2
1371237660,1
1371237840,1
1371241140,1
1371242580,2
1371243060,1
1371243900,1
1371246240,1
1371246900,1
1371247500,2
1371249240,1
1371249300,1
1371249780,1
1371250440,1
1371250980,2
1371252480,1
1371252960,1
1371253920,2
1371255540,2
1371260040,1
1371265980,1
1371267840,1
1371301140,1
1371303480,1
1371305880,1
1371307980,1
1371308640,1
1371310440,1
1371312660,2
1371313560,1
1371313680,1
1371314580,1
1371315060,1
1371316920,3
1371317040,2
1371317100,1
1371317220,2
1371317280,3
1371317340,1
1371317400,1
1371317640,1
1371317700,1
1371318000,1
1371318540,2
1371318600,1
1371318840,2
1371320040,1
1371320280,1
1371320580,1
1371321480,2
1371322080,3
1371323040,1
1371323100,2
1371323220,1
1371323400,1
1371323640,1
1371323940,2
1371324060,1
1371324240,1
1371324480,1
1371325320,4
1371325620,1
1371326280,1
1371326340,2
1371327900,1
1371328080,4
1371328440,1
1371329880,1
1371330360,2
1371330960,1
1371331080,1
1371331380,1
1371331440,1
1371332280,1
1371333240,2
1371333300,1
1371334260,2
1371334440,1
1371334620,1
1371334680,2
1371334920,2
1371335340,2
1371335520,2
1371335760,1
1371336240,1
1371336600,1
1371336780,2
1371337020,1
1371337380,1
1371337500,2
1371337800,2
1371337860,1
1371339360,1
1371339420,1
1371340320,1
1371342120,1
1371342360,1
1371342780,1
1371342960,1
1371343260,1
1371343560,2
1371343800,1
1371348480,2
1371388440,1
1371389460,1
1371391140,1
1371392460,1
1371393540,1
1371393900,1
1371394200,1
1371396420,2
1371396840,1
1371398940,1
1371401280,1
1371401400,1
1371401580,1
1371401700,1
1371402000,1
1371402060,1
1371402720,1
1371403140,1
1371403200,4
1371403620,1
1371403740,1
1371403920,1
1371404040,4
1371404880,1
1371404940,1
1371405360,1
1371405480,2
1371406500,2
1371406560,2
1371406860,1
1371407220,1
1371407460,3
1371407760,2
1371408360,1
