datetime,departures
1371150960,1
1371153600,1
1371154260,1
1371154980,3
1371157380,1
1371157920,1
1371158220,1
1371158340,1
1371160320,1
1371160680,1
1371163560,1
1371164100,1
1371168420,1
1371169440,1
1371185520,2
1371209280,2
1371209400,8
1371210600,1
1371212760,1
1371214620,1
1371214860,1
1371216720,1
1371231720,2
1371234360,2
1371234420,1
1371235440,1
1371240660,1
1371243240,1
1371243600,1
1371244680,2
1371246420,1
1371247320,1
1371247980,1
1371248460,2
1371248640,2
1371249180,2
1371250440,1
1371251220,1
1371251880,1
1371256620,1
1371256680,1
1371257700,1
1371300960,1
1371308580,1
1371308640,1
1371308760,2
1371309420,1
1371311460,1
1371313140,2
1371313500,1
1371315060,1
1371315900,1
1371316920,1
1371318000,2
1371318480,1
1371318720,1
1371319140,1
1371319380,2
1371319440,1
1371319500,1
1371321720,3
1371322440,1
1371322740,1
1371322800,1
1371324180,2
1371324780,2
1371325080,2
1371325320,1
1371326520,1
1371327000,1
1371327180,2
1371327300,1
1371327420,1
1371327480,1
1371328560,1
1371328740,1
1371328800,1
1371328920,1
1371329340,2
1371329640,2
1371329940,2
1371330000,1
1371330360,1
1371330960,2
1371331740,1
1371331860,1
1371331920,1
1371332640,1
1371333720,2
1371333780,1
1371333960,1
1371334080,2
1371334260,1
1371334860,1
1371335520,1
1371336120,1
1371336240,1
1371336360,1
1371337020,1
1371337500,1
1371337680,1
1371337860,1
1371337980,1
1371338220,1
1371338760,1
1371339180,1
1371341040,1
1371341340,1
1371341520,1
1371343920,1
1371343980,1
1371344280,1
1371346320,1
1371348900,2
1371349140,2
1371351540,1
1371357000,1
1371383100,1
1371386460,1
1371389580,1
1371390180,1
1371390480,1
1371394680,1
1371394920,1
1371395820,2
1371396420,1
1371397560,1
1371397800,2
1371397980,1
1371400740,1
1371402480,1
1371403140,2
1371405240,1
1371406080,1
1371406260,1
1371406320,2
1371406440,1
1371407040,1
1371407880,2
1371408420,1
1371408960,3
1371410940,1
1371411180,4
1371411240,1
1371412020,1
1371412920,1
1371413340,1
1371413880,1
1371414000,1
1371414060,1
1371414180,1
1371414420,1
1371414900,1
1371415380,1
1371415500,1
1371415620,1
1371415980,1
1371416700,1
1371418140,1
1371418320,1
1371418440,1
1371418620,1
1371419160,1
1371419280,1
1371420000,1
1371422160,1
1371423000,1
1371425160,1
1371427920,1
1371432780,1
1371433140,1
1371436500,1
1371468720,1
1371472200,1
1371473460,1
1371474660,1
1371474780,1
1371475260,1
1371475920,1
1371475980,1
1371477300,1
1371488220,1
1371489240,1
1371490680,1
1371490980,1
1371492060,1
1371494220,1
1371495720,2
1371496080,1
1371498000,1
1371498480,1
1371498540,1
1371499680,1
1371501420,1
1371501660,2
1371501780,1
1371502140,1
1371502920,1
1371503040,1
1371503100,2
1371503880,1
1371504720,1
1371504900,1
1371505020,1
1371505200,1
1371505620,1
1371505800,1
1371505920,1
1371506520,1
1371506700,1
1371507420,1
1371507840,2
1371508320,2
1371513240,1
1371514680,2
1371514980,1
1371515400,2
1371515640,3
1371515700,1
1371516000,2
1371516120,1
1371518940,1
1371522600,2
1371528960,1
1371552480,1
1371553860,1
1371555480,1
1371556440,1
1371556800,1
1371557100,1
1371558240,1
1371560460,1
1371560700,1
1371562920,1
1371563160,1
1371564720,1
1371566940,1
1371567300,1
1371567960,1
1371571980,1
1371573120,1
1371576600,1
1371577320,1
1371579480,1
1371581280,1
1371581400,3
1371581460,2
1371581580,2
1371582900,1
1371584640,1
1371584940,1
1371585960,2
1371591540,1
1371592320,1
1371596100,1
1371605820,1
1371606960,1
1371607320,1
1371616320,2
1371635940,1
1371637620,1
1371640500,1
1371641220,1
1371642240,1
1371645240,1
1371647460,1
1371647640,1
1371648780,1
1371649680,1
1371654000,1
1371655260,1
1371658740,1
1371662580,1
1371663900,1
1371665760,1
1371668280,1
1371670860,1
1371671640,1
1371672060,1
1371673200,1
1371673500,1
1371673680,2
1371675120,1
