datetime,departures
1371151800,1
1371152940,1
1371155580,1
1371156600,1
1371162840,1
1371165180,1
1371165900,1
1371209880,1
1371210420,1
1371211800,1
1371212580,1
1371212640,1
1371216180,1
1371222300,1
1371224820,1
1371228240,1
1371234180,1
1371235380,1
1371235980,1
1371236460,2
1371243120,1
1371243240,1
1371244380,1
1371244800,1
1371246900,1
1371247320,1
1371247620,1
1371248400,1
1371248880,1
1371250740,1
1371251400,1
1371251460,1
1371253080,1
1371253140,1
1371253500,1
1371255180,1
1371261180,2
1371261240,1
1371261420,1
1371261600,1
1371263940,1
1371268080,1
1371272940,1
1371297780,1
1371297960,1
1371298260,1
1371300420,1
1371301260,1
1371301380,1
1371302220,1
1371302400,2
1371303060,2
1371303240,1
1371303840,1
1371308040,1
1371308520,1
1371308640,2
1371308880,1
1371309000,1
1371309600,1
1371310440,1
1371310800,1
1371311100,1
1371313740,1
1371314580,1
1371315000,1
1371315300,1
1371315900,1
1371316140,1
1371316740,2
1371317040,1
1371317340,1
1371318000,1
1371318660,1
1371319020,1
1371319320,1
1371319680,1
1371320040,3
1371320340,1
1371321720,1
1371321960,1
1371322260,1
1371322440,1
1371324180,1
1371324540,1
1371325140,1
1371325260,1
1371325440,1
1371325980,1
1371326160,1
1371327300,1
1371327480,1
1371327600,1
1371328080,1
1371328740,1
1371328920,2
1371329640,2
1371330120,1
1371331080,3
1371332160,1
1371332520,1
1371333360,1
1371333420,1
1371333840,1
1371333900,2
1371335280,1
1371335340,1
1371335400,1
1371335880,1
1371336540,2
1371337740,2
1371338220,1
1371338400,2
1371340080,1
1371340140,2
1371341580,1
1371341940,1
1371342000,1
1371342960,1
1371343020,2
1371343440,2
1371343980,1
1371345780,1
1371346320,2
1371351840,2
1371380520,1
1371380820,1
1371382920,1
1371388560,2
1371388800,1
1371391140,1
1371392160,1
1371392280,1
1371392580,1
1371393360,2
1371394020,1
1371395460,1
1371396240,2
1371397320,1
1371397680,1
1371398220,2
1371398280,1
1371398400,1
1371398700,1
1371398940,1
1371399900,2
1371401160,1
1371401640,1
1371402420,1
1371403440,2
1371403560,1
1371403740,2
1371403860,1
1371405120,1
1371405600,1
1371405720,1
1371406140,2
1371406980,1
1371407460,1
1371408240,1
1371410160,1
1371410640,1
1371411300,1
1371411900,1
1371412380,4
1371415380,1
1371415620,1
1371415740,1
1371416040,1
1371416940,2
1371417180,1
1371417360,1
1371417540,2
1371418440,1
1371418860,1
1371419580,2
1371419640,1
1371420840,1
1371420960,1
1371422640,2
1371423120,2
1371423240,1
1371424200,1
1371424380,1
1371425460,1
1371426060,1
1371428040,1
1371428640,1
1371432540,1
1371434940,2
1371437100,1
1371437700,1
1371437820,1
1371440880,1
1371463680,1
1371464520,1
1371465900,1
1371470520,1
1371471240,2
1371471780,1
1371472320,1
1371473100,1
1371473400,1
1371474300,1
1371474840,1
1371475140,1
1371476820,1
1371476880,1
1371479160,3
1371479280,4
1371479940,3
1371483000,1
1371484380,1
1371486240,1
1371487140,1
1371487800,1
1371488280,1
1371492180,2
1371492480,1
1371492660,2
1371493680,1
1371495780,1
1371501840,1
1371502200,1
1371502440,1
1371502740,1
1371503700,1
1371506520,1
1371506700,1
1371507420,1
1371507780,2
1371508440,1
1371509340,1
1371510480,1
1371511800,1
1371513240,1
1371513360,1
1371513420,1
1371514500,1
1371515340,2
1371515400,1
1371515460,1
1371518520,1
1371522960,1
1371550740,1
1371552960,1
1371556260,1
1371556980,1
1371559680,1
1371559800,1
1371560100,1
1371560280,1
1371563700,1
1371564240,1
1371564840,1
1371566880,1
1371567300,1
1371567900,1
1371568200,1
1371572040,1
1371572940,2
1371573840,1
1371574740,1
1371574860,1
1371577320,1
1371577620,1
1371579000,1
1371579360,2
1371580440,1
1371584580,1
1371584640,1
1371589260,1
1371590160,1
1371591720,1
1371595320,1
1371595500,1
1371602820,1
1371633540,1
1371636600,1
1371637080,1
1371642480,1
1371643500,1
1371644100,1
1371645000,1
1371645540,1
1371645780,1
1371646080,1
1371646500,1
1371647160,1
1371647700,1
1371649080,1
1371650220,2
1371651060,2
1371656580,1
1371657480,1
1371661380,1
1371661740,1
1371663360,2
1371664080,1
1371664200,1
1371665220,1
1371668400,1
1371668700,2
1371669840,1
1371672180,1
1371673500,1
1371673680,1
1371673920,1
1371674400,1
1371674640,1
1371675120,1
1371676140,1
1371676680,1
1371676860,1
1371679860,1
1371680760,1
1371681120,1
1371681660,1
1371681780,2
1371682380,1
1371683340,1
1371684000,1
1371685140,1
1371685860,1
1371686340,1
1371687720,1
1371688500,2
1371688560,1
1371690240,1
1371693480,1
1371693540,1
1371695520,1
1371695880,1
1371701100,1
1371701700,1
1371702000,1
1371724860,1
1371726780,1
1371728640,1
1371732060,1
1371732720,1
1371734160,1
1371734340,1
1371734460,1
1371737040,1
1371738720,1
1371739020,1
1371739500,1
1371739560,1
1371739800,1
1371739980,1
1371740340,1
1371740640,1
1371742440,1
1371745140,1
1371745920,1
1371746640,1
1371747360,1
1371747540,1
1371748440,2
1371749220,1
1371749280,1
1371752940,1
1371753720,1
1371754860,2
1371755220,1
1371756600,1
1371758340,1
1371758520,1
1371760020,1
1371760140,1
1371760860,2
1371762480,1
1371763200,1
1371764520,1
1371764640,2
1371766860,1
1371767220,1
1371767280,1
1371767880,1
1371768840,1
1371769440,1
1371769740,2
1371770040,1
1371771180,1
1371771300,1
1371772740,1
1371772800,1
1371773220,1
1371774240,1
1371774840,1
1371775020,1
1371775080,2
1371775200,1
1371776520,1
1371776640,1
1371776940,2
1371779040,2
1371782520,1
1371787140,1
1371794460,1
1371795420,3
1371812280,2
1371815820,1
1371819960,1
1371820200,1
1371821100,1
1371822780,1
1371823140,2
1371825120,2
1371828180,1
1371830160,1
1371830820,1
1371831960,2
1371832020,1
1371832260,1
1371832980,2
1371834360,1
1371836280,1
1371837240,1
1371837360,1
1371838680,1
1371841020,1
1371841320,2
1371842040,1
1371842280,2
1371842700,2
1371842820,1
1371845820,1
1371846000,1
1371846300,1
1371846720,1
1371847200,1
1371848940,1
1371849120,1
1371849660,1
1371853260,2
1371854340,1
1371855840,1
1371856440,1
1371857640,1
1371858000,2
1371858900,2
1371859500,1
1371862080,1
1371864300,1
1371868380,1
1371868440,1
1371869580,1
1371883320,1
1371899940,1
1371903840,1
1371904320,1
1371908340,1
1371908400,2
1371909960,2
1371910140,1
1371912300,1
1371915840,1
1371917700,1
1371918120,1
1371918420,1
1371918900,1
1371919860,1
1371921300,2
1371922440,1
1371922740,1
1371924300,1
1371925020,1
1371926040,1
1371926820,2
1371928860,1
1371928920,1
1371929400,1
1371930060,1
1371932100,2
1371932220,1
1371932340,1
1371932940,1
1371933240,1
1371933420,1
1371934380,1
1371934620,1
1371935100,2
1371935640,3
1371935940,1
1371936300,1
1371936720,2
1371937140,1
1371937560,1
1371937980,1
1371938040,1
1371938640,2
1371941580,2
1371942780,1
