datetime,departures
1371162360,3
1371206520,4
1371212640,1
1371213780,1
1371220860,1
1371224940,1
1371234000,1
1371235140,1
1371237180,1
1371241980,1
1371247680,1
1371248220,2
1371253860,2
1371255180,1
1371257040,2
1371257160,2
1371257220,1
1371297000,1
1371302520,1
1371305100,1
1371310440,1
1371312900,1
1371312960,1
1371320460,2
1371321900,1
1371324660,1
1371325500,1
1371326280,2
1371326340,1
1371326580,1
1371326700,1
1371327000,1
1371327300,1
1371328620,1
1371328680,1
1371331380,1
1371331620,2
1371331860,1
1371335160,1
1371335280,1
1371338400,1
1371338580,1
1371338700,1
1371341160,1
1371341700,1
1371343440,2
1371344760,1
1371344820,1
1371357300,1
1371362400,2
1371376620,1
1371376740,1
1371391260,1
1371392880,1
1371398040,1
1371398280,1
1371400620,2
1371401940,1
1371402000,1
1371402420,1
1371402600,1
1371403380,2
1371408000,1
1371408180,1
1371410280,2
1371412500,1
1371412560,1
1371412680,1
1371416940,1
1371417060,1
1371425400,1
1371430140,1
1371431400,1
1371472800,1
1371473580,1
1371478740,1
1371483300,1
1371489240,1
1371490380,1
1371494040,1
1371498240,1
1371499680,1
1371499740,1
1371503160,1
1371506940,1
1371507300,2
1371507600,1
1371514020,1
1371514740,1
1371556200,1
1371556920,1
1371559680,1
1371559800,1
1371562140,2
1371562440,1
1371563700,1
1371563880,1
1371564960,1
1371573540,1
1371576720,1
1371578640,1
1371578700,1
1371579840,1
1371581220,1
1371583560,1
1371590220,1
1371591960,2
1371605820,1
1371630240,2
1371630360,2
1371646200,1
1371646560,1
1371649380,1
1371657000,1
1371657720,1
1371658440,2
1371659460,1
1371659760,1
1371660120,1
1371660840,1
1371664020,1
1371665640,1
1371669000,1
1371678780,2
1371679500,1
1371679740,1
1371680760,1
1371681960,1
1371683100,1
1371683280,1
1371683880,1
1371685860,1
1371692040,2
1371695520,1
1371695940,2
1371696060,1
1371696840,1
1371701340,1
1371724860,1
1371732180,1
1371732420,1
1371732780,1
1371739440,1
1371740640,1
1371747060,1
1371747120,1
1371751740,2
1371753540,1
1371756720,1
1371756780,1
1371763920,2
