datetime,departures
1371151800,1
1371152820,1
1371156300,1
1371160680,1
1371160980,1
1371161460,1
1371161700,1
1371163680,2
1371163980,1
1371164220,1
1371171360,1
1371178620,1
1371178680,3
1371178740,3
1371178800,3
1371178860,1
1371182040,1
1371208500,1
1371209700,1
1371210600,1
1371211560,1
1371212280,1
1371213600,1
1371213660,1
1371214860,1
1371216300,1
1371216660,1
1371219180,1
1371220380,1
1371223020,1
1371223140,1
1371227880,1
1371229500,2
1371233160,1
1371235440,1
1371238260,2
1371238860,2
1371239280,1
1371239460,1
1371240420,1
1371240780,1
1371240840,1
1371241500,1
1371241860,1
1371242100,1
1371243240,1
1371244440,1
1371246780,1
1371247380,1
1371247800,1
1371247920,1
1371249180,1
1371249360,1
1371250020,2
1371250380,1
1371250440,1
1371251100,1
1371251640,1
1371251880,2
1371252060,1
1371253020,1
1371253440,1
1371253860,1
1371254100,1
1371254520,1
1371256320,1
1371257640,2
1371259080,1
1371261480,2
1371262140,1
1371262680,1
1371264540,1
1371264600,1
1371264780,1
1371265020,2
1371265080,2
1371265200,5
1371265260,1
1371265800,1
1371267240,1
1371267300,1
1371267360,1
1371267420,1
1371267540,3
1371267660,1
1371267720,2
1371267840,2
1371269400,1
1371270240,1
1371271560,1
1371272760,1
1371273300,1
1371276240,1
1371277500,1
1371277620,1
1371278460,1
1371278760,1
1371280200,1
1371294540,1
1371296940,1
1371299100,2
1371299400,2
1371299820,1
1371300000,1
1371306540,1
1371306720,1
1371307680,1
1371308100,1
1371308940,1
1371309000,1
1371309420,1
1371310200,1
1371311640,1
1371311940,1
1371312120,1
1371312180,1
1371312900,1
1371314700,1
1371315180,1
1371315600,3
1371316020,1
1371318600,1
1371319800,1
1371322380,1
1371323040,2
1371324060,3
1371324420,1
1371325020,1
1371325260,1
1371325320,2
1371325800,3
1371326100,1
1371326700,1
1371327000,1
1371327600,1
1371327720,2
1371328020,2
1371328080,1
1371329220,1
1371329400,1
1371329700,1
1371330300,2
1371330840,1
1371330900,1
1371331320,1
1371335280,1
1371336240,1
1371337440,3
1371338400,1
1371338520,1
1371338940,1
1371339060,1
1371339120,1
1371339180,1
1371339240,1
1371340020,2
1371340500,1
1371342240,1
1371342840,2
1371343800,1
1371344760,2
1371345720,1
1371346200,1
1371346560,1
1371347880,2
1371348600,1
1371348660,1
1371348900,1
1371349680,1
1371349980,1
1371350280,1
1371353040,2
1371354480,2
1371356520,1
1371357480,1
1371359460,2
1371361020,1
1371361500,1
1371361740,1
1371362040,1
1371362520,1
1371363480,1
1371363540,1
1371364380,1
1371367680,1
1371368460,2
1371388560,1
1371391440,1
1371393000,1
1371393060,1
1371393360,1
1371393420,1
1371394080,1
1371394200,1
1371394320,2
1371394680,2
1371394740,1
1371395400,2
1371395580,1
1371396960,1
1371397800,1
1371398700,1
1371399480,1
1371400620,1
1371400860,1
1371400980,1
1371402060,2
1371402480,1
1371402600,1
1371402720,1
1371402840,1
1371403560,1
1371404040,1
1371404340,1
1371404400,1
1371404520,2
1371404580,1
1371405300,1
1371406500,1
1371407460,1
1371407700,2
1371408120,2
1371408360,3
1371408480,2
1371408600,1
1371408960,1
1371409380,2
1371409740,1
1371410100,1
1371410580,2
1371411420,1
1371411780,1
1371412080,1
1371412140,1
1371412440,1
1371412560,1
1371412680,1
1371413040,1
1371413100,1
1371413460,1
1371414060,1
1371414900,1
1371415620,1
1371416640,2
1371416700,1
1371417060,1
1371417180,1
1371417900,1
1371420000,1
1371420420,1
1371420840,1
1371420900,1
1371421140,1
1371423180,1
1371423960,1
1371425100,2
1371425160,1
1371425940,1
1371426480,1
1371427200,1
1371427680,1
1371427800,1
1371428340,1
1371428580,1
1371430380,1
1371431220,3
1371431520,2
1371432480,1
1371435780,1
1371436440,1
1371438120,1
1371438780,1
1371441540,2
1371443400,1
1371443520,1
1371444360,1
1371447000,1
1371447600,1
1371465240,1
1371467820,1
1371470460,1
1371470820,2
1371471720,1
1371472260,1
1371472320,1
1371472500,1
1371472620,2
1371473160,1
1371473880,1
1371474180,1
1371475080,1
1371475440,1
1371479100,1
1371479580,1
1371488460,1
1371489540,1
1371491100,1
1371494940,1
1371496560,2
1371498480,1
1371498960,1
1371499980,1
1371501660,1
1371502140,1
1371503040,1
1371503100,1
1371504840,1
1371504900,1
1371505020,1
1371505380,1
1371506220,1
1371506460,2
1371506820,1
1371507120,1
1371507300,1
1371508200,1
1371508320,1
1371508380,1
1371510000,1
1371510540,1
1371512040,1
1371512100,1
1371512280,2
1371513060,1
1371515280,1
1371516240,1
1371516480,1
1371517320,1
1371517620,1
1371517740,1
1371519180,1
1371521100,1
1371521460,1
1371522420,1
1371524760,1
1371526380,2
1371526680,4
1371526740,2
1371526860,4
1371526980,1
1371527220,1
1371527280,2
1371527400,1
1371527820,1
1371528120,1
1371538800,1
1371550080,1
1371551520,1
1371555360,1
1371558000,1
1371558300,1
1371558900,1
1371559800,2
1371560460,1
1371560760,1
1371560940,1
1371561060,1
1371561300,1
1371561540,2
1371562320,1
1371562440,1
1371563460,1
1371564000,1
1371564120,2
1371564240,2
1371565080,1
1371565320,1
1371565680,2
1371565860,1
1371566520,1
1371568200,1
1371568260,1
1371568980,1
1371570780,1
1371571560,1
1371571800,1
1371572580,1
1371573300,1
1371576300,1
