datetime,departures
1371152580,1
1371153540,1
1371153960,2
1371156360,1
1371158880,1
1371159060,1
1371160680,2
1371161340,1
1371162240,2
1371164280,1
1371164400,1
1371209160,1
1371211500,1
1371217020,1
1371218880,1
1371223320,1
1371227220,1
1371227280,2
1371231240,1
1371232380,1
1371233400,1
1371237660,2
1371238500,1
1371240780,1
1371242340,3
1371243660,1
1371244080,1
1371244140,1
1371244440,1
1371247320,1
1371248160,1
1371248640,1
1371248880,1
1371249180,1
1371251940,1
1371253020,1
1371253080,1
1371253500,1
1371260580,1
1371292140,2
1371292800,1
1371292860,1
1371297480,1
1371300120,1
1371300180,1
1371302700,1
1371304800,1
1371309300,1
1371309540,1
1371309960,2
1371310020,3
1371310140,1
1371310260,2
1371311940,1
1371313140,3
1371313560,1
1371314340,2
1371314400,1
1371314520,1
1371314700,1
1371316740,1
1371317040,1
1371317880,1
1371318180,2
1371318300,2
1371319620,1
1371319740,1
1371320100,1
1371320460,1
1371320580,1
1371320940,1
1371321000,1
1371321120,2
1371321540,2
1371321720,2
1371322260,1
1371322980,1
1371323220,1
1371323640,5
1371324660,2
1371325320,1
1371325920,1
1371328620,1
1371328980,2
1371329040,1
1371329220,1
1371329640,2
1371330600,1
1371331080,2
1371331140,3
1371331440,1
1371332040,2
1371332460,1
1371332640,1
1371332760,1
1371333540,1
1371333720,1
1371333780,1
1371333900,1
1371333960,1
1371334140,1
1371334200,2
1371334500,3
1371334680,1
1371334800,1
1371335160,1
1371335940,3
1371336780,1
1371337020,2
1371337260,3
1371337680,1
1371337800,1
1371337860,1
1371338400,1
1371339540,1
1371339600,1
1371341340,1
1371342840,1
1371342900,2
1371342960,1
1371343020,1
1371343320,1
1371343680,1
1371344760,2
1371344940,1
1371345180,1
1371346200,1
1371346320,1
1371346620,1
1371348600,1
1371349800,1
1371350280,2
1371350940,1
1371351120,1
1371351240,2
1371351300,1
1371352560,1
1371352620,1
1371353160,1
1371353280,1
1371354900,1
1371354960,1
1371357120,1
1371365280,1
1371365400,1
1371375360,1
1371375900,2
1371381660,1
1371381840,1
1371382140,1
1371391260,1
1371391500,1
1371394680,1
1371394740,1
1371395100,1
1371396300,1
1371396480,1
1371396600,1
1371397080,1
1371397200,1
1371397500,1
1371398220,1
1371398520,1
1371398700,1
1371399660,1
1371399900,1
1371400500,1
1371401280,1
1371401760,1
1371402120,1
1371402960,1
1371403620,1
1371403860,2
1371404100,1
1371404580,1
1371405360,2
1371405420,1
1371405960,1
1371406140,2
1371406560,3
1371407640,1
1371407700,1
1371407880,1
1371408360,1
1371408660,2
1371408780,2
1371409260,1
1371409500,1
1371410760,2
1371411000,1
1371411300,1
1371411420,1
1371411600,1
1371411900,2
1371412140,1
1371412440,4
1371412500,1
1371412740,1
1371412980,1
1371413640,1
1371414540,1
1371414780,1
1371414840,1
1371415620,2
1371416040,2
1371418920,1
1371420540,2
1371420840,1
1371421140,1
1371422100,2
1371425400,1
1371426240,1
1371426360,1
1371433080,1
1371436500,1
1371436740,1
1371436920,1
1371437040,1
1371443640,1
1371466440,1
1371468360,2
1371468480,5
1371468540,11
1371468840,1
1371469560,3
1371475440,1
1371483000,5
1371483060,3
1371483180,1
1371483240,1
1371484560,1
1371485520,2
1371485940,2
1371486540,1
1371489540,2
1371491460,1
1371492360,1
1371493980,1
1371494520,1
1371495000,1
1371495240,1
1371495840,1
1371495900,2
1371496380,2
1371496620,1
1371498120,2
1371498240,1
1371498420,1
1371498660,1
1371499320,1
1371499440,1
1371502260,1
1371502680,1
1371502740,1
1371503460,1
