datetime,departures
1371151020,1
1371153900,1
1371157260,1
1371158940,1
1371159000,1
1371160080,1
1371161880,2
1371162780,2
1371162840,1
1371164700,1
1371165660,1
1371205680,1
1371206160,1
1371208500,3
1371208800,1
1371209040,1
1371209220,1
1371211980,1
1371212100,1
1371212400,1
1371214140,1
1371215340,1
1371215700,1
1371217620,1
1371217860,1
1371218340,1
1371218580,1
1371221760,1
1371223620,1
1371224580,1
1371227880,1
1371229080,1
1371229680,1
1371231720,1
1371232740,1
1371233580,1
1371237480,2
1371239100,1
1371239580,1
1371241260,1
1371241320,3
1371242580,1
1371243660,1
1371244920,1
1371246420,1
1371246900,1
1371248880,1
1371249060,1
1371250920,1
1371251040,1
1371251520,1
1371252780,2
1371252840,1
1371254880,1
1371257220,1
1371259560,1
1371260340,1
1371260820,1
1371263700,2
1371264120,1
1371264540,1
1371265440,1
1371265620,1
1371265680,1
1371274680,1
1371275220,1
1371275820,1
1371276420,1
1371276480,1
1371276720,1
1371276900,1
1371300180,4
1371300240,2
1371300300,3
1371300420,2
1371300540,1
1371301500,1
1371301560,1
1371303300,1
1371303960,1
1371305700,1
1371306480,2
1371306960,1
1371307980,1
1371308700,2
1371310980,1
1371312360,1
1371314280,1
1371314580,1
1371315300,1
1371316620,2
1371316860,1
1371317040,1
1371317580,1
1371318120,2
1371318960,1
1371319020,1
1371319800,2
1371320040,1
1371320760,1
1371321960,1
1371322200,1
1371323040,1
1371323100,1
1371323280,1
1371323760,2
1371323940,1
1371324060,1
1371324240,1
1371325260,1
1371325320,2
1371325380,1
1371325740,2
1371326160,1
1371327120,1
1371327300,1
1371329040,1
1371329640,1
1371329820,1
1371329940,1
1371330120,1
1371330180,1
1371330480,1
1371330900,1
1371331080,1
1371331500,2
1371332880,1
1371334440,1
1371335460,1
1371335520,1
1371335880,1
1371336240,1
1371336480,1
1371336720,1
1371336780,1
1371338220,1
1371339660,2
1371343260,1
1371343800,2
1371345180,1
1371347460,1
1371347880,1
1371349560,1
1371349620,2
1371350280,1
1371351120,1
1371351480,1
1371351540,1
1371351780,1
1371352740,1
1371353160,1
1371353640,1
1371356040,2
1371356100,2
1371356520,1
1371357540,1
1371368040,2
1371385320,1
1371388140,1
1371389580,1
1371389820,1
1371389880,3
1371390480,1
1371391500,1
1371392040,1
1371392580,1
1371392640,1
1371393900,1
1371394320,1
1371394680,2
1371395220,1
1371396300,1
1371396960,1
1371397320,1
1371397560,1
1371397980,2
1371398520,1
1371398700,1
1371398880,1
1371399060,1
1371400320,1
1371402000,1
1371402060,1
1371403920,1
1371404340,2
1371404580,1
1371405600,1
1371406680,1
1371406860,1
1371406980,1
1371407040,1
1371408600,2
1371409140,1
1371409980,1
1371410100,1
1371410280,1
1371410340,1
1371412080,1
1371412380,1
1371414480,1
1371414540,2
1371415020,1
1371418320,1
1371419820,1
1371420180,2
1371420240,1
1371420540,1
1371420660,1
1371421140,1
1371421200,3
1371421620,1
1371421860,1
1371422160,1
1371422700,2
1371423180,1
1371423300,1
1371424080,1
1371424380,2
1371424440,1
1371424560,1
1371424980,1
1371426060,1
1371426180,2
1371426300,1
1371426480,1
1371427080,1
1371428340,1
1371428520,2
1371429720,2
1371430080,1
1371432780,1
1371434820,1
1371436260,2
1371439800,1
1371441180,1
1371456060,1
1371456180,1
1371456240,1
1371456360,1
1371456420,1
1371456540,1
