datetime,departures
1371152700,1
1371155640,1
1371158520,2
1371158760,1
1371158880,2
1371159660,1
1371160200,1
1371160680,1
1371160920,1
1371163140,1
1371164100,1
1371164760,1
1371164820,1
1371205260,1
1371213720,1
1371214320,1
1371214380,1
1371214620,1
1371215400,1
1371216300,1
1371217020,1
1371219240,1
1371220440,1
1371224700,1
1371228060,1
1371228420,1
1371231480,2
1371233100,1
1371234660,1
1371235800,1
1371236460,1
1371239880,1
1371240000,1
1371240840,1
1371241440,3
1371241620,1
1371242220,1
1371242340,1
1371243840,1
1371243960,1
1371246060,1
1371246300,1
1371247140,1
1371249120,1
1371249420,1
1371249960,2
1371254040,1
1371256140,2
1371256680,3
1371257520,2
1371259500,1
1371264420,1
1371264720,1
1371265260,1
1371265680,1
1371265920,1
1371266100,1
1371266460,1
1371266580,1
1371266760,1
1371266820,1
1371273360,1
1371276360,1
1371283560,2
1371283680,1
1371283740,1
1371283800,3
1371283860,1
1371283980,1
1371284100,4
1371284220,2
1371284280,1
1371284520,2
1371284760,2
1371285060,1
1371285120,1
1371289800,1
1371292380,1
1371307080,1
1371307260,1
1371307980,1
1371308760,1
1371309240,1
1371309540,1
1371310680,1
1371311040,1
1371312420,1
1371312720,2
1371312960,1
1371313140,1
1371314400,1
1371315000,1
1371318360,1
1371319740,2
1371319860,1
1371320220,1
1371320940,1
1371321180,1
1371322080,1
1371323460,1
1371323820,1
1371324480,1
1371325080,1
1371325980,1
1371326100,1
1371326160,1
1371326220,1
1371326280,1
1371327420,1
1371327480,1
1371329940,1
1371330180,1
1371330360,2
1371332160,1
1371332520,1
1371333600,2
1371333780,1
1371334140,1
1371334500,1
1371334620,1
1371335400,1
1371336480,2
1371337140,1
1371338100,2
1371339060,1
1371339360,1
1371339600,1
1371341700,1
1371342120,1
1371342240,1
1371342600,2
1371343200,1
1371344280,1
1371344880,1
1371345120,1
1371345300,2
1371345420,1
1371345540,1
1371345720,1
1371346620,1
1371347940,1
1371349080,1
1371350400,2
1371353940,1
1371354720,1
1371355740,1
1371357840,1
1371360900,1
1371361020,1
1371366060,1
1371380700,1
1371380880,1
1371388080,1
1371388140,1
1371388560,1
1371393600,1
1371395100,1
1371395700,1
1371395820,1
1371396000,1
1371401640,1
1371402060,1
1371402240,1
1371404040,1
1371404580,1
1371404700,2
1371405000,2
1371405480,1
1371405720,1
1371406140,1
1371406500,1
1371408360,2
1371408780,1
1371409140,1
1371409380,4
1371409440,2
1371412140,1
1371412920,1
1371413040,1
1371413100,1
1371414600,1
1371416220,1
1371416280,2
1371416700,1
1371417780,1
1371417840,1
1371421800,1
1371422400,1
1371424080,1
1371424680,2
1371425280,1
1371425460,1
1371426480,2
1371430020,1
1371432660,1
1371433200,2
1371433680,1
1371433860,1
1371433980,1
1371438780,1
1371447600,1
1371448680,1
1371457140,1
1371464520,1
1371465300,1
1371465900,1
1371469140,1
1371470340,1
1371470520,1
1371470700,1
1371471120,2
1371473220,1
1371474420,1
1371474780,1
1371475800,2
1371476280,1
1371477240,2
1371477660,1
1371483840,2
1371486960,1
1371488700,2
1371489420,1
1371489720,1
1371490500,1
1371495000,1
1371497760,1
1371500400,1
1371501300,1
1371502440,1
1371503820,1
1371504060,1
1371504600,1
1371505140,1
1371505200,1
1371505380,1
1371506520,1
1371507240,1
1371507300,1
1371507600,1
1371508080,1
1371508440,1
1371509340,1
1371510900,1
1371511800,1
1371512760,3
1371513480,1
1371514440,1
1371514620,1
1371515220,1
1371515400,1
1371516480,1
1371517260,2
1371517320,1
1371517620,1
1371517920,1
1371518760,1
1371519660,1
1371521940,1
1371522240,1
1371522420,2
1371525720,1
1371526560,2
1371527100,1
1371535860,1
1371537180,1
1371553620,2
1371555840,1
1371557760,1
1371559320,1
1371559620,1
1371559800,1
1371560100,1
1371560940,1
1371562680,1
1371562860,1
1371563760,1
1371564420,2
1371566940,1
1371567120,1
1371568560,1
1371569160,1
1371570960,1
1371573960,1
1371574200,1
1371575640,1
1371576720,1
1371578040,1
1371578160,1
1371579300,1
1371580500,1
1371580920,1
1371581520,1
1371584760,1
1371586080,1
1371588300,1
1371588420,1
1371591360,1
1371597360,1
1371598500,1
1371599820,1
1371602220,1
1371602280,1
1371604500,1
1371604560,1
1371606600,1
1371609540,3
1371610320,1
1371617940,1
1371621000,1
1371637440,1
1371639060,1
1371644640,1
1371644820,1
1371646860,1
1371647220,1
1371649140,1
1371650040,1
1371652320,1
1371652440,1
1371652800,1
1371653700,4
1371654840,1
1371658500,1
1371659040,1
1371662640,1
1371663600,1
1371663660,1
1371664680,1
1371664860,1
1371665760,1
1371666240,2
1371668220,1
1371670560,1
1371670740,1
1371670920,1
1371671340,1
