datetime,departures
1378286040,1
1378286220,1
1378291020,1
1378296120,1
1378298100,1
1378298880,1
1378300140,1
1378310040,1
1378313700,1
1378314780,1
1378316040,1
1378316880,1
1378318140,1
1378318500,2
1378318680,1
1378318740,1
1378319160,2
1378319220,1
1378325880,1
1378330500,1
1378333140,2
1378333380,1
1378333680,1
1378334880,1
1378337280,1
1378338180,1
1378338480,1
1378338600,1
1378338780,2
1378339380,1
1378340940,1
1378341540,1
1378342260,1
1378342800,1
1378343280,1
1378343760,1
1378345260,1
1378345380,1
1378347240,1
1378348440,2
1378351080,1
1378351260,1
1378352880,1
1378353480,1
1378354680,2
1378369260,1
1378370700,1
1378376520,1
1378377660,1
1378380840,1
1378381020,1
1378382460,1
1378382640,1
1378382700,1
1378383540,2
1378384500,1
1378384980,1
1378385460,1
1378385820,1
1378386000,1
1378386360,1
1378386540,1
1378387260,1
1378387380,2
1378387560,1
1378387680,1
1378388160,1
1378388520,1
1378388760,1
1378392300,1
1378392900,1
1378393920,1
1378395360,1
1378396620,1
1378398360,1
1378399020,1
1378399860,1
1378400700,1
1378404180,1
1378404240,3
1378404300,1
1378404420,1
1378406760,1
1378407300,1
1378409460,1
1378411560,1
1378411680,1
1378412280,1
1378412760,1
1378415400,1
1378415700,1
1378417020,1
1378417080,1
1378417800,1
1378417980,1
1378418160,2
1378419240,1
1378419720,1
1378419960,2
1378421400,1
1378422600,1
1378423380,1
1378423560,1
1378425480,1
1378427100,1
1378428480,1
1378431240,1
1378431300,1
1378432200,1
1378432500,1
1378432740,1
1378433220,1
1378433580,1
1378435140,2
1378437000,1
1378437960,1
1378438740,1
1378440120,1
1378440600,1
1378441200,1
1378441740,1
1378446720,1
1378463880,1
1378469100,1
1378470060,1
1378470660,1
1378471260,1
1378471680,1
1378471920,1
1378473300,2
1378473480,1
1378473900,1
1378473960,1
1378474260,2
1378474320,1
1378474620,1
1378475460,1
1378476360,1
1378476660,1
1378478040,1
1378478100,1
1378478220,1
1378480200,1
1378480680,1
1378481040,1
1378483380,1
1378483620,1
1378484940,1
1378485780,1
1378486740,1
1378487760,4
1378487820,1
1378492020,1
