datetime,departures
1371151620,1
1371158220,2
1371159060,1
1371160500,1
1371161820,1
1371165480,1
1371169140,1
1371211440,1
1371227760,1
1371232860,1
1371237180,2
1371237780,1
1371238140,7
1371238260,6
1371238620,1
1371238920,1
1371239040,1
1371241320,1
1371241620,1
1371242460,1
1371242580,1
1371243060,1
1371243120,1
1371243840,1
1371244260,1
1371250080,1
1371251760,1
1371251880,2
1371253140,2
1371254040,2
1371254520,1
1371254700,1
1371259560,1
1371262680,2
1371262860,1
1371262980,1
1371266460,1
1371267660,1
1371268560,1
1371283980,1
1371284280,1
1371284400,1
1371284460,7
1371284520,1
1371284580,1
1371284640,2
1371285240,1
1371285360,1
1371289440,1
1371294060,1
1371300960,1
1371303000,1
1371305220,1
1371305820,1
1371307080,1
1371309420,1
1371310440,3
1371311340,2
1371311580,3
1371312360,2
1371312720,1
1371312780,1
1371313020,1
1371313140,2
1371313260,1
1371313380,1
1371313560,2
1371314040,1
1371316320,2
1371316380,1
1371318300,1
1371319020,2
1371321240,1
1371321720,2
1371321840,1
1371322080,1
1371322380,2
1371322500,1
1371322800,1
1371322860,2
1371323040,1
1371323100,1
1371323340,1
1371323760,1
1371324000,2
1371324420,1
1371326100,1
1371326640,1
1371326880,1
1371328740,1
1371329040,3
1371329100,2
1371329340,1
1371329400,2
1371329520,3
1371329700,1
1371329820,3
1371330660,2
1371330960,1
1371331140,1
1371333600,2
1371333840,1
1371334380,1
1371334500,1
1371334680,2
1371334800,4
1371334860,2
1371335040,3
1371335280,1
1371335400,1
1371335460,1
1371335520,2
1371335640,2
1371336120,2
1371336960,1
1371337440,1
1371337740,3
1371337800,2
1371338400,1
1371338580,1
1371338940,2
1371340080,2
1371340620,1
1371340860,1
1371341580,1
1371342120,3
1371342360,1
1371342600,1
1371343740,1
1371343980,1
1371344040,1
1371345540,1
1371346560,2
1371346800,1
1371347220,1
1371348120,1
1371348180,1
1371348780,4
1371350520,2
1371351300,2
1371351480,2
1371352560,1
1371355920,1
1371356040,3
1371361620,2
1371363420,1
1371363480,1
1371364500,2
1371365100,1
1371371040,2
1371375120,1
1371375240,1
1371382920,1
1371386220,1
1371389460,1
1371392160,1
1371392640,1
1371392700,2
1371392820,1
1371393000,1
1371393780,2
1371396300,3
1371397440,2
1371398700,1
1371399660,1
1371399780,2
1371399960,1
1371400080,1
1371400140,1
1371400680,1
1371401760,2
1371401940,2
1371402420,1
1371403560,2
1371405360,1
1371405420,1
1371405960,2
1371406320,1
1371407460,2
1371408660,1
1371408900,1
1371409080,1
1371409380,1
1371409440,1
1371410640,1
1371410700,2
1371410760,1
1371411600,1
1371411720,1
1371411780,2
1371412260,1
1371412680,2
1371414780,1
1371416940,1
1371417900,1
1371418020,1
1371418980,1
1371419100,1
1371419460,1
1371419820,1
1371419880,2
1371420000,2
1371420060,2
1371420180,2
1371420240,2
1371420420,3
1371420540,2
1371420600,2
1371420840,2
1371422220,3
1371422280,3
1371423600,1
1371423900,1
1371425160,1
1371425460,2
1371427140,1
1371427980,1
1371428580,2
1371428880,1
1371429600,1
1371429960,1
1371430920,4
1371430980,4
1371431040,2
1371431100,3
1371432060,1
1371433680,1
1371434040,1
1371440940,1
1371441000,1
1371441060,1
1371444600,2
1371467160,1
1371472860,1
1371474780,1
1371475260,1
1371475440,1
1371480840,1
1371483000,1
1371484320,1
1371484680,1
1371485400,1
1371490140,1
1371491280,1
1371492600,1
1371495840,1
1371495900,1
1371500460,1
1371501060,1
1371502200,1
1371502620,1
1371502740,2
1371503460,2
1371503880,1
1371504840,1
1371505020,2
1371505740,2
1371505800,1
1371505920,7
1371506040,3
1371506940,1
1371508020,1
1371508080,1
1371508200,1
1371510060,1
1371510660,1
1371510780,1
1371510840,1
1371511260,1
1371511320,1
1371511500,1
1371511800,1
1371512400,1
1371513060,1
1371513420,2
1371513720,1
1371514740,1
1371514800,1
1371515580,1
1371515700,1
1371517080,1
1371517320,1
1371517500,2
1371529020,1
1371552840,1
1371553020,1
1371556920,1
1371557520,1
1371564780,1
1371565080,1
1371573660,1
1371573960,2
1371574080,1
1371574440,1
1371575100,1
1371575880,4
1371577920,1
1371578820,1
1371580200,2
1371580620,1
1371583020,1
1371583320,1
1371584640,1
1371586620,1
1371587340,1
1371591240,1
1371591420,1
1371595800,1
1371602100,1
1371602640,1
1371606540,1
1371607320,1
1371609540,1
1371612300,1
1371626700,2
1371643320,1
1371647100,1
1371651180,1
1371651360,1
1371651420,1
1371652800,1
1371655020,1
1371655080,1
1371655140,1
1371655260,1
1371655380,1
1371655740,1
1371656100,1
1371657300,1
1371657780,1
1371658620,1
1371660300,1
1371661140,1
1371663060,1
1371663180,1
1371663240,1
1371664380,1
1371665460,1
1371667140,2
1371667380,1
1371667440,1
1371667920,2
1371669840,2
1371670260,1
1371670800,1
1371670860,1
1371671820,1
1371672060,1
1371672180,1
1371672240,2
1371672360,2
1371672480,3
1371672720,1
1371673200,2
1371674580,1
1371675180,2
1371675540,1
1371675900,1
1371677760,1
1371678240,2
1371678540,3
1371678780,1
1371679020,1
1371679080,1
1371679860,1
1371680040,1
1371680760,1
1371680880,1
1371681480,4
1371681720,1
1371681900,1
1371682260,1
1371682320,1
1371682740,1
1371683520,1
1371684000,1
1371684900,1
1371685500,1
1371686040,2
1371686160,1
1371687300,2
1371687780,1
1371688560,1
1371688620,1
1371688860,1
1371689640,1
1371691080,1
1371692040,2
1371692280,1
1371692940,2
1371694080,1
1371694380,1
1371694620,2
1371694680,1
1371696180,1
1371696480,1
1371700500,1
1371702000,1
1371727260,1
1371728280,1
1371728820,1
1371728880,1
1371730500,1
1371739020,1
1371741000,1
1371742680,1
1371743880,2
1371747060,1
1371748320,2
1371750120,1
1371750600,1
1371750720,1
1371750840,1
1371753240,1
1371753900,1
1371754200,1
1371756480,1
1371758340,1
1371758820,1
1371759060,1
1371759840,1
1371762600,1
1371763200,1
1371763260,1
1371763920,1
1371764100,1
1371764280,1
1371764520,1
1371764940,1
1371765600,2
1371766140,1
1371766260,1
1371767400,2
1371767880,1
1371768120,1
1371768480,1
1371769080,1
1371771120,1
1371771180,4
1371771720,2
1371771780,1
1371772620,1
1371772800,1
1371773700,1
1371774180,1
1371774840,1
1371775260,1
1371775920,1
1371775980,1
1371776040,2
1371776340,1
1371776460,1
1371776760,1
1371777000,1
1371777840,3
1371778200,1
1371778620,1
1371778740,1
1371778800,1
1371779220,1
1371779880,1
1371781020,1
1371784260,1
1371784380,1
1371786180,1
1371786360,1
1371786840,1
1371786960,1
1371790200,1
1371790740,1
1371809220,1
1371816480,1
1371820260,1
1371825540,1
1371825960,2
1371826860,1
1371828120,1
1371831360,1
1371832560,2
1371832620,2
1371832980,1
1371834720,1
1371835620,1
1371836160,1
1371836880,1
1371838140,1
1371838440,2
1371838620,2
1371838860,2
1371839580,1
1371839640,1
1371839880,1
1371840420,1
1371840540,1
1371841020,1
1371841560,1
1371841860,2
1371843000,1
1371843240,1
1371843900,1
1371844140,1
1371845520,1
1371846840,1
1371848040,1
1371848100,1
1371848280,1
1371848820,2
1371850080,1
1371850440,1
1371850560,2
1371850620,1
1371853260,1
1371853500,1
1371854100,2
1371854160,2
1371854340,1
1371855420,2
1371855540,2
1371855960,1
1371856200,1
1371856320,3
1371856860,2
1371857940,1
1371858000,1
1371858120,1
1371858240,1
1371858300,1
1371858420,1
1371858900,1
1371859020,1
1371861660,2
1371861900,1
1371862020,1
1371863760,1
1371863820,1
1371869280,2
1371877740,1
1371878400,4
1371878460,3
1371878580,3
1371878700,4
1371878880,5
1371879000,3
1371879120,1
1371879180,2
1371879360,4
1371897300,1
1371913260,1
1371914220,1
1371916260,1
1371916980,1
1371922560,1
1371923400,1
1371926040,1
