datetime,departures
1380925920,1
1380931020,1
1380934080,1
1380944040,1
1380944880,1
1380945660,2
1381000140,1
1381000860,1
1381001400,1
1381002780,1
1381004160,1
1381004340,2
1381004520,2
1381004700,1
1381004820,1
1381006920,1
1381008900,1
1381009080,1
1381010160,1
1381011840,1
1381012560,1
1381015140,1
1381017420,2
1381023060,1
1381024440,1
1381028520,1
1381030680,3
1381066380,1
1381071780,1
1381072140,1
1381073940,1
1381076280,1
1381076340,1
1381078200,1
1381081380,1
1381082160,1
1381082880,2
1381083600,1
1381087020,1
1381088700,1
1381089180,1
1381089780,1
1381090380,1
1381092120,1
1381092420,1
1381092720,1
1381095120,1
1381099740,2
1381102380,1
