datetime,departures
1371151080,1
1371152340,1
1371155220,1
1371155760,1
1371156660,1
1371157500,1
1371157560,1
1371157920,1
1371158340,1
1371158880,1
1371159180,1
1371159480,1
1371160200,1
1371160320,1
1371160920,1
1371161460,1
1371161580,1
1371161700,1
1371161940,1
1371163140,1
1371163740,1
1371163980,1
1371164940,1
1371166560,1
1371206640,1
1371209580,1
1371209880,2
1371210120,1
1371213360,1
1371213420,1
1371214380,1
1371214980,1
1371215400,1
1371216060,1
1371216300,1
1371216600,1
1371216840,1
1371216900,1
1371216960,1
1371217020,2
1371217320,1
1371217980,1
1371218460,1
1371218820,1
1371220440,1
1371221280,1
1371223140,1
1371223620,1
1371223860,1
1371225600,1
1371226440,1
1371226980,1
1371227760,1
1371228060,1
1371228420,1
1371228540,1
1371229320,1
1371229920,1
1371229980,1
1371231780,1
1371232260,1
1371232680,1
1371234000,1
1371234360,1
1371234660,1
1371234720,2
1371235380,2
1371235800,1
1371236040,2
1371236460,1
1371236940,1
1371237660,1
1371240120,1
1371240180,1
1371240960,1
1371241260,1
1371241500,1
1371242580,1
1371243720,1
1371244740,2
1371246360,1
1371247320,1
1371250380,1
1371250740,1
1371252900,1
1371254040,1
1371254280,1
1371255480,2
1371258360,1
1371264720,1
1371265920,2
1371284520,2
1371284580,4
1371284640,2
1371284820,2
1371284880,3
1371285840,1
1371302340,1
1371303060,1
1371305340,1
1371306360,1
1371307680,1
1371308940,1
1371309420,1
1371310680,1
1371311460,1
1371315840,1
1371320280,1
1371320700,1
1371324780,1
1371326520,1
1371327900,3
1371329400,1
1371330060,1
1371333600,1
1371333720,1
1371333840,1
1371333900,1
1371334140,2
1371334200,2
1371334260,1
1371334500,1
1371334800,2
1371334860,2
1371334920,1
1371334980,1
1371335640,2
1371335940,1
1371340980,1
1371341040,1
1371342000,1
1371344040,1
1371345960,1
1371346860,1
1371348360,1
1371348960,1
1371355740,1
1371360240,2
1371361320,1
1371379080,1
1371380580,1
1371381660,1
