datetime,departures
1371152700,1
1371153600,1
1371154980,1
1371156120,1
1371156480,1
1371156660,1
1371157920,1
1371158340,2
1371159960,1
1371160080,1
1371160500,1
1371161940,1
1371162780,1
1371163080,1
1371163560,1
1371163680,1
1371164040,1
1371165060,1
1371168480,1
1371169560,1
1371172560,1
1371182760,2
1371188760,1
1371188880,3
1371188940,3
1371189480,2
1371189600,1
1371189720,1
1371208260,1
1371210360,1
1371212280,1
1371213660,1
1371214380,1
1371214860,1
1371214920,1
1371215340,1
1371216180,1
1371216480,1
1371216720,1
1371217680,1
1371218520,1
1371218820,1
1371220440,1
1371221460,1
1371222120,1
1371223320,1
1371225960,1
1371227880,1
1371228120,1
1371229380,1
1371229980,2
1371230220,1
1371231480,1
1371232140,1
1371233400,1
1371234000,1
1371234300,1
1371234600,1
1371234660,2
1371235920,1
1371236040,1
1371237180,1
1371239880,1
1371240120,1
1371241080,1
1371241980,1
1371242640,2
1371243840,1
1371243900,2
1371244680,1
1371245160,1
1371246240,1
1371246300,1
1371246360,1
1371247140,1
1371248160,1
1371248640,2
1371249060,1
1371249360,1
1371249960,1
1371250260,2
1371250680,1
1371251220,1
1371251520,4
1371251640,3
1371251760,1
1371252420,1
1371253620,1
1371254520,1
1371254640,1
1371254880,2
1371255480,2
1371255780,1
1371257220,1
1371257700,1
1371259440,1
1371259680,1
1371259860,2
1371261420,1
1371261480,1
1371264420,1
1371266520,1
1371268560,1
1371271380,1
1371272820,1
1371272880,1
1371273060,1
1371273240,2
1371273720,1
1371274080,1
1371274140,1
1371275220,1
1371276600,1
1371276840,1
1371277140,1
1371281040,1
1371283320,2
1371288780,1
1371290640,1
1371290700,1
1371291900,1
1371298320,1
1371300180,1
1371300300,1
1371300420,1
1371300780,2
1371301440,1
1371303660,1
1371303720,1
1371304200,1
1371304680,1
1371305580,1
1371306060,1
1371307200,1
1371307380,1
1371307440,1
1371308700,1
1371309660,2
1371310020,1
1371311940,1
1371312540,1
1371312660,1
1371313020,1
1371313260,1
1371313680,1
1371313740,1
1371314040,2
1371314220,1
1371314280,1
1371314820,4
1371314880,1
1371315000,2
1371315180,1
1371315300,1
1371315720,2
1371315900,1
1371316020,2
1371316440,1
1371316860,1
1371316920,2
