datetime,departures
1371154140,1
1371154260,1
1371154860,1
1371158160,1
1371159060,1
1371159660,1
1371160140,1
1371160500,1
1371161400,1
1371161820,1
1371162120,1
1371162360,2
1371162900,1
1371163560,1
1371165900,1
1371166860,1
1371180540,1
1371204480,1
1371210780,1
1371210840,1
1371210900,2
1371211020,2
1371211140,1
1371211320,2
1371212760,1
1371212880,1
1371217860,1
1371221160,1
1371226320,1
1371227340,1
1371228540,1
1371232080,1
1371232200,2
1371233160,1
1371233640,1
1371234960,1
1371235380,1
1371235860,1
1371235920,1
1371236040,1
1371238860,1
1371238920,1
1371239400,1
1371239760,1
1371240660,1
1371242880,1
1371243660,1
1371243840,1
1371244140,1
1371247800,1
1371249660,1
1371249960,1
1371251100,1
1371252000,1
1371254700,1
1371255180,1
1371257640,1
1371258660,1
1371261300,1
1371262680,1
1371271740,1
1371274140,1
1371277980,1
1371281100,3
1371281160,3
1371281220,3
1371281340,5
1371281400,1
1371281580,1
1371281700,1
1371286500,1
1371286560,1
1371300840,1
1371302520,1
1371303180,1
1371303600,1
1371305700,1
1371306000,2
1371307200,1
1371308340,1
1371309180,1
1371309960,1
1371310080,3
1371310980,1
1371312120,1
1371313020,1
1371314400,1
1371314520,1
1371316320,1
1371316560,1
1371317280,1
1371317520,2
1371317880,2
1371318480,1
1371318600,1
1371319260,1
1371319860,1
1371319980,1
1371320460,1
1371320700,2
1371321420,3
1371321540,1
1371321720,1
1371321840,1
1371322140,1
1371322740,3
1371322860,1
1371323280,1
1371323760,2
1371323820,1
1371324060,1
1371325320,1
1371326220,1
1371326640,1
1371326760,1
1371326880,1
1371327300,1
1371327600,1
1371328560,2
1371328740,1
1371328920,3
1371329340,2
1371329640,1
1371329820,1
1371329940,1
1371330120,2
1371330300,1
1371330480,1
1371330660,1
1371331380,2
1371331740,2
1371332280,1
1371333180,2
1371333240,2
1371333360,1
1371333420,1
1371333720,1
1371333780,3
1371333900,1
1371334080,1
1371334620,1
1371334920,1
1371335160,1
1371335280,1
1371335340,1
1371336000,1
1371337020,1
1371337260,1
1371337440,1
1371337680,1
1371337740,2
1371338400,1
1371338580,1
1371339120,1
1371341820,1
1371341880,1
1371342360,1
1371343320,2
1371343740,1
1371343800,1
1371344400,2
1371344580,3
1371344760,1
1371345240,1
1371345540,2
1371346380,1
1371346620,1
1371348300,1
1371348900,1
1371351960,1
1371352080,1
1371353160,2
1371354060,1
1371354720,1
1371357000,1
1371357780,1
1371362040,1
1371363000,1
1371376920,1
1371382740,1
1371390600,1
1371391500,1
1371396120,1
1371396180,1
1371397800,1
1371399360,1
1371400500,1
1371400740,1
1371400980,1
1371401040,1
1371401400,1
1371401700,1
1371401760,1
1371401940,1
1371402000,1
1371402060,1
1371402120,1
1371404700,1
1371405180,1
1371405720,2
1371405840,1
1371406080,1
1371406140,1
1371406860,1
1371406980,1
1371407760,1
1371409260,1
1371409500,2
1371409740,1
1371409980,1
1371410100,2
1371410220,1
1371410280,1
1371410340,1
1371410640,2
1371410760,2
1371411000,2
1371411420,2
1371412020,1
1371412080,1
1371412440,1
1371412680,2
1371413460,1
1371413820,1
1371414300,2
1371414420,2
1371414480,2
1371414600,1
1371414660,1
1371414900,2
1371415200,4
1371415800,1
1371415920,2
1371415980,1
1371416760,2
1371417060,1
1371417360,1
1371417540,1
1371417600,1
1371418200,1
1371418740,1
1371419040,1
1371419640,1
1371420600,1
1371421140,1
1371421320,2
1371422520,2
1371423600,2
1371423900,2
1371424200,1
1371425220,2
1371425460,1
1371425880,2
1371427800,1
1371427920,2
1371428040,2
1371428100,1
1371429060,1
1371430080,1
1371430200,1
1371430260,2
1371431880,1
1371432300,1
1371433740,1
1371433800,1
1371439680,2
1371440100,1
1371440220,1
1371441480,1
1371441840,1
1371456060,1
1371465300,1
1371465780,1
1371467220,1
1371467460,1
1371471360,1
1371472800,1
1371473580,1
1371474420,2
1371474540,1
1371479700,1
1371480120,1
1371480720,1
1371481740,2
1371481800,1
1371482580,1
1371484800,1
1371485400,2
1371485760,2
1371486120,1
1371486360,1
1371487860,1
1371488820,1
1371489060,1
1371490800,1
1371493080,1
1371493140,1
1371493440,1
1371494460,1
1371495300,1
1371495660,1
1371495720,1
1371495840,2
1371498240,1
1371501480,1
1371501840,1
1371502440,1
1371503460,2
1371503700,1
1371504300,2
1371504420,1
1371505920,1
1371506160,2
1371506700,1
1371508560,1
1371508800,2
1371508860,2
1371509100,1
1371509220,1
1371509340,1
1371509400,1
1371509700,3
1371509880,1
1371510180,1
1371510240,1
1371510360,1
1371510480,2
1371510600,1
1371511260,2
1371511500,1
