datetime,departures
1371151800,1
1371153840,1
1371156900,1
1371157440,1
1371157980,1
1371158580,1
1371158640,1
1371158880,1
1371159000,1
1371159240,1
1371159900,1
1371160320,1
1371160680,1
1371161280,1
1371161400,1
1371161460,1
1371161580,1
1371161700,1
1371162360,1
1371162840,1
1371163740,1
1371164040,1
1371164220,2
1371164640,1
1371164940,1
1371169080,1
1371205740,1
1371217560,1
1371219540,1
1371223500,1
1371224400,2
1371224580,1
1371225180,2
1371225840,1
1371226320,1
1371227880,1
1371228540,1
1371228840,1
1371229200,1
1371229440,1
1371229740,1
1371230640,1
1371233640,1
1371234120,1
1371235380,1
1371235620,1
1371235680,1
1371235800,1
1371236100,1
1371236220,1
1371236340,1
1371236460,1
1371236700,2
1371237000,2
1371238800,1
1371238920,1
1371239100,1
1371239880,1
1371240420,1
1371241080,2
1371241200,1
1371241320,1
1371241620,1
1371241800,1
1371242100,3
1371242460,1
1371243480,1
1371243900,1
1371243960,1
1371244380,1
1371244740,1
1371244980,1
1371246180,1
1371246300,1
1371246360,1
1371246540,1
1371246780,1
1371246900,1
1371247320,1
1371247440,1
1371247500,1
1371247620,1
1371247800,3
1371247920,1
1371248040,1
1371248280,1
1371249000,1
1371249120,1
1371249780,1
1371249900,1
1371250140,1
1371251400,2
1371251640,2
1371254640,2
1371255180,1
1371256800,2
1371257520,1
1371258480,1
1371260040,1
1371260820,1
1371261480,1
1371261840,1
1371263700,2
1371264780,1
1371264900,1
1371264960,2
1371265260,1
1371269880,1
1371274680,1
1371294780,1
1371296640,1
1371298500,1
1371298680,2
1371302880,1
1371303660,1
1371307380,1
1371309240,1
1371309960,1
1371313020,1
1371313380,1
1371314280,1
1371314820,1
1371315240,1
1371315300,1
1371316020,1
1371316620,1
1371316740,1
1371317040,1
1371317340,2
1371318060,1
1371318840,2
1371319020,3
1371319380,1
1371319920,2
1371319980,1
1371320280,1
1371320340,1
1371320460,1
1371321120,2
1371321300,2
1371321420,1
1371321540,1
1371321720,2
1371322620,1
1371323400,1
1371323700,1
1371323940,2
1371324480,2
1371324720,1
1371325020,1
1371325080,1
1371325140,1
1371325860,1
1371326160,1
1371327360,3
1371327480,1
1371327720,1
1371328560,1
1371328620,3
1371328680,2
1371329040,2
1371329100,1
1371329640,1
1371330360,2
1371331380,1
1371332220,2
1371332280,1
1371332820,2
1371333060,3
1371333240,1
1371333300,1
1371333360,1
1371334080,1
1371334380,1
1371334440,2
1371334680,3
1371334860,1
1371337800,1
1371338280,2
1371338400,3
1371338940,1
1371339420,1
1371339840,2
1371340320,1
1371341640,1
1371343680,1
1371344940,2
1371345120,1
1371345180,1
1371345540,1
1371345720,1
1371347700,1
1371347760,1
1371350820,1
1371352080,1
1371352140,2
1371352860,1
1371355320,1
1371363840,1
1371367560,1
1371370320,1
1371370620,1
1371370680,1
1371382860,1
1371385320,3
1371385380,1
1371387060,1
1371389580,2
1371390780,2
1371397020,1
1371397560,1
1371397680,1
1371397980,1
1371399060,2
1371399780,1
1371400380,1
1371401580,1
1371401700,1
1371402720,1
1371402960,3
1371403560,1
1371404340,1
1371404700,2
1371404820,3
1371405000,1
1371405300,1
1371405360,1
1371405420,1
1371406680,2
1371406980,1
1371408180,1
1371408780,4
1371409800,1
1371409980,2
1371410100,3
1371410700,1
1371410940,1
1371411120,1
1371412080,1
1371412140,1
1371413100,1
1371414600,1
1371414900,2
1371415680,1
1371417780,1
1371417840,1
1371418860,3
1371422460,1
1371425760,1
1371425880,1
1371426180,1
1371427800,2
1371428340,1
1371428520,1
1371429720,1
1371429780,1
1371431220,1
1371431280,1
1371431400,1
1371433320,1
1371433680,1
1371434760,2
1371435840,1
1371436440,2
1371436560,1
1371436800,1
1371437280,1
1371438780,1
1371438900,1
1371439440,1
1371439500,1
1371453120,3
1371461400,1
1371464580,1
1371468360,1
1371468960,1
1371472680,1
1371473340,1
1371473400,2
1371474300,1
1371474840,1
1371476040,1
1371477840,1
1371479520,1
1371479580,2
1371479640,1
1371479880,5
1371479940,1
1371480180,5
1371480540,1
1371481980,1
1371484920,1
1371485640,1
1371485700,1
1371486180,1
1371486360,1
1371486660,1
1371486960,1
1371488520,1
1371490140,1
1371490860,1
1371492600,1
1371493740,1
1371494280,1
1371496140,1
1371496260,1
1371498480,1
1371498600,1
1371498960,1
1371500940,1
1371501000,1
1371501360,2
1371501420,1
1371502200,1
1371502500,1
1371502800,2
1371503160,1
1371503580,1
1371503880,1
1371503940,2
1371504240,1
1371504300,1
1371504480,1
1371504900,4
1371505380,1
1371505440,2
1371505620,1
1371506160,4
1371506220,2
1371506280,2
1371506640,1
1371506820,2
1371506940,3
1371507420,1
1371507660,1
1371507780,1
1371508140,1
1371508320,1
1371508560,1
1371508800,1
1371509340,1
1371509760,1
1371510000,1
1371510240,1
1371510780,1
1371511020,1
1371511620,1
1371511740,1
1371513840,1
1371515640,1
1371517080,2
1371518460,1
1371520920,1
1371521040,1
1371521700,1
1371522240,1
1371523620,1
1371525480,1
1371528060,1
1371548280,1
1371549240,1
1371553740,1
1371556080,1
1371557760,2
1371558420,1
1371558780,1
1371558900,1
1371559200,1
1371559800,1
1371560280,1
1371561300,1
1371561840,1
1371562080,1
1371562440,2
1371562560,5
1371562680,4
1371562860,1
1371563340,3
1371564540,1
1371566040,1
1371566940,2
1371567120,1
1371569040,1
1371569160,3
1371570240,1
1371570420,1
1371572580,1
1371572700,1
1371573180,3
1371573720,1
1371574980,2
1371576540,1
1371576900,1
1371577560,1
1371578880,2
1371579240,1
1371579480,1
1371579660,1
1371582540,1
1371582840,1
1371583740,2
1371584220,1
1371585240,1
1371586680,1
1371587040,1
1371587760,1
1371589020,1
1371590640,1
1371591360,1
1371591720,1
1371592320,1
1371592980,1
1371593160,1
1371595080,1
1371597060,1
1371597480,1
1371597600,1
1371598260,1
1371599580,1
1371600420,1
1371601680,1
1371602280,1
1371604200,1
1371605100,1
1371605280,1
1371607440,1
1371610080,1
1371614640,1
1371621180,1
1371624120,1
1371626520,1
1371634920,1
1371637440,1
1371640740,1
1371645540,1
1371646740,1
1371647040,1
1371648300,1
1371649560,1
1371652980,1
1371654540,1
1371654900,1
1371655560,1
1371656880,1
1371658440,1
1371660480,1
1371661140,1
1371661680,1
1371663360,1
1371663420,1
1371664080,1
1371664500,1
1371665340,1
1371666180,1
1371667020,1
1371667440,1
1371667500,1
1371668580,1
1371668640,1
1371668940,1
1371669000,2
1371669480,3
1371671580,1
1371671760,1
1371671940,2
1371672240,1
1371672360,1
1371673740,1
1371674040,1
1371674280,2
1371675840,1
1371676320,1
1371676440,1
1371676680,2
1371676860,1
1371677100,1
1371677340,2
1371677700,1
1371677880,2
1371678120,1
1371678240,1
1371678480,2
1371678540,4
1371678660,2
1371678780,1
1371678840,1
1371678960,1
1371679140,1
1371679380,2
1371679620,1
1371679980,1
1371680100,2
1371680400,2
1371680460,1
1371680520,1
1371680580,1
1371680700,2
1371681300,1
1371681600,1
1371681900,2
1371682140,1
1371682620,1
1371682860,2
1371683040,1
1371683400,1
1371683520,1
1371684000,1
1371684780,1
1371684900,1
1371685740,1
1371686040,1
1371686400,1
1371686760,2
