datetime,departures
1371152880,1
1371158340,1
1371162720,1
1371164220,1
1371212400,1
1371213240,1
1371213780,1
1371214860,1
1371215700,1
1371221460,1
1371227220,1
1371229740,1
1371234300,1
1371234360,1
1371248160,1
1371252600,1
1371256800,1
1371272100,1
1371298320,1
1371299760,1
1371302220,1
1371304980,1
1371306960,1
1371307200,1
1371307380,2
1371307980,1
1371308580,1
1371308700,1
1371313500,1
1371314940,1
1371315000,1
1371320760,1
1371321120,1
1371322800,2
1371322980,1
1371324540,1
1371333180,1
1371334500,1
1371335940,1
1371339660,1
1371350700,1
1371350760,1
1371389160,1
1371391800,2
1371396240,1
1371396300,1
1371401280,2
1371401700,1
1371402960,1
1371405420,1
1371405480,1
1371407640,1
1371407700,1
1371407880,1
1371409260,1
1371411540,1
1371412680,1
1371417180,1
1371469620,1
1371469800,1
1371480840,1
1371486840,1
1371510360,1
1371516660,1
1371517920,1
1371519540,1
1371558780,1
1371559980,1
1371561960,1
1371574740,1
1371575880,1
1371582780,1
1371590460,1
1371599520,1
1371643740,1
1371645780,1
1371645900,1
1371650280,1
1371666480,1
1371672900,1
1371675000,1
1371675240,1
1371676020,1
1371681900,1
1371682500,1
1371686400,1
1371686880,1
1371689460,1
1371693540,1
1371704400,1
1371727740,2
1371728880,1
1371730620,1
1371731700,1
1371731820,2
1371733320,1
1371740100,1
1371742020,1
1371757140,1
1371761100,1
1371761400,1
1371767400,1
1371773580,2
1371775260,1
1371777900,1
1371788040,1
1371791820,1
1371814140,1
1371817440,1
1371819960,1
1371820500,1
1371824640,1
1371825720,1
1371827100,1
1371828060,1
1371829080,1
1371830040,1
1371841020,1
1371844500,1
1371862080,1
1371872340,1
1371874860,1
1371876480,1
1371906240,1
1371908160,1
1371910560,1
1371911520,1
1371914160,1
1371915900,1
1371918960,1
1371923280,1
1371924420,1
1371924900,1
1371925500,1
1371925800,1
1371929280,1
1371932280,1
1371932520,1
1371937980,1
1371939120,1
1371940320,1
1371940980,1
1371952860,1
1371952920,1
1371965340,1
1371996000,2
1371999540,1
1372001640,1
1372002120,1
1372003380,1
1372008420,1
1372009020,1
1372016100,1
1372016160,1
1372016940,1
1372022640,2
1372023420,1
1372025400,1
1372027260,1
1372027680,1
1372031400,1
1372043400,1
1372070340,1
1372073520,1
1372074900,1
1372076520,1
1372077780,1
1372077900,1
1372078380,1
1372084740,1
1372089960,1
1372095780,1
1372098240,1
1372103940,1
1372111320,1
1372120680,1
1372161540,1
1372164360,1
1372164540,1
1372164720,1
1372170720,1
1372173960,1
1372181460,1
1372184100,1
1372186800,1
1372200240,1
1372203600,1
1372206420,1
1372240980,1
1372241220,1
1372246620,1
1372247280,1
1372249080,1
1372250040,1
1372250280,1
1372263600,1
1372274040,1
1372284360,1
1372286100,1
1372296420,1
1372296540,1
1372334220,1
1372335900,1
1372337760,1
1372342740,1
1372346100,1
1372381860,1
1372389360,1
1372421760,1
1372424640,1
1372427340,1
1372432980,1
1372434240,1
1372434900,1
1372436280,1
1372437420,1
1372444140,1
1372444320,1
1372449000,1
1372457820,1
1372459200,1
1372482780,1
1372508760,1
1372511040,1
1372514580,1
1372514700,1
1372515660,1
1372515840,1
1372521720,1
1372523580,1
1372528200,1
1372529160,1
1372530720,1
1372531200,1
1372533600,2
1372540260,1
1372542240,1
1372545960,2
1372552320,1
1372552440,1
1372573260,2
1372580760,1
1372600680,1
