datetime,departures
1371167280,1
1371205380,1
1371207840,1
1371211560,1
1371213480,1
1371213900,1
1371216900,1
1371223620,1
1371230520,1
1371234120,1
1371250380,1
1371253020,1
1371255540,1
1371262380,1
1371300120,1
1371301200,1
1371301320,1
1371304320,1
1371306480,1
1371306960,1
1371310260,1
1371311820,1
1371315240,1
1371318360,1
1371319500,1
1371324240,1
1371324480,1
1371326280,1
1371327840,1
1371328260,1
1371328740,1
1371329940,2
1371341040,2
1371347100,1
1371351720,1
1371360240,1
1371360360,1
1371386760,1
1371389160,1
1371404040,1
1371405300,1
1371410580,1
1371411000,1
1371414420,1
1371424200,1
1371427320,1
1371432780,1
1371464340,1
1371464580,1
1371467760,1
1371467820,1
1371472200,2
1371472980,1
1371473640,1
1371475080,1
1371475140,1
1371477720,1
1371478920,1
1371485400,1
1371488100,1
1371490380,1
1371496560,1
1371504840,1
1371506580,1
1371510060,1
1371514020,1
1371514500,1
1371516300,1
1371552600,1
1371554580,1
1371556380,1
1371556740,1
1371556800,1
1371558240,1
1371560700,1
1371560820,1
1371561060,1
1371561180,1
1371564060,1
1371565320,1
1371565740,2
1371566280,1
1371566940,2
1371568860,1
1371605580,1
1371637320,1
1371638880,1
1371643440,1
1371643740,1
1371644820,1
1371644940,1
1371645360,1
1371645480,1
1371646080,1
1371646980,1
1371647520,1
1371647820,1
1371649140,1
1371653700,1
1371658440,1
1371659580,1
1371675720,1
1371676320,1
1371684240,1
1371685320,2
1371724860,1
1371725280,1
1371725580,1
1371726540,1
1371727620,1
1371728280,1
1371729900,2
1371730980,1
1371731400,1
1371731940,1
1371732420,1
1371734280,1
1371734940,1
1371739680,1
1371739740,1
1371739800,1
1371745680,1
1371745920,1
1371747360,1
1371750000,1
1371751140,1
1371751380,2
1371754680,1
1371756120,1
1371762300,1
1371764940,1
1371768480,1
1371769440,1
1371770760,1
1371770820,1
1371773760,1
1371773940,1
1371788940,1
1371789120,1
1371810120,1
1371815700,1
1371816600,1
1371817620,1
1371818220,1
1371818400,1
1371819960,1
1371820260,1
1371820620,1
1371820860,2
1371821160,1
1371822480,1
1371823080,1
1371828240,1
1371829500,1
1371834300,1
1371835080,1
1371840180,1
1371842580,1
1371844140,1
1371848820,1
1371853440,1
1371856380,2
1371859200,1
1371860880,1
1371863640,1
1371878580,1
1371904560,1
1371905400,1
1371909600,1
1371915540,1
1371915600,1
1371915900,1
1371917700,1
1371919440,1
1371919620,1
1371921060,1
1371922080,1
1371922740,1
1371924180,1
1371925320,1
1371927480,1
1371927900,1
1371928380,1
1371928500,2
1371929400,1
1371929700,1
1371932100,1
1371933120,1
1371935280,1
1371936480,1
1371939060,1
1371941940,1
1371944220,2
1371944340,1
1371944520,1
1371944940,1
1371945840,1
1371946560,1
1371956280,1
1371989880,1
1371995400,1
1371996600,1
1372001340,1
1372001760,1
1372005660,1
1372006260,1
1372007280,1
1372008840,1
1372014060,1
1372014960,1
1372016940,1
1372017060,2
1372018860,1
1372019340,1
1372019460,2
1372019520,1
1372019640,1
1372019880,1
1372021380,1
1372022880,1
1372026180,1
1372026540,1
1372029120,1
1372029420,1
1372029540,1
1372031040,1
1372032660,1
1372034640,1
1372069140,1
1372074120,1
1372074720,1
1372075560,1
1372075860,1
1372076340,1
1372077900,1
1372078080,1
1372078260,2
1372078560,1
1372078980,1
1372079040,1
1372080180,1
1372082280,1
1372085520,1
1372094700,1
1372098300,1
1372099680,1
1372109460,1
1372114620,1
1372118880,1
1372119000,1
1372119120,1
1372119180,1
1372119900,1
1372121160,1
1372122420,1
1372126920,1
1372128480,1
1372155660,1
1372157160,1
1372162080,1
1372162920,1
1372163040,1
1372163340,1
1372163460,1
1372164060,1
1372164300,1
1372164360,1
1372164960,1
1372165440,1
1372165920,1
1372166280,1
1372166340,1
1372167360,1
1372169820,3
1372170720,1
1372181580,1
1372196100,1
1372196160,1
1372206300,1
1372210140,1
1372212120,1
1372237020,1
1372241520,1
1372243740,1
1372247640,1
1372248300,1
1372248360,1
1372248780,1
1372249740,2
1372250280,1
1372250700,1
1372251180,2
1372251240,1
1372251300,1
1372251660,1
1372252440,1
1372253100,1
1372253580,1
1372253940,1
1372254060,1
1372254540,1
1372255200,1
1372258380,1
1372260120,1
1372275540,1
1372275720,1
1372277520,1
1372281300,1
1372283280,1
1372283700,1
1372286160,1
1372295580,2
1372308360,1
1372330020,1
1372334700,1
1372335000,1
1372335120,1
1372336320,1
1372337580,2
1372338540,2
1372339680,1
1372339800,1
1372341120,1
1372345320,1
1372361340,1
1372374060,2
1372375500,1
1372375740,1
1372380180,1
1372386300,1
1372414680,1
1372416420,1
1372418820,1
1372421280,1
1372422540,1
1372422780,1
1372423500,1
1372423920,1
1372423980,1
1372424040,1
1372424280,1
1372424400,2
1372426860,1
1372427040,1
1372428840,1
1372444680,1
1372461900,1
1372463940,1
1372509660,1
1372510380,1
1372510980,1
1372512120,1
1372513500,1
1372513860,1
1372517640,1
1372518600,1
1372522020,1
1372524420,1
1372525140,2
1372525560,1
1372525860,1
1372526820,1
1372531620,1
1372531740,1
1372532700,1
1372532820,1
1372535400,1
1372537140,2
1372540260,1
1372541280,1
1372542060,1
1372546860,2
1372546920,1
1372547640,1
1372547820,1
1372549080,1
1372552320,1
1372557300,1
1372557540,1
1372593540,1
1372596600,1
1372602600,2
1372603740,1
1372604400,1
1372607400,1
1372609320,1
1372612380,1
1372613460,1
1372613580,2
1372617120,1
1372620540,1
1372622040,1
1372622760,1
1372625700,1
1372626300,1
1372626420,1
1372629180,1
1372633200,1
1372640460,1
1372641960,1
1372651620,1
1372676160,1
1372680960,1
1372682700,2
1372687020,2
1372690020,1
1372702080,1
1372704300,1
1372707180,1
1372728480,1
1372733820,1
1372762020,1
1372765080,1
1372765740,1
1372766880,1
1372768740,1
1372773720,12
1372776900,1
1372785180,1
1372789020,2
1372799280,1
1372803720,1
1372805280,1
1372806060,1
1372806840,1
1372807620,1
1372808580,1
1372812120,1
1372846680,1
1372852620,1
1372854660,2
1372855440,1
1372855560,2
1372856100,1
1372856580,1
1372857360,1
1372858740,2
1372863120,1
1372863540,1
1372876440,1
1372886520,1
1372886760,1
1372887780,1
1372888320,1
1372903080,1
1372917120,1
1372933980,1
1372940580,1
1372950240,2
1372953900,1
1372954320,1
1372955520,2
1372959000,1
1372961340,2
1372963380,2
1372963680,1
1372963980,1
1372964820,1
1372967100,2
1372983300,2
1372991520,1
1373019240,1
1373021100,1
1373023740,1
1373024820,1
1373027760,1
1373029500,1
1373030940,1
1373031780,9
1373039820,1
1373047080,1
1373051700,1
1373054280,1
1373054640,1
1373055120,1
1373060220,1
1373060520,1
1373064480,1
1373067660,1
1373067780,1
1373069100,1
1373077860,1
1373080080,1
1373118720,1
1373119620,7
1373123580,1
1373124960,1
1373126700,2
1373128140,2
1373129760,2
1373130180,1
1373130420,2
1373130960,1
1373131020,1
1373131320,1
1373132580,2
1373133180,1
1373134740,1
1373136600,1
1373136720,1
1373139180,1
1373139420,1
1373139540,1
1373139780,1
1373141280,1
1373141700,1
1373142660,1
1373143500,2
1373147160,1
1373148420,1
1373149680,1
1373158920,1
1373160660,1
1373161020,1
1373205420,4
1373209140,1
1373209320,1
1373211720,2
1373214180,1
1373219280,1
1373223000,1
1373227920,1
1373228280,3
1373230260,1
1373233860,1
1373235720,1
1373236680,1
1373236980,2
1373238360,1
1373243340,1
1373245620,1
1373246340,1
1373248320,1
1373273760,1
1373281800,1
1373285460,2
1373286600,2
1373286960,1
1373289300,1
1373289900,1
1373294040,1
1373302620,1
1373309520,1
1373313180,1
1373313480,1
1373315580,1
1373316360,1
1373332920,1
1373368500,1
1373368620,1
1373371680,1
1373372280,2
1373372820,1
1373373240,1
1373373480,1
1373373720,1
1373374200,1
1373374380,1
1373374440,1
1373374920,1
1373375100,2
1373375760,1
1373376300,1
1373376420,1
1373376480,1
1373376720,1
1373377440,1
1373378040,1
1373380200,1
1373381580,2
1373384340,1
1373385120,1
1373391480,1
1373399580,1
1373407980,1
1373408760,1
1373408880,1
1373409000,1
1373410980,3
1373411460,2
1373411520,1
1373411700,1
1373411820,1
1373411940,3
1373412120,1
1373412240,1
1373413380,6
1373413860,2
1373414640,1
1373414820,1
1373415720,1
1373428800,2
1373428920,3
1373429220,7
1373457840,1
1373459040,1
1373459400,1
1373460240,3
1373460300,1
1373463120,2
1373463420,1
1373463600,1
1373465940,1
1373488320,1
1373500440,1
1373509380,1
1373515260,1
1373516160,4
1373516340,3
1373516460,1
1373516580,2
1373539260,1
1373543460,1
1373543760,1
1373543820,1
1373544720,1
1373545080,1
1373545200,1
1373545800,1
1373549880,1
1373550000,2
1373550060,1
1373552580,1
1373559240,1
1373561880,1
1373563560,1
1373564880,2
1373566320,1
1373568540,1
1373572740,1
1373573340,1
1373573520,1
1373576460,1
1373578980,1
1373589120,2
1373590020,1
1373591340,1
1373632500,1
1373632740,1
1373633400,1
1373633580,1
1373633640,1
1373634120,1
1373634720,12
1373634900,1
1373635020,1
1373636820,3
1373637720,1
1373644680,1
1373646180,1
1373647620,1
1373652420,2
1373654220,1
1373655840,1
1373656020,1
1373660640,1
1373689560,1
1373716560,1
1373719320,1
1373721300,1
1373722020,1
1373722920,1
1373725380,1
1373730360,1
1373732040,1
1373732100,1
1373733300,1
