datetime,departures
1371152700,1
1371155520,1
1371156240,1
1371156600,1
1371157260,1
1371159120,1
1371163740,1
1371164100,1
1371164400,1
1371165240,1
1371165960,1
1371166140,1
1371167040,1
1371182940,3
1371183000,6
1371183060,1
1371183240,2
1371212100,1
1371213240,2
1371214380,1
1371220440,1
1371222000,1
1371222540,1
1371225780,1
1371229620,1
1371231360,1
1371231480,1
1371231660,1
1371232620,1
1371232920,1
1371232980,1
1371233220,1
1371235440,1
1371235680,1
1371238920,1
1371240180,1
1371240900,1
1371242640,2
1371243240,1
1371243480,1
1371243720,1
1371243960,1
1371244080,1
1371244260,1
1371246360,1
1371246540,1
1371250260,1
1371252480,1
1371252780,1
1371254640,1
1371255180,1
1371256140,1
1371258420,1
1371259260,1
1371263280,2
1371265500,1
1371266460,2
1371272520,2
1371273120,1
1371273300,1
1371284700,1
1371285060,1
1371300720,1
1371300960,1
1371303720,1
1371306240,1
1371308880,1
1371310080,1
1371311580,1
1371311640,2
1371312960,2
1371313560,1
1371313920,1
1371314280,1
1371314640,1
1371316620,1
1371319140,1
1371319260,1
1371319500,1
1371319620,1
1371319680,1
1371319740,1
1371321000,1
1371321120,2
1371322080,1
1371322140,2
1371322260,1
1371322500,1
1371322680,1
1371323400,1
1371323580,1
1371323820,1
1371323940,1
1371325740,1
1371326640,1
1371327000,2
1371327120,1
1371327300,1
1371328020,1
1371328080,4
1371329040,2
1371329220,1
1371329520,1
1371330660,1
1371331200,2
1371331920,1
1371332040,1
1371333240,1
1371334080,2
1371334140,2
1371334200,1
1371334260,1
1371335640,1
1371336720,1
1371337620,1
1371338400,1
1371338520,1
1371338580,1
1371339300,1
1371339600,1
1371339720,1
1371339900,1
1371340980,1
1371343080,1
1371343320,1
1371343380,2
1371344280,1
1371345840,2
1371345900,1
1371345960,1
1371346080,1
1371346680,1
1371347580,1
1371349560,1
1371351540,1
1371352080,2
1371353040,2
1371353760,1
1371354180,1
1371355500,1
1371358080,1
1371358500,1
1371368760,2
1371381660,1
1371392460,1
1371393000,1
1371393060,1
1371394320,1
1371394560,2
1371396480,1
1371397020,1
1371397500,1
1371399240,2
1371400260,1
1371402000,1
1371402060,1
1371402120,1
1371403020,1
1371403320,1
1371405000,1
1371405780,1
1371406140,1
1371406500,2
1371406800,1
1371407100,1
1371410640,2
1371410700,1
1371411000,1
1371412020,1
1371412260,1
1371412560,1
1371412860,1
1371414540,1
1371414600,1
1371417360,2
1371417780,2
1371418140,1
1371418980,1
1371419880,2
1371419940,4
1371420600,2
1371421260,1
1371422700,1
1371422820,1
1371423180,1
1371423360,1
1371423780,1
1371424140,1
1371425280,1
1371425520,1
1371425580,1
1371427020,1
1371427800,2
1371428280,3
1371428340,3
1371428520,1
1371428700,1
1371430560,1
1371435780,1
1371440880,1
1371445440,2
1371448320,1
1371460200,1
1371467100,1
1371467820,1
1371470280,1
1371471540,1
1371471840,1
1371472020,1
1371472260,1
1371473580,1
1371474300,2
1371474420,1
1371475440,2
1371476040,1
1371476520,1
1371476880,1
1371478260,1
1371478740,2
1371479280,1
1371479520,1
1371483180,1
1371483360,1
1371483480,1
1371484980,1
1371486420,1
1371487080,1
1371487740,2
1371488400,1
1371489420,1
1371490380,1
1371491580,1
1371492180,1
1371494100,1
1371494940,1
1371495360,1
1371495660,1
1371496080,1
1371498420,1
1371499740,1
1371499980,1
1371500100,1
1371500280,1
1371500460,1
1371501180,1
1371501780,1
1371502620,2
1371503460,1
1371504240,1
1371504600,1
1371504720,1
1371504780,1
1371507120,1
1371507420,1
1371508020,1
1371508800,1
1371510360,1
1371510960,1
1371512040,2
1371512280,1
1371512400,1
1371513060,1
1371514020,1
1371514620,1
1371515340,1
1371515640,1
1371516000,2
1371516060,1
1371517620,1
1371518220,1
1371519420,3
1371519480,1
1371521100,2
1371521580,2
1371521940,1
1371523920,1
1371524460,2
1371525060,1
1371525180,1
1371548520,1
1371555780,1
1371556620,1
1371556800,1
1371559920,1
1371559980,1
1371560100,1
1371560760,1
1371562560,1
1371562740,1
1371563220,1
1371563460,1
1371565680,1
1371566520,2
1371569880,1
1371571800,1
1371571980,1
1371572100,1
1371572400,1
1371573840,1
1371574200,1
1371576600,1
1371580200,1
1371580620,1
1371580920,1
1371581040,1
1371581580,1
1371582240,1
1371583560,1
1371584460,1
1371587640,1
1371587880,1
1371589320,1
1371590220,1
1371590580,1
1371590640,1
1371590940,1
1371591000,1
1371592080,1
1371592320,1
1371594900,1
1371595740,1
1371599820,1
1371601140,1
1371601500,1
1371601680,1
1371602280,1
1371604500,1
1371605220,1
1371606120,1
1371606600,1
1371609540,1
1371609960,1
1371639240,1
1371640980,1
1371642720,1
1371643560,1
1371646200,1
1371646620,1
1371646740,1
1371646980,1
1371648000,1
1371648540,1
1371648900,1
1371649080,1
1371649620,1
1371649980,1
1371650040,2
1371652380,1
1371653340,1
1371654660,1
1371655380,1
1371655740,1
1371655980,1
1371657120,1
1371657720,1
1371657840,1
1371658380,1
1371659400,1
1371660480,1
1371663360,1
1371663780,1
1371664440,1
1371666360,1
1371666600,1
1371667140,5
1371667200,1
1371667380,1
1371667440,1
1371668100,1
1371669420,1
1371669480,1
1371669960,1
1371672180,1
1371672480,1
1371672780,2
1371673080,1
1371673380,1
1371673920,1
1371674100,1
1371674220,1
1371675720,1
1371676020,1
1371676140,1
1371676560,1
1371676860,1
1371677220,1
1371678120,1
1371679620,1
1371679860,1
1371680580,2
1371681300,1
1371681600,1
1371681780,1
1371681960,1
1371683340,1
1371686940,1
1371687360,1
1371687960,1
1371690240,1
1371690720,1
1371690780,1
1371691560,1
1371693600,1
1371693900,1
1371706680,1
1371708180,1
1371726960,1
1371730020,1
1371730440,1
1371730800,1
1371732420,2
1371733080,1
1371734100,1
1371734820,1
1371735420,1
1371735960,1
1371736680,1
1371737040,1
1371738060,1
1371742980,1
1371744240,1
1371744300,2
1371744840,1
1371746580,1
1371748440,1
1371749580,1
1371749880,1
1371751320,1
1371751500,1
1371752340,1
1371753120,1
1371753420,1
1371754080,1
1371754500,1
1371755520,1
1371757320,1
1371759780,1
1371760080,1
1371760140,1
1371760440,1
1371760860,1
1371761040,1
1371761220,1
1371761400,1
1371763080,2
1371763920,1
1371765420,1
1371765720,1
1371766140,1
1371766860,5
1371766980,1
1371767460,1
1371767640,2
1371767820,1
1371767880,1
1371768960,1
1371770040,1
1371770160,1
1371770760,1
1371771300,1
1371771960,1
1371772020,2
1371772500,1
1371777420,1
1371777480,1
1371778920,1
1371780120,1
1371780480,1
1371781440,1
1371782280,1
1371785220,1
1371787260,1
1371790140,1
1371812820,1
1371815400,1
1371816480,1
1371817620,1
1371817800,1
1371818460,2
1371819960,15
1371820200,1
1371820620,1
1371822480,1
1371823620,2
1371824520,1
1371825240,1
1371826920,1
1371827100,1
1371827520,1
1371827760,1
1371829440,1
1371830460,1
1371833640,1
1371835920,2
1371836340,1
1371838380,1
1371838740,1
1371839880,1
1371840600,1
1371841020,1
1371841740,2
1371842160,1
1371842820,1
1371842940,1
1371843060,1
1371843840,1
1371843900,1
1371844080,2
1371847020,2
1371847380,1
1371847620,1
1371847860,1
1371848880,1
1371849360,1
1371849780,1
1371850140,1
1371850380,1
1371852060,1
1371853500,1
1371854400,1
1371855420,1
1371855480,1
1371855720,1
1371855960,1
1371856320,1
1371856860,2
1371857040,1
1371857340,2
1371857460,1
1371857640,1
1371857940,2
1371858120,1
1371858180,1
1371859020,1
1371860700,1
1371860820,1
1371861000,2
1371861180,1
1371861300,1
1371862680,1
1371862920,1
1371863700,1
1371864720,1
1371865740,1
1371866940,1
1371867900,1
1371868260,1
1371868380,1
1371872580,1
1371872940,1
1371873060,1
1371873660,1
1371874140,1
1371874740,2
1371875340,1
1371875400,1
1371878580,2
1371881520,3
1371882600,1
1371882660,1
1371884220,1
1371890040,1
1371890460,1
1371893520,1
1371893580,1
1371903540,1
1371903780,1
1371908520,1
1371910020,1
1371910320,1
1371910860,1
1371911580,1
1371912060,2
1371912600,1
1371912780,1
1371913740,1
1371914040,1
1371914940,1
1371915600,1
1371915720,1
1371917040,2
1371918120,1
1371918420,1
1371918960,1
1371920640,1
1371921300,1
1371921960,1
1371922980,2
1371923700,1
1371923820,1
1371924300,1
1371924360,1
1371924540,1
1371925560,1
1371925800,1
1371925860,1
1371926040,1
1371926220,1
1371927600,1
1371927900,1
1371928500,1
1371929580,1
1371929880,1
1371930240,1
1371930540,2
1371930780,1
1371931800,2
1371932040,1
1371933180,1
1371933240,3
1371933480,1
1371933720,1
1371934260,1
1371934980,1
1371935160,1
1371935340,1
1371935880,2
1371936000,1
1371938160,1
1371938880,2
1371939180,1
1371939600,2
1371940080,1
1371940620,1
1371940680,1
1371940800,2
1371942300,1
1371943020,2
1371943140,1
1371944640,1
1371944820,1
1371947460,1
1371947700,1
1371948000,1
1371949800,1
1371950040,2
1371950100,1
1371952320,2
1371953880,1
1371953940,1
1371954780,1
1371954840,1
1371954900,2
1371955440,1
1371956820,1
1371959880,1
1371960900,1
1371961320,1
1371962340,1
1371964500,2
1371965760,2
1371967200,1
1371970680,1
1371971460,1
1371973980,1
1371977640,1
1371978780,1
1371978840,1
1371987060,1
1371988980,1
1371989400,1
1371992040,1
1371992100,1
1371993000,2
1371994980,1
1371995820,1
1371996000,1
1371996060,1
1371997320,1
1371997560,1
1371998100,1
1371998520,2
1371998820,1
1371999900,1
1371999960,1
1372001340,5
1372001640,1
1372002480,1
1372004820,1
1372005180,1
1372006320,1
1372007580,1
1372007940,2
1372009020,2
1372010160,3
1372010760,2
1372010880,1
1372011000,2
1372011240,1
1372011660,1
1372011720,1
1372011960,2
1372013160,1
1372015560,1
1372015740,1
1372016040,1
1372016100,1
1372016160,1
1372016220,1
1372016400,2
1372017240,1
1372017840,1
1372017900,1
1372018560,1
1372018860,1
1372021080,1
1372021140,1
1372021560,3
1372022160,1
1372022760,2
1372023540,1
1372023600,1
1372023840,1
1372023960,1
1372024260,1
1372026180,1
1372026900,1
1372028040,1
1372028520,1
1372029540,1
1372030500,1
1372032060,1
1372034760,1
1372035960,1
1372037040,1
1372037400,1
1372037580,1
1372037940,1
1372038480,1
1372038900,1
1372044660,1
1372046160,1
1372046760,1
1372048380,1
1372055580,1
1372072440,1
1372073100,1
1372074000,1
1372076940,1
1372077240,1
1372079160,2
1372079820,1
1372081200,1
1372082280,1
1372085040,1
1372087320,1
1372089300,1
1372089780,1
1372090380,1
1372092420,1
1372093560,1
1372094040,1
1372094520,1
1372095180,1
1372096200,1
1372096680,1
1372097880,2
1372099320,1
1372099380,1
1372099740,1
1372101240,1
1372102500,1
1372102680,1
1372103040,1
1372105260,1
1372105380,1
1372105800,2
1372105980,1
1372106100,1
1372107300,1
1372107360,1
1372108440,1
1372108680,2
1372108980,1
1372109160,3
1372109580,1
1372110000,1
1372110360,1
1372110540,1
1372110660,1
1372111140,1
1372111440,1
1372111680,1
1372111740,1
1372112580,2
1372113060,1
1372114800,1
1372115400,1
1372115520,1
1372115940,1
1372116180,1
1372117020,1
1372117260,1
1372117560,2
1372118100,1
1372118220,1
1372118400,1
1372118760,1
1372119000,2
1372119180,1
1372119600,1
1372120080,1
1372120320,1
1372120440,2
1372120920,1
1372122180,1
1372122240,1
1372122780,1
1372122900,1
1372123500,1
1372123800,1
1372124760,2
1372126200,1
1372128720,1
1372129200,1
1372129920,1
1372130760,1
1372154880,2
1372158480,1
1372158840,1
1372161120,1
1372161960,1
1372162200,1
1372162560,1
1372163220,1
1372163700,1
1372164120,1
1372164420,1
1372165440,1
1372165680,1
1372166280,1
1372166880,3
1372167660,1
1372167900,1
1372170600,1
1372170720,1
1372170780,1
1372171320,1
1372172160,1
1372173840,1
1372174200,1
1372176300,1
1372176720,1
1372178100,1
1372180080,1
1372180920,1
1372181580,1
1372181940,1
1372182060,1
1372182360,1
1372183020,1
1372183260,1
1372185720,1
1372186320,1
1372186680,1
1372186920,1
1372187160,1
1372188000,1
1372188720,1
1372190100,1
1372190460,1
1372190520,1
1372190700,1
1372191660,1
1372192800,1
1372193700,1
1372193880,2
1372194660,1
1372194780,2
1372195140,1
1372195560,2
1372195980,1
1372196040,1
1372196280,1
1372196760,1
1372197060,1
1372197720,1
1372197780,1
1372198080,1
1372198500,1
1372198620,1
1372199220,1
1372199520,1
1372200480,2
1372201080,1
1372201320,1
1372201680,1
1372202340,2
