datetime,departures
1371153600,1
1371153780,1
1371154560,2
1371154980,1
1371156240,1
1371158880,1
1371159960,1
1371160080,1
1371160680,2
1371162360,1
1371163380,1
1371163560,1
1371164820,1
1371211140,1
1371212280,1
1371215760,1
1371230280,2
1371230460,1
1371230580,1
1371233220,1
1371237480,1
1371237660,1
1371240000,1
1371240060,1
1371240600,1
1371241680,1
1371242580,1
1371243660,2
1371244680,2
1371247620,1
1371248460,1
1371248640,1
1371249960,1
1371250080,1
1371251640,1
1371251760,1
1371251940,1
1371252420,1
1371252480,1
1371255720,1
1371255900,1
1371257520,2
1371257880,1
1371258120,1
1371260280,1
1371263940,1
1371297960,2
1371298320,1
1371306060,2
1371306780,2
1371308100,1
1371308580,1
1371309300,1
1371309420,1
1371309780,1
1371311040,1
1371311940,1
1371312420,1
1371312900,1
1371316560,1
1371317040,1
1371318120,1
1371319800,2
1371320820,1
1371320940,1
1371321900,1
1371322200,2
1371323100,1
1371323460,1
1371323640,1
1371324000,1
1371324480,1
1371325380,2
1371325980,1
1371326100,1
1371326340,3
1371326880,2
1371327900,3
1371328260,1
1371328680,1
1371329040,2
1371329220,1
1371329880,3
1371330060,1
1371330480,1
1371330840,2
1371331440,1
1371331500,2
1371331920,1
1371332460,1
1371332820,1
1371335160,2
1371335400,1
1371335760,1
1371335880,1
1371336360,1
1371336480,1
1371336780,2
1371337620,1
1371338220,1
1371338400,1
1371338700,1
1371340080,1
1371341880,3
1371343440,1
1371343740,1
1371346200,2
1371347220,1
1371348360,1
1371349200,1
1371352140,1
1371358560,1
1371365100,1
1371389820,2
1371390060,1
1371390180,1
1371391440,1
1371393180,1
1371394200,3
1371395580,1
1371396120,2
1371396180,1
1371398280,1
1371399000,1
1371399780,1
1371400140,2
1371400620,1
1371401100,1
1371407460,2
1371408420,1
1371410940,1
1371412200,1
1371412260,1
1371412860,1
1371413880,3
1371414120,2
1371414300,2
1371414420,1
1371414660,2
1371419280,1
1371419820,1
1371420000,1
1371420060,1
1371420180,1
1371420540,1
1371421320,1
1371421980,1
1371424080,2
1371425160,1
1371425940,1
1371426120,1
1371428640,1
1371430380,2
1371430680,1
1371431880,1
1371435300,1
1371438960,3
1371470280,1
1371472800,1
1371473400,1
1371474960,1
1371475380,1
1371482340,1
1371483000,1
1371483060,1
1371484560,1
1371484980,1
1371487080,1
1371491460,1
1371492180,1
1371493320,1
1371494040,1
1371494520,1
1371494580,1
1371495000,1
1371500700,1
1371501300,1
1371502620,1
1371503280,1
1371504420,1
1371504780,1
1371505260,2
1371505380,1
1371506040,2
1371506820,1
1371506940,2
1371507060,1
1371507360,1
1371507420,2
1371508020,2
1371508200,2
1371508380,2
1371508440,1
1371509700,1
1371510000,2
1371510060,1
1371510840,1
1371512400,2
1371513420,1
1371513720,1
1371516480,1
1371527400,1
1371527520,1
1371531000,1
1371552540,1
1371554880,1
1371555300,1
1371556440,1
1371556620,1
1371557880,1
1371558780,2
1371559140,1
1371563460,1
1371563700,2
1371567840,1
1371567960,1
1371568200,1
1371570480,1
1371572940,1
1371575400,1
1371576240,1
1371577320,2
1371577620,1
1371577680,1
1371579360,1
1371580980,1
1371582840,2
1371587100,1
1371587220,1
1371591840,1
1371592200,1
1371592320,1
1371597720,1
1371600780,2
1371601680,1
1371602820,1
1371605460,1
1371615720,1
1371618780,1
1371640380,1
1371641700,2
1371641880,1
1371647700,1
1371650820,1
1371651720,1
1371652620,1
1371655560,2
1371656640,1
1371657480,1
1371658620,1
1371659520,1
1371661020,1
1371662460,1
1371663600,1
1371664620,1
1371665520,1
1371665820,1
1371667500,2
1371667740,1
1371668220,2
1371668460,1
1371669120,1
1371669960,1
1371671220,1
1371671400,1
1371672360,1
1371672900,1
1371673980,1
1371675600,1
1371676560,1
1371676680,1
1371677400,1
1371677940,1
1371678960,1
1371679140,1
1371679260,1
1371680280,1
1371680880,1
1371681120,1
1371681180,2
1371681420,1
1371681480,1
1371682080,1
1371682380,1
1371682620,1
1371683100,1
1371683640,1
1371684240,2
1371685260,1
1371685740,1
1371685860,1
1371685980,1
1371686040,1
1371686100,2
1371686640,1
1371687180,1
1371687900,1
1371688140,1
1371688200,1
1371688560,1
1371688920,1
1371690240,1
1371690360,1
1371693060,1
1371693840,1
1371699780,1
1371699960,1
1371724860,2
1371725580,1
1371730920,1
1371731220,1
1371732780,1
1371740760,1
1371743160,2
1371743400,1
1371744300,1
1371745080,1
1371747240,2
1371747540,1
1371748200,1
1371749460,3
1371751080,1
1371751200,1
1371752160,1
1371752760,1
1371753240,1
1371753360,1
1371753600,1
1371756480,1
1371756960,1
1371757260,1
1371758520,2
1371760560,1
1371761100,1
1371761940,1
1371762120,1
1371762480,2
1371763080,1
1371763200,1
1371763920,3
1371763980,1
1371764400,1
1371764940,4
1371765480,1
1371765600,1
1371765720,1
1371765840,2
1371765960,1
1371766080,1
1371766440,1
1371766560,1
1371768600,1
1371768780,1
1371769080,1
1371769140,1
1371769260,1
1371769620,1
1371769680,1
1371770100,1
1371770220,1
1371771300,1
1371771780,1
1371772440,1
1371773460,1
1371774180,2
1371774660,1
1371775080,1
1371780180,1
1371780540,1
1371786420,1
1371786540,1
1371788340,1
1371788820,1
1371792300,4
1371812400,1
1371814140,1
1371815160,1
1371815940,1
1371816720,1
1371817980,1
1371818580,1
1371820020,1
1371820620,1
1371821460,1
1371822480,1
1371823440,1
1371823680,1
1371829740,1
1371829980,1
1371830280,1
1371832440,1
1371833760,1
1371834120,1
1371834960,1
1371836100,1
1371837780,1
1371837960,1
1371840600,1
1371841860,1
1371842940,1
1371844140,1
1371844260,1
1371844380,1
1371844620,1
1371844680,1
1371844740,1
1371845520,2
1371845700,1
1371845820,2
1371846600,1
1371846960,1
1371847440,1
1371847500,1
1371848880,1
1371849480,1
1371849660,1
1371850080,1
1371850380,1
1371850680,1
1371850860,1
1371853260,4
1371853380,1
1371853500,2
1371853860,2
1371854100,2
1371854460,1
1371854700,1
1371854940,1
1371855240,1
1371856380,1
1371857640,1
1371857940,2
1371858300,1
1371858780,2
1371859440,1
1371861060,1
1371861420,3
1371863520,1
1371863640,1
1371866520,1
1371868440,1
1371870600,1
1371871380,1
1371875400,1
1371899220,1
1371903540,1
1371905880,1
1371906540,2
1371909360,1
1371909660,1
1371910440,1
1371912540,1
1371912780,1
1371915000,1
1371915120,5
1371915360,1
1371915540,1
1371917040,1
1371918120,1
1371918240,1
1371918960,2
1371919620,1
1371919740,2
1371920280,3
1371921060,1
1371921360,1
1371921720,1
1371923160,1
1371923460,1
1371923520,1
1371923580,2
1371924420,1
1371924480,1
1371924960,1
1371925500,1
1371926580,1
1371928140,1
1371928740,1
1371928860,2
1371929460,1
1371929880,1
1371930180,1
1371930300,1
1371930780,1
1371930900,1
1371932220,1
1371933060,1
1371933720,1
1371934080,1
1371934560,1
1371934740,1
1371935100,1
1371935580,2
1371936000,2
1371936960,1
1371937080,1
1371937260,1
1371937440,1
1371937680,2
1371938640,2
1371939840,2
1371940140,3
1371940920,2
1371941580,1
1371942720,1
1371945480,2
1371945720,1
1371945900,1
1371947160,1
1371948000,1
1371948120,1
1371950040,1
1371952200,1
1371952620,1
1371955560,2
1371960480,1
1371962340,1
1371971220,2
1371988680,1
1371988740,1
1371992520,1
1371993000,1
1371993060,1
1371993480,1
1371994440,1
1371994980,1
1371997260,1
1371998400,1
1371999120,2
1372000080,1
1372001340,1
1372003380,3
1372003500,1
1372003920,1
1372004160,1
1372006140,1
1372006620,1
1372007460,1
1372007640,1
1372007940,1
1372009320,1
1372010520,1
1372010580,1
1372011120,1
1372011720,1
1372012740,1
1372013280,1
1372013400,1
1372013880,1
1372014900,2
1372015920,1
1372016220,1
1372016940,1
1372017420,1
1372017780,1
1372018560,1
1372018800,1
1372018860,2
1372018980,1
1372019220,2
1372019340,2
1372023120,2
1372023480,1
1372024140,3
1372024260,1
1372024680,1
1372024740,1
1372025220,1
1372026060,2
1372027440,3
1372027560,2
1372028040,1
1372028640,1
1372028940,1
1372029060,1
1372029120,1
1372030320,1
1372031700,2
1372032240,1
1372032420,2
1372033920,1
1372033980,1
1372034100,1
1372034460,1
1372036560,1
1372036620,1
1372036860,2
1372038060,2
1372041300,1
1372045080,1
1372045440,1
1372068420,1
1372071660,1
1372071720,1
1372074240,1
1372074420,1
1372076040,1
1372077600,1
1372078020,1
1372078380,1
1372080300,1
1372081800,1
1372084620,1
1372085880,1
1372087020,1
1372087500,1
1372087680,1
1372090140,1
1372090320,1
1372093380,1
1372094460,1
1372098060,1
1372100040,1
1372100520,1
1372100880,1
1372102020,1
1372105140,1
1372105380,1
1372106100,1
1372106400,1
1372106520,1
1372107600,1
1372108320,1
1372108380,1
1372108440,1
1372108980,1
1372109160,1
1372110120,1
1372110180,1
1372110420,1
1372110480,1
1372110960,1
1372111020,1
1372111080,1
